Nation,Time,Confirmed Case,Death,Recover,timestamp
MAYOTTE,3.4.2020.14.30.10,116.0,1.0,10.0,8260210
MAYOTTE,3.4.2020.14.30.11,116.0,1.0,10.0,8260211
MAYOTTE,3.4.2020.17.30.12,116.0,1.0,10.0,8271012
MAYOTTE,3.4.2020.20.30.12,116.0,1.0,10.0,8281812
MAYOTTE,3.4.2020.23.30.19,116.0,1.0,10.0,8292619
MAYOTTE,4.4.2020.8.30.14,128.0,2.0,10.0,8325014
MAYOTTE,4.4.2020.11.30.14,128.0,2.0,10.0,8335814
MAYOTTE,4.4.2020.14.30.16,128.0,2.0,10.0,8346616
MAYOTTE,4.4.2020.17.30.18,128.0,2.0,10.0,8357418
MAYOTTE,4.4.2020.20.30.33,128.0,2.0,10.0,8368233
MAYOTTE,4.4.2020.23.30.5,134.0,2.0,14.0,8379005
MAYOTTE,5.4.2020.8.30.7,134.0,2.0,14.0,8411407
MAYOTTE,5.4.2020.11.30.3,134.0,2.0,14.0,8422203
MAYOTTE,5.4.2020.14.30.4,134.0,2.0,14.0,8433004
MAYOTTE,5.4.2020.17.40.33,134.0,2.0,14.0,8444433
MAYOTTE,5.4.2020.20.33.28,134.0,2.0,14.0,8454808
MAYOTTE,5.4.2020.23.30.2,134.0,2.0,14.0,8465402
MAYOTTE,6.4.2020.8.37.49,147.0,2.0,14.0,8498269
MAYOTTE,6.4.2020.11.30.5,147.0,2.0,14.0,8508605
MAYOTTE,6.4.2020.14.44.21,147.0,2.0,14.0,8520261
MAYOTTE,6.4.2020.17.30.4,147.0,2.0,14.0,8530204
MAYOTTE,6.4.2020.21.0.44,147.0,2.0,14.0,8542844
MAYOTTE,7.4.2020.0.0.3,147.0,2.0,14.0,8553603
MAYOTTE,7.4.2020.9.0.4,164.0,2.0,15.0,8586004
MAYOTTE,7.4.2020.12.15.51,164.0,2.0,15.0,8597751
MAYOTTE,7.4.2020.15.59.55,164.0,2.0,15.0,8611195
MAYOTTE,7.4.2020.18.3.46,164.0,2.0,15.0,8618626
MAYOTTE,7.4.2020.21.32.15,164.0,2.0,15.0,8631135
MAYOTTE,8.4.2020.0.0.4,164.0,2.0,15.0,8640004
MAYOTTE,8.4.2020.9.0.46,171.0,2.0,22.0,8672446
MAYOTTE,8.4.2020.12.21.18,171.0,2.0,22.0,8684478
MAYOTTE,8.4.2020.15.4.46,171.0,2.0,22.0,8694286
MAYOTTE,8.4.2020.18.11.16,171.0,2.0,22.0,8705476
MAYOTTE,8.4.2020.21.33.56,171.0,2.0,22.0,8717636
MAYOTTE,9.4.2020.0.14.12,171.0,2.0,22.0,8727252
MAYOTTE,9.4.2020.11.19.24,184.0,2.0,22.0,8767164
MAYOTTE,9.4.2020.12.7.24,184.0,2.0,22.0,8770044
MAYOTTE,9.4.2020.14.57.9,184.0,2.0,22.0,8780229
MAYOTTE,9.4.2020.18.0.2,184.0,2.0,22.0,8791202
MAYOTTE,10.4.2020.1.6.14,184.0,2.0,22.0,8816774
MAYOTTE,10.4.2020.9.4.46,184.0,2.0,26.0,8845486
MAYOTTE,10.4.2020.12.9.17,186.0,2.0,26.0,8856557
MAYOTTE,10.4.2020.14.55.51,186.0,2.0,26.0,8866551
MAYOTTE,10.4.2020.18.41.5,191.0,2.0,50.0,8880065
MAYOTTE,10.4.2020.21.59.17,191.0,2.0,50.0,8891957
MAYOTTE,11.4.2020.0.0.34,191.0,2.0,50.0,8899234
MAYOTTE,11.4.2020.9.1.32,191.0,2.0,50.0,8931692
MAYOTTE,11.4.2020.12.8.24,191.0,2.0,50.0,8942904
MAYOTTE,11.4.2020.17.0.40,191.0,2.0,50.0,8960440
MAYOTTE,11.4.2020.18.12.28,191.0,2.0,50.0,8964748
MAYOTTE,11.4.2020.21.44.19,196.0,3.0,59.0,8977459
MAYOTTE,11.4.2020.23.59.29,196.0,3.0,59.0,8985569
MAYOTTE,12.4.2020.9.0.42,196.0,3.0,59.0,9018042
MAYOTTE,12.4.2020.12.5.42,196.0,3.0,59.0,9029142
MAYOTTE,12.4.2020.15.9.25,196.0,3.0,59.0,9040165
MAYOTTE,12.4.2020.18.22.1,196.0,3.0,59.0,9051721
MAYOTTE,12.4.2020.20.59.25,196.0,3.0,59.0,9061165
MAYOTTE,13.4.2020.0.7.13,196.0,3.0,59.0,9072433
MAYOTTE,13.4.2020.9.26.16,196.0,3.0,59.0,9105976
MAYOTTE,13.4.2020.11.59.14,196.0,3.0,59.0,9115154
MAYOTTE,13.4.2020.15.13.1,196.0,3.0,59.0,9126781
MAYOTTE,13.4.2020.20.23.47,196.0,3.0,59.0,9145427
MAYOTTE,13.4.2020.21.1.27,207.0,3.0,59.0,9147687
MAYOTTE,14.4.2020.0.30.40,207.0,3.0,59.0,9160240
MAYOTTE,14.4.2020.9.9.9,207.0,3.0,59.0,9191349
MAYOTTE,14.4.2020.12.13.23,207.0,3.0,59.0,9202403
MAYOTTE,14.4.2020.15.49.28,207.0,3.0,59.0,9215368
MAYOTTE,14.4.2020.18.27.14,207.0,3.0,59.0,9224834
MAYOTTE,14.4.2020.21.18.50,217.0,3.0,69.0,9235130
MAYOTTE,15.4.2020.0.7.14,217.0,3.0,69.0,9245234
MAYOTTE,15.4.2020.9.0.9,217.0,3.0,69.0,9277209
MAYOTTE,15.4.2020.14.56.18,217.0,3.0,69.0,9298578
MAYOTTE,15.4.2020.19.52.38,217.0,3.0,69.0,9316358
MAYOTTE,15.4.2020.21.18.33,217.0,3.0,69.0,9321513
MAYOTTE,16.4.2020.0.51.15,217.0,3.0,69.0,9334275
MAYOTTE,16.4.2020.9.4.51,217.0,3.0,69.0,9363891
MAYOTTE,16.4.2020.12.5.8,217.0,3.0,69.0,9374708
MAYOTTE,16.4.2020.14.57.8,217.0,3.0,69.0,9385028
MAYOTTE,16.4.2020.17.58.25,217.0,3.0,69.0,9395905
MAYOTTE,16.4.2020.22.41.20,233.0,3.0,69.0,9412880
MAYOTTE,17.4.2020.1.32.36,233.0,3.0,69.0,9423156
MAYOTTE,17.4.2020.9.11.4,233.0,3.0,69.0,9450664
MAYOTTE,17.4.2020.12.2.1,233.0,3.0,69.0,9460921
MAYOTTE,17.4.2020.14.56.35,233.0,3.0,69.0,9471395
MAYOTTE,17.4.2020.18.39.21,245.0,4.0,117.0,9484761
MAYOTTE,17.4.2020.22.45.21,245.0,4.0,117.0,9499521
MAYOTTE,18.4.2020.8.54.14,245.0,4.0,117.0,9536054
MAYOTTE,18.4.2020.13.55.54,245.0,4.0,117.0,9554154
MAYOTTE,18.4.2020.15.41.6,245.0,4.0,117.0,9560466
MAYOTTE,18.4.2020.18.3.48,245.0,4.0,117.0,9569028
MAYOTTE,19.4.2020.0.17.39,254.0,4.0,117.0,9591459
MAYOTTE,19.4.2020.9.10.8,254.0,4.0,117.0,9623408
MAYOTTE,19.4.2020.15.11.32,254.0,4.0,117.0,9645092
MAYOTTE,19.4.2020.18.7.21,254.0,4.0,117.0,9655641
MAYOTTE,19.4.2020.21.1.51,271.0,4.0,117.0,9666111
MAYOTTE,20.4.2020.0.0.38,271.0,4.0,117.0,9676838
MAYOTTE,20.4.2020.12.46.45,271.0,4.0,117.0,9722805
MAYOTTE,20.4.2020.15.15.13,271.0,4.0,117.0,9731713
MAYOTTE,20.4.2020.18.0.55,271.0,4.0,117.0,9741655
MAYOTTE,20.4.2020.20.51.26,271.0,4.0,117.0,9751886
MAYOTTE,20.4.2020.23.57.35,271.0,4.0,117.0,9763055
MAYOTTE,21.4.2020.12.5.6,284.0,4.0,117.0,9806706
MAYOTTE,21.4.2020.18.5.54,284.0,4.0,117.0,9828354
MAYOTTE,21.4.2020.20.56.52,284.0,4.0,117.0,9838612
MAYOTTE,22.4.2020.10.13.50,311.0,4.0,117.0,9886430
MAYOTTE,22.4.2020.12.1.15,311.0,4.0,117.0,9892875
MAYOTTE,22.4.2020.15.4.35,311.0,4.0,117.0,9903875
MAYOTTE,23.4.2020.0.41.34,326.0,4.0,125.0,9938494
MAYOTTE,23.4.2020.11.0.28,326.0,4.0,125.0,9975628
MAYOTTE,23.4.2020.18.9.30,339.0,4.0,125.0,10001370
MAYOTTE,23.4.2020.21.15.10,339.0,4.0,125.0,10012510
MAYOTTE,24.4.2020.12.38.27,339.0,4.0,125.0,10067907
MAYOTTE,24.4.2020.15.7.1,339.0,4.0,125.0,10076821
MAYOTTE,24.4.2020.18.5.8,354.0,4.0,144.0,10087508
MAYOTTE,25.4.2020.1.24.20,354.0,4.0,144.0,10113860
MAYOTTE,25.4.2020.10.29.29,354.0,4.0,144.0,10146569
MAYOTTE,25.4.2020.13.6.30,354.0,4.0,144.0,10155990
MAYOTTE,25.4.2020.15.13.19,354.0,4.0,144.0,10163599
MAYOTTE,25.4.2020.18.5.53,380.0,4.0,144.0,10173953
MAYOTTE,26.4.2020.0.2.26,380.0,4.0,144.0,10195346
MAYOTTE,26.4.2020.10.30.36,380.0,4.0,144.0,10233036
MAYOTTE,26.4.2020.14.0.20,380.0,4.0,144.0,10245620
MAYOTTE,26.4.2020.15.0.26,380.0,4.0,144.0,10249226
MAYOTTE,26.4.2020.18.4.29,401.0,4.0,144.0,10260269
MAYOTTE,26.4.2020.20.55.24,401.0,4.0,144.0,10270524
MAYOTTE,27.4.2020.1.26.23,401.0,4.0,144.0,10286783
MAYOTTE,27.4.2020.12.2.22,401.0,4.0,144.0,10324942
MAYOTTE,27.4.2020.18.28.29,401.0,4.0,144.0,10348109
MAYOTTE,27.4.2020.23.10.6,401.0,4.0,144.0,10365006
MAYOTTE,28.4.2020.0.52.18,401.0,4.0,144.0,10371138
MAYOTTE,28.4.2020.12.28.54,401.0,4.0,144.0,10412934
MAYOTTE,29.4.2020.0.5.46,460.0,4.0,235.0,10454746
MAYOTTE,29.4.2020.11.12.43,460.0,4.0,235.0,10494763
MAYOTTE,29.4.2020.13.2.52,460.0,4.0,235.0,10501372
MAYOTTE,29.4.2020.15.8.24,460.0,4.0,235.0,10508904
MAYOTTE,29.4.2020.18.9.12,460.0,4.0,235.0,10519752
MAYOTTE,29.4.2020.21.32.47,460.0,4.0,235.0,10531967
MAYOTTE,30.4.2020.0.17.29,460.0,4.0,235.0,10541849
MAYOTTE,30.4.2020.9.21.28,460.0,4.0,235.0,10574488
MAYOTTE,30.4.2020.12.29.51,460.0,4.0,235.0,10585791
MAYOTTE,30.4.2020.15.13.47,460.0,4.0,235.0,10595627
MAYOTTE,1.5.2020.0.5.16,539.0,4.0,235.0,10713916
MAYOTTE,1.5.2020.10.41.27,539.0,4.0,235.0,10752087
MAYOTTE,1.5.2020.11.53.59,539.0,4.0,235.0,10756439
MAYOTTE,1.5.2020.15.33.11,539.0,4.0,235.0,10769591
MAYOTTE,1.5.2020.17.55.59,539.0,4.0,235.0,10778159
MAYOTTE,1.5.2020.21.26.40,539.0,4.0,235.0,10790800
MAYOTTE,2.5.2020.0.11.13,539.0,4.0,235.0,10800673
MAYOTTE,2.5.2020.9.45.39,539.0,4.0,235.0,10835139
MAYOTTE,2.5.2020.12.46.52,539.0,4.0,235.0,10846012
MAYOTTE,2.5.2020.15.0.2,539.0,4.0,235.0,10854002
MAYOTTE,2.5.2020.18.0.30,539.0,4.0,235.0,10864830
MAYOTTE,3.5.2020.0.4.29,539.0,4.0,235.0,10886669
MAYOTTE,3.5.2020.11.56.15,596.0,4.0,328.0,10929375
MAYOTTE,3.5.2020.15.5.11,596.0,4.0,328.0,10940711
MAYOTTE,3.5.2020.17.57.14,650.0,4.0,352.0,10951034
MAYOTTE,3.5.2020.21.9.20,650.0,4.0,352.0,10962560
MAYOTTE,3.5.2020.23.58.14,650.0,4.0,352.0,10972694
MAYOTTE,4.5.2020.15.8.30,650.0,6.0,352.0,11027310
MAYOTTE,4.5.2020.18.37.54,686.0,6.0,352.0,11039874
MAYOTTE,4.5.2020.23.58.7,686.0,6.0,352.0,11059087
MAYOTTE,5.5.2020.1.13.37,686.0,6.0,352.0,11063617
MAYOTTE,5.5.2020.13.8.43,686.0,6.0,352.0,11106523
MAYOTTE,5.5.2020.15.1.21,686.0,6.0,352.0,11113281
MAYOTTE,5.5.2020.21.5.55,686.0,6.0,352.0,11135155
MAYOTTE,6.5.2020.0.0.44,686.0,6.0,352.0,11145644
MAYOTTE,6.5.2020.12.1.14,739.0,9.0,352.0,11188874
MAYOTTE,6.5.2020.18.0.4,739.0,9.0,352.0,11210404
MAYOTTE,7.5.2020.0.14.11,739.0,9.0,352.0,11232851
MAYOTTE,7.5.2020.11.57.25,739.0,9.0,352.0,11275045
MAYOTTE,7.5.2020.15.0.3,739.0,9.0,352.0,11286003
MAYOTTE,7.5.2020.18.26.51,739.0,9.0,352.0,11298411
MAYOTTE,7.5.2020.23.58.31,854.0,10.0,352.0,11318311
MAYOTTE,8.5.2020.12.2.6,854.0,10.0,352.0,11361726
MAYOTTE,8.5.2020.15.12.55,854.0,10.0,352.0,11373175
