Nation,Time,Confirmed Case,Death,Recover,timestamp
MONACO,2020-04-03 14:30:10,60.0,1.0,2.0,8260210
MONACO,2020-04-03 14:30:11,60.0,1.0,2.0,8260211
MONACO,2020-04-03 17:30:12,60.0,1.0,2.0,8271012
MONACO,2020-04-03 20:30:12,60.0,1.0,2.0,8281812
MONACO,2020-04-03 23:30:19,64.0,1.0,3.0,8292619
MONACO,2020-04-04 08:30:14,64.0,1.0,3.0,8325014
MONACO,2020-04-04 11:30:14,64.0,1.0,3.0,8335814
MONACO,2020-04-04 14:30:16,64.0,1.0,3.0,8346616
MONACO,2020-04-04 17:30:18,64.0,1.0,3.0,8357418
MONACO,2020-04-04 20:30:33,64.0,1.0,3.0,8368233
MONACO,2020-04-04 23:30:05,64.0,1.0,3.0,8379005
MONACO,2020-04-05 08:30:07,66.0,1.0,3.0,8411407
MONACO,2020-04-05 11:30:03,66.0,1.0,3.0,8422203
MONACO,2020-04-05 14:30:04,66.0,1.0,3.0,8433004
MONACO,2020-04-05 17:40:33,66.0,1.0,3.0,8444433
MONACO,2020-04-05 20:33:28,66.0,1.0,3.0,8454808
MONACO,2020-04-05 23:30:02,73.0,1.0,3.0,8465402
MONACO,2020-04-06 08:37:49,73.0,1.0,3.0,8498269
MONACO,2020-04-06 11:30:05,73.0,1.0,3.0,8508605
MONACO,2020-04-06 14:44:21,73.0,1.0,3.0,8520261
MONACO,2020-04-06 17:30:04,73.0,1.0,3.0,8530204
MONACO,2020-04-06 21:00:44,73.0,1.0,3.0,8542844
MONACO,2020-04-07 00:00:03,77.0,1.0,4.0,8553603
MONACO,2020-04-07 09:00:04,77.0,1.0,4.0,8586004
MONACO,2020-04-07 12:15:51,77.0,1.0,4.0,8597751
MONACO,2020-04-07 15:59:55,77.0,1.0,4.0,8611195
MONACO,2020-04-07 18:03:46,77.0,1.0,4.0,8618626
MONACO,2020-04-07 21:32:15,77.0,1.0,4.0,8631135
MONACO,2020-04-08 00:00:04,79.0,1.0,4.0,8640004
MONACO,2020-04-08 09:00:46,79.0,1.0,4.0,8672446
MONACO,2020-04-08 12:21:18,79.0,1.0,4.0,8684478
MONACO,2020-04-08 15:04:46,79.0,1.0,4.0,8694286
MONACO,2020-04-08 18:11:16,79.0,1.0,4.0,8705476
MONACO,2020-04-08 21:33:56,79.0,1.0,4.0,8717636
MONACO,2020-04-09 00:14:12,81.0,1.0,4.0,8727252
MONACO,2020-04-09 11:19:24,81.0,1.0,4.0,8767164
MONACO,2020-04-09 12:07:24,81.0,1.0,4.0,8770044
MONACO,2020-04-09 14:57:09,81.0,1.0,4.0,8780229
MONACO,2020-04-09 18:00:02,81.0,1.0,4.0,8791202
MONACO,2020-04-10 01:06:14,84.0,1.0,5.0,8816774
MONACO,2020-04-10 09:04:46,84.0,1.0,5.0,8845486
MONACO,2020-04-10 12:09:17,84.0,1.0,5.0,8856557
MONACO,2020-04-10 14:55:51,84.0,1.0,5.0,8866551
MONACO,2020-04-10 18:41:05,84.0,1.0,5.0,8880065
MONACO,2020-04-10 21:59:17,84.0,1.0,5.0,8891957
MONACO,2020-04-11 00:00:34,90.0,1.0,5.0,8899234
MONACO,2020-04-11 09:01:32,90.0,1.0,5.0,8931692
MONACO,2020-04-11 12:08:24,90.0,1.0,5.0,8942904
MONACO,2020-04-11 17:00:40,90.0,1.0,5.0,8960440
MONACO,2020-04-11 18:12:28,90.0,1.0,5.0,8964748
MONACO,2020-04-11 21:44:19,90.0,1.0,5.0,8977459
MONACO,2020-04-11 23:59:29,92.0,1.0,5.0,8985569
MONACO,2020-04-12 09:00:42,92.0,1.0,5.0,9018042
MONACO,2020-04-12 12:05:42,92.0,1.0,5.0,9029142
MONACO,2020-04-12 15:09:25,92.0,1.0,5.0,9040165
MONACO,2020-04-12 18:22:01,92.0,1.0,5.0,9051721
MONACO,2020-04-12 20:59:25,92.0,1.0,5.0,9061165
MONACO,2020-04-13 00:07:13,92.0,1.0,5.0,9072433
MONACO,2020-04-13 09:26:16,93.0,1.0,6.0,9105976
MONACO,2020-04-13 11:59:14,93.0,1.0,6.0,9115154
MONACO,2020-04-13 15:13:01,93.0,1.0,6.0,9126781
MONACO,2020-04-13 20:23:47,93.0,1.0,6.0,9145427
MONACO,2020-04-13 21:01:27,93.0,1.0,6.0,9147687
MONACO,2020-04-14 00:30:40,93.0,1.0,6.0,9160240
MONACO,2020-04-14 09:09:09,93.0,1.0,6.0,9191349
MONACO,2020-04-14 12:13:23,93.0,1.0,6.0,9202403
MONACO,2020-04-14 15:49:28,93.0,1.0,6.0,9215368
MONACO,2020-04-14 18:27:14,93.0,1.0,6.0,9224834
MONACO,2020-04-14 21:18:50,93.0,1.0,6.0,9235130
MONACO,2020-04-15 00:07:14,93.0,1.0,6.0,9245234
MONACO,2020-04-15 09:00:09,93.0,1.0,6.0,9277209
MONACO,2020-04-15 14:56:18,93.0,1.0,6.0,9298578
MONACO,2020-04-15 19:52:38,93.0,1.0,6.0,9316358
MONACO,2020-04-15 21:18:33,93.0,1.0,6.0,9321513
MONACO,2020-04-16 00:51:15,93.0,1.0,6.0,9334275
MONACO,2020-04-16 09:04:51,93.0,3.0,12.0,9363891
MONACO,2020-04-16 12:05:08,93.0,3.0,12.0,9374708
MONACO,2020-04-16 14:57:08,93.0,3.0,12.0,9385028
MONACO,2020-04-16 17:58:25,93.0,3.0,12.0,9395905
MONACO,2020-04-16 22:41:20,93.0,3.0,12.0,9412880
MONACO,2020-04-17 01:32:36,93.0,3.0,12.0,9423156
MONACO,2020-04-17 09:11:04,93.0,3.0,15.0,9450664
MONACO,2020-04-17 12:02:01,93.0,3.0,15.0,9460921
MONACO,2020-04-17 14:56:35,93.0,3.0,15.0,9471395
MONACO,2020-04-17 18:39:21,93.0,3.0,15.0,9484761
MONACO,2020-04-17 22:45:21,93.0,3.0,15.0,9499521
MONACO,2020-04-18 08:54:14,94.0,3.0,20.0,9536054
MONACO,2020-04-18 13:55:54,94.0,3.0,20.0,9554154
MONACO,2020-04-18 15:41:06,94.0,3.0,20.0,9560466
MONACO,2020-04-18 18:03:48,94.0,3.0,20.0,9569028
MONACO,2020-04-19 00:17:39,94.0,3.0,22.0,9591459
MONACO,2020-04-19 09:10:08,94.0,3.0,22.0,9623408
MONACO,2020-04-19 15:11:32,94.0,3.0,22.0,9645092
MONACO,2020-04-19 18:07:21,94.0,3.0,22.0,9655641
MONACO,2020-04-19 21:01:51,94.0,3.0,22.0,9666111
MONACO,2020-04-20 00:00:38,94.0,3.0,22.0,9676838
MONACO,2020-04-20 12:46:45,94.0,3.0,22.0,9722805
MONACO,2020-04-20 15:15:13,94.0,3.0,22.0,9731713
MONACO,2020-04-20 18:00:55,94.0,3.0,22.0,9741655
MONACO,2020-04-20 20:51:26,94.0,3.0,22.0,9751886
MONACO,2020-04-20 23:57:35,94.0,3.0,22.0,9763055
MONACO,2020-04-21 12:05:06,94.0,3.0,23.0,9806706
MONACO,2020-04-21 18:05:54,94.0,3.0,23.0,9828354
MONACO,2020-04-21 20:56:52,94.0,3.0,23.0,9838612
MONACO,2020-04-22 10:13:50,94.0,3.0,26.0,9886430
MONACO,2020-04-22 12:01:15,94.0,3.0,26.0,9892875
MONACO,2020-04-22 15:04:35,94.0,3.0,26.0,9903875
MONACO,2020-04-23 00:41:34,94.0,3.0,27.0,9938494
MONACO,2020-04-23 11:00:28,94.0,3.0,27.0,9975628
MONACO,2020-04-23 18:09:30,94.0,3.0,27.0,10001370
MONACO,2020-04-23 21:15:10,94.0,3.0,27.0,10012510
