Nation,Time,Confirmed Case,Death,Recover,timestamp
MONGOLIA,3.4.2020.14.30.10,14.0,0.0,2.0,8260210
MONGOLIA,3.4.2020.14.30.11,14.0,0.0,2.0,8260211
MONGOLIA,3.4.2020.17.30.12,14.0,0.0,2.0,8271012
MONGOLIA,3.4.2020.20.30.12,14.0,0.0,2.0,8281812
MONGOLIA,3.4.2020.23.30.19,14.0,0.0,2.0,8292619
MONGOLIA,4.4.2020.8.30.14,14.0,0.0,2.0,8325014
MONGOLIA,4.4.2020.11.30.14,14.0,0.0,2.0,8335814
MONGOLIA,4.4.2020.14.30.16,14.0,0.0,2.0,8346616
MONGOLIA,4.4.2020.17.30.18,14.0,0.0,2.0,8357418
MONGOLIA,4.4.2020.20.30.33,14.0,0.0,2.0,8368233
MONGOLIA,4.4.2020.23.30.5,14.0,0.0,2.0,8379005
MONGOLIA,5.4.2020.8.30.7,14.0,0.0,2.0,8411407
MONGOLIA,5.4.2020.11.30.3,14.0,0.0,2.0,8422203
MONGOLIA,5.4.2020.14.30.4,14.0,0.0,2.0,8433004
MONGOLIA,5.4.2020.17.40.33,14.0,0.0,2.0,8444433
MONGOLIA,5.4.2020.20.33.28,14.0,0.0,2.0,8454808
MONGOLIA,5.4.2020.23.30.2,14.0,0.0,2.0,8465402
MONGOLIA,6.4.2020.8.37.49,14.0,0.0,2.0,8498269
MONGOLIA,6.4.2020.11.30.5,15.0,0.0,2.0,8508605
MONGOLIA,6.4.2020.14.44.21,15.0,0.0,2.0,8520261
MONGOLIA,6.4.2020.17.30.4,15.0,0.0,2.0,8530204
MONGOLIA,6.4.2020.21.0.44,15.0,0.0,2.0,8542844
MONGOLIA,7.4.2020.0.0.3,15.0,0.0,2.0,8553603
MONGOLIA,7.4.2020.9.0.4,15.0,0.0,2.0,8586004
MONGOLIA,7.4.2020.12.15.51,15.0,0.0,4.0,8597751
MONGOLIA,7.4.2020.15.59.55,15.0,0.0,4.0,8611195
MONGOLIA,7.4.2020.18.3.46,15.0,0.0,4.0,8618626
MONGOLIA,7.4.2020.21.32.15,15.0,0.0,4.0,8631135
MONGOLIA,8.4.2020.0.0.4,15.0,0.0,4.0,8640004
MONGOLIA,8.4.2020.9.0.46,15.0,0.0,4.0,8672446
MONGOLIA,8.4.2020.12.21.18,16.0,0.0,4.0,8684478
MONGOLIA,8.4.2020.15.4.46,16.0,0.0,4.0,8694286
MONGOLIA,8.4.2020.18.11.16,16.0,0.0,4.0,8705476
MONGOLIA,8.4.2020.21.33.56,16.0,0.0,4.0,8717636
MONGOLIA,9.4.2020.0.14.12,16.0,0.0,4.0,8727252
MONGOLIA,9.4.2020.11.19.24,16.0,0.0,4.0,8767164
MONGOLIA,9.4.2020.12.7.24,16.0,0.0,4.0,8770044
MONGOLIA,9.4.2020.14.57.9,16.0,0.0,4.0,8780229
MONGOLIA,9.4.2020.18.0.2,16.0,0.0,4.0,8791202
MONGOLIA,10.4.2020.1.6.14,16.0,0.0,4.0,8816774
MONGOLIA,10.4.2020.9.4.46,16.0,0.0,4.0,8845486
MONGOLIA,10.4.2020.12.9.17,16.0,0.0,4.0,8856557
MONGOLIA,10.4.2020.14.55.51,16.0,0.0,4.0,8866551
MONGOLIA,10.4.2020.18.41.5,16.0,0.0,4.0,8880065
MONGOLIA,10.4.2020.21.59.17,16.0,0.0,4.0,8891957
MONGOLIA,11.4.2020.0.0.34,16.0,0.0,4.0,8899234
MONGOLIA,11.4.2020.9.1.32,16.0,0.0,4.0,8931692
MONGOLIA,11.4.2020.12.8.24,16.0,0.0,4.0,8942904
MONGOLIA,11.4.2020.17.0.40,16.0,0.0,4.0,8960440
MONGOLIA,11.4.2020.18.12.28,16.0,0.0,4.0,8964748
MONGOLIA,11.4.2020.21.44.19,16.0,0.0,4.0,8977459
MONGOLIA,11.4.2020.23.59.29,16.0,0.0,4.0,8985569
MONGOLIA,12.4.2020.9.0.42,16.0,0.0,4.0,9018042
MONGOLIA,12.4.2020.12.5.42,16.0,0.0,4.0,9029142
MONGOLIA,12.4.2020.15.9.25,16.0,0.0,4.0,9040165
MONGOLIA,12.4.2020.18.22.1,16.0,0.0,4.0,9051721
MONGOLIA,12.4.2020.20.59.25,16.0,0.0,4.0,9061165
MONGOLIA,13.4.2020.0.7.13,16.0,0.0,4.0,9072433
MONGOLIA,13.4.2020.9.26.16,16.0,0.0,4.0,9105976
MONGOLIA,13.4.2020.11.59.14,17.0,0.0,4.0,9115154
MONGOLIA,13.4.2020.15.13.1,17.0,0.0,4.0,9126781
MONGOLIA,13.4.2020.20.23.47,17.0,0.0,4.0,9145427
MONGOLIA,13.4.2020.21.1.27,17.0,0.0,4.0,9147687
MONGOLIA,14.4.2020.0.30.40,17.0,0.0,4.0,9160240
MONGOLIA,14.4.2020.9.9.9,30.0,0.0,5.0,9191349
MONGOLIA,14.4.2020.12.13.23,30.0,0.0,5.0,9202403
MONGOLIA,14.4.2020.15.49.28,30.0,0.0,5.0,9215368
MONGOLIA,14.4.2020.18.27.14,30.0,0.0,5.0,9224834
MONGOLIA,14.4.2020.21.18.50,30.0,0.0,5.0,9235130
MONGOLIA,15.4.2020.0.7.14,30.0,0.0,5.0,9245234
MONGOLIA,15.4.2020.9.0.9,30.0,0.0,5.0,9277209
MONGOLIA,15.4.2020.14.56.18,30.0,0.0,5.0,9298578
MONGOLIA,15.4.2020.19.52.38,30.0,0.0,5.0,9316358
MONGOLIA,15.4.2020.21.18.33,30.0,0.0,5.0,9321513
MONGOLIA,16.4.2020.0.51.15,30.0,0.0,5.0,9334275
MONGOLIA,16.4.2020.9.4.51,31.0,0.0,5.0,9363891
MONGOLIA,16.4.2020.12.5.8,31.0,0.0,5.0,9374708
MONGOLIA,16.4.2020.14.57.8,31.0,0.0,5.0,9385028
MONGOLIA,16.4.2020.17.58.25,31.0,0.0,5.0,9395905
MONGOLIA,16.4.2020.22.41.20,31.0,0.0,5.0,9412880
MONGOLIA,17.4.2020.1.32.36,31.0,0.0,5.0,9423156
MONGOLIA,17.4.2020.9.11.4,31.0,0.0,5.0,9450664
MONGOLIA,17.4.2020.12.2.1,31.0,0.0,5.0,9460921
MONGOLIA,17.4.2020.14.56.35,31.0,0.0,5.0,9471395
MONGOLIA,17.4.2020.18.39.21,31.0,0.0,5.0,9484761
MONGOLIA,17.4.2020.22.45.21,31.0,0.0,5.0,9499521
MONGOLIA,18.4.2020.8.54.14,31.0,0.0,5.0,9536054
MONGOLIA,18.4.2020.13.55.54,31.0,0.0,5.0,9554154
MONGOLIA,18.4.2020.15.41.6,31.0,0.0,5.0,9560466
MONGOLIA,18.4.2020.18.3.48,31.0,0.0,5.0,9569028
MONGOLIA,19.4.2020.0.17.39,31.0,0.0,5.0,9591459
MONGOLIA,19.4.2020.9.10.8,31.0,0.0,5.0,9623408
MONGOLIA,19.4.2020.15.11.32,32.0,0.0,7.0,9645092
MONGOLIA,19.4.2020.18.7.21,32.0,0.0,7.0,9655641
MONGOLIA,19.4.2020.21.1.51,32.0,0.0,7.0,9666111
MONGOLIA,20.4.2020.0.0.38,32.0,0.0,7.0,9676838
MONGOLIA,20.4.2020.12.46.45,33.0,0.0,7.0,9722805
