Nation,Time,Confirmed Case,Death,Recover,timestamp
MONTENEGRO,2020-04-03 14:30:10,160.0,2.0,0.0,8260210
MONTENEGRO,2020-04-03 14:30:11,160.0,2.0,0.0,8260211
MONTENEGRO,2020-04-03 17:30:12,160.0,2.0,0.0,8271012
MONTENEGRO,2020-04-03 20:30:12,160.0,2.0,0.0,8281812
MONTENEGRO,2020-04-03 23:30:19,174.0,2.0,1.0,8292619
MONTENEGRO,2020-04-04 08:30:14,174.0,2.0,1.0,8325014
MONTENEGRO,2020-04-04 11:30:14,174.0,2.0,1.0,8335814
MONTENEGRO,2020-04-04 14:30:16,197.0,2.0,1.0,8346616
MONTENEGRO,2020-04-04 17:30:18,197.0,2.0,1.0,8357418
MONTENEGRO,2020-04-04 20:30:33,197.0,2.0,1.0,8368233
MONTENEGRO,2020-04-04 23:30:05,201.0,2.0,1.0,8379005
MONTENEGRO,2020-04-05 08:30:07,201.0,2.0,1.0,8411407
MONTENEGRO,2020-04-05 11:30:03,201.0,2.0,1.0,8422203
MONTENEGRO,2020-04-05 14:30:04,203.0,2.0,1.0,8433004
MONTENEGRO,2020-04-05 17:40:33,203.0,2.0,1.0,8444433
MONTENEGRO,2020-04-05 20:33:28,203.0,2.0,1.0,8454808
MONTENEGRO,2020-04-05 23:30:02,214.0,2.0,1.0,8465402
MONTENEGRO,2020-04-06 08:37:49,214.0,2.0,1.0,8498269
MONTENEGRO,2020-04-06 11:30:05,214.0,2.0,1.0,8508605
MONTENEGRO,2020-04-06 14:44:21,223.0,2.0,1.0,8520261
MONTENEGRO,2020-04-06 17:30:04,223.0,2.0,1.0,8530204
MONTENEGRO,2020-04-06 21:00:44,223.0,2.0,1.0,8542844
MONTENEGRO,2020-04-07 00:00:03,233.0,2.0,1.0,8553603
MONTENEGRO,2020-04-07 09:00:04,233.0,2.0,1.0,8586004
MONTENEGRO,2020-04-07 12:15:51,233.0,2.0,1.0,8597751
MONTENEGRO,2020-04-07 15:59:55,239.0,2.0,1.0,8611195
MONTENEGRO,2020-04-07 18:03:46,239.0,2.0,4.0,8618626
MONTENEGRO,2020-04-07 21:32:15,241.0,2.0,4.0,8631135
MONTENEGRO,2020-04-08 00:00:04,241.0,2.0,4.0,8640004
MONTENEGRO,2020-04-08 09:00:46,241.0,2.0,4.0,8672446
MONTENEGRO,2020-04-08 12:21:18,248.0,2.0,4.0,8684478
MONTENEGRO,2020-04-08 15:04:46,248.0,2.0,4.0,8694286
MONTENEGRO,2020-04-08 18:11:16,248.0,2.0,4.0,8705476
MONTENEGRO,2020-04-08 21:33:56,248.0,2.0,4.0,8717636
MONTENEGRO,2020-04-09 00:14:12,248.0,2.0,4.0,8727252
MONTENEGRO,2020-04-09 11:19:24,248.0,2.0,4.0,8767164
MONTENEGRO,2020-04-09 12:07:24,248.0,2.0,4.0,8770044
MONTENEGRO,2020-04-09 14:57:09,252.0,2.0,4.0,8780229
MONTENEGRO,2020-04-09 18:00:02,252.0,2.0,4.0,8791202
MONTENEGRO,2020-04-10 01:06:14,252.0,2.0,4.0,8816774
MONTENEGRO,2020-04-10 09:04:46,252.0,2.0,4.0,8845486
MONTENEGRO,2020-04-10 12:09:17,252.0,2.0,4.0,8856557
MONTENEGRO,2020-04-10 14:55:51,255.0,2.0,4.0,8866551
MONTENEGRO,2020-04-10 18:41:05,255.0,2.0,4.0,8880065
MONTENEGRO,2020-04-10 21:59:17,257.0,2.0,4.0,8891957
MONTENEGRO,2020-04-11 00:00:34,257.0,2.0,4.0,8899234
MONTENEGRO,2020-04-11 09:01:32,257.0,2.0,4.0,8931692
MONTENEGRO,2020-04-11 12:08:24,257.0,2.0,4.0,8942904
MONTENEGRO,2020-04-11 17:00:40,262.0,2.0,5.0,8960440
MONTENEGRO,2020-04-11 18:12:28,262.0,2.0,5.0,8964748
MONTENEGRO,2020-04-11 21:44:19,263.0,2.0,5.0,8977459
MONTENEGRO,2020-04-11 23:59:29,263.0,2.0,5.0,8985569
MONTENEGRO,2020-04-12 09:00:42,263.0,2.0,5.0,9018042
MONTENEGRO,2020-04-12 12:05:42,263.0,2.0,5.0,9029142
MONTENEGRO,2020-04-12 15:09:25,267.0,2.0,5.0,9040165
MONTENEGRO,2020-04-12 18:22:01,267.0,2.0,5.0,9051721
MONTENEGRO,2020-04-12 20:59:25,267.0,3.0,5.0,9061165
MONTENEGRO,2020-04-13 00:07:13,267.0,3.0,5.0,9072433
MONTENEGRO,2020-04-13 09:26:16,272.0,3.0,5.0,9105976
MONTENEGRO,2020-04-13 11:59:14,272.0,3.0,5.0,9115154
MONTENEGRO,2020-04-13 15:13:01,273.0,3.0,5.0,9126781
MONTENEGRO,2020-04-13 20:23:47,273.0,3.0,5.0,9145427
MONTENEGRO,2020-04-13 21:01:27,273.0,3.0,5.0,9147687
MONTENEGRO,2020-04-14 00:30:40,274.0,3.0,5.0,9160240
MONTENEGRO,2020-04-14 09:09:09,274.0,3.0,5.0,9191349
MONTENEGRO,2020-04-14 12:13:23,274.0,3.0,5.0,9202403
MONTENEGRO,2020-04-14 15:49:28,278.0,4.0,5.0,9215368
MONTENEGRO,2020-04-14 18:27:14,278.0,4.0,5.0,9224834
MONTENEGRO,2020-04-14 21:18:50,278.0,4.0,5.0,9235130
MONTENEGRO,2020-04-15 00:07:14,283.0,4.0,46.0,9245234
MONTENEGRO,2020-04-15 09:00:09,283.0,4.0,46.0,9277209
MONTENEGRO,2020-04-15 14:56:18,288.0,4.0,46.0,9298578
MONTENEGRO,2020-04-15 19:52:38,288.0,4.0,46.0,9316358
MONTENEGRO,2020-04-15 21:18:33,288.0,4.0,55.0,9321513
MONTENEGRO,2020-04-16 00:51:15,288.0,4.0,55.0,9334275
MONTENEGRO,2020-04-16 09:04:51,288.0,4.0,55.0,9363891
MONTENEGRO,2020-04-16 12:05:08,290.0,4.0,55.0,9374708
MONTENEGRO,2020-04-16 14:57:08,290.0,4.0,55.0,9385028
MONTENEGRO,2020-04-16 17:58:25,290.0,4.0,55.0,9395905
MONTENEGRO,2020-04-16 22:41:20,294.0,4.0,55.0,9412880
MONTENEGRO,2020-04-17 01:32:36,294.0,4.0,55.0,9423156
MONTENEGRO,2020-04-17 09:11:04,303.0,4.0,55.0,9450664
MONTENEGRO,2020-04-17 12:02:01,303.0,4.0,55.0,9460921
MONTENEGRO,2020-04-17 14:56:35,303.0,4.0,55.0,9471395
MONTENEGRO,2020-04-17 18:39:21,303.0,4.0,55.0,9484761
MONTENEGRO,2020-04-17 22:45:21,303.0,5.0,60.0,9499521
MONTENEGRO,2020-04-18 08:54:14,303.0,5.0,60.0,9536054
MONTENEGRO,2020-04-18 13:55:54,305.0,5.0,60.0,9554154
MONTENEGRO,2020-04-18 15:41:06,305.0,5.0,60.0,9560466
MONTENEGRO,2020-04-18 18:03:48,305.0,5.0,60.0,9569028
MONTENEGRO,2020-04-19 00:17:39,307.0,5.0,60.0,9591459
MONTENEGRO,2020-04-19 09:10:08,307.0,5.0,60.0,9623408
MONTENEGRO,2020-04-19 15:11:32,308.0,5.0,60.0,9645092
MONTENEGRO,2020-04-19 18:07:21,308.0,5.0,60.0,9655641
MONTENEGRO,2020-04-19 21:01:51,308.0,5.0,60.0,9666111
MONTENEGRO,2020-04-20 00:00:38,308.0,5.0,60.0,9676838
MONTENEGRO,2020-04-20 12:46:45,311.0,5.0,60.0,9722805
MONTENEGRO,2020-04-20 15:15:13,311.0,5.0,60.0,9731713
MONTENEGRO,2020-04-20 18:00:55,311.0,5.0,60.0,9741655
MONTENEGRO,2020-04-20 20:51:26,311.0,5.0,88.0,9751886
MONTENEGRO,2020-04-20 23:57:35,312.0,5.0,88.0,9763055
MONTENEGRO,2020-04-21 12:05:06,312.0,5.0,88.0,9806706
MONTENEGRO,2020-04-21 18:05:54,313.0,5.0,90.0,9828354
MONTENEGRO,2020-04-21 20:56:52,313.0,5.0,101.0,9838612
MONTENEGRO,2020-04-22 10:13:50,313.0,5.0,101.0,9886430
MONTENEGRO,2020-04-22 12:01:15,313.0,5.0,101.0,9892875
MONTENEGRO,2020-04-22 15:04:35,314.0,5.0,101.0,9903875
MONTENEGRO,2020-04-23 00:41:34,315.0,5.0,116.0,9938494
MONTENEGRO,2020-04-23 11:00:28,315.0,5.0,116.0,9975628
MONTENEGRO,2020-04-23 18:09:30,316.0,5.0,116.0,10001370
MONTENEGRO,2020-04-23 21:15:10,316.0,5.0,123.0,10012510
MONTENEGRO,2020-04-24 12:38:27,319.0,5.0,123.0,10067907
MONTENEGRO,2020-04-24 15:07:01,319.0,5.0,123.0,10076821
MONTENEGRO,2020-04-24 18:05:08,319.0,5.0,123.0,10087508
MONTENEGRO,2020-04-25 01:24:20,319.0,6.0,123.0,10113860
MONTENEGRO,2020-04-25 10:29:29,319.0,6.0,123.0,10146569
MONTENEGRO,2020-04-25 13:06:30,319.0,6.0,123.0,10155990
MONTENEGRO,2020-04-25 15:13:19,319.0,6.0,123.0,10163599
MONTENEGRO,2020-04-25 18:05:53,319.0,6.0,123.0,10173953
MONTENEGRO,2020-04-26 00:02:26,320.0,6.0,153.0,10195346
MONTENEGRO,2020-04-26 10:30:36,320.0,6.0,153.0,10233036
MONTENEGRO,2020-04-26 14:00:20,321.0,6.0,153.0,10245620
MONTENEGRO,2020-04-26 15:00:26,321.0,6.0,153.0,10249226
MONTENEGRO,2020-04-26 18:04:29,321.0,7.0,153.0,10260269
MONTENEGRO,2020-04-26 20:55:24,321.0,7.0,153.0,10270524
MONTENEGRO,2020-04-27 01:26:23,321.0,7.0,153.0,10286783
MONTENEGRO,2020-04-27 12:02:22,321.0,7.0,153.0,10324942
MONTENEGRO,2020-04-27 18:28:29,321.0,7.0,153.0,10348109
MONTENEGRO,2020-04-27 23:10:06,321.0,7.0,189.0,10365006
MONTENEGRO,2020-04-28 00:52:18,321.0,7.0,189.0,10371138
