Nation,Time,Confirmed Case,Death,Recover,timestamp
MONTSERRAT,3.4.2020.14.30.10,5.0,0.0,0.0,8260210
MONTSERRAT,3.4.2020.14.30.11,5.0,0.0,0.0,8260211
MONTSERRAT,3.4.2020.17.30.12,5.0,0.0,0.0,8271012
MONTSERRAT,3.4.2020.20.30.12,5.0,0.0,0.0,8281812
MONTSERRAT,3.4.2020.23.30.19,5.0,0.0,0.0,8292619
MONTSERRAT,4.4.2020.8.30.14,6.0,0.0,0.0,8325014
MONTSERRAT,4.4.2020.11.30.14,6.0,0.0,0.0,8335814
MONTSERRAT,4.4.2020.14.30.16,6.0,0.0,0.0,8346616
MONTSERRAT,4.4.2020.17.30.18,6.0,0.0,0.0,8357418
MONTSERRAT,4.4.2020.20.30.33,6.0,0.0,0.0,8368233
MONTSERRAT,4.4.2020.23.30.5,6.0,0.0,0.0,8379005
MONTSERRAT,5.4.2020.8.30.7,6.0,0.0,0.0,8411407
MONTSERRAT,5.4.2020.11.30.3,6.0,0.0,0.0,8422203
MONTSERRAT,5.4.2020.14.30.4,6.0,0.0,0.0,8433004
MONTSERRAT,5.4.2020.17.40.33,6.0,0.0,0.0,8444433
MONTSERRAT,5.4.2020.20.33.28,6.0,0.0,0.0,8454808
MONTSERRAT,5.4.2020.23.30.2,6.0,0.0,0.0,8465402
MONTSERRAT,6.4.2020.8.37.49,6.0,0.0,0.0,8498269
MONTSERRAT,6.4.2020.11.30.5,6.0,0.0,0.0,8508605
MONTSERRAT,6.4.2020.14.44.21,6.0,0.0,0.0,8520261
MONTSERRAT,6.4.2020.17.30.4,6.0,0.0,0.0,8530204
MONTSERRAT,6.4.2020.21.0.44,6.0,0.0,0.0,8542844
MONTSERRAT,7.4.2020.0.0.3,6.0,0.0,0.0,8553603
MONTSERRAT,7.4.2020.9.0.4,6.0,0.0,0.0,8586004
MONTSERRAT,7.4.2020.12.15.51,6.0,0.0,0.0,8597751
MONTSERRAT,7.4.2020.15.59.55,6.0,0.0,0.0,8611195
MONTSERRAT,7.4.2020.18.3.46,6.0,0.0,0.0,8618626
MONTSERRAT,7.4.2020.21.32.15,6.0,0.0,0.0,8631135
MONTSERRAT,8.4.2020.0.0.4,6.0,0.0,0.0,8640004
MONTSERRAT,8.4.2020.9.0.46,9.0,0.0,0.0,8672446
MONTSERRAT,8.4.2020.12.21.18,9.0,0.0,0.0,8684478
MONTSERRAT,8.4.2020.15.4.46,9.0,0.0,0.0,8694286
MONTSERRAT,8.4.2020.18.11.16,9.0,0.0,0.0,8705476
MONTSERRAT,8.4.2020.21.33.56,9.0,0.0,0.0,8717636
MONTSERRAT,9.4.2020.0.14.12,9.0,0.0,0.0,8727252
MONTSERRAT,9.4.2020.11.19.24,9.0,0.0,0.0,8767164
MONTSERRAT,9.4.2020.12.7.24,9.0,0.0,0.0,8770044
MONTSERRAT,9.4.2020.14.57.9,9.0,0.0,0.0,8780229
MONTSERRAT,9.4.2020.18.0.2,9.0,0.0,0.0,8791202
MONTSERRAT,10.4.2020.1.6.14,9.0,0.0,0.0,8816774
MONTSERRAT,10.4.2020.9.4.46,9.0,0.0,0.0,8845486
MONTSERRAT,10.4.2020.12.9.17,9.0,0.0,0.0,8856557
MONTSERRAT,10.4.2020.14.55.51,9.0,0.0,0.0,8866551
MONTSERRAT,10.4.2020.18.41.5,9.0,0.0,0.0,8880065
MONTSERRAT,10.4.2020.21.59.17,9.0,0.0,0.0,8891957
MONTSERRAT,11.4.2020.0.0.34,9.0,0.0,0.0,8899234
MONTSERRAT,11.4.2020.9.1.32,9.0,0.0,0.0,8931692
MONTSERRAT,11.4.2020.12.8.24,9.0,0.0,0.0,8942904
