Nation,Time,Confirmed Case,Death,Recover,timestamp
MOROCCO,3.4.2020.14.30.10,735.0,47.0,34.0,8260210
MOROCCO,3.4.2020.14.30.11,735.0,47.0,34.0,8260211
MOROCCO,3.4.2020.17.30.12,735.0,47.0,49.0,8271012
MOROCCO,3.4.2020.20.30.12,735.0,47.0,49.0,8281812
MOROCCO,3.4.2020.23.30.19,761.0,47.0,56.0,8292619
MOROCCO,4.4.2020.8.30.14,791.0,48.0,57.0,8325014
MOROCCO,4.4.2020.11.30.14,791.0,48.0,57.0,8335814
MOROCCO,4.4.2020.14.30.16,844.0,50.0,59.0,8346616
MOROCCO,4.4.2020.17.30.18,844.0,50.0,59.0,8357418
MOROCCO,4.4.2020.20.30.33,858.0,50.0,62.0,8368233
MOROCCO,4.4.2020.23.30.5,883.0,58.0,65.0,8379005
MOROCCO,5.4.2020.8.30.7,919.0,59.0,66.0,8411407
MOROCCO,5.4.2020.11.30.3,919.0,59.0,66.0,8422203
MOROCCO,5.4.2020.14.30.4,960.0,66.0,69.0,8433004
MOROCCO,5.4.2020.17.40.33,960.0,66.0,69.0,8444433
MOROCCO,5.4.2020.20.33.28,961.0,69.0,70.0,8454808
MOROCCO,5.4.2020.23.30.2,990.0,69.0,71.0,8465402
MOROCCO,6.4.2020.8.37.49,1021.0,70.0,76.0,8498269
MOROCCO,6.4.2020.11.30.5,1021.0,70.0,76.0,8508605
MOROCCO,6.4.2020.14.44.21,1113.0,71.0,76.0,8520261
MOROCCO,6.4.2020.17.30.4,1113.0,71.0,76.0,8530204
MOROCCO,6.4.2020.21.0.44,1113.0,71.0,76.0,8542844
MOROCCO,7.4.2020.0.0.3,1120.0,80.0,81.0,8553603
MOROCCO,7.4.2020.9.0.4,1120.0,80.0,81.0,8586004
MOROCCO,7.4.2020.12.15.51,1120.0,80.0,81.0,8597751
MOROCCO,7.4.2020.15.59.55,1141.0,83.0,88.0,8611195
MOROCCO,7.4.2020.18.3.46,1141.0,83.0,88.0,8618626
MOROCCO,7.4.2020.21.32.15,1141.0,83.0,88.0,8631135
MOROCCO,8.4.2020.0.0.4,1184.0,90.0,93.0,8640004
MOROCCO,8.4.2020.9.0.46,1184.0,90.0,93.0,8672446
MOROCCO,8.4.2020.12.21.18,1184.0,90.0,93.0,8684478
MOROCCO,8.4.2020.15.4.46,1184.0,90.0,93.0,8694286
MOROCCO,8.4.2020.18.11.16,1242.0,91.0,97.0,8705476
MOROCCO,8.4.2020.21.33.56,1242.0,91.0,97.0,8717636
MOROCCO,9.4.2020.0.14.12,1275.0,93.0,97.0,8727252
MOROCCO,9.4.2020.11.19.24,1275.0,93.0,97.0,8767164
MOROCCO,9.4.2020.12.7.24,1275.0,93.0,97.0,8770044
MOROCCO,9.4.2020.14.57.9,1275.0,93.0,97.0,8780229
MOROCCO,9.4.2020.18.0.2,1346.0,96.0,103.0,8791202
MOROCCO,10.4.2020.1.6.14,1374.0,97.0,109.0,8816774
MOROCCO,10.4.2020.9.4.46,1374.0,97.0,109.0,8845486
MOROCCO,10.4.2020.12.9.17,1374.0,97.0,109.0,8856557
MOROCCO,10.4.2020.14.55.51,1431.0,105.0,114.0,8866551
MOROCCO,10.4.2020.18.41.5,1431.0,105.0,114.0,8880065
MOROCCO,10.4.2020.21.59.17,1431.0,105.0,114.0,8891957
MOROCCO,11.4.2020.0.0.34,1448.0,107.0,122.0,8899234
MOROCCO,11.4.2020.9.1.32,1448.0,107.0,122.0,8931692
MOROCCO,11.4.2020.12.8.24,1448.0,107.0,122.0,8942904
MOROCCO,11.4.2020.17.0.40,1527.0,110.0,141.0,8960440
MOROCCO,11.4.2020.18.12.28,1527.0,110.0,141.0,8964748
MOROCCO,11.4.2020.21.44.19,1527.0,110.0,141.0,8977459
MOROCCO,11.4.2020.23.59.29,1545.0,111.0,146.0,8985569
MOROCCO,12.4.2020.9.0.42,1545.0,111.0,146.0,9018042
MOROCCO,12.4.2020.12.5.42,1545.0,111.0,146.0,9029142
MOROCCO,12.4.2020.15.9.25,1617.0,113.0,153.0,9040165
MOROCCO,12.4.2020.18.22.1,1617.0,113.0,153.0,9051721
MOROCCO,12.4.2020.20.59.25,1617.0,113.0,153.0,9061165
MOROCCO,13.4.2020.0.7.13,1661.0,118.0,177.0,9072433
MOROCCO,13.4.2020.9.26.16,1661.0,118.0,177.0,9105976
MOROCCO,13.4.2020.11.59.14,1661.0,118.0,177.0,9115154
MOROCCO,13.4.2020.15.13.1,1746.0,120.0,196.0,9126781
MOROCCO,13.4.2020.20.23.47,1746.0,120.0,196.0,9145427
MOROCCO,13.4.2020.21.1.27,1746.0,120.0,196.0,9147687
MOROCCO,14.4.2020.0.30.40,1763.0,126.0,203.0,9160240
MOROCCO,14.4.2020.9.9.9,1763.0,126.0,203.0,9191349
MOROCCO,14.4.2020.12.13.23,1763.0,126.0,203.0,9202403
MOROCCO,14.4.2020.15.49.28,1838.0,126.0,210.0,9215368
MOROCCO,14.4.2020.18.27.14,1838.0,126.0,210.0,9224834
MOROCCO,14.4.2020.21.18.50,1838.0,126.0,210.0,9235130
MOROCCO,15.4.2020.0.7.14,1888.0,126.0,217.0,9245234
MOROCCO,15.4.2020.9.0.9,1888.0,126.0,217.0,9277209
MOROCCO,15.4.2020.14.56.18,1988.0,127.0,218.0,9298578
MOROCCO,15.4.2020.19.52.38,1988.0,127.0,218.0,9316358
MOROCCO,15.4.2020.21.18.33,1988.0,127.0,218.0,9321513
MOROCCO,16.4.2020.0.51.15,2024.0,127.0,229.0,9334275
MOROCCO,16.4.2020.9.4.51,2024.0,127.0,229.0,9363891
MOROCCO,16.4.2020.12.5.8,2024.0,127.0,229.0,9374708
MOROCCO,16.4.2020.14.57.8,2024.0,127.0,229.0,9385028
MOROCCO,16.4.2020.17.58.25,2251.0,128.0,247.0,9395905
MOROCCO,16.4.2020.22.41.20,2251.0,128.0,247.0,9412880
MOROCCO,17.4.2020.1.32.36,2283.0,130.0,249.0,9423156
MOROCCO,17.4.2020.9.11.4,2283.0,130.0,249.0,9450664
MOROCCO,17.4.2020.12.2.1,2283.0,130.0,249.0,9460921
MOROCCO,17.4.2020.14.56.35,2528.0,133.0,273.0,9471395
MOROCCO,17.4.2020.18.39.21,2528.0,133.0,273.0,9484761
MOROCCO,17.4.2020.22.45.21,2528.0,133.0,273.0,9499521
MOROCCO,18.4.2020.8.54.14,2564.0,135.0,281.0,9536054
