Nation,Time,Confirmed Case,Death,Recover,timestamp
MYANMAR,3.4.2020.14.30.10,20.0,1.0,0.0,8260210
MYANMAR,3.4.2020.14.30.11,20.0,1.0,0.0,8260211
MYANMAR,3.4.2020.17.30.12,20.0,1.0,0.0,8271012
MYANMAR,3.4.2020.20.30.12,20.0,1.0,0.0,8281812
MYANMAR,3.4.2020.23.30.19,20.0,1.0,0.0,8292619
MYANMAR,4.4.2020.8.30.14,20.0,1.0,0.0,8325014
MYANMAR,4.4.2020.11.30.14,20.0,1.0,0.0,8335814
MYANMAR,4.4.2020.14.30.16,20.0,1.0,0.0,8346616
MYANMAR,4.4.2020.17.30.18,20.0,1.0,0.0,8357418
MYANMAR,4.4.2020.20.30.33,20.0,1.0,0.0,8368233
MYANMAR,4.4.2020.23.30.5,21.0,1.0,0.0,8379005
MYANMAR,5.4.2020.8.30.7,21.0,1.0,0.0,8411407
MYANMAR,5.4.2020.11.30.3,21.0,1.0,0.0,8422203
MYANMAR,5.4.2020.14.30.4,21.0,1.0,0.0,8433004
MYANMAR,5.4.2020.17.40.33,21.0,1.0,0.0,8444433
MYANMAR,5.4.2020.20.33.28,21.0,1.0,0.0,8454808
MYANMAR,5.4.2020.23.30.2,21.0,1.0,0.0,8465402
MYANMAR,6.4.2020.8.37.49,21.0,1.0,0.0,8498269
MYANMAR,6.4.2020.11.30.5,21.0,1.0,0.0,8508605
MYANMAR,6.4.2020.14.44.21,21.0,1.0,0.0,8520261
MYANMAR,6.4.2020.17.30.4,21.0,1.0,0.0,8530204
MYANMAR,6.4.2020.21.0.44,22.0,1.0,0.0,8542844
MYANMAR,7.4.2020.0.0.3,22.0,1.0,0.0,8553603
MYANMAR,7.4.2020.9.0.4,22.0,1.0,0.0,8586004
MYANMAR,7.4.2020.12.15.51,22.0,1.0,0.0,8597751
MYANMAR,7.4.2020.15.59.55,22.0,1.0,0.0,8611195
MYANMAR,7.4.2020.18.3.46,22.0,1.0,0.0,8618626
MYANMAR,7.4.2020.21.32.15,22.0,1.0,0.0,8631135
MYANMAR,8.4.2020.0.0.4,22.0,1.0,0.0,8640004
MYANMAR,8.4.2020.9.0.46,22.0,1.0,0.0,8672446
MYANMAR,8.4.2020.12.21.18,22.0,3.0,0.0,8684478
MYANMAR,8.4.2020.15.4.46,22.0,3.0,0.0,8694286
MYANMAR,8.4.2020.18.11.16,22.0,3.0,0.0,8705476
MYANMAR,8.4.2020.21.33.56,22.0,3.0,0.0,8717636
MYANMAR,9.4.2020.0.14.12,22.0,3.0,0.0,8727252
MYANMAR,9.4.2020.11.19.24,22.0,3.0,0.0,8767164
MYANMAR,9.4.2020.12.7.24,22.0,3.0,0.0,8770044
MYANMAR,9.4.2020.14.57.9,22.0,3.0,1.0,8780229
MYANMAR,9.4.2020.18.0.2,22.0,3.0,1.0,8791202
MYANMAR,10.4.2020.1.6.14,23.0,3.0,1.0,8816774
MYANMAR,10.4.2020.9.4.46,27.0,3.0,2.0,8845486
MYANMAR,10.4.2020.12.9.17,27.0,3.0,2.0,8856557
MYANMAR,10.4.2020.14.55.51,27.0,3.0,2.0,8866551
