Nation,Time,Confirmed Case,Death,Recover,timestamp
N. MACEDONIA,3.4.2020.14.30.10,384.0,11.0,17.0,8260210
N. MACEDONIA,3.4.2020.14.30.11,384.0,11.0,17.0,8260211
N. MACEDONIA,3.4.2020.17.30.12,384.0,11.0,17.0,8271012
N. MACEDONIA,3.4.2020.20.30.12,430.0,11.0,17.0,8281812
N. MACEDONIA,3.4.2020.23.30.19,430.0,11.0,17.0,8292619
N. MACEDONIA,4.4.2020.8.30.14,430.0,12.0,20.0,8325014
N. MACEDONIA,4.4.2020.11.30.14,430.0,12.0,20.0,8335814
N. MACEDONIA,4.4.2020.14.30.16,430.0,12.0,20.0,8346616
N. MACEDONIA,4.4.2020.17.30.18,430.0,12.0,20.0,8357418
N. MACEDONIA,4.4.2020.20.30.33,483.0,17.0,20.0,8368233
N. MACEDONIA,4.4.2020.23.30.5,483.0,17.0,20.0,8379005
N. MACEDONIA,5.4.2020.8.30.7,483.0,17.0,20.0,8411407
N. MACEDONIA,5.4.2020.11.30.3,483.0,17.0,20.0,8422203
N. MACEDONIA,5.4.2020.14.30.4,483.0,17.0,20.0,8433004
N. MACEDONIA,5.4.2020.17.40.33,483.0,17.0,20.0,8444433
N. MACEDONIA,5.4.2020.20.33.28,555.0,18.0,23.0,8454808
N. MACEDONIA,5.4.2020.23.30.2,555.0,18.0,23.0,8465402
N. MACEDONIA,6.4.2020.8.37.49,555.0,18.0,23.0,8498269
N. MACEDONIA,6.4.2020.11.30.5,555.0,18.0,23.0,8508605
N. MACEDONIA,6.4.2020.14.44.21,555.0,18.0,23.0,8520261
N. MACEDONIA,6.4.2020.17.30.4,555.0,18.0,23.0,8530204
N. MACEDONIA,6.4.2020.21.0.44,570.0,21.0,30.0,8542844
N. MACEDONIA,7.4.2020.0.0.3,570.0,21.0,30.0,8553603
N. MACEDONIA,7.4.2020.9.0.4,570.0,23.0,30.0,8586004
N. MACEDONIA,7.4.2020.12.15.51,570.0,23.0,30.0,8597751
N. MACEDONIA,7.4.2020.15.59.55,570.0,23.0,30.0,8611195
N. MACEDONIA,7.4.2020.18.3.46,599.0,26.0,30.0,8618626
N. MACEDONIA,7.4.2020.21.32.15,599.0,26.0,30.0,8631135
N. MACEDONIA,8.4.2020.0.0.4,599.0,26.0,30.0,8640004
N. MACEDONIA,8.4.2020.9.0.46,599.0,26.0,30.0,8672446
N. MACEDONIA,8.4.2020.12.21.18,599.0,26.0,30.0,8684478
N. MACEDONIA,8.4.2020.15.4.46,599.0,26.0,30.0,8694286
N. MACEDONIA,8.4.2020.18.11.16,599.0,26.0,30.0,8705476
N. MACEDONIA,8.4.2020.21.33.56,617.0,30.0,35.0,8717636
N. MACEDONIA,9.4.2020.0.14.12,617.0,30.0,35.0,8727252
N. MACEDONIA,9.4.2020.11.19.24,617.0,30.0,35.0,8767164
N. MACEDONIA,9.4.2020.12.7.24,617.0,30.0,35.0,8770044
N. MACEDONIA,9.4.2020.14.57.9,617.0,30.0,35.0,8780229
N. MACEDONIA,9.4.2020.18.0.2,663.0,30.0,37.0,8791202
N. MACEDONIA,10.4.2020.1.6.14,663.0,30.0,37.0,8816774
N. MACEDONIA,10.4.2020.9.4.46,663.0,30.0,37.0,8845486
N. MACEDONIA,10.4.2020.12.9.17,663.0,30.0,37.0,8856557
N. MACEDONIA,10.4.2020.14.55.51,663.0,30.0,37.0,8866551
N. MACEDONIA,10.4.2020.18.41.5,711.0,32.0,41.0,8880065
N. MACEDONIA,10.4.2020.21.59.17,711.0,32.0,41.0,8891957
N. MACEDONIA,11.4.2020.0.0.34,711.0,32.0,41.0,8899234
N. MACEDONIA,11.4.2020.9.1.32,711.0,32.0,41.0,8931692
N. MACEDONIA,11.4.2020.12.8.24,711.0,32.0,41.0,8942904
N. MACEDONIA,11.4.2020.17.0.40,711.0,32.0,41.0,8960440
N. MACEDONIA,11.4.2020.18.12.28,760.0,34.0,41.0,8964748
N. MACEDONIA,11.4.2020.21.44.19,760.0,34.0,41.0,8977459
N. MACEDONIA,11.4.2020.23.59.29,760.0,34.0,41.0,8985569
N. MACEDONIA,12.4.2020.9.0.42,760.0,34.0,41.0,9018042
N. MACEDONIA,12.4.2020.12.5.42,760.0,34.0,41.0,9029142
N. MACEDONIA,12.4.2020.15.9.25,760.0,34.0,41.0,9040165
N. MACEDONIA,12.4.2020.18.22.1,828.0,34.0,41.0,9051721
N. MACEDONIA,12.4.2020.20.59.25,828.0,34.0,41.0,9061165
N. MACEDONIA,13.4.2020.0.7.13,828.0,34.0,41.0,9072433
N. MACEDONIA,13.4.2020.9.26.16,828.0,34.0,41.0,9105976
N. MACEDONIA,13.4.2020.11.59.14,828.0,34.0,41.0,9115154
N. MACEDONIA,13.4.2020.15.13.1,828.0,34.0,41.0,9126781
