Nation,Time,Confirmed Case,Death,Recover,timestamp
NETHERLANDS,3.4.2020.14.30.10,14697.0,1339.0,250.0,8260210
NETHERLANDS,3.4.2020.14.30.11,14697.0,1339.0,250.0,8260211
NETHERLANDS,3.4.2020.17.30.12,14697.0,1339.0,250.0,8271012
NETHERLANDS,3.4.2020.20.30.12,15723.0,1487.0,250.0,8281812
NETHERLANDS,3.4.2020.23.30.19,15723.0,1487.0,250.0,8292619
NETHERLANDS,4.4.2020.8.30.14,15723.0,1487.0,250.0,8325014
NETHERLANDS,4.4.2020.11.30.14,15723.0,1487.0,250.0,8335814
NETHERLANDS,4.4.2020.14.30.16,15723.0,1487.0,250.0,8346616
NETHERLANDS,4.4.2020.17.30.18,16627.0,1651.0,250.0,8357418
NETHERLANDS,4.4.2020.20.30.33,16627.0,1651.0,250.0,8368233
NETHERLANDS,4.4.2020.23.30.5,16627.0,1651.0,250.0,8379005
NETHERLANDS,5.4.2020.8.30.7,16627.0,1651.0,250.0,8411407
NETHERLANDS,5.4.2020.11.30.3,16627.0,1651.0,250.0,8422203
NETHERLANDS,5.4.2020.14.30.4,16627.0,1651.0,250.0,8433004
NETHERLANDS,5.4.2020.17.40.33,16627.0,1651.0,250.0,8444433
NETHERLANDS,5.4.2020.20.33.28,17851.0,1766.0,250.0,8454808
NETHERLANDS,5.4.2020.23.30.2,17851.0,1766.0,250.0,8465402
NETHERLANDS,6.4.2020.8.37.49,17851.0,1766.0,250.0,8498269
NETHERLANDS,6.4.2020.11.30.5,17851.0,1766.0,250.0,8508605
NETHERLANDS,6.4.2020.14.44.21,17851.0,1766.0,250.0,8520261
NETHERLANDS,6.4.2020.17.30.4,17851.0,1766.0,250.0,8530204
NETHERLANDS,6.4.2020.21.0.44,18803.0,1867.0,250.0,8542844
NETHERLANDS,7.4.2020.0.0.3,18803.0,1867.0,250.0,8553603
NETHERLANDS,7.4.2020.9.0.4,18803.0,1867.0,250.0,8586004
NETHERLANDS,7.4.2020.12.15.51,18803.0,1867.0,250.0,8597751
NETHERLANDS,7.4.2020.15.59.55,18803.0,1867.0,250.0,8611195
NETHERLANDS,7.4.2020.18.3.46,19580.0,2101.0,250.0,8618626
NETHERLANDS,7.4.2020.21.32.15,19580.0,2101.0,250.0,8631135
NETHERLANDS,8.4.2020.0.0.4,19580.0,2101.0,250.0,8640004
NETHERLANDS,8.4.2020.9.0.46,19580.0,2101.0,250.0,8672446
NETHERLANDS,8.4.2020.12.21.18,19580.0,2101.0,250.0,8684478
NETHERLANDS,8.4.2020.15.4.46,19580.0,2101.0,250.0,8694286
NETHERLANDS,8.4.2020.18.11.16,20549.0,2248.0,250.0,8705476
NETHERLANDS,8.4.2020.21.33.56,20549.0,2248.0,250.0,8717636
NETHERLANDS,9.4.2020.0.14.12,20549.0,2248.0,250.0,8727252
NETHERLANDS,9.4.2020.11.19.24,20549.0,2248.0,250.0,8767164
NETHERLANDS,9.4.2020.12.7.24,20549.0,2248.0,250.0,8770044
NETHERLANDS,9.4.2020.14.57.9,20549.0,2248.0,250.0,8780229
NETHERLANDS,9.4.2020.18.0.2,21762.0,2396.0,250.0,8791202
NETHERLANDS,10.4.2020.1.6.14,21762.0,2396.0,250.0,8816774
NETHERLANDS,10.4.2020.9.4.46,21762.0,2396.0,250.0,8845486
