Nation,Time,Confirmed Case,Death,Recover,timestamp
NEW CALEDONIA,2020-04-03 14:30:10,18.0,0.0,1.0,8260210
NEW CALEDONIA,2020-04-03 14:30:11,18.0,0.0,1.0,8260211
NEW CALEDONIA,2020-04-03 17:30:12,18.0,0.0,1.0,8271012
NEW CALEDONIA,2020-04-03 20:30:12,18.0,0.0,1.0,8281812
NEW CALEDONIA,2020-04-03 23:30:19,18.0,0.0,1.0,8292619
NEW CALEDONIA,2020-04-04 08:30:14,18.0,0.0,1.0,8325014
NEW CALEDONIA,2020-04-04 11:30:14,18.0,0.0,1.0,8335814
NEW CALEDONIA,2020-04-04 14:30:16,18.0,0.0,1.0,8346616
NEW CALEDONIA,2020-04-04 17:30:18,18.0,0.0,1.0,8357418
NEW CALEDONIA,2020-04-04 20:30:33,18.0,0.0,1.0,8368233
NEW CALEDONIA,2020-04-04 23:30:05,18.0,0.0,1.0,8379005
NEW CALEDONIA,2020-04-05 08:30:07,18.0,0.0,1.0,8411407
NEW CALEDONIA,2020-04-05 11:30:03,18.0,0.0,1.0,8422203
NEW CALEDONIA,2020-04-05 14:30:04,18.0,0.0,1.0,8433004
NEW CALEDONIA,2020-04-05 17:40:33,18.0,0.0,1.0,8444433
NEW CALEDONIA,2020-04-05 20:33:28,18.0,0.0,1.0,8454808
NEW CALEDONIA,2020-04-05 23:30:02,18.0,0.0,1.0,8465402
NEW CALEDONIA,2020-04-06 08:37:49,18.0,0.0,1.0,8498269
NEW CALEDONIA,2020-04-06 11:30:05,18.0,0.0,1.0,8508605
NEW CALEDONIA,2020-04-06 14:44:21,18.0,0.0,1.0,8520261
NEW CALEDONIA,2020-04-06 17:30:04,18.0,0.0,1.0,8530204
NEW CALEDONIA,2020-04-06 21:00:44,18.0,0.0,1.0,8542844
NEW CALEDONIA,2020-04-07 00:00:03,18.0,0.0,1.0,8553603
NEW CALEDONIA,2020-04-07 09:00:04,18.0,0.0,1.0,8586004
NEW CALEDONIA,2020-04-07 12:15:51,18.0,0.0,1.0,8597751
NEW CALEDONIA,2020-04-07 15:59:55,18.0,0.0,1.0,8611195
NEW CALEDONIA,2020-04-07 18:03:46,18.0,0.0,1.0,8618626
NEW CALEDONIA,2020-04-07 21:32:15,18.0,0.0,1.0,8631135
NEW CALEDONIA,2020-04-08 00:00:04,18.0,0.0,1.0,8640004
NEW CALEDONIA,2020-04-08 09:00:46,18.0,0.0,1.0,8672446
NEW CALEDONIA,2020-04-08 12:21:18,18.0,0.0,1.0,8684478
NEW CALEDONIA,2020-04-08 15:04:46,18.0,0.0,1.0,8694286
NEW CALEDONIA,2020-04-08 18:11:16,18.0,0.0,1.0,8705476
NEW CALEDONIA,2020-04-08 21:33:56,18.0,0.0,1.0,8717636
NEW CALEDONIA,2020-04-09 00:14:12,18.0,0.0,1.0,8727252
NEW CALEDONIA,2020-04-09 11:19:24,18.0,0.0,1.0,8767164
NEW CALEDONIA,2020-04-09 12:07:24,18.0,0.0,1.0,8770044
NEW CALEDONIA,2020-04-09 14:57:09,18.0,0.0,1.0,8780229
NEW CALEDONIA,2020-04-09 18:00:02,18.0,0.0,1.0,8791202
