Nation,Time,Confirmed Case,Death,Recover,timestamp
NICARAGUA,3.4.2020.14.30.10,5.0,1.0,0.0,8260210
NICARAGUA,3.4.2020.14.30.11,5.0,1.0,0.0,8260211
NICARAGUA,3.4.2020.17.30.12,5.0,1.0,0.0,8271012
NICARAGUA,3.4.2020.20.30.12,5.0,1.0,0.0,8281812
NICARAGUA,3.4.2020.23.30.19,5.0,1.0,0.0,8292619
NICARAGUA,4.4.2020.8.30.14,5.0,1.0,0.0,8325014
NICARAGUA,4.4.2020.11.30.14,5.0,1.0,0.0,8335814
NICARAGUA,4.4.2020.14.30.16,5.0,1.0,0.0,8346616
NICARAGUA,4.4.2020.17.30.18,5.0,1.0,0.0,8357418
NICARAGUA,4.4.2020.20.30.33,5.0,1.0,0.0,8368233
NICARAGUA,4.4.2020.23.30.5,5.0,1.0,0.0,8379005
NICARAGUA,5.4.2020.8.30.7,5.0,1.0,0.0,8411407
NICARAGUA,5.4.2020.11.30.3,5.0,1.0,0.0,8422203
NICARAGUA,5.4.2020.14.30.4,5.0,1.0,0.0,8433004
NICARAGUA,5.4.2020.17.40.33,5.0,1.0,0.0,8444433
NICARAGUA,5.4.2020.20.33.28,5.0,1.0,0.0,8454808
NICARAGUA,5.4.2020.23.30.2,6.0,1.0,0.0,8465402
NICARAGUA,6.4.2020.8.37.49,6.0,1.0,0.0,8498269
NICARAGUA,6.4.2020.11.30.5,6.0,1.0,0.0,8508605
NICARAGUA,6.4.2020.14.44.21,6.0,1.0,0.0,8520261
NICARAGUA,6.4.2020.17.30.4,6.0,1.0,0.0,8530204
NICARAGUA,6.4.2020.21.0.44,6.0,1.0,0.0,8542844
NICARAGUA,7.4.2020.0.0.3,6.0,1.0,0.0,8553603
NICARAGUA,7.4.2020.9.0.4,6.0,1.0,0.0,8586004
NICARAGUA,7.4.2020.12.15.51,6.0,1.0,0.0,8597751
NICARAGUA,7.4.2020.15.59.55,6.0,1.0,0.0,8611195
NICARAGUA,7.4.2020.18.3.46,6.0,1.0,0.0,8618626
NICARAGUA,7.4.2020.21.32.15,6.0,1.0,0.0,8631135
NICARAGUA,8.4.2020.0.0.4,6.0,1.0,0.0,8640004
NICARAGUA,8.4.2020.9.0.46,6.0,1.0,0.0,8672446
