Nation,Time,Confirmed Case,Death,Recover,timestamp
NIGERIA,3.4.2020.14.30.10,184.0,2.0,20.0,8260210
NIGERIA,3.4.2020.14.30.11,184.0,2.0,20.0,8260211
NIGERIA,3.4.2020.17.30.12,190.0,2.0,20.0,8271012
NIGERIA,3.4.2020.20.30.12,190.0,2.0,20.0,8281812
NIGERIA,3.4.2020.23.30.19,190.0,2.0,20.0,8292619
NIGERIA,4.4.2020.8.30.14,210.0,4.0,25.0,8325014
NIGERIA,4.4.2020.11.30.14,210.0,4.0,25.0,8335814
NIGERIA,4.4.2020.14.30.16,210.0,4.0,25.0,8346616
NIGERIA,4.4.2020.17.30.18,210.0,4.0,25.0,8357418
NIGERIA,4.4.2020.20.30.33,210.0,4.0,25.0,8368233
NIGERIA,4.4.2020.23.30.5,210.0,4.0,25.0,8379005
NIGERIA,5.4.2020.8.30.7,214.0,4.0,25.0,8411407
NIGERIA,5.4.2020.11.30.3,214.0,4.0,25.0,8422203
NIGERIA,5.4.2020.14.30.4,214.0,4.0,25.0,8433004
NIGERIA,5.4.2020.17.40.33,224.0,5.0,27.0,8444433
NIGERIA,5.4.2020.20.33.28,224.0,5.0,27.0,8454808
NIGERIA,5.4.2020.23.30.2,224.0,5.0,27.0,8465402
NIGERIA,6.4.2020.8.37.49,232.0,5.0,33.0,8498269
NIGERIA,6.4.2020.11.30.5,232.0,5.0,33.0,8508605
NIGERIA,6.4.2020.14.44.21,232.0,5.0,33.0,8520261
NIGERIA,6.4.2020.17.30.4,232.0,5.0,33.0,8530204
NIGERIA,6.4.2020.21.0.44,232.0,5.0,33.0,8542844
NIGERIA,7.4.2020.0.0.3,232.0,5.0,33.0,8553603
NIGERIA,7.4.2020.9.0.4,238.0,5.0,35.0,8586004
NIGERIA,7.4.2020.12.15.51,238.0,5.0,35.0,8597751
NIGERIA,7.4.2020.15.59.55,238.0,5.0,35.0,8611195
NIGERIA,7.4.2020.18.3.46,238.0,5.0,35.0,8618626
NIGERIA,7.4.2020.21.32.15,238.0,5.0,35.0,8631135
NIGERIA,8.4.2020.0.0.4,238.0,5.0,35.0,8640004
NIGERIA,8.4.2020.9.0.46,254.0,6.0,44.0,8672446
NIGERIA,8.4.2020.12.21.18,254.0,6.0,44.0,8684478
NIGERIA,8.4.2020.15.4.46,254.0,6.0,44.0,8694286
NIGERIA,8.4.2020.18.11.16,254.0,7.0,44.0,8705476
NIGERIA,8.4.2020.21.33.56,254.0,7.0,44.0,8717636
NIGERIA,9.4.2020.0.14.12,254.0,7.0,44.0,8727252
NIGERIA,9.4.2020.11.19.24,276.0,7.0,44.0,8767164
NIGERIA,9.4.2020.12.7.24,276.0,7.0,44.0,8770044
NIGERIA,9.4.2020.14.57.9,276.0,7.0,44.0,8780229
NIGERIA,9.4.2020.18.0.2,276.0,7.0,44.0,8791202
NIGERIA,10.4.2020.1.6.14,276.0,7.0,44.0,8816774
NIGERIA,10.4.2020.9.4.46,288.0,7.0,51.0,8845486
NIGERIA,10.4.2020.12.9.17,288.0,7.0,51.0,8856557
NIGERIA,10.4.2020.14.55.51,288.0,7.0,51.0,8866551
NIGERIA,10.4.2020.18.41.5,288.0,7.0,51.0,8880065
NIGERIA,10.4.2020.21.59.17,288.0,7.0,51.0,8891957
NIGERIA,11.4.2020.0.0.34,288.0,7.0,51.0,8899234
NIGERIA,11.4.2020.9.1.32,305.0,7.0,58.0,8931692
NIGERIA,11.4.2020.12.8.24,305.0,7.0,58.0,8942904
NIGERIA,11.4.2020.17.0.40,305.0,7.0,58.0,8960440
NIGERIA,11.4.2020.18.12.28,305.0,7.0,58.0,8964748
NIGERIA,11.4.2020.21.44.19,305.0,7.0,58.0,8977459
NIGERIA,11.4.2020.23.59.29,305.0,7.0,58.0,8985569
NIGERIA,12.4.2020.9.0.42,318.0,10.0,70.0,9018042
NIGERIA,12.4.2020.12.5.42,318.0,10.0,70.0,9029142
NIGERIA,12.4.2020.15.9.25,318.0,10.0,70.0,9040165
NIGERIA,12.4.2020.18.22.1,318.0,10.0,70.0,9051721
NIGERIA,12.4.2020.20.59.25,318.0,10.0,70.0,9061165
NIGERIA,13.4.2020.0.7.13,318.0,10.0,70.0,9072433
NIGERIA,13.4.2020.9.26.16,323.0,10.0,85.0,9105976
NIGERIA,13.4.2020.11.59.14,323.0,10.0,85.0,9115154
NIGERIA,13.4.2020.15.13.1,323.0,10.0,85.0,9126781
NIGERIA,13.4.2020.20.23.47,323.0,10.0,85.0,9145427
NIGERIA,13.4.2020.21.1.27,323.0,10.0,85.0,9147687
NIGERIA,14.4.2020.0.30.40,323.0,10.0,85.0,9160240
NIGERIA,14.4.2020.9.9.9,343.0,10.0,91.0,9191349
NIGERIA,14.4.2020.12.13.23,343.0,10.0,91.0,9202403
NIGERIA,14.4.2020.15.49.28,343.0,10.0,91.0,9215368
NIGERIA,14.4.2020.18.27.14,343.0,10.0,91.0,9224834
NIGERIA,14.4.2020.21.18.50,343.0,10.0,91.0,9235130
NIGERIA,15.4.2020.0.7.14,343.0,10.0,91.0,9245234
NIGERIA,15.4.2020.9.0.9,373.0,11.0,99.0,9277209
NIGERIA,15.4.2020.14.56.18,373.0,11.0,99.0,9298578
NIGERIA,15.4.2020.19.52.38,373.0,11.0,99.0,9316358
NIGERIA,15.4.2020.21.18.33,373.0,11.0,99.0,9321513
NIGERIA,16.4.2020.0.51.15,373.0,11.0,99.0,9334275
NIGERIA,16.4.2020.9.4.51,407.0,12.0,128.0,9363891
NIGERIA,16.4.2020.12.5.8,407.0,12.0,128.0,9374708
NIGERIA,16.4.2020.14.57.8,407.0,12.0,128.0,9385028
NIGERIA,16.4.2020.17.58.25,407.0,12.0,128.0,9395905
NIGERIA,16.4.2020.22.41.20,407.0,12.0,128.0,9412880
NIGERIA,17.4.2020.1.32.36,407.0,12.0,128.0,9423156
NIGERIA,17.4.2020.9.11.4,442.0,13.0,152.0,9450664
NIGERIA,17.4.2020.12.2.1,442.0,13.0,152.0,9460921
NIGERIA,17.4.2020.14.56.35,442.0,13.0,152.0,9471395
NIGERIA,17.4.2020.18.39.21,442.0,13.0,152.0,9484761
NIGERIA,17.4.2020.22.45.21,442.0,13.0,152.0,9499521
NIGERIA,18.4.2020.8.54.14,493.0,17.0,159.0,9536054
NIGERIA,18.4.2020.13.55.54,493.0,17.0,159.0,9554154
NIGERIA,18.4.2020.15.41.6,493.0,17.0,159.0,9560466
NIGERIA,18.4.2020.18.3.48,493.0,17.0,159.0,9569028
NIGERIA,19.4.2020.0.17.39,493.0,17.0,159.0,9591459
NIGERIA,19.4.2020.9.10.8,542.0,19.0,166.0,9623408
NIGERIA,19.4.2020.15.11.32,542.0,19.0,166.0,9645092
NIGERIA,19.4.2020.18.7.21,542.0,19.0,166.0,9655641
NIGERIA,19.4.2020.21.1.51,542.0,19.0,166.0,9666111
NIGERIA,20.4.2020.0.0.38,542.0,19.0,166.0,9676838
NIGERIA,20.4.2020.12.46.45,627.0,21.0,170.0,9722805
NIGERIA,20.4.2020.15.15.13,627.0,21.0,170.0,9731713
NIGERIA,20.4.2020.18.0.55,627.0,21.0,170.0,9741655
NIGERIA,20.4.2020.20.51.26,627.0,21.0,170.0,9751886
NIGERIA,20.4.2020.23.57.35,627.0,21.0,170.0,9763055
NIGERIA,21.4.2020.12.5.6,665.0,22.0,188.0,9806706
NIGERIA,21.4.2020.18.5.54,665.0,22.0,188.0,9828354
NIGERIA,21.4.2020.20.56.52,665.0,22.0,188.0,9838612
NIGERIA,22.4.2020.10.13.50,782.0,25.0,197.0,9886430
NIGERIA,22.4.2020.12.1.15,782.0,25.0,197.0,9892875
NIGERIA,22.4.2020.15.4.35,782.0,25.0,197.0,9903875
NIGERIA,23.4.2020.0.41.34,782.0,25.0,197.0,9938494
NIGERIA,23.4.2020.11.0.28,873.0,28.0,197.0,9975628
NIGERIA,23.4.2020.18.9.30,873.0,28.0,197.0,10001370
NIGERIA,23.4.2020.21.15.10,873.0,28.0,197.0,10012510
NIGERIA,24.4.2020.12.38.27,981.0,31.0,197.0,10067907
NIGERIA,24.4.2020.15.7.1,981.0,31.0,197.0,10076821
NIGERIA,24.4.2020.18.5.8,981.0,31.0,197.0,10087508
NIGERIA,25.4.2020.1.24.20,981.0,31.0,197.0,10113860
NIGERIA,25.4.2020.10.29.29,1095.0,32.0,208.0,10146569
NIGERIA,25.4.2020.13.6.30,1095.0,32.0,208.0,10155990
NIGERIA,25.4.2020.15.13.19,1095.0,32.0,208.0,10163599
NIGERIA,25.4.2020.18.5.53,1095.0,32.0,208.0,10173953
NIGERIA,26.4.2020.0.2.26,1095.0,32.0,208.0,10195346
NIGERIA,26.4.2020.10.30.36,1182.0,35.0,222.0,10233036
NIGERIA,26.4.2020.14.0.20,1182.0,35.0,222.0,10245620
NIGERIA,26.4.2020.15.0.26,1095.0,32.0,208.0,10249226
NIGERIA,26.4.2020.18.4.29,1182.0,35.0,222.0,10260269
NIGERIA,26.4.2020.20.55.24,1182.0,35.0,222.0,10270524
NIGERIA,27.4.2020.1.26.23,1182.0,35.0,222.0,10286783
NIGERIA,27.4.2020.12.2.22,1273.0,40.0,239.0,10324942
NIGERIA,27.4.2020.18.28.29,1273.0,40.0,239.0,10348109
NIGERIA,27.4.2020.23.10.6,1273.0,40.0,239.0,10365006
NIGERIA,28.4.2020.0.52.18,1273.0,40.0,239.0,10371138
NIGERIA,28.4.2020.12.28.54,1337.0,40.0,255.0,10412934
NIGERIA,29.4.2020.0.5.46,1337.0,40.0,255.0,10454746
NIGERIA,29.4.2020.11.12.43,1532.0,44.0,255.0,10494763
NIGERIA,29.4.2020.13.2.52,1532.0,44.0,255.0,10501372
NIGERIA,29.4.2020.15.8.24,1532.0,44.0,255.0,10508904
NIGERIA,29.4.2020.18.9.12,1532.0,44.0,255.0,10519752
NIGERIA,29.4.2020.21.32.47,1532.0,44.0,255.0,10531967
NIGERIA,30.4.2020.0.17.29,1532.0,44.0,255.0,10541849
NIGERIA,30.4.2020.9.21.28,1728.0,51.0,307.0,10574488
NIGERIA,30.4.2020.12.29.51,1728.0,51.0,307.0,10585791
NIGERIA,30.4.2020.15.13.47,1728.0,51.0,307.0,10595627
NIGERIA,1.5.2020.0.5.16,1728.0,51.0,307.0,10713916
NIGERIA,1.5.2020.10.41.27,1932.0,58.0,319.0,10752087
NIGERIA,1.5.2020.11.53.59,1932.0,58.0,319.0,10756439
NIGERIA,1.5.2020.15.33.11,1932.0,58.0,319.0,10769591
NIGERIA,1.5.2020.17.55.59,1932.0,58.0,319.0,10778159
NIGERIA,1.5.2020.21.26.40,1932.0,58.0,319.0,10790800
NIGERIA,2.5.2020.0.11.13,1932.0,58.0,319.0,10800673
NIGERIA,2.5.2020.9.45.39,2170.0,68.0,351.0,10835139
NIGERIA,2.5.2020.12.46.52,2170.0,68.0,351.0,10846012
NIGERIA,2.5.2020.15.0.2,2170.0,68.0,351.0,10854002
NIGERIA,2.5.2020.18.0.30,2170.0,68.0,351.0,10864830
NIGERIA,3.5.2020.0.4.29,2170.0,68.0,351.0,10886669
NIGERIA,3.5.2020.11.56.15,2388.0,85.0,385.0,10929375
NIGERIA,3.5.2020.15.5.11,2388.0,85.0,385.0,10940711
NIGERIA,3.5.2020.17.57.14,2388.0,85.0,385.0,10951034
NIGERIA,3.5.2020.21.9.20,2388.0,85.0,385.0,10962560
NIGERIA,3.5.2020.23.58.14,2388.0,85.0,385.0,10972694
NIGERIA,4.5.2020.15.8.30,2558.0,87.0,400.0,11027310
NIGERIA,4.5.2020.18.37.54,2558.0,87.0,400.0,11039874
NIGERIA,4.5.2020.23.58.7,2558.0,87.0,400.0,11059087
NIGERIA,5.5.2020.1.13.37,2558.0,87.0,400.0,11063617
NIGERIA,5.5.2020.13.8.43,2802.0,93.0,417.0,11106523
NIGERIA,5.5.2020.15.1.21,2802.0,93.0,417.0,11113281
NIGERIA,5.5.2020.21.5.55,2802.0,93.0,417.0,11135155
NIGERIA,6.5.2020.0.0.44,2802.0,93.0,417.0,11145644
NIGERIA,6.5.2020.12.1.14,2950.0,98.0,481.0,11188874
