Nation,Time,Confirmed Case,Death,Recover,timestamp
NORWAY,2020-04-03 14:30:10,5255.0,51.0,32.0,8260210
NORWAY,2020-04-03 14:30:11,5255.0,50.0,32.0,8260211
NORWAY,2020-04-03 17:30:12,5296.0,54.0,32.0,8271012
NORWAY,2020-04-03 20:30:12,5296.0,56.0,32.0,8281812
NORWAY,2020-04-03 23:30:19,5366.0,57.0,32.0,8292619
NORWAY,2020-04-04 08:30:14,5519.0,59.0,32.0,8325014
NORWAY,2020-04-04 11:30:14,5519.0,59.0,32.0,8335814
NORWAY,2020-04-04 14:30:16,5519.0,60.0,32.0,8346616
NORWAY,2020-04-04 17:30:18,5519.0,61.0,32.0,8357418
NORWAY,2020-04-04 20:30:33,5549.0,62.0,32.0,8368233
NORWAY,2020-04-04 23:30:05,5551.0,62.0,32.0,8379005
NORWAY,2020-04-05 08:30:07,5645.0,62.0,32.0,8411407
NORWAY,2020-04-05 11:30:03,5644.0,62.0,32.0,8422203
NORWAY,2020-04-05 14:30:04,5645.0,63.0,32.0,8433004
NORWAY,2020-04-05 17:40:33,5648.0,66.0,32.0,8444433
NORWAY,2020-04-05 20:33:28,5686.0,69.0,32.0,8454808
NORWAY,2020-04-05 23:30:02,5687.0,71.0,32.0,8465402
NORWAY,2020-04-06 08:37:49,5759.0,71.0,32.0,8498269
NORWAY,2020-04-06 11:30:05,5759.0,71.0,32.0,8508605
NORWAY,2020-04-06 14:44:21,5760.0,73.0,32.0,8520261
NORWAY,2020-04-06 17:30:04,5760.0,73.0,32.0,8530204
NORWAY,2020-04-06 21:00:44,5760.0,76.0,32.0,8542844
NORWAY,2020-04-07 00:00:03,5763.0,76.0,32.0,8553603
NORWAY,2020-04-07 09:00:04,5865.0,77.0,32.0,8586004
NORWAY,2020-04-07 12:15:51,5866.0,77.0,32.0,8597751
NORWAY,2020-04-07 15:59:55,5866.0,82.0,32.0,8611195
NORWAY,2020-04-07 18:03:46,5866.0,83.0,32.0,8618626
NORWAY,2020-04-07 21:32:15,5869.0,88.0,32.0,8631135
NORWAY,2020-04-08 00:00:04,5903.0,89.0,32.0,8640004
NORWAY,2020-04-08 09:00:46,6086.0,89.0,32.0,8672446
NORWAY,2020-04-08 12:21:18,6086.0,89.0,32.0,8684478
NORWAY,2020-04-08 15:04:46,6086.0,92.0,32.0,8694286
NORWAY,2020-04-08 18:11:16,6086.0,93.0,32.0,8705476
NORWAY,2020-04-08 21:33:56,6086.0,101.0,32.0,8717636
NORWAY,2020-04-09 00:14:12,6086.0,101.0,32.0,8727252
NORWAY,2020-04-09 11:19:24,6044.0,101.0,32.0,8767164
NORWAY,2020-04-09 12:07:24,6044.0,101.0,32.0,8770044
NORWAY,2020-04-09 14:57:09,6044.0,102.0,32.0,8780229
NORWAY,2020-04-09 18:00:02,6085.0,105.0,32.0,8791202
NORWAY,2020-04-10 01:06:14,6161.0,108.0,32.0,8816774
NORWAY,2020-04-10 09:04:46,6219.0,108.0,32.0,8845486
NORWAY,2020-04-10 12:09:17,6219.0,108.0,32.0,8856557
NORWAY,2020-04-10 14:55:51,6224.0,108.0,32.0,8866551
NORWAY,2020-04-10 18:41:05,6233.0,111.0,32.0,8880065
NORWAY,2020-04-10 21:59:17,6274.0,112.0,32.0,8891957
