Nation,Time,Confirmed Case,Death,Recover,timestamp
OMAN,2020-04-03 14:30:10,252.0,1.0,57.0,8260210
OMAN,2020-04-03 14:30:11,252.0,1.0,57.0,8260211
OMAN,2020-04-03 17:30:12,252.0,1.0,57.0,8271012
OMAN,2020-04-03 20:30:12,252.0,1.0,57.0,8281812
OMAN,2020-04-03 23:30:19,252.0,1.0,57.0,8292619
OMAN,2020-04-04 08:30:14,252.0,1.0,57.0,8325014
OMAN,2020-04-04 11:30:14,252.0,1.0,57.0,8335814
OMAN,2020-04-04 14:30:16,277.0,1.0,61.0,8346616
OMAN,2020-04-04 17:30:18,299.0,1.0,61.0,8357418
OMAN,2020-04-04 20:30:33,299.0,1.0,61.0,8368233
OMAN,2020-04-04 23:30:05,299.0,2.0,61.0,8379005
OMAN,2020-04-05 08:30:07,299.0,2.0,61.0,8411407
OMAN,2020-04-05 11:30:03,299.0,2.0,61.0,8422203
OMAN,2020-04-05 14:30:04,299.0,2.0,61.0,8433004
OMAN,2020-04-05 17:40:33,299.0,2.0,61.0,8444433
OMAN,2020-04-05 20:33:28,299.0,2.0,61.0,8454808
OMAN,2020-04-05 23:30:02,299.0,2.0,61.0,8465402
OMAN,2020-04-06 08:37:49,299.0,2.0,61.0,8498269
OMAN,2020-04-06 11:30:05,299.0,2.0,61.0,8508605
OMAN,2020-04-06 14:44:21,331.0,2.0,61.0,8520261
OMAN,2020-04-06 17:30:04,331.0,2.0,61.0,8530204
OMAN,2020-04-06 21:00:44,331.0,2.0,61.0,8542844
OMAN,2020-04-07 00:00:03,331.0,2.0,61.0,8553603
OMAN,2020-04-07 09:00:04,331.0,2.0,61.0,8586004
OMAN,2020-04-07 12:15:51,371.0,2.0,67.0,8597751
OMAN,2020-04-07 15:59:55,371.0,2.0,67.0,8611195
OMAN,2020-04-07 18:03:46,371.0,2.0,67.0,8618626
OMAN,2020-04-07 21:32:15,371.0,2.0,67.0,8631135
OMAN,2020-04-08 00:00:04,371.0,2.0,67.0,8640004
OMAN,2020-04-08 09:00:46,371.0,2.0,67.0,8672446
OMAN,2020-04-08 12:21:18,419.0,2.0,72.0,8684478
OMAN,2020-04-08 15:04:46,419.0,2.0,72.0,8694286
OMAN,2020-04-08 18:11:16,419.0,2.0,72.0,8705476
OMAN,2020-04-08 21:33:56,419.0,2.0,72.0,8717636
OMAN,2020-04-09 00:14:12,419.0,2.0,72.0,8727252
OMAN,2020-04-09 11:19:24,419.0,2.0,72.0,8767164
OMAN,2020-04-09 12:07:24,419.0,2.0,72.0,8770044
OMAN,2020-04-09 14:57:09,457.0,2.0,109.0,8780229
OMAN,2020-04-09 18:00:02,457.0,2.0,109.0,8791202
OMAN,2020-04-10 01:06:14,457.0,3.0,109.0,8816774
OMAN,2020-04-10 09:04:46,457.0,3.0,109.0,8845486
OMAN,2020-04-10 12:09:17,484.0,3.0,109.0,8856557
OMAN,2020-04-10 14:55:51,484.0,3.0,109.0,8866551
OMAN,2020-04-10 18:41:05,484.0,3.0,109.0,8880065
OMAN,2020-04-10 21:59:17,484.0,3.0,109.0,8891957
OMAN,2020-04-11 00:00:34,484.0,3.0,109.0,8899234
OMAN,2020-04-11 09:01:32,484.0,3.0,109.0,8931692
OMAN,2020-04-11 12:08:24,484.0,3.0,109.0,8942904
OMAN,2020-04-11 17:00:40,546.0,3.0,109.0,8960440
OMAN,2020-04-11 18:12:28,546.0,3.0,109.0,8964748
OMAN,2020-04-11 21:44:19,546.0,3.0,109.0,8977459
OMAN,2020-04-11 23:59:29,546.0,3.0,109.0,8985569
OMAN,2020-04-12 09:00:42,546.0,3.0,109.0,9018042
OMAN,2020-04-12 12:05:42,546.0,3.0,109.0,9029142
OMAN,2020-04-12 15:09:25,599.0,3.0,109.0,9040165
OMAN,2020-04-12 18:22:01,599.0,3.0,109.0,9051721
OMAN,2020-04-12 20:59:25,599.0,4.0,109.0,9061165
OMAN,2020-04-13 00:07:13,599.0,4.0,109.0,9072433
OMAN,2020-04-13 09:26:16,599.0,4.0,109.0,9105976
OMAN,2020-04-13 11:59:14,599.0,4.0,109.0,9115154
OMAN,2020-04-13 15:13:01,727.0,4.0,109.0,9126781
OMAN,2020-04-13 20:23:47,727.0,4.0,124.0,9145427
OMAN,2020-04-13 21:01:27,727.0,4.0,124.0,9147687
OMAN,2020-04-14 00:30:40,727.0,4.0,124.0,9160240
OMAN,2020-04-14 09:09:09,727.0,4.0,124.0,9191349
OMAN,2020-04-14 12:13:23,727.0,4.0,124.0,9202403
OMAN,2020-04-14 15:49:28,813.0,4.0,130.0,9215368
OMAN,2020-04-14 18:27:14,813.0,4.0,130.0,9224834
OMAN,2020-04-14 21:18:50,813.0,4.0,130.0,9235130
OMAN,2020-04-15 00:07:14,813.0,4.0,130.0,9245234
OMAN,2020-04-15 09:00:09,813.0,4.0,130.0,9277209
OMAN,2020-04-15 14:56:18,910.0,4.0,131.0,9298578
OMAN,2020-04-15 19:52:38,910.0,4.0,131.0,9316358
OMAN,2020-04-15 21:18:33,910.0,4.0,131.0,9321513
OMAN,2020-04-16 00:51:15,910.0,4.0,131.0,9334275
OMAN,2020-04-16 09:04:51,910.0,4.0,131.0,9363891
OMAN,2020-04-16 12:05:08,910.0,4.0,131.0,9374708
OMAN,2020-04-16 14:57:08,1019.0,4.0,176.0,9385028
OMAN,2020-04-16 17:58:25,1019.0,4.0,176.0,9395905
OMAN,2020-04-16 22:41:20,1019.0,4.0,176.0,9412880
OMAN,2020-04-17 01:32:36,1019.0,4.0,176.0,9423156
OMAN,2020-04-17 09:11:04,1019.0,4.0,176.0,9450664
OMAN,2020-04-17 12:02:01,1019.0,5.0,176.0,9460921
OMAN,2020-04-17 14:56:35,1069.0,5.0,176.0,9471395
OMAN,2020-04-17 18:39:21,1069.0,5.0,176.0,9484761
OMAN,2020-04-17 22:45:21,1069.0,6.0,176.0,9499521
OMAN,2020-04-18 08:54:14,1069.0,6.0,176.0,9536054
OMAN,2020-04-18 13:55:54,1180.0,6.0,176.0,9554154
OMAN,2020-04-18 15:41:06,1180.0,6.0,176.0,9560466
OMAN,2020-04-18 18:03:48,1180.0,6.0,176.0,9569028
OMAN,2020-04-19 00:17:39,1180.0,6.0,176.0,9591459
OMAN,2020-04-19 09:10:08,1180.0,6.0,176.0,9623408
OMAN,2020-04-19 15:11:32,1266.0,6.0,233.0,9645092
OMAN,2020-04-19 18:07:21,1266.0,6.0,233.0,9655641
OMAN,2020-04-19 21:01:51,1266.0,7.0,233.0,9666111
OMAN,2020-04-20 00:00:38,1266.0,7.0,233.0,9676838
OMAN,2020-04-20 12:46:45,1410.0,7.0,238.0,9722805
OMAN,2020-04-20 15:15:13,1410.0,7.0,238.0,9731713
OMAN,2020-04-20 18:00:55,1410.0,7.0,238.0,9741655
OMAN,2020-04-20 20:51:26,1410.0,7.0,238.0,9751886
OMAN,2020-04-20 23:57:35,1410.0,7.0,238.0,9763055
OMAN,2020-04-21 12:05:06,1410.0,8.0,238.0,9806706
OMAN,2020-04-21 18:05:54,1508.0,8.0,238.0,9828354
OMAN,2020-04-21 20:56:52,1508.0,8.0,238.0,9838612
OMAN,2020-04-22 10:13:50,1508.0,8.0,238.0,9886430
OMAN,2020-04-22 12:01:15,1508.0,8.0,238.0,9892875
OMAN,2020-04-22 15:04:35,1614.0,8.0,238.0,9903875
OMAN,2020-04-23 00:41:34,1614.0,8.0,238.0,9938494
OMAN,2020-04-23 11:00:28,1614.0,8.0,238.0,9975628
OMAN,2020-04-23 18:09:30,1716.0,8.0,307.0,10001370
OMAN,2020-04-23 21:15:10,1716.0,8.0,307.0,10012510
OMAN,2020-04-24 12:38:27,1716.0,9.0,307.0,10067907
