Nation,Time,Confirmed Case,Death,Recover,timestamp
PAKISTAN,2020-04-03 14:30:10,2450.0,35.0,126.0,8260210
PAKISTAN,2020-04-03 14:30:11,2450.0,35.0,126.0,8260211
PAKISTAN,2020-04-03 17:30:12,2458.0,35.0,126.0,8271012
PAKISTAN,2020-04-03 20:30:12,2458.0,35.0,126.0,8281812
PAKISTAN,2020-04-03 23:30:19,2637.0,40.0,126.0,8292619
PAKISTAN,2020-04-04 08:30:14,2686.0,40.0,126.0,8325014
PAKISTAN,2020-04-04 11:30:14,2708.0,40.0,130.0,8335814
PAKISTAN,2020-04-04 14:30:16,2708.0,40.0,130.0,8346616
PAKISTAN,2020-04-04 17:30:18,2708.0,41.0,130.0,8357418
PAKISTAN,2020-04-04 20:30:33,2710.0,41.0,130.0,8368233
PAKISTAN,2020-04-04 23:30:05,2818.0,41.0,131.0,8379005
PAKISTAN,2020-04-05 08:30:07,2818.0,41.0,131.0,8411407
PAKISTAN,2020-04-05 11:30:03,2880.0,45.0,170.0,8422203
PAKISTAN,2020-04-05 14:30:04,2880.0,45.0,170.0,8433004
PAKISTAN,2020-04-05 17:40:33,2897.0,45.0,170.0,8444433
PAKISTAN,2020-04-05 20:33:28,3123.0,45.0,208.0,8454808
PAKISTAN,2020-04-05 23:30:02,3123.0,45.0,208.0,8465402
PAKISTAN,2020-04-06 08:37:49,3157.0,47.0,211.0,8498269
PAKISTAN,2020-04-06 11:30:05,3277.0,50.0,257.0,8508605
PAKISTAN,2020-04-06 14:44:21,3278.0,50.0,257.0,8520261
PAKISTAN,2020-04-06 17:30:04,3278.0,50.0,257.0,8530204
PAKISTAN,2020-04-06 21:00:44,3658.0,52.0,257.0,8542844
PAKISTAN,2020-04-07 00:00:03,3766.0,52.0,259.0,8553603
PAKISTAN,2020-04-07 09:00:04,3766.0,53.0,259.0,8586004
PAKISTAN,2020-04-07 12:15:51,3864.0,54.0,429.0,8597751
PAKISTAN,2020-04-07 15:59:55,4004.0,55.0,445.0,8611195
PAKISTAN,2020-04-07 18:03:46,4004.0,55.0,445.0,8618626
PAKISTAN,2020-04-07 21:32:15,4006.0,55.0,445.0,8631135
PAKISTAN,2020-04-08 00:00:04,4009.0,56.0,473.0,8640004
PAKISTAN,2020-04-08 09:00:46,4035.0,57.0,473.0,8672446
PAKISTAN,2020-04-08 12:21:18,4072.0,58.0,485.0,8684478
PAKISTAN,2020-04-08 15:04:46,4204.0,60.0,507.0,8694286
PAKISTAN,2020-04-08 18:11:16,4204.0,61.0,507.0,8705476
PAKISTAN,2020-04-08 21:33:56,4206.0,61.0,517.0,8717636
PAKISTAN,2020-04-09 00:14:12,4207.0,61.0,560.0,8727252
PAKISTAN,2020-04-09 11:19:24,4339.0,63.0,572.0,8767164
PAKISTAN,2020-04-09 12:07:24,4339.0,63.0,613.0,8770044
PAKISTAN,2020-04-09 14:57:09,4437.0,64.0,682.0,8780229
PAKISTAN,2020-04-09 18:00:02,4437.0,64.0,689.0,8791202
PAKISTAN,2020-04-10 01:06:14,4552.0,65.0,708.0,8816774
PAKISTAN,2020-04-10 09:04:46,4552.0,65.0,708.0,8845486
PAKISTAN,2020-04-10 12:09:17,4612.0,67.0,727.0,8856557
PAKISTAN,2020-04-10 14:55:51,4699.0,68.0,736.0,8866551
PAKISTAN,2020-04-10 18:41:05,4700.0,68.0,736.0,8880065
PAKISTAN,2020-04-10 21:59:17,4700.0,68.0,750.0,8891957
PAKISTAN,2020-04-11 00:00:34,4700.0,71.0,753.0,8899234
PAKISTAN,2020-04-11 09:01:32,4700.0,61.0,753.0,8931692
PAKISTAN,2020-04-11 12:08:24,4792.0,71.0,762.0,8942904
PAKISTAN,2020-04-11 17:00:40,4897.0,78.0,766.0,8960440
PAKISTAN,2020-04-11 18:12:28,4897.0,78.0,766.0,8964748
PAKISTAN,2020-04-11 21:44:19,4980.0,80.0,794.0,8977459
PAKISTAN,2020-04-11 23:59:29,5021.0,86.0,804.0,8985569
PAKISTAN,2020-04-12 09:00:42,5036.0,86.0,804.0,9018042
PAKISTAN,2020-04-12 12:05:42,5038.0,86.0,1026.0,9029142
PAKISTAN,2020-04-12 15:09:25,5170.0,88.0,1026.0,9040165
PAKISTAN,2020-04-12 18:22:01,5175.0,88.0,1026.0,9051721
PAKISTAN,2020-04-12 20:59:25,5185.0,88.0,1026.0,9061165
PAKISTAN,2020-04-13 00:07:13,5232.0,91.0,1028.0,9072433
PAKISTAN,2020-04-13 09:26:16,5362.0,93.0,1028.0,9105976
PAKISTAN,2020-04-13 11:59:14,5374.0,93.0,1028.0,9115154
PAKISTAN,2020-04-13 15:13:01,5477.0,94.0,1028.0,9126781
PAKISTAN,2020-04-13 20:23:47,5478.0,95.0,1128.0,9145427
PAKISTAN,2020-04-13 21:01:27,5493.0,95.0,1128.0,9147687
PAKISTAN,2020-04-14 00:30:40,5497.0,95.0,1128.0,9160240
PAKISTAN,2020-04-14 09:09:09,5707.0,96.0,1128.0,9191349
PAKISTAN,2020-04-14 12:13:23,5716.0,96.0,1378.0,9202403
PAKISTAN,2020-04-14 15:49:28,5782.0,100.0,1378.0,9215368
PAKISTAN,2020-04-14 18:27:14,5837.0,100.0,1378.0,9224834
PAKISTAN,2020-04-14 21:18:50,5837.0,100.0,1378.0,9235130
PAKISTAN,2020-04-15 00:07:14,5837.0,100.0,1392.0,9245234
PAKISTAN,2020-04-15 09:00:09,5984.0,107.0,1425.0,9277209
PAKISTAN,2020-04-15 14:56:18,6231.0,113.0,1558.0,9298578
PAKISTAN,2020-04-15 19:52:38,6250.0,113.0,1571.0,9316358
PAKISTAN,2020-04-15 21:18:33,6250.0,113.0,1571.0,9321513
PAKISTAN,2020-04-16 00:51:15,6383.0,117.0,1587.0,9334275
PAKISTAN,2020-04-16 09:04:51,6427.0,118.0,1590.0,9363891
PAKISTAN,2020-04-16 12:05:08,6521.0,124.0,1645.0,9374708
PAKISTAN,2020-04-16 14:57:08,6865.0,128.0,1648.0,9385028
PAKISTAN,2020-04-16 17:58:25,6871.0,128.0,1648.0,9395905
PAKISTAN,2020-04-16 22:41:20,6919.0,128.0,1653.0,9412880
PAKISTAN,2020-04-17 01:32:36,7018.0,134.0,1749.0,9423156
PAKISTAN,2020-04-17 09:11:04,7018.0,134.0,1749.0,9450664
PAKISTAN,2020-04-17 12:02:01,7027.0,135.0,1765.0,9460921
PAKISTAN,2020-04-17 14:56:35,7261.0,137.0,1812.0,9471395
PAKISTAN,2020-04-17 18:39:21,7291.0,137.0,1812.0,9484761
PAKISTAN,2020-04-17 22:45:21,7388.0,137.0,1821.0,9499521
PAKISTAN,2020-04-18 08:54:14,7436.0,143.0,1821.0,9536054
PAKISTAN,2020-04-18 13:55:54,7516.0,143.0,1844.0,9554154
PAKISTAN,2020-04-18 15:41:06,7524.0,143.0,1844.0,9560466
PAKISTAN,2020-04-18 18:03:48,7717.0,144.0,1855.0,9569028
PAKISTAN,2020-04-19 00:17:39,7741.0,145.0,1856.0,9591459
PAKISTAN,2020-04-19 09:10:08,7741.0,145.0,1856.0,9623408
PAKISTAN,2020-04-19 15:11:32,7993.0,166.0,1899.0,9645092
PAKISTAN,2020-04-19 18:07:21,8212.0,167.0,1919.0,9655641
PAKISTAN,2020-04-19 21:01:51,8219.0,167.0,1920.0,9666111
PAKISTAN,2020-04-20 00:00:38,8411.0,168.0,1920.0,9676838
PAKISTAN,2020-04-20 12:46:45,8519.0,176.0,1970.0,9722805
PAKISTAN,2020-04-20 15:15:13,8749.0,181.0,1981.0,9731713
PAKISTAN,2020-04-20 18:00:55,8648.0,181.0,2003.0,9741655
