Nation,Time,Confirmed Case,Death,Recover,timestamp
POLAND,3.4.2020.14.30.10,3149.0,59.0,56.0,8260210
POLAND,3.4.2020.14.30.11,3149.0,59.0,56.0,8260211
POLAND,3.4.2020.17.30.12,3149.0,59.0,56.0,8271012
POLAND,3.4.2020.20.30.12,3149.0,59.0,56.0,8281812
POLAND,3.4.2020.23.30.19,3266.0,65.0,56.0,8292619
POLAND,4.4.2020.8.30.14,3383.0,71.0,56.0,8325014
POLAND,4.4.2020.11.30.14,3383.0,71.0,56.0,8335814
POLAND,4.4.2020.14.30.16,3503.0,73.0,116.0,8346616
POLAND,4.4.2020.17.30.18,3503.0,73.0,116.0,8357418
POLAND,4.4.2020.20.30.33,3503.0,73.0,116.0,8368233
POLAND,4.4.2020.23.30.5,3627.0,79.0,116.0,8379005
POLAND,5.4.2020.8.30.7,3627.0,79.0,116.0,8411407
POLAND,5.4.2020.11.30.3,3627.0,79.0,116.0,8422203
POLAND,5.4.2020.14.30.4,3834.0,84.0,134.0,8433004
POLAND,5.4.2020.17.40.33,3834.0,84.0,134.0,8444433
POLAND,5.4.2020.20.33.28,3834.0,84.0,134.0,8454808
POLAND,5.4.2020.23.30.2,4102.0,94.0,134.0,8465402
POLAND,6.4.2020.8.37.49,4102.0,94.0,207.0,8498269
POLAND,6.4.2020.11.30.5,4102.0,94.0,207.0,8508605
POLAND,6.4.2020.14.44.21,4201.0,98.0,207.0,8520261
POLAND,6.4.2020.17.30.4,4201.0,98.0,207.0,8530204
POLAND,6.4.2020.21.0.44,4201.0,98.0,207.0,8542844
POLAND,7.4.2020.0.0.3,4413.0,107.0,207.0,8553603
POLAND,7.4.2020.9.0.4,4413.0,107.0,207.0,8586004
POLAND,7.4.2020.12.15.51,4413.0,107.0,207.0,8597751
POLAND,7.4.2020.15.59.55,4532.0,111.0,207.0,8611195
POLAND,7.4.2020.18.3.46,4532.0,111.0,207.0,8618626
POLAND,7.4.2020.21.32.15,4666.0,129.0,207.0,8631135
POLAND,8.4.2020.0.0.4,4848.0,129.0,207.0,8640004
POLAND,8.4.2020.9.0.46,4848.0,129.0,207.0,8672446
POLAND,8.4.2020.12.21.18,4848.0,129.0,207.0,8684478
POLAND,8.4.2020.15.4.46,5000.0,136.0,207.0,8694286
POLAND,8.4.2020.18.11.16,5000.0,136.0,222.0,8705476
POLAND,8.4.2020.21.33.56,5000.0,136.0,222.0,8717636
POLAND,9.4.2020.0.14.12,5205.0,159.0,222.0,8727252
