Nation,Time,Confirmed Case,Death,Recover,timestamp
PORTUGAL,2020-04-03 14:30:10,9034.0,209.0,68.0,8260210
PORTUGAL,2020-04-03 14:30:11,9034.0,209.0,68.0,8260211
PORTUGAL,2020-04-03 17:30:12,9034.0,209.0,68.0,8271012
PORTUGAL,2020-04-03 20:30:12,9886.0,246.0,68.0,8281812
PORTUGAL,2020-04-03 23:30:19,9886.0,246.0,68.0,8292619
PORTUGAL,2020-04-04 08:30:14,9886.0,246.0,68.0,8325014
PORTUGAL,2020-04-04 11:30:14,9886.0,246.0,68.0,8335814
PORTUGAL,2020-04-04 14:30:16,9886.0,246.0,68.0,8346616
PORTUGAL,2020-04-04 17:30:18,10524.0,266.0,75.0,8357418
PORTUGAL,2020-04-04 20:30:33,10524.0,266.0,75.0,8368233
PORTUGAL,2020-04-04 23:30:05,10524.0,266.0,75.0,8379005
PORTUGAL,2020-04-05 08:30:07,10524.0,266.0,75.0,8411407
PORTUGAL,2020-04-05 11:30:03,10524.0,266.0,75.0,8422203
PORTUGAL,2020-04-05 14:30:04,10524.0,266.0,75.0,8433004
PORTUGAL,2020-04-05 17:40:33,11278.0,295.0,75.0,8444433
PORTUGAL,2020-04-05 20:33:28,11278.0,295.0,75.0,8454808
PORTUGAL,2020-04-05 23:30:02,11278.0,295.0,75.0,8465402
PORTUGAL,2020-04-06 08:37:49,11278.0,295.0,75.0,8498269
PORTUGAL,2020-04-06 11:30:05,11278.0,295.0,75.0,8508605
PORTUGAL,2020-04-06 14:44:21,11278.0,295.0,75.0,8520261
PORTUGAL,2020-04-06 17:30:04,11730.0,311.0,140.0,8530204
PORTUGAL,2020-04-06 21:00:44,11730.0,311.0,140.0,8542844
PORTUGAL,2020-04-07 00:00:03,11730.0,311.0,140.0,8553603
PORTUGAL,2020-04-07 09:00:04,11730.0,311.0,140.0,8586004
PORTUGAL,2020-04-07 12:15:51,11730.0,311.0,140.0,8597751
PORTUGAL,2020-04-07 15:59:55,11730.0,311.0,140.0,8611195
PORTUGAL,2020-04-07 18:03:46,12442.0,345.0,184.0,8618626
PORTUGAL,2020-04-07 21:32:15,12442.0,345.0,184.0,8631135
PORTUGAL,2020-04-08 00:00:04,12442.0,345.0,184.0,8640004
PORTUGAL,2020-04-08 09:00:46,12442.0,345.0,184.0,8672446
PORTUGAL,2020-04-08 12:21:18,12442.0,345.0,184.0,8684478
PORTUGAL,2020-04-08 15:04:46,12442.0,345.0,184.0,8694286
PORTUGAL,2020-04-08 18:11:16,13141.0,380.0,196.0,8705476
PORTUGAL,2020-04-08 21:33:56,13141.0,380.0,196.0,8717636
PORTUGAL,2020-04-09 00:14:12,13141.0,380.0,196.0,8727252
PORTUGAL,2020-04-09 11:19:24,13141.0,380.0,196.0,8767164
PORTUGAL,2020-04-09 12:07:24,13141.0,380.0,196.0,8770044
PORTUGAL,2020-04-09 14:57:09,13141.0,380.0,196.0,8780229
PORTUGAL,2020-04-09 18:00:02,13141.0,409.0,196.0,8791202
PORTUGAL,2020-04-10 01:06:14,13956.0,409.0,205.0,8816774
PORTUGAL,2020-04-10 09:04:46,13956.0,409.0,205.0,8845486
PORTUGAL,2020-04-10 12:09:17,13956.0,409.0,205.0,8856557
PORTUGAL,2020-04-10 14:55:51,13956.0,409.0,205.0,8866551
PORTUGAL,2020-04-10 18:41:05,15472.0,435.0,233.0,8880065
PORTUGAL,2020-04-10 21:59:17,15472.0,435.0,233.0,8891957
PORTUGAL,2020-04-11 00:00:34,15472.0,435.0,233.0,8899234
PORTUGAL,2020-04-11 09:01:32,15472.0,435.0,233.0,8931692
PORTUGAL,2020-04-11 12:08:24,15472.0,435.0,233.0,8942904
PORTUGAL,2020-04-11 17:00:40,15472.0,435.0,233.0,8960440
PORTUGAL,2020-04-11 18:12:28,15987.0,470.0,266.0,8964748
PORTUGAL,2020-04-11 21:44:19,15987.0,470.0,266.0,8977459
PORTUGAL,2020-04-11 23:59:29,15987.0,470.0,266.0,8985569
PORTUGAL,2020-04-12 09:00:42,15987.0,470.0,266.0,9018042
PORTUGAL,2020-04-12 12:05:42,15987.0,470.0,266.0,9029142
PORTUGAL,2020-04-12 15:09:25,15987.0,470.0,266.0,9040165
