Nation,Time,Confirmed Case,Death,Recover,timestamp
PUERTO RICO,3.4.2020.14.30.10,316.0,11.0,2.0,8260210
PUERTO RICO,3.4.2020.14.30.11,316.0,11.0,2.0,8260211
PUERTO RICO,3.4.2020.17.30.12,316.0,11.0,2.0,8271012
PUERTO RICO,3.4.2020.20.30.12,316.0,11.0,2.0,8281812
PUERTO RICO,3.4.2020.23.30.19,378.0,15.0,2.0,8292619
PUERTO RICO,4.4.2020.8.30.14,378.0,15.0,2.0,8325014
PUERTO RICO,4.4.2020.11.30.14,378.0,15.0,2.0,8335814
PUERTO RICO,4.4.2020.14.30.16,378.0,15.0,2.0,8346616
PUERTO RICO,4.4.2020.17.30.18,378.0,15.0,2.0,8357418
PUERTO RICO,4.4.2020.20.30.33,378.0,15.0,2.0,8368233
PUERTO RICO,4.4.2020.23.30.5,452.0,18.0,2.0,8379005
PUERTO RICO,5.4.2020.8.30.7,452.0,18.0,2.0,8411407
PUERTO RICO,5.4.2020.11.30.3,452.0,18.0,2.0,8422203
PUERTO RICO,5.4.2020.14.30.4,452.0,18.0,2.0,8433004
PUERTO RICO,5.4.2020.17.40.33,452.0,18.0,2.0,8444433
PUERTO RICO,5.4.2020.20.33.28,452.0,18.0,2.0,8454808
PUERTO RICO,5.4.2020.23.30.2,472.0,20.0,2.0,8465402
PUERTO RICO,6.4.2020.8.37.49,472.0,20.0,2.0,8498269
PUERTO RICO,6.4.2020.11.30.5,475.0,20.0,2.0,8508605
PUERTO RICO,6.4.2020.14.44.21,475.0,20.0,2.0,8520261
PUERTO RICO,6.4.2020.17.30.4,475.0,20.0,2.0,8530204
PUERTO RICO,6.4.2020.21.0.44,475.0,20.0,2.0,8542844
PUERTO RICO,7.4.2020.0.0.3,475.0,20.0,2.0,8553603
PUERTO RICO,7.4.2020.9.0.4,513.0,20.0,2.0,8586004
PUERTO RICO,7.4.2020.12.15.51,513.0,20.0,2.0,8597751
PUERTO RICO,7.4.2020.15.59.55,513.0,20.0,2.0,8611195
PUERTO RICO,7.4.2020.18.3.46,513.0,20.0,2.0,8618626
PUERTO RICO,7.4.2020.21.32.15,573.0,23.0,2.0,8631135
PUERTO RICO,8.4.2020.0.0.4,573.0,23.0,2.0,8640004
PUERTO RICO,8.4.2020.9.0.46,573.0,23.0,2.0,8672446
PUERTO RICO,8.4.2020.12.21.18,573.0,23.0,2.0,8684478
PUERTO RICO,8.4.2020.15.4.46,573.0,23.0,2.0,8694286
PUERTO RICO,8.4.2020.18.11.16,573.0,23.0,2.0,8705476
PUERTO RICO,8.4.2020.21.33.56,573.0,23.0,2.0,8717636
PUERTO RICO,9.4.2020.0.14.12,620.0,24.0,2.0,8727252
PUERTO RICO,9.4.2020.11.19.24,620.0,24.0,2.0,8767164
PUERTO RICO,9.4.2020.12.7.24,620.0,24.0,2.0,8770044
PUERTO RICO,9.4.2020.14.57.9,620.0,24.0,2.0,8780229
PUERTO RICO,9.4.2020.18.0.2,620.0,24.0,2.0,8791202
PUERTO RICO,10.4.2020.1.6.14,683.0,33.0,2.0,8816774
PUERTO RICO,10.4.2020.9.4.46,683.0,40.0,2.0,8845486
PUERTO RICO,10.4.2020.12.9.17,683.0,40.0,2.0,8856557
PUERTO RICO,10.4.2020.14.55.51,683.0,40.0,2.0,8866551
PUERTO RICO,10.4.2020.18.41.5,683.0,40.0,2.0,8880065
PUERTO RICO,10.4.2020.21.59.17,683.0,40.0,2.0,8891957
PUERTO RICO,11.4.2020.0.0.34,725.0,39.0,2.0,8899234
PUERTO RICO,11.4.2020.9.1.32,725.0,39.0,2.0,8931692
PUERTO RICO,11.4.2020.12.8.24,725.0,39.0,2.0,8942904
