Nation,Time,Confirmed Case,Death,Recover,timestamp
QATAR,3.4.2020.14.30.10,949.0,3.0,72.0,8260210
QATAR,3.4.2020.14.30.11,949.0,3.0,72.0,8260211
QATAR,3.4.2020.17.30.12,949.0,3.0,72.0,8271012
QATAR,3.4.2020.20.30.12,949.0,3.0,72.0,8281812
QATAR,3.4.2020.23.30.19,1075.0,3.0,93.0,8292619
QATAR,4.4.2020.8.30.14,1075.0,3.0,93.0,8325014
QATAR,4.4.2020.11.30.14,1075.0,3.0,93.0,8335814
QATAR,4.4.2020.14.30.16,1075.0,3.0,93.0,8346616
QATAR,4.4.2020.17.30.18,1075.0,3.0,93.0,8357418
QATAR,4.4.2020.20.30.33,1075.0,3.0,93.0,8368233
QATAR,4.4.2020.23.30.5,1325.0,3.0,109.0,8379005
QATAR,5.4.2020.8.30.7,1325.0,3.0,109.0,8411407
QATAR,5.4.2020.11.30.3,1325.0,3.0,109.0,8422203
QATAR,5.4.2020.14.30.4,1325.0,3.0,109.0,8433004
QATAR,5.4.2020.17.40.33,1325.0,3.0,109.0,8444433
QATAR,5.4.2020.20.33.28,1325.0,3.0,109.0,8454808
QATAR,5.4.2020.23.30.2,1604.0,4.0,123.0,8465402
QATAR,6.4.2020.8.37.49,1604.0,4.0,123.0,8498269
QATAR,6.4.2020.11.30.5,1604.0,4.0,123.0,8508605
QATAR,6.4.2020.14.44.21,1604.0,4.0,123.0,8520261
QATAR,6.4.2020.17.30.4,1604.0,4.0,123.0,8530204
QATAR,6.4.2020.21.0.44,1604.0,4.0,123.0,8542844
QATAR,7.4.2020.0.0.3,1832.0,4.0,131.0,8553603
QATAR,7.4.2020.9.0.4,1832.0,4.0,131.0,8586004
QATAR,7.4.2020.12.15.51,1832.0,4.0,131.0,8597751
QATAR,7.4.2020.15.59.55,1832.0,4.0,131.0,8611195
QATAR,7.4.2020.18.3.46,1832.0,4.0,131.0,8618626
QATAR,7.4.2020.21.32.15,1832.0,4.0,131.0,8631135
QATAR,8.4.2020.0.0.4,2057.0,6.0,150.0,8640004
QATAR,8.4.2020.9.0.46,2057.0,6.0,150.0,8672446
QATAR,8.4.2020.12.21.18,2057.0,6.0,150.0,8684478
QATAR,8.4.2020.15.4.46,2057.0,6.0,150.0,8694286
QATAR,8.4.2020.18.11.16,2210.0,6.0,178.0,8705476
QATAR,8.4.2020.21.33.56,2210.0,6.0,178.0,8717636
QATAR,9.4.2020.0.14.12,2210.0,6.0,178.0,8727252
QATAR,9.4.2020.11.19.24,2210.0,6.0,178.0,8767164
QATAR,9.4.2020.12.7.24,2210.0,6.0,178.0,8770044
QATAR,9.4.2020.14.57.9,2210.0,6.0,178.0,8780229
QATAR,9.4.2020.18.0.2,2376.0,6.0,206.0,8791202
QATAR,10.4.2020.1.6.14,2376.0,6.0,206.0,8816774
QATAR,10.4.2020.9.4.46,2376.0,6.0,206.0,8845486
QATAR,10.4.2020.12.9.17,2376.0,6.0,206.0,8856557
QATAR,10.4.2020.14.55.51,2376.0,6.0,206.0,8866551
QATAR,10.4.2020.18.41.5,2512.0,6.0,227.0,8880065
QATAR,10.4.2020.21.59.17,2512.0,6.0,227.0,8891957
QATAR,11.4.2020.0.0.34,2512.0,6.0,227.0,8899234
QATAR,11.4.2020.9.1.32,2512.0,6.0,227.0,8931692
QATAR,11.4.2020.12.8.24,2512.0,6.0,227.0,8942904
QATAR,11.4.2020.17.0.40,2728.0,6.0,247.0,8960440
QATAR,11.4.2020.18.12.28,2728.0,6.0,247.0,8964748
QATAR,11.4.2020.21.44.19,2728.0,6.0,247.0,8977459
QATAR,11.4.2020.23.59.29,2728.0,6.0,247.0,8985569
QATAR,12.4.2020.9.0.42,2728.0,6.0,247.0,9018042
QATAR,12.4.2020.12.5.42,2728.0,6.0,247.0,9029142
QATAR,12.4.2020.15.9.25,2728.0,6.0,247.0,9040165
QATAR,12.4.2020.18.22.1,2979.0,7.0,275.0,9051721
QATAR,12.4.2020.20.59.25,2979.0,7.0,275.0,9061165
QATAR,13.4.2020.0.7.13,2979.0,7.0,275.0,9072433
QATAR,13.4.2020.9.26.16,2979.0,7.0,275.0,9105976
QATAR,13.4.2020.11.59.14,2979.0,7.0,275.0,9115154
QATAR,13.4.2020.15.13.1,2979.0,7.0,275.0,9126781
QATAR,13.4.2020.20.23.47,3231.0,7.0,334.0,9145427
QATAR,13.4.2020.21.1.27,3231.0,7.0,334.0,9147687
QATAR,14.4.2020.0.30.40,3231.0,7.0,334.0,9160240
QATAR,14.4.2020.9.9.9,3231.0,7.0,334.0,9191349
QATAR,14.4.2020.12.13.23,3231.0,7.0,334.0,9202403
QATAR,14.4.2020.15.49.28,3231.0,7.0,334.0,9215368
QATAR,14.4.2020.18.27.14,3428.0,7.0,373.0,9224834
QATAR,14.4.2020.21.18.50,3428.0,7.0,373.0,9235130
QATAR,15.4.2020.0.7.14,3428.0,7.0,373.0,9245234
QATAR,15.4.2020.9.0.9,3428.0,7.0,373.0,9277209
QATAR,15.4.2020.14.56.18,3428.0,7.0,373.0,9298578
QATAR,15.4.2020.19.52.38,3711.0,7.0,406.0,9316358
QATAR,15.4.2020.21.18.33,3711.0,7.0,406.0,9321513
QATAR,16.4.2020.0.51.15,3711.0,7.0,406.0,9334275
QATAR,16.4.2020.9.4.51,3711.0,7.0,406.0,9363891
QATAR,16.4.2020.12.5.8,3711.0,7.0,406.0,9374708
QATAR,16.4.2020.14.57.8,3711.0,7.0,406.0,9385028
QATAR,16.4.2020.17.58.25,4103.0,7.0,415.0,9395905
QATAR,16.4.2020.22.41.20,4103.0,7.0,415.0,9412880
QATAR,17.4.2020.1.32.36,4103.0,7.0,415.0,9423156
QATAR,17.4.2020.9.11.4,4103.0,7.0,415.0,9450664
QATAR,17.4.2020.12.2.1,4103.0,7.0,415.0,9460921
QATAR,17.4.2020.14.56.35,4103.0,7.0,415.0,9471395
QATAR,17.4.2020.18.39.21,4663.0,7.0,464.0,9484761
QATAR,17.4.2020.22.45.21,4663.0,7.0,464.0,9499521
QATAR,18.4.2020.8.54.14,4663.0,7.0,464.0,9536054
QATAR,18.4.2020.13.55.54,4663.0,7.0,464.0,9554154
QATAR,18.4.2020.15.41.6,4663.0,7.0,464.0,9560466
QATAR,18.4.2020.18.3.48,5008.0,8.0,510.0,9569028
QATAR,19.4.2020.0.17.39,5008.0,8.0,510.0,9591459
QATAR,19.4.2020.9.10.8,5008.0,8.0,510.0,9623408
QATAR,19.4.2020.15.11.32,5008.0,8.0,510.0,9645092
QATAR,19.4.2020.18.7.21,5448.0,8.0,518.0,9655641
QATAR,19.4.2020.21.1.51,5448.0,8.0,518.0,9666111
QATAR,20.4.2020.0.0.38,5448.0,8.0,518.0,9676838
