Nation,Time,Confirmed Case,Death,Recover,timestamp
REUNION,3.4.2020.14.30.10,308.0,0.0,40.0,8260210
REUNION,3.4.2020.14.30.11,308.0,0.0,40.0,8260211
REUNION,3.4.2020.17.30.12,308.0,0.0,40.0,8271012
REUNION,3.4.2020.20.30.12,308.0,0.0,40.0,8281812
REUNION,3.4.2020.23.30.19,321.0,0.0,40.0,8292619
REUNION,4.4.2020.8.30.14,321.0,0.0,40.0,8325014
REUNION,4.4.2020.11.30.14,321.0,0.0,40.0,8335814
REUNION,4.4.2020.14.30.16,321.0,0.0,40.0,8346616
REUNION,4.4.2020.17.30.18,321.0,0.0,40.0,8357418
REUNION,4.4.2020.20.30.33,321.0,0.0,40.0,8368233
REUNION,4.4.2020.23.30.5,334.0,0.0,40.0,8379005
REUNION,5.4.2020.8.30.7,334.0,0.0,40.0,8411407
REUNION,5.4.2020.11.30.3,334.0,0.0,40.0,8422203
REUNION,5.4.2020.14.30.4,334.0,0.0,40.0,8433004
REUNION,5.4.2020.17.40.33,334.0,0.0,40.0,8444433
REUNION,5.4.2020.20.33.28,344.0,0.0,40.0,8454808
REUNION,5.4.2020.23.30.2,344.0,0.0,40.0,8465402
REUNION,6.4.2020.8.37.49,344.0,0.0,40.0,8498269
REUNION,6.4.2020.11.30.5,344.0,0.0,40.0,8508605
REUNION,6.4.2020.14.44.21,344.0,0.0,40.0,8520261
REUNION,6.4.2020.17.30.4,344.0,0.0,40.0,8530204
REUNION,6.4.2020.21.0.44,344.0,0.0,40.0,8542844
REUNION,7.4.2020.0.0.3,349.0,0.0,40.0,8553603
REUNION,7.4.2020.9.0.4,349.0,0.0,40.0,8586004
REUNION,7.4.2020.12.15.51,349.0,0.0,40.0,8597751
REUNION,7.4.2020.15.59.55,349.0,0.0,40.0,8611195
REUNION,7.4.2020.18.3.46,349.0,0.0,40.0,8618626
REUNION,7.4.2020.21.32.15,349.0,0.0,40.0,8631135
REUNION,8.4.2020.0.0.4,349.0,0.0,40.0,8640004
REUNION,8.4.2020.9.0.46,358.0,0.0,40.0,8672446
REUNION,8.4.2020.12.21.18,358.0,0.0,40.0,8684478
REUNION,8.4.2020.15.4.46,358.0,0.0,40.0,8694286
REUNION,8.4.2020.18.11.16,358.0,0.0,40.0,8705476
REUNION,8.4.2020.21.33.56,358.0,0.0,40.0,8717636
REUNION,9.4.2020.0.14.12,358.0,0.0,40.0,8727252
REUNION,9.4.2020.11.19.24,362.0,0.0,40.0,8767164
REUNION,9.4.2020.12.7.24,362.0,0.0,40.0,8770044
REUNION,9.4.2020.14.57.9,362.0,0.0,40.0,8780229
REUNION,9.4.2020.18.0.2,362.0,0.0,40.0,8791202
REUNION,10.4.2020.1.6.14,362.0,0.0,40.0,8816774
REUNION,10.4.2020.9.4.46,362.0,0.0,40.0,8845486
REUNION,10.4.2020.12.9.17,362.0,0.0,40.0,8856557
REUNION,10.4.2020.14.55.51,362.0,0.0,40.0,8866551
REUNION,10.4.2020.18.41.5,362.0,0.0,40.0,8880065
REUNION,10.4.2020.21.59.17,362.0,0.0,40.0,8891957
REUNION,11.4.2020.0.0.34,382.0,0.0,40.0,8899234
REUNION,11.4.2020.9.1.32,382.0,0.0,40.0,8931692
REUNION,11.4.2020.12.8.24,382.0,0.0,40.0,8942904
REUNION,11.4.2020.17.0.40,382.0,0.0,40.0,8960440
REUNION,11.4.2020.18.12.28,382.0,0.0,40.0,8964748
REUNION,11.4.2020.21.44.19,388.0,0.0,40.0,8977459
REUNION,11.4.2020.23.59.29,388.0,0.0,40.0,8985569
REUNION,12.4.2020.9.0.42,388.0,0.0,40.0,9018042
