Nation,Time,Confirmed Case,Death,Recover,timestamp
ROMANIA,2020-04-03 14:30:10,2738.0,116.0,267.0,8260210
ROMANIA,2020-04-03 14:30:11,2738.0,116.0,267.0,8260211
ROMANIA,2020-04-03 17:30:12,3183.0,118.0,283.0,8271012
ROMANIA,2020-04-03 20:30:12,3183.0,122.0,283.0,8281812
ROMANIA,2020-04-03 23:30:19,3183.0,133.0,283.0,8292619
ROMANIA,2020-04-04 08:30:14,3183.0,133.0,283.0,8325014
ROMANIA,2020-04-04 11:30:14,3183.0,133.0,283.0,8335814
ROMANIA,2020-04-04 14:30:16,3183.0,133.0,283.0,8346616
ROMANIA,2020-04-04 17:30:18,3613.0,141.0,329.0,8357418
ROMANIA,2020-04-04 20:30:33,3613.0,140.0,329.0,8368233
ROMANIA,2020-04-04 23:30:05,3613.0,146.0,329.0,8379005
ROMANIA,2020-04-05 08:30:07,3613.0,146.0,329.0,8411407
ROMANIA,2020-04-05 11:30:03,3613.0,146.0,329.0,8422203
ROMANIA,2020-04-05 14:30:04,3613.0,146.0,329.0,8433004
ROMANIA,2020-04-05 17:40:33,3864.0,148.0,374.0,8444433
ROMANIA,2020-04-05 20:33:28,3864.0,148.0,374.0,8454808
ROMANIA,2020-04-05 23:30:02,3864.0,151.0,374.0,8465402
ROMANIA,2020-04-06 08:37:49,3864.0,151.0,374.0,8498269
ROMANIA,2020-04-06 11:30:05,3864.0,156.0,374.0,8508605
ROMANIA,2020-04-06 14:44:21,3864.0,157.0,374.0,8520261
ROMANIA,2020-04-06 17:30:04,4057.0,157.0,406.0,8530204
ROMANIA,2020-04-06 21:00:44,4057.0,162.0,406.0,8542844
ROMANIA,2020-04-07 00:00:03,4057.0,168.0,406.0,8553603
ROMANIA,2020-04-07 09:00:04,4057.0,176.0,406.0,8586004
ROMANIA,2020-04-07 12:15:51,4057.0,176.0,406.0,8597751
ROMANIA,2020-04-07 15:59:55,4417.0,182.0,460.0,8611195
ROMANIA,2020-04-07 18:03:46,4417.0,184.0,460.0,8618626
ROMANIA,2020-04-07 21:32:15,4417.0,197.0,460.0,8631135
ROMANIA,2020-04-08 00:00:04,4417.0,197.0,460.0,8640004
ROMANIA,2020-04-08 09:00:46,4417.0,198.0,460.0,8672446
ROMANIA,2020-04-08 12:21:18,4417.0,203.0,460.0,8684478
ROMANIA,2020-04-08 15:04:46,4417.0,209.0,460.0,8694286
ROMANIA,2020-04-08 18:11:16,4761.0,210.0,528.0,8705476
ROMANIA,2020-04-08 21:33:56,4761.0,215.0,528.0,8717636
ROMANIA,2020-04-09 00:14:12,4761.0,215.0,528.0,8727252
ROMANIA,2020-04-09 11:19:24,4761.0,220.0,528.0,8767164
ROMANIA,2020-04-09 12:07:24,4761.0,227.0,528.0,8770044
ROMANIA,2020-04-09 14:57:09,4761.0,229.0,528.0,8780229
ROMANIA,2020-04-09 18:00:02,5202.0,229.0,647.0,8791202
ROMANIA,2020-04-10 01:06:14,5202.0,248.0,647.0,8816774
ROMANIA,2020-04-10 09:04:46,5202.0,248.0,647.0,8845486
ROMANIA,2020-04-10 12:09:17,5202.0,248.0,647.0,8856557
ROMANIA,2020-04-10 14:55:51,5202.0,257.0,647.0,8866551
ROMANIA,2020-04-10 18:41:05,5467.0,265.0,729.0,8880065
ROMANIA,2020-04-10 21:59:17,5467.0,265.0,729.0,8891957
ROMANIA,2020-04-11 00:00:34,5467.0,270.0,729.0,8899234
ROMANIA,2020-04-11 09:01:32,5467.0,270.0,729.0,8931692
ROMANIA,2020-04-11 12:08:24,5467.0,270.0,729.0,8942904
ROMANIA,2020-04-11 17:00:40,5990.0,282.0,758.0,8960440
ROMANIA,2020-04-11 18:12:28,5990.0,282.0,758.0,8964748
ROMANIA,2020-04-11 21:44:19,5990.0,282.0,758.0,8977459
ROMANIA,2020-04-11 23:59:29,5990.0,291.0,758.0,8985569
ROMANIA,2020-04-12 09:00:42,5990.0,291.0,758.0,9018042
ROMANIA,2020-04-12 12:05:42,5990.0,291.0,758.0,9029142
ROMANIA,2020-04-12 15:09:25,5990.0,306.0,758.0,9040165
ROMANIA,2020-04-12 18:22:01,6300.0,306.0,852.0,9051721
ROMANIA,2020-04-12 20:59:25,6300.0,306.0,852.0,9061165
ROMANIA,2020-04-13 00:07:13,6300.0,316.0,852.0,9072433
ROMANIA,2020-04-13 09:26:16,6300.0,316.0,852.0,9105976
ROMANIA,2020-04-13 11:59:14,6300.0,316.0,852.0,9115154
ROMANIA,2020-04-13 15:13:01,6300.0,316.0,852.0,9126781
ROMANIA,2020-04-13 20:23:47,6633.0,318.0,914.0,9145427
ROMANIA,2020-04-13 21:01:27,6633.0,318.0,914.0,9147687
ROMANIA,2020-04-14 00:30:40,6633.0,331.0,914.0,9160240
ROMANIA,2020-04-14 09:09:09,6633.0,331.0,914.0,9191349
