Nation,Time,Confirmed Case,Death,Recover,timestamp
RUSSIA,2020-04-03 14:30:10,4149.0,34.0,281.0,8260210
RUSSIA,2020-04-03 14:30:11,4149.0,34.0,281.0,8260211
RUSSIA,2020-04-03 17:30:12,4149.0,34.0,281.0,8271012
RUSSIA,2020-04-03 20:30:12,4149.0,34.0,281.0,8281812
RUSSIA,2020-04-03 23:30:19,4149.0,34.0,281.0,8292619
RUSSIA,2020-04-04 08:30:14,4149.0,34.0,281.0,8325014
RUSSIA,2020-04-04 11:30:14,4149.0,34.0,281.0,8335814
RUSSIA,2020-04-04 14:30:16,4731.0,43.0,333.0,8346616
RUSSIA,2020-04-04 17:30:18,4731.0,43.0,333.0,8357418
RUSSIA,2020-04-04 20:30:33,4731.0,43.0,333.0,8368233
RUSSIA,2020-04-04 23:30:05,4731.0,43.0,333.0,8379005
RUSSIA,2020-04-05 08:30:07,4731.0,43.0,333.0,8411407
RUSSIA,2020-04-05 11:30:03,4731.0,43.0,333.0,8422203
RUSSIA,2020-04-05 14:30:04,4731.0,43.0,333.0,8433004
RUSSIA,2020-04-05 17:40:33,5389.0,45.0,355.0,8444433
RUSSIA,2020-04-05 20:33:28,5389.0,45.0,355.0,8454808
RUSSIA,2020-04-05 23:30:02,5389.0,45.0,355.0,8465402
RUSSIA,2020-04-06 08:37:49,5389.0,45.0,355.0,8498269
RUSSIA,2020-04-06 11:30:05,5389.0,45.0,355.0,8508605
RUSSIA,2020-04-06 14:44:21,6343.0,47.0,406.0,8520261
RUSSIA,2020-04-06 17:30:04,6343.0,47.0,406.0,8530204
RUSSIA,2020-04-06 21:00:44,6343.0,47.0,406.0,8542844
RUSSIA,2020-04-07 00:00:03,6343.0,47.0,406.0,8553603
RUSSIA,2020-04-07 09:00:04,6343.0,47.0,406.0,8586004
RUSSIA,2020-04-07 12:15:51,6343.0,47.0,406.0,8597751
RUSSIA,2020-04-07 15:59:55,7497.0,58.0,494.0,8611195
RUSSIA,2020-04-07 18:03:46,7497.0,58.0,494.0,8618626
RUSSIA,2020-04-07 21:32:15,7497.0,58.0,494.0,8631135
RUSSIA,2020-04-08 00:00:04,7497.0,58.0,494.0,8640004
RUSSIA,2020-04-08 09:00:46,7497.0,58.0,494.0,8672446
RUSSIA,2020-04-08 12:21:18,7497.0,58.0,494.0,8684478
RUSSIA,2020-04-08 15:04:46,8672.0,63.0,580.0,8694286
RUSSIA,2020-04-08 18:11:16,8672.0,63.0,580.0,8705476
RUSSIA,2020-04-08 21:33:56,8672.0,63.0,580.0,8717636
RUSSIA,2020-04-09 00:14:12,8672.0,63.0,580.0,8727252
RUSSIA,2020-04-09 11:19:24,8672.0,63.0,580.0,8767164
RUSSIA,2020-04-09 12:07:24,8672.0,63.0,580.0,8770044
RUSSIA,2020-04-09 14:57:09,10131.0,76.0,698.0,8780229
RUSSIA,2020-04-09 18:00:02,10131.0,76.0,698.0,8791202
RUSSIA,2020-04-10 01:06:14,10131.0,76.0,698.0,8816774
RUSSIA,2020-04-10 09:04:46,10131.0,76.0,698.0,8845486
RUSSIA,2020-04-10 12:09:17,10131.0,76.0,698.0,8856557
RUSSIA,2020-04-10 14:55:51,11917.0,94.0,795.0,8866551
RUSSIA,2020-04-10 18:41:05,11917.0,94.0,795.0,8880065
RUSSIA,2020-04-10 21:59:17,11917.0,94.0,795.0,8891957
RUSSIA,2020-04-11 00:00:34,11917.0,94.0,795.0,8899234
RUSSIA,2020-04-11 09:01:32,11917.0,94.0,795.0,8931692
RUSSIA,2020-04-11 12:08:24,11917.0,94.0,795.0,8942904
RUSSIA,2020-04-11 17:00:40,13584.0,106.0,1045.0,8960440
RUSSIA,2020-04-11 18:12:28,13584.0,106.0,1045.0,8964748
RUSSIA,2020-04-11 21:44:19,13584.0,106.0,1045.0,8977459
RUSSIA,2020-04-11 23:59:29,13584.0,106.0,1045.0,8985569
RUSSIA,2020-04-12 09:00:42,13584.0,106.0,1045.0,9018042
RUSSIA,2020-04-12 12:05:42,13584.0,106.0,1045.0,9029142
RUSSIA,2020-04-12 15:09:25,15770.0,130.0,1291.0,9040165
RUSSIA,2020-04-12 18:22:01,15770.0,130.0,1291.0,9051721
RUSSIA,2020-04-12 20:59:25,15770.0,130.0,1291.0,9061165
RUSSIA,2020-04-13 00:07:13,15770.0,130.0,1291.0,9072433
RUSSIA,2020-04-13 09:26:16,15770.0,130.0,1291.0,9105976
RUSSIA,2020-04-13 11:59:14,15770.0,130.0,1291.0,9115154
RUSSIA,2020-04-13 15:13:01,18328.0,148.0,1470.0,9126781
RUSSIA,2020-04-13 20:23:47,18328.0,148.0,1470.0,9145427
RUSSIA,2020-04-13 21:01:27,18328.0,148.0,1470.0,9147687
RUSSIA,2020-04-14 00:30:40,18328.0,148.0,1470.0,9160240
RUSSIA,2020-04-14 09:09:09,18328.0,148.0,1470.0,9191349
RUSSIA,2020-04-14 12:13:23,18328.0,148.0,1470.0,9202403
RUSSIA,2020-04-14 15:49:28,21102.0,170.0,1694.0,9215368
RUSSIA,2020-04-14 18:27:14,21102.0,170.0,1694.0,9224834
RUSSIA,2020-04-14 21:18:50,21102.0,170.0,1694.0,9235130
RUSSIA,2020-04-15 00:07:14,21102.0,170.0,1694.0,9245234
RUSSIA,2020-04-15 09:00:09,21102.0,170.0,1694.0,9277209
RUSSIA,2020-04-15 14:56:18,24490.0,198.0,1986.0,9298578
RUSSIA,2020-04-15 19:52:38,24490.0,198.0,1986.0,9316358
RUSSIA,2020-04-15 21:18:33,24490.0,198.0,1986.0,9321513
RUSSIA,2020-04-16 00:51:15,24490.0,198.0,1986.0,9334275
RUSSIA,2020-04-16 09:04:51,24490.0,198.0,1986.0,9363891
RUSSIA,2020-04-16 12:05:08,24490.0,198.0,1986.0,9374708
RUSSIA,2020-04-16 14:57:08,27938.0,232.0,2304.0,9385028
RUSSIA,2020-04-16 17:58:25,27938.0,232.0,2304.0,9395905
RUSSIA,2020-04-16 22:41:20,27938.0,232.0,2304.0,9412880
RUSSIA,2020-04-17 01:32:36,27938.0,232.0,2304.0,9423156
RUSSIA,2020-04-17 09:11:04,27938.0,232.0,2304.0,9450664
RUSSIA,2020-04-17 12:02:01,27938.0,232.0,2304.0,9460921
RUSSIA,2020-04-17 14:56:35,32008.0,273.0,2590.0,9471395
RUSSIA,2020-04-17 18:39:21,32008.0,273.0,2590.0,9484761
RUSSIA,2020-04-17 22:45:21,32008.0,273.0,2590.0,9499521
RUSSIA,2020-04-18 08:54:14,32008.0,273.0,2590.0,9536054
RUSSIA,2020-04-18 13:55:54,36793.0,313.0,3057.0,9554154
RUSSIA,2020-04-18 15:41:06,36793.0,313.0,3057.0,9560466
RUSSIA,2020-04-18 18:03:48,36793.0,313.0,3057.0,9569028
RUSSIA,2020-04-19 00:17:39,36793.0,313.0,3057.0,9591459
RUSSIA,2020-04-19 09:10:08,36793.0,313.0,3057.0,9623408
RUSSIA,2020-04-19 15:11:32,42853.0,361.0,3291.0,9645092
RUSSIA,2020-04-19 18:07:21,42853.0,361.0,3291.0,9655641
RUSSIA,2020-04-19 21:01:51,42853.0,361.0,3291.0,9666111
RUSSIA,2020-04-20 00:00:38,42853.0,361.0,3291.0,9676838
RUSSIA,2020-04-20 12:46:45,42853.0,361.0,3291.0,9722805
RUSSIA,2020-04-20 15:15:13,47121.0,405.0,3446.0,9731713
RUSSIA,2020-04-20 18:00:55,47121.0,405.0,3446.0,9741655
RUSSIA,2020-04-20 20:51:26,47121.0,405.0,3446.0,9751886
RUSSIA,2020-04-20 23:57:35,47121.0,405.0,3446.0,9763055
RUSSIA,2020-04-21 12:05:06,47121.0,405.0,3446.0,9806706
RUSSIA,2020-04-21 18:05:54,52763.0,456.0,3873.0,9828354
RUSSIA,2020-04-21 20:56:52,52763.0,456.0,3873.0,9838612
RUSSIA,2020-04-22 10:13:50,52763.0,456.0,3873.0,9886430
RUSSIA,2020-04-22 12:01:15,52763.0,456.0,3873.0,9892875
RUSSIA,2020-04-22 15:04:35,57999.0,513.0,4420.0,9903875
RUSSIA,2020-04-23 00:41:34,57999.0,513.0,4420.0,9938494
RUSSIA,2020-04-23 11:00:28,57999.0,513.0,4420.0,9975628
RUSSIA,2020-04-23 18:09:30,62773.0,555.0,4891.0,10001370
RUSSIA,2020-04-23 21:15:10,62773.0,555.0,4891.0,10012510
RUSSIA,2020-04-24 12:38:27,62773.0,555.0,4891.0,10067907
RUSSIA,2020-04-24 15:07:01,68622.0,615.0,5568.0,10076821
RUSSIA,2020-04-24 18:05:08,68622.0,615.0,5568.0,10087508
RUSSIA,2020-04-25 01:24:20,68622.0,615.0,5568.0,10113860
RUSSIA,2020-04-25 10:29:29,68622.0,615.0,5568.0,10146569
RUSSIA,2020-04-25 13:06:30,68622.0,615.0,5568.0,10155990
RUSSIA,2020-04-25 15:13:19,68622.0,615.0,5568.0,10163599
RUSSIA,2020-04-25 18:05:53,74588.0,681.0,6250.0,10173953
RUSSIA,2020-04-26 00:02:26,74588.0,681.0,6250.0,10195346
RUSSIA,2020-04-26 10:30:36,74588.0,681.0,6250.0,10233036
RUSSIA,2020-04-26 14:00:20,74588.0,681.0,6250.0,10245620
RUSSIA,2020-04-26 15:00:26,74588.0,681.0,6250.0,10249226
RUSSIA,2020-04-26 18:04:29,80949.0,747.0,6767.0,10260269
RUSSIA,2020-04-26 20:55:24,80949.0,747.0,6767.0,10270524
RUSSIA,2020-04-27 01:26:23,80949.0,747.0,6767.0,10286783
RUSSIA,2020-04-27 12:02:22,80949.0,747.0,6767.0,10324942
RUSSIA,2020-04-27 18:28:29,87147.0,794.0,7346.0,10348109
RUSSIA,2020-04-27 23:10:06,87147.0,794.0,7346.0,10365006
RUSSIA,2020-04-28 00:52:18,87147.0,794.0,7346.0,10371138
RUSSIA,2020-04-28 12:28:54,87147.0,794.0,7346.0,10412934
RUSSIA,2020-04-29 00:05:46,93558.0,867.0,8456.0,10454746
RUSSIA,2020-04-29 11:12:43,93558.0,867.0,8456.0,10494763
RUSSIA,2020-04-29 13:02:52,93558.0,867.0,8456.0,10501372
RUSSIA,2020-04-29 15:08:24,99399.0,972.0,10286.0,10508904
RUSSIA,2020-04-29 18:09:12,99399.0,972.0,10286.0,10519752
RUSSIA,2020-04-29 21:32:47,99399.0,972.0,10286.0,10531967
RUSSIA,2020-04-30 00:17:29,99399.0,972.0,10286.0,10541849
RUSSIA,2020-04-30 09:21:28,99399.0,972.0,10286.0,10574488
RUSSIA,2020-04-30 12:29:51,99399.0,972.0,10286.0,10585791
RUSSIA,2020-04-30 15:13:47,106498.0,1073.0,11619.0,10595627
RUSSIA,2020-05-01 00:05:16,106498.0,1073.0,11619.0,10713916
RUSSIA,2020-05-01 10:41:27,106498.0,1073.0,11619.0,10752087
RUSSIA,2020-05-01 11:53:59,106498.0,1073.0,11619.0,10756439
RUSSIA,2020-05-01 15:33:11,114431.0,1169.0,13220.0,10769591
RUSSIA,2020-05-01 17:55:59,114431.0,1169.0,13220.0,10778159
RUSSIA,2020-05-01 21:26:40,114431.0,1169.0,13220.0,10790800
RUSSIA,2020-05-02 00:11:13,114431.0,1169.0,13220.0,10800673
RUSSIA,2020-05-02 09:45:39,114431.0,1169.0,13220.0,10835139
RUSSIA,2020-05-02 12:46:52,114431.0,1169.0,13220.0,10846012
RUSSIA,2020-05-02 15:00:02,124054.0,1222.0,15013.0,10854002
RUSSIA,2020-05-02 18:00:30,124054.0,1222.0,15013.0,10864830
RUSSIA,2020-05-03 00:04:29,124054.0,1222.0,15013.0,10886669
RUSSIA,2020-05-03 11:56:15,124054.0,1222.0,15013.0,10929375
RUSSIA,2020-05-03 15:05:11,134687.0,1280.0,16639.0,10940711
RUSSIA,2020-05-03 17:57:14,134687.0,1280.0,16639.0,10951034
RUSSIA,2020-05-03 21:09:20,134687.0,1280.0,16639.0,10962560
RUSSIA,2020-05-03 23:58:14,134687.0,1280.0,16639.0,10972694
RUSSIA,2020-05-04 15:08:30,145268.0,1356.0,18095.0,11027310
RUSSIA,2020-05-04 18:37:54,145268.0,1356.0,18095.0,11039874
RUSSIA,2020-05-04 23:58:07,145268.0,1356.0,18095.0,11059087
RUSSIA,2020-05-05 01:13:37,145268.0,1356.0,18095.0,11063617
RUSSIA,2020-05-05 13:08:43,155370.0,1451.0,19865.0,11106523
RUSSIA,2020-05-05 15:01:21,155370.0,1451.0,19865.0,11113281
RUSSIA,2020-05-05 21:05:55,155370.0,1451.0,19865.0,11135155
RUSSIA,2020-05-06 00:00:44,155370.0,1451.0,19865.0,11145644
RUSSIA,2020-05-06 12:01:14,155370.0,1451.0,19865.0,11188874
RUSSIA,2020-05-06 18:00:04,165929.0,1537.0,21327.0,11210404
RUSSIA,2020-05-07 00:14:11,165929.0,1537.0,21327.0,11232851
RUSSIA,2020-05-07 11:57:25,165929.0,1537.0,21327.0,11275045
RUSSIA,2020-05-07 15:00:03,177160.0,1625.0,23803.0,11286003
RUSSIA,2020-05-07 18:26:51,177160.0,1625.0,23803.0,11298411
RUSSIA,2020-05-07 23:58:31,177160.0,1625.0,23803.0,11318311
RUSSIA,2020-05-08 12:02:06,177160.0,1625.0,23803.0,11361726
RUSSIA,2020-05-08 15:12:55,187859.0,1723.0,26608.0,11373175
RUSSIA,2020-05-08 18:26:19,187859.0,1723.0,26608.0,11384779
RUSSIA,2020-05-08 21:29:34,187859.0,1723.0,26608.0,11395774
RUSSIA,2020-05-09 00:43:24,187859.0,1723.0,26608.0,11407404
RUSSIA,2020-05-09 13:13:55,187859.0,1723.0,26608.0,11452435
RUSSIA,2020-05-09 15:22:29,198676.0,1827.0,31916.0,11460149
RUSSIA,2020-05-09 18:00:02,198676.0,1827.0,31916.0,11469602
RUSSIA,2020-05-10 00:44:24,198676.0,1827.0,31916.0,11493864
RUSSIA,2020-05-10 12:00:15,198676.0,1827.0,31916.0,11534415
RUSSIA,2020-05-10 15:09:02,209688.0,1915.0,34306.0,11545742
RUSSIA,2020-05-10 22:50:52,209688.0,1915.0,34306.0,11573452
RUSSIA,2020-05-10 23:59:01,209688.0,1915.0,34306.0,11577541
RUSSIA,2020-05-11 10:34:59,209688.0,1915.0,34306.0,11615699
RUSSIA,2020-05-11 14:55:28,221344.0,2009.0,39801.0,11631328
RUSSIA,2020-05-11 19:31:25,221344.0,2009.0,39801.0,11647885
RUSSIA,2020-05-11 21:00:14,221344.0,2009.0,39801.0,11653214
RUSSIA,2020-05-12 01:00:51,221344.0,2009.0,39801.0,11667651
RUSSIA,2020-05-12 10:08:26,221344.0,2009.0,39801.0,11700506
RUSSIA,2020-05-12 12:02:54,221344.0,2009.0,39801.0,11707374
RUSSIA,2020-05-12 15:00:02,232243.0,2116.0,43512.0,11718002
RUSSIA,2020-05-12 17:58:36,232243.0,2116.0,43512.0,11728716
RUSSIA,2020-05-12 21:01:11,232243.0,2116.0,43512.0,11739671
RUSSIA,2020-05-12 23:56:29,232243.0,2116.0,43512.0,11750189
RUSSIA,2020-05-13 10:34:40,232243.0,2116.0,43512.0,11788480
RUSSIA,2020-05-13 12:00:02,232243.0,2116.0,43512.0,11793602
RUSSIA,2020-05-13 16:27:08,242271.0,2212.0,48003.0,11809628
RUSSIA,2020-05-13 21:00:25,242271.0,2212.0,48003.0,11826025
RUSSIA,2020-05-14 00:30:12,242271.0,2212.0,48003.0,11838612
RUSSIA,2020-05-14 12:01:47,242271.0,2212.0,48003.0,11880107
RUSSIA,2020-05-14 15:54:36,252245.0,2305.0,53530.0,11894076
RUSSIA,2020-05-14 19:05:05,252245.0,2305.0,53530.0,11905505
RUSSIA,2020-05-14 20:56:04,252245.0,2305.0,53530.0,11912164
RUSSIA,2020-05-15 01:21:38,252245.0,2305.0,53530.0,11928098
RUSSIA,2020-05-15 12:16:09,252245.0,2305.0,53530.0,11967369
RUSSIA,2020-05-15 15:26:20,262843.0,2418.0,58226.0,11978780
RUSSIA,2020-05-15 17:53:43,262843.0,2418.0,58226.0,11987623
RUSSIA,2020-05-15 21:00:16,262843.0,2418.0,58226.0,11998816
RUSSIA,2020-05-15 23:56:42,262843.0,2418.0,58226.0,12009402
RUSSIA,2020-05-16 12:26:00,262843.0,2418.0,58226.0,12054360
RUSSIA,2020-05-16 17:05:26,272043.0,2537.0,63166.0,12071126
RUSSIA,2020-05-16 18:40:21,272043.0,2537.0,63166.0,12076821
RUSSIA,2020-05-16 23:58:26,272043.0,2537.0,63166.0,12095906
RUSSIA,2020-05-17 12:00:02,272043.0,2537.0,63166.0,12139202
RUSSIA,2020-05-17 14:58:45,281752.0,2631.0,67373.0,12149925
RUSSIA,2020-05-17 18:48:59,281752.0,2631.0,67373.0,12163739
RUSSIA,2020-05-17 21:23:35,281752.0,2631.0,67373.0,12173015
RUSSIA,2020-05-18 00:05:04,281752.0,2631.0,67373.0,12182704
RUSSIA,2020-05-18 12:02:55,281752.0,2631.0,67373.0,12225775
RUSSIA,2020-05-18 15:32:44,290678.0,2722.0,70209.0,12238364
RUSSIA,2020-05-18 18:17:04,290678.0,2722.0,70209.0,12248224
RUSSIA,2020-05-18 21:14:07,290678.0,2722.0,70209.0,12258847
RUSSIA,2020-05-18 23:56:07,290678.0,2722.0,70209.0,12268567
