Nation,Time,Confirmed Case,Death,Recover,timestamp
RWANDA,3.4.2020.14.30.10,84.0,0.0,0.0,8260210
RWANDA,3.4.2020.14.30.11,84.0,0.0,0.0,8260211
RWANDA,3.4.2020.17.30.12,84.0,0.0,0.0,8271012
RWANDA,3.4.2020.20.30.12,84.0,0.0,0.0,8281812
RWANDA,3.4.2020.23.30.19,84.0,0.0,0.0,8292619
RWANDA,4.4.2020.8.30.14,89.0,0.0,0.0,8325014
RWANDA,4.4.2020.11.30.14,89.0,0.0,0.0,8335814
RWANDA,4.4.2020.14.30.16,89.0,0.0,0.0,8346616
RWANDA,4.4.2020.17.30.18,89.0,0.0,0.0,8357418
RWANDA,4.4.2020.20.30.33,89.0,0.0,0.0,8368233
RWANDA,4.4.2020.23.30.5,89.0,0.0,0.0,8379005
RWANDA,5.4.2020.8.30.7,102.0,0.0,0.0,8411407
RWANDA,5.4.2020.11.30.3,102.0,0.0,0.0,8422203
RWANDA,5.4.2020.14.30.4,102.0,0.0,0.0,8433004
RWANDA,5.4.2020.17.40.33,102.0,0.0,4.0,8444433
RWANDA,5.4.2020.20.33.28,102.0,0.0,4.0,8454808
RWANDA,5.4.2020.23.30.2,102.0,0.0,4.0,8465402
RWANDA,6.4.2020.8.37.49,104.0,0.0,4.0,8498269
RWANDA,6.4.2020.11.30.5,104.0,0.0,4.0,8508605
RWANDA,6.4.2020.14.44.21,104.0,0.0,4.0,8520261
RWANDA,6.4.2020.17.30.4,104.0,0.0,4.0,8530204
RWANDA,6.4.2020.21.0.44,104.0,0.0,4.0,8542844
RWANDA,7.4.2020.0.0.3,104.0,0.0,4.0,8553603
RWANDA,7.4.2020.9.0.4,105.0,0.0,4.0,8586004
RWANDA,7.4.2020.12.15.51,105.0,0.0,4.0,8597751
RWANDA,7.4.2020.15.59.55,105.0,0.0,4.0,8611195
RWANDA,7.4.2020.18.3.46,105.0,0.0,4.0,8618626
RWANDA,7.4.2020.21.32.15,105.0,0.0,4.0,8631135
RWANDA,8.4.2020.0.0.4,105.0,0.0,4.0,8640004
RWANDA,8.4.2020.9.0.46,105.0,0.0,7.0,8672446
RWANDA,8.4.2020.12.21.18,105.0,0.0,7.0,8684478
