Nation,Time,Confirmed Case,Death,Recover,timestamp
S. KOREA,3.4.2020.14.30.10,10062.0,174.0,6021.0,8260210
S. KOREA,3.4.2020.14.30.11,10062.0,174.0,6021.0,8260211
S. KOREA,3.4.2020.17.30.12,10062.0,174.0,6021.0,8271012
S. KOREA,3.4.2020.20.30.12,10062.0,174.0,6021.0,8281812
S. KOREA,3.4.2020.23.30.19,10062.0,174.0,6021.0,8292619
S. KOREA,4.4.2020.8.30.14,10156.0,177.0,6325.0,8325014
S. KOREA,4.4.2020.11.30.14,10156.0,180.0,6325.0,8335814
S. KOREA,4.4.2020.14.30.16,10156.0,180.0,6325.0,8346616
S. KOREA,4.4.2020.17.30.18,10156.0,180.0,6325.0,8357418
S. KOREA,4.4.2020.20.30.33,10156.0,180.0,6325.0,8368233
S. KOREA,4.4.2020.23.30.5,10156.0,180.0,6325.0,8379005
S. KOREA,5.4.2020.8.30.7,10237.0,183.0,6463.0,8411407
S. KOREA,5.4.2020.11.30.3,10237.0,183.0,6463.0,8422203
S. KOREA,5.4.2020.14.30.4,10237.0,183.0,6463.0,8433004
S. KOREA,5.4.2020.17.40.33,10237.0,183.0,6463.0,8444433
S. KOREA,5.4.2020.20.33.28,10237.0,183.0,6463.0,8454808
S. KOREA,5.4.2020.23.30.2,10237.0,183.0,6463.0,8465402
S. KOREA,6.4.2020.8.37.49,10284.0,186.0,6598.0,8498269
S. KOREA,6.4.2020.11.30.5,10284.0,186.0,6598.0,8508605
S. KOREA,6.4.2020.14.44.21,10284.0,189.0,6598.0,8520261
S. KOREA,6.4.2020.17.30.4,10284.0,189.0,6598.0,8530204
S. KOREA,6.4.2020.21.0.44,10284.0,189.0,6598.0,8542844
S. KOREA,7.4.2020.0.0.3,10284.0,189.0,6598.0,8553603
S. KOREA,7.4.2020.9.0.4,10331.0,192.0,6694.0,8586004
S. KOREA,7.4.2020.12.15.51,10331.0,192.0,6694.0,8597751
S. KOREA,7.4.2020.15.59.55,10331.0,192.0,6694.0,8611195
S. KOREA,7.4.2020.18.3.46,10331.0,192.0,6694.0,8618626
S. KOREA,7.4.2020.21.32.15,10331.0,199.0,6694.0,8631135
S. KOREA,8.4.2020.0.0.4,10331.0,199.0,6694.0,8640004
S. KOREA,8.4.2020.9.0.46,10384.0,200.0,6776.0,8672446
S. KOREA,8.4.2020.12.21.18,10384.0,200.0,6776.0,8684478
S. KOREA,8.4.2020.15.4.46,10384.0,200.0,6776.0,8694286
S. KOREA,8.4.2020.18.11.16,10384.0,200.0,6776.0,8705476
S. KOREA,8.4.2020.21.33.56,10384.0,204.0,6776.0,8717636
S. KOREA,9.4.2020.0.14.12,10384.0,204.0,6776.0,8727252
S. KOREA,9.4.2020.11.19.24,10423.0,204.0,6973.0,8767164
S. KOREA,9.4.2020.12.7.24,10423.0,204.0,6973.0,8770044
S. KOREA,9.4.2020.14.57.9,10423.0,204.0,6973.0,8780229
S. KOREA,9.4.2020.18.0.2,10423.0,204.0,6973.0,8791202
S. KOREA,10.4.2020.1.6.14,10423.0,204.0,6973.0,8816774
S. KOREA,10.4.2020.9.4.46,10450.0,208.0,7117.0,8845486
S. KOREA,10.4.2020.12.9.17,10450.0,208.0,7117.0,8856557
S. KOREA,10.4.2020.14.55.51,10450.0,208.0,7117.0,8866551
S. KOREA,10.4.2020.18.41.5,10450.0,208.0,7117.0,8880065
S. KOREA,10.4.2020.21.59.17,10450.0,208.0,7117.0,8891957
S. KOREA,11.4.2020.0.0.34,10450.0,208.0,7117.0,8899234
S. KOREA,11.4.2020.9.1.32,10480.0,211.0,7243.0,8931692
S. KOREA,11.4.2020.12.8.24,10480.0,211.0,7243.0,8942904
S. KOREA,11.4.2020.17.0.40,10480.0,211.0,7243.0,8960440
S. KOREA,11.4.2020.18.12.28,10480.0,211.0,7243.0,8964748
S. KOREA,11.4.2020.21.44.19,10480.0,211.0,7243.0,8977459
S. KOREA,11.4.2020.23.59.29,10480.0,211.0,7243.0,8985569
S. KOREA,12.4.2020.9.0.42,10512.0,214.0,7368.0,9018042
S. KOREA,12.4.2020.12.5.42,10512.0,214.0,7368.0,9029142
S. KOREA,12.4.2020.15.9.25,10512.0,214.0,7368.0,9040165
S. KOREA,12.4.2020.18.22.1,10512.0,214.0,7368.0,9051721
S. KOREA,12.4.2020.20.59.25,10512.0,214.0,7368.0,9061165
S. KOREA,13.4.2020.0.7.13,10512.0,214.0,7368.0,9072433
S. KOREA,13.4.2020.9.26.16,10537.0,217.0,7447.0,9105976
S. KOREA,13.4.2020.11.59.14,10537.0,217.0,7447.0,9115154
S. KOREA,13.4.2020.15.13.1,10537.0,217.0,7447.0,9126781
S. KOREA,13.4.2020.20.23.47,10537.0,217.0,7447.0,9145427
S. KOREA,13.4.2020.21.1.27,10537.0,217.0,7447.0,9147687
S. KOREA,14.4.2020.0.30.40,10537.0,217.0,7447.0,9160240
S. KOREA,14.4.2020.9.9.9,10564.0,222.0,7534.0,9191349
S. KOREA,14.4.2020.12.13.23,10564.0,222.0,7534.0,9202403
S. KOREA,14.4.2020.15.49.28,10564.0,222.0,7534.0,9215368
S. KOREA,14.4.2020.18.27.14,10564.0,222.0,7534.0,9224834
S. KOREA,14.4.2020.21.18.50,10564.0,222.0,7534.0,9235130
S. KOREA,15.4.2020.0.7.14,10564.0,222.0,7534.0,9245234
S. KOREA,15.4.2020.9.0.9,10591.0,225.0,7616.0,9277209
S. KOREA,15.4.2020.14.56.18,10591.0,225.0,7616.0,9298578
S. KOREA,15.4.2020.19.52.38,10591.0,225.0,7616.0,9316358
S. KOREA,15.4.2020.21.18.33,10591.0,225.0,7616.0,9321513
S. KOREA,16.4.2020.0.51.15,10591.0,225.0,7616.0,9334275
S. KOREA,16.4.2020.9.4.51,10613.0,229.0,7757.0,9363891
S. KOREA,16.4.2020.12.5.8,10613.0,229.0,7757.0,9374708
S. KOREA,16.4.2020.14.57.8,10613.0,229.0,7757.0,9385028
S. KOREA,16.4.2020.17.58.25,10613.0,229.0,7757.0,9395905
S. KOREA,16.4.2020.22.41.20,10613.0,229.0,7757.0,9412880
S. KOREA,17.4.2020.1.32.36,10613.0,229.0,7757.0,9423156
S. KOREA,17.4.2020.9.11.4,10635.0,230.0,7829.0,9450664
S. KOREA,17.4.2020.12.2.1,10635.0,230.0,7829.0,9460921
S. KOREA,17.4.2020.14.56.35,10635.0,230.0,7829.0,9471395
S. KOREA,17.4.2020.18.39.21,10635.0,230.0,7829.0,9484761
S. KOREA,17.4.2020.22.45.21,10635.0,230.0,7829.0,9499521
S. KOREA,18.4.2020.8.54.14,10653.0,232.0,7937.0,9536054
S. KOREA,18.4.2020.13.55.54,10653.0,232.0,7937.0,9554154
S. KOREA,18.4.2020.15.41.6,10653.0,232.0,7937.0,9560466
S. KOREA,18.4.2020.18.3.48,10653.0,232.0,7937.0,9569028
S. KOREA,19.4.2020.0.17.39,10653.0,232.0,7937.0,9591459
S. KOREA,19.4.2020.9.10.8,10661.0,234.0,8042.0,9623408
S. KOREA,19.4.2020.15.11.32,10661.0,234.0,8042.0,9645092
S. KOREA,19.4.2020.18.7.21,10661.0,234.0,8042.0,9655641
S. KOREA,19.4.2020.21.1.51,10661.0,234.0,8042.0,9666111
S. KOREA,20.4.2020.0.0.38,10661.0,234.0,8042.0,9676838
S. KOREA,20.4.2020.12.46.45,10674.0,236.0,8114.0,9722805
