Nation,Time,Confirmed Case,Death,Recover,timestamp
SAINT BARTHELEMY,2020-04-03 14:30:10,6.0,0.0,1.0,8260210
SAINT BARTHELEMY,2020-04-03 14:30:11,6.0,0.0,1.0,8260211
SAINT BARTHELEMY,2020-04-03 17:30:12,6.0,0.0,1.0,8271012
SAINT BARTHELEMY,2020-04-03 20:30:12,6.0,0.0,1.0,8281812
SAINT BARTHELEMY,2020-04-03 23:30:19,6.0,0.0,1.0,8292619
SAINT BARTHELEMY,2020-04-04 08:30:14,6.0,0.0,1.0,8325014
SAINT BARTHELEMY,2020-04-04 11:30:14,6.0,0.0,1.0,8335814
SAINT BARTHELEMY,2020-04-04 14:30:16,6.0,0.0,1.0,8346616
SAINT BARTHELEMY,2020-04-04 17:30:18,6.0,0.0,1.0,8357418
SAINT BARTHELEMY,2020-04-04 20:30:33,6.0,0.0,1.0,8368233
SAINT BARTHELEMY,2020-04-04 23:30:05,6.0,0.0,1.0,8379005
SAINT BARTHELEMY,2020-04-05 08:30:07,6.0,0.0,1.0,8411407
SAINT BARTHELEMY,2020-04-05 11:30:03,6.0,0.0,1.0,8422203
SAINT BARTHELEMY,2020-04-05 14:30:04,6.0,0.0,1.0,8433004
SAINT BARTHELEMY,2020-04-05 17:40:33,6.0,0.0,1.0,8444433
SAINT BARTHELEMY,2020-04-05 20:33:28,6.0,0.0,1.0,8454808
SAINT BARTHELEMY,2020-04-05 23:30:02,6.0,0.0,1.0,8465402
SAINT BARTHELEMY,2020-04-06 08:37:49,6.0,0.0,1.0,8498269
SAINT BARTHELEMY,2020-04-06 11:30:05,6.0,0.0,1.0,8508605
SAINT BARTHELEMY,2020-04-06 14:44:21,6.0,0.0,1.0,8520261
SAINT BARTHELEMY,2020-04-06 17:30:04,6.0,0.0,1.0,8530204
SAINT BARTHELEMY,2020-04-06 21:00:44,6.0,0.0,1.0,8542844
SAINT BARTHELEMY,2020-04-07 00:00:03,6.0,0.0,1.0,8553603
SAINT BARTHELEMY,2020-04-07 09:00:04,6.0,0.0,1.0,8586004
SAINT BARTHELEMY,2020-04-07 12:15:51,6.0,0.0,1.0,8597751
SAINT BARTHELEMY,2020-04-07 15:59:55,6.0,0.0,1.0,8611195
