Nation,Time,Confirmed Case,Death,Recover,timestamp
SAINT LUCIA,3.4.2020.14.30.10,13.0,0.0,1.0,8260210
SAINT LUCIA,3.4.2020.14.30.11,13.0,0.0,1.0,8260211
SAINT LUCIA,3.4.2020.17.30.12,13.0,0.0,1.0,8271012
SAINT LUCIA,3.4.2020.20.30.12,13.0,0.0,1.0,8281812
SAINT LUCIA,3.4.2020.23.30.19,13.0,0.0,1.0,8292619
SAINT LUCIA,4.4.2020.8.30.14,13.0,0.0,1.0,8325014
SAINT LUCIA,4.4.2020.11.30.14,13.0,0.0,1.0,8335814
SAINT LUCIA,4.4.2020.14.30.16,13.0,0.0,1.0,8346616
SAINT LUCIA,4.4.2020.17.30.18,13.0,0.0,1.0,8357418
SAINT LUCIA,4.4.2020.20.30.33,13.0,0.0,1.0,8368233
SAINT LUCIA,4.4.2020.23.30.5,13.0,0.0,1.0,8379005
SAINT LUCIA,5.4.2020.8.30.7,14.0,0.0,1.0,8411407
SAINT LUCIA,5.4.2020.11.30.3,14.0,0.0,1.0,8422203
SAINT LUCIA,5.4.2020.14.30.4,14.0,0.0,1.0,8433004
SAINT LUCIA,5.4.2020.17.40.33,14.0,0.0,1.0,8444433
SAINT LUCIA,5.4.2020.20.33.28,14.0,0.0,1.0,8454808
SAINT LUCIA,5.4.2020.23.30.2,14.0,0.0,1.0,8465402
SAINT LUCIA,6.4.2020.8.37.49,14.0,0.0,1.0,8498269
SAINT LUCIA,6.4.2020.11.30.5,14.0,0.0,1.0,8508605
SAINT LUCIA,6.4.2020.14.44.21,14.0,0.0,1.0,8520261
SAINT LUCIA,6.4.2020.17.30.4,14.0,0.0,1.0,8530204
SAINT LUCIA,6.4.2020.21.0.44,14.0,0.0,1.0,8542844
SAINT LUCIA,7.4.2020.0.0.3,14.0,0.0,1.0,8553603
SAINT LUCIA,7.4.2020.9.0.4,14.0,0.0,1.0,8586004
SAINT LUCIA,7.4.2020.12.15.51,14.0,0.0,1.0,8597751
SAINT LUCIA,7.4.2020.15.59.55,14.0,0.0,1.0,8611195
SAINT LUCIA,7.4.2020.18.3.46,14.0,0.0,1.0,8618626
SAINT LUCIA,7.4.2020.21.32.15,14.0,0.0,1.0,8631135
SAINT LUCIA,8.4.2020.0.0.4,14.0,0.0,1.0,8640004
SAINT LUCIA,8.4.2020.9.0.46,14.0,0.0,1.0,8672446
SAINT LUCIA,8.4.2020.12.21.18,14.0,0.0,1.0,8684478
SAINT LUCIA,8.4.2020.15.4.46,14.0,0.0,1.0,8694286
SAINT LUCIA,8.4.2020.18.11.16,14.0,0.0,1.0,8705476
SAINT LUCIA,8.4.2020.21.33.56,14.0,0.0,1.0,8717636
SAINT LUCIA,9.4.2020.0.14.12,14.0,0.0,1.0,8727252
SAINT LUCIA,9.4.2020.11.19.24,14.0,0.0,1.0,8767164
SAINT LUCIA,9.4.2020.12.7.24,14.0,0.0,1.0,8770044
SAINT LUCIA,9.4.2020.14.57.9,14.0,0.0,1.0,8780229
SAINT LUCIA,9.4.2020.18.0.2,14.0,0.0,1.0,8791202
SAINT LUCIA,10.4.2020.1.6.14,14.0,0.0,1.0,8816774
SAINT LUCIA,10.4.2020.9.4.46,14.0,0.0,1.0,8845486
SAINT LUCIA,10.4.2020.12.9.17,14.0,0.0,1.0,8856557
SAINT LUCIA,10.4.2020.14.55.51,14.0,0.0,1.0,8866551
SAINT LUCIA,10.4.2020.18.41.5,14.0,0.0,1.0,8880065
SAINT LUCIA,10.4.2020.21.59.17,14.0,0.0,1.0,8891957
SAINT LUCIA,11.4.2020.0.0.34,14.0,0.0,1.0,8899234
SAINT LUCIA,11.4.2020.9.1.32,15.0,0.0,1.0,8931692
SAINT LUCIA,11.4.2020.12.8.24,15.0,0.0,1.0,8942904
SAINT LUCIA,11.4.2020.17.0.40,15.0,0.0,1.0,8960440
SAINT LUCIA,11.4.2020.18.12.28,15.0,0.0,1.0,8964748
SAINT LUCIA,11.4.2020.21.44.19,15.0,0.0,1.0,8977459
SAINT LUCIA,11.4.2020.23.59.29,15.0,0.0,1.0,8985569
SAINT LUCIA,12.4.2020.9.0.42,15.0,0.0,1.0,9018042
SAINT LUCIA,12.4.2020.12.5.42,15.0,0.0,1.0,9029142
SAINT LUCIA,12.4.2020.15.9.25,15.0,0.0,4.0,9040165
SAINT LUCIA,12.4.2020.18.22.1,15.0,0.0,4.0,9051721
SAINT LUCIA,12.4.2020.20.59.25,15.0,0.0,4.0,9061165
SAINT LUCIA,13.4.2020.0.7.13,15.0,0.0,4.0,9072433
SAINT LUCIA,13.4.2020.9.26.16,15.0,0.0,4.0,9105976
