Nation,Time,Confirmed Case,Death,Recover,timestamp
SAINT MARTIN,3.4.2020.14.30.10,22.0,1.0,2.0,8260210
SAINT MARTIN,3.4.2020.14.30.11,22.0,1.0,2.0,8260211
SAINT MARTIN,3.4.2020.17.30.12,22.0,1.0,2.0,8271012
SAINT MARTIN,3.4.2020.20.30.12,22.0,1.0,2.0,8281812
SAINT MARTIN,3.4.2020.23.30.19,22.0,1.0,2.0,8292619
SAINT MARTIN,4.4.2020.8.30.14,22.0,1.0,2.0,8325014
SAINT MARTIN,4.4.2020.11.30.14,22.0,1.0,2.0,8335814
SAINT MARTIN,4.4.2020.14.30.16,22.0,1.0,2.0,8346616
SAINT MARTIN,4.4.2020.17.30.18,22.0,1.0,2.0,8357418
SAINT MARTIN,4.4.2020.20.30.33,24.0,2.0,5.0,8368233
SAINT MARTIN,4.4.2020.23.30.5,24.0,2.0,5.0,8379005
SAINT MARTIN,5.4.2020.8.30.7,24.0,2.0,5.0,8411407
SAINT MARTIN,5.4.2020.11.30.3,29.0,2.0,7.0,8422203
SAINT MARTIN,5.4.2020.14.30.4,29.0,2.0,7.0,8433004
SAINT MARTIN,5.4.2020.17.40.33,29.0,2.0,7.0,8444433
SAINT MARTIN,5.4.2020.20.33.28,29.0,2.0,7.0,8454808
SAINT MARTIN,5.4.2020.23.30.2,29.0,2.0,7.0,8465402
SAINT MARTIN,6.4.2020.8.37.49,32.0,2.0,7.0,8498269
SAINT MARTIN,6.4.2020.11.30.5,32.0,2.0,7.0,8508605
SAINT MARTIN,6.4.2020.14.44.21,32.0,2.0,7.0,8520261
SAINT MARTIN,6.4.2020.17.30.4,32.0,2.0,7.0,8530204
SAINT MARTIN,6.4.2020.21.0.44,32.0,2.0,7.0,8542844
SAINT MARTIN,7.4.2020.0.0.3,32.0,2.0,7.0,8553603
SAINT MARTIN,7.4.2020.9.0.4,32.0,2.0,7.0,8586004
SAINT MARTIN,7.4.2020.12.15.51,32.0,2.0,7.0,8597751
SAINT MARTIN,7.4.2020.15.59.55,32.0,2.0,7.0,8611195
SAINT MARTIN,7.4.2020.18.3.46,32.0,2.0,7.0,8618626
SAINT MARTIN,7.4.2020.21.32.15,32.0,2.0,7.0,8631135
SAINT MARTIN,8.4.2020.0.0.4,32.0,2.0,7.0,8640004
SAINT MARTIN,8.4.2020.9.0.46,32.0,2.0,7.0,8672446
SAINT MARTIN,8.4.2020.12.21.18,32.0,2.0,7.0,8684478
SAINT MARTIN,8.4.2020.15.4.46,32.0,2.0,7.0,8694286
SAINT MARTIN,8.4.2020.18.11.16,32.0,2.0,7.0,8705476
SAINT MARTIN,8.4.2020.21.33.56,32.0,2.0,7.0,8717636
SAINT MARTIN,9.4.2020.0.14.12,32.0,2.0,7.0,8727252
SAINT MARTIN,9.4.2020.11.19.24,32.0,2.0,7.0,8767164
SAINT MARTIN,9.4.2020.12.7.24,32.0,2.0,7.0,8770044
SAINT MARTIN,9.4.2020.14.57.9,32.0,2.0,7.0,8780229
SAINT MARTIN,9.4.2020.18.0.2,32.0,2.0,7.0,8791202
SAINT MARTIN,10.4.2020.1.6.14,32.0,2.0,7.0,8816774
SAINT MARTIN,10.4.2020.9.4.46,32.0,2.0,7.0,8845486
SAINT MARTIN,10.4.2020.12.9.17,32.0,2.0,7.0,8856557
SAINT MARTIN,10.4.2020.14.55.51,32.0,2.0,7.0,8866551
SAINT MARTIN,10.4.2020.18.41.5,32.0,2.0,11.0,8880065
SAINT MARTIN,10.4.2020.21.59.17,32.0,2.0,11.0,8891957
SAINT MARTIN,11.4.2020.0.0.34,32.0,2.0,11.0,8899234
SAINT MARTIN,11.4.2020.9.1.32,32.0,2.0,11.0,8931692
SAINT MARTIN,11.4.2020.12.8.24,32.0,2.0,11.0,8942904
SAINT MARTIN,11.4.2020.17.0.40,32.0,2.0,11.0,8960440
SAINT MARTIN,11.4.2020.18.12.28,32.0,2.0,11.0,8964748
SAINT MARTIN,11.4.2020.21.44.19,32.0,2.0,11.0,8977459
SAINT MARTIN,11.4.2020.23.59.29,32.0,2.0,11.0,8985569
SAINT MARTIN,12.4.2020.9.0.42,32.0,2.0,11.0,9018042
SAINT MARTIN,12.4.2020.12.5.42,32.0,2.0,11.0,9029142
SAINT MARTIN,12.4.2020.15.9.25,32.0,2.0,11.0,9040165
SAINT MARTIN,12.4.2020.18.22.1,32.0,2.0,11.0,9051721
SAINT MARTIN,12.4.2020.20.59.25,32.0,2.0,11.0,9061165
SAINT MARTIN,13.4.2020.0.7.13,32.0,2.0,11.0,9072433
SAINT MARTIN,13.4.2020.9.26.16,32.0,2.0,11.0,9105976
SAINT MARTIN,13.4.2020.11.59.14,32.0,2.0,11.0,9115154
SAINT MARTIN,13.4.2020.15.13.1,32.0,2.0,11.0,9126781
SAINT MARTIN,13.4.2020.20.23.47,32.0,2.0,11.0,9145427
SAINT MARTIN,13.4.2020.21.1.27,32.0,2.0,11.0,9147687
SAINT MARTIN,14.4.2020.0.30.40,32.0,2.0,11.0,9160240
SAINT MARTIN,14.4.2020.9.9.9,32.0,2.0,11.0,9191349
SAINT MARTIN,14.4.2020.12.13.23,32.0,2.0,11.0,9202403
SAINT MARTIN,14.4.2020.15.49.28,32.0,2.0,11.0,9215368
SAINT MARTIN,14.4.2020.18.27.14,32.0,2.0,11.0,9224834
SAINT MARTIN,14.4.2020.21.18.50,32.0,2.0,11.0,9235130
SAINT MARTIN,15.4.2020.0.7.14,32.0,2.0,11.0,9245234
SAINT MARTIN,15.4.2020.9.0.9,32.0,2.0,11.0,9277209
SAINT MARTIN,15.4.2020.14.56.18,32.0,2.0,11.0,9298578
SAINT MARTIN,15.4.2020.19.52.38,35.0,2.0,13.0,9316358
SAINT MARTIN,15.4.2020.21.18.33,35.0,2.0,13.0,9321513
SAINT MARTIN,16.4.2020.0.51.15,35.0,2.0,13.0,9334275
SAINT MARTIN,16.4.2020.9.4.51,35.0,2.0,13.0,9363891
SAINT MARTIN,16.4.2020.12.5.8,35.0,2.0,13.0,9374708
SAINT MARTIN,16.4.2020.14.57.8,35.0,2.0,13.0,9385028
SAINT MARTIN,16.4.2020.17.58.25,35.0,2.0,13.0,9395905
SAINT MARTIN,16.4.2020.22.41.20,35.0,2.0,13.0,9412880
SAINT MARTIN,17.4.2020.1.32.36,35.0,2.0,13.0,9423156
SAINT MARTIN,17.4.2020.9.11.4,35.0,2.0,13.0,9450664
SAINT MARTIN,17.4.2020.12.2.1,35.0,2.0,13.0,9460921
SAINT MARTIN,17.4.2020.14.56.35,35.0,2.0,13.0,9471395
SAINT MARTIN,17.4.2020.18.39.21,35.0,2.0,13.0,9484761
SAINT MARTIN,17.4.2020.22.45.21,35.0,2.0,13.0,9499521
SAINT MARTIN,18.4.2020.8.54.14,35.0,2.0,13.0,9536054
SAINT MARTIN,18.4.2020.13.55.54,35.0,2.0,13.0,9554154
SAINT MARTIN,18.4.2020.15.41.6,35.0,2.0,13.0,9560466
SAINT MARTIN,18.4.2020.18.3.48,37.0,2.0,19.0,9569028
SAINT MARTIN,19.4.2020.0.17.39,37.0,2.0,19.0,9591459
SAINT MARTIN,19.4.2020.9.10.8,37.0,2.0,19.0,9623408
SAINT MARTIN,19.4.2020.15.11.32,37.0,2.0,19.0,9645092
SAINT MARTIN,19.4.2020.18.7.21,37.0,2.0,19.0,9655641
SAINT MARTIN,19.4.2020.21.1.51,37.0,2.0,19.0,9666111
SAINT MARTIN,20.4.2020.0.0.38,37.0,2.0,19.0,9676838
SAINT MARTIN,20.4.2020.12.46.45,37.0,2.0,19.0,9722805
SAINT MARTIN,20.4.2020.15.15.13,37.0,2.0,19.0,9731713
SAINT MARTIN,20.4.2020.18.0.55,37.0,2.0,19.0,9741655
SAINT MARTIN,20.4.2020.20.51.26,37.0,2.0,19.0,9751886
SAINT MARTIN,20.4.2020.23.57.35,37.0,2.0,19.0,9763055
SAINT MARTIN,21.4.2020.12.5.6,37.0,2.0,19.0,9806706
SAINT MARTIN,21.4.2020.18.5.54,37.0,2.0,19.0,9828354
SAINT MARTIN,21.4.2020.20.56.52,37.0,2.0,19.0,9838612
SAINT MARTIN,22.4.2020.10.13.50,38.0,2.0,19.0,9886430
SAINT MARTIN,22.4.2020.12.1.15,38.0,2.0,19.0,9892875
SAINT MARTIN,22.4.2020.15.4.35,38.0,2.0,19.0,9903875
SAINT MARTIN,23.4.2020.0.41.34,38.0,2.0,19.0,9938494
SAINT MARTIN,23.4.2020.11.0.28,38.0,2.0,19.0,9975628
SAINT MARTIN,23.4.2020.18.9.30,38.0,2.0,19.0,10001370
SAINT MARTIN,23.4.2020.21.15.10,38.0,2.0,19.0,10012510
SAINT MARTIN,24.4.2020.12.38.27,38.0,2.0,20.0,10067907
SAINT MARTIN,24.4.2020.15.7.1,38.0,2.0,20.0,10076821
SAINT MARTIN,24.4.2020.18.5.8,38.0,2.0,20.0,10087508
SAINT MARTIN,25.4.2020.1.24.20,38.0,2.0,20.0,10113860
SAINT MARTIN,25.4.2020.10.29.29,38.0,3.0,24.0,10146569
SAINT MARTIN,25.4.2020.13.6.30,38.0,3.0,24.0,10155990
SAINT MARTIN,25.4.2020.15.13.19,38.0,3.0,24.0,10163599
SAINT MARTIN,25.4.2020.18.5.53,38.0,3.0,24.0,10173953
SAINT MARTIN,26.4.2020.0.2.26,38.0,3.0,24.0,10195346
SAINT MARTIN,26.4.2020.10.30.36,38.0,3.0,24.0,10233036
