Nation,Time,Confirmed Case,Death,Recover,timestamp
SAO TOME AND PRINCIPE,2020-04-03 14:30:10,0.0,0.0,0.0,8260210
SAO TOME AND PRINCIPE,2020-04-03 14:30:11,0.0,0.0,0.0,8260211
SAO TOME AND PRINCIPE,2020-04-03 17:30:12,0.0,0.0,0.0,8271012
SAO TOME AND PRINCIPE,2020-04-03 20:30:12,0.0,0.0,0.0,8281812
SAO TOME AND PRINCIPE,2020-04-03 23:30:19,0.0,0.0,0.0,8292619
SAO TOME AND PRINCIPE,2020-04-04 08:30:14,0.0,0.0,0.0,8325014
SAO TOME AND PRINCIPE,2020-04-04 11:30:14,0.0,0.0,0.0,8335814
SAO TOME AND PRINCIPE,2020-04-04 14:30:16,0.0,0.0,0.0,8346616
SAO TOME AND PRINCIPE,2020-04-04 17:30:18,0.0,0.0,0.0,8357418
SAO TOME AND PRINCIPE,2020-04-04 20:30:33,0.0,0.0,0.0,8368233
SAO TOME AND PRINCIPE,2020-04-04 23:30:05,0.0,0.0,0.0,8379005
SAO TOME AND PRINCIPE,2020-04-05 08:30:07,0.0,0.0,0.0,8411407
SAO TOME AND PRINCIPE,2020-04-05 11:30:03,0.0,0.0,0.0,8422203
SAO TOME AND PRINCIPE,2020-04-05 14:30:04,0.0,0.0,0.0,8433004
SAO TOME AND PRINCIPE,2020-04-05 17:40:33,0.0,0.0,0.0,8444433
SAO TOME AND PRINCIPE,2020-04-05 20:33:28,0.0,0.0,0.0,8454808
SAO TOME AND PRINCIPE,2020-04-05 23:30:02,0.0,0.0,0.0,8465402
SAO TOME AND PRINCIPE,2020-04-06 08:37:49,0.0,0.0,0.0,8498269
SAO TOME AND PRINCIPE,2020-04-06 11:30:05,0.0,0.0,0.0,8508605
SAO TOME AND PRINCIPE,2020-04-06 14:44:21,0.0,0.0,0.0,8520261
SAO TOME AND PRINCIPE,2020-04-06 17:30:04,0.0,0.0,0.0,8530204
SAO TOME AND PRINCIPE,2020-04-06 21:00:44,4.0,0.0,0.0,8542844
SAO TOME AND PRINCIPE,2020-04-07 00:00:03,4.0,0.0,0.0,8553603
SAO TOME AND PRINCIPE,2020-04-07 09:00:04,4.0,0.0,0.0,8586004
SAO TOME AND PRINCIPE,2020-04-07 12:15:51,4.0,0.0,0.0,8597751
SAO TOME AND PRINCIPE,2020-04-07 15:59:55,4.0,0.0,0.0,8611195
SAO TOME AND PRINCIPE,2020-04-07 18:03:46,4.0,0.0,0.0,8618626
SAO TOME AND PRINCIPE,2020-04-07 21:32:15,4.0,0.0,0.0,8631135
SAO TOME AND PRINCIPE,2020-04-08 00:00:04,4.0,0.0,0.0,8640004
SAO TOME AND PRINCIPE,2020-04-08 09:00:46,4.0,0.0,0.0,8672446
SAO TOME AND PRINCIPE,2020-04-08 12:21:18,4.0,0.0,0.0,8684478
SAO TOME AND PRINCIPE,2020-04-08 15:04:46,4.0,0.0,0.0,8694286
SAO TOME AND PRINCIPE,2020-04-08 18:11:16,4.0,0.0,0.0,8705476
SAO TOME AND PRINCIPE,2020-04-08 21:33:56,4.0,0.0,0.0,8717636
SAO TOME AND PRINCIPE,2020-04-09 00:14:12,4.0,0.0,0.0,8727252
SAO TOME AND PRINCIPE,2020-04-09 11:19:24,4.0,0.0,0.0,8767164
SAO TOME AND PRINCIPE,2020-04-09 12:07:24,4.0,0.0,0.0,8770044
SAO TOME AND PRINCIPE,2020-04-09 14:57:09,4.0,0.0,0.0,8780229
SAO TOME AND PRINCIPE,2020-04-09 18:00:02,4.0,0.0,0.0,8791202
SAO TOME AND PRINCIPE,2020-04-10 01:06:14,4.0,0.0,0.0,8816774
SAO TOME AND PRINCIPE,2020-04-10 09:04:46,4.0,0.0,0.0,8845486
SAO TOME AND PRINCIPE,2020-04-10 12:09:17,4.0,0.0,0.0,8856557
SAO TOME AND PRINCIPE,2020-04-10 14:55:51,4.0,0.0,0.0,8866551
SAO TOME AND PRINCIPE,2020-04-10 18:41:05,4.0,0.0,0.0,8880065
SAO TOME AND PRINCIPE,2020-04-10 21:59:17,4.0,0.0,0.0,8891957
SAO TOME AND PRINCIPE,2020-04-11 00:00:34,4.0,0.0,0.0,8899234
SAO TOME AND PRINCIPE,2020-04-11 09:01:32,4.0,0.0,0.0,8931692
SAO TOME AND PRINCIPE,2020-04-11 12:08:24,4.0,0.0,0.0,8942904
SAO TOME AND PRINCIPE,2020-04-11 17:00:40,4.0,0.0,0.0,8960440
SAO TOME AND PRINCIPE,2020-04-11 18:12:28,4.0,0.0,0.0,8964748
SAO TOME AND PRINCIPE,2020-04-11 21:44:19,4.0,0.0,0.0,8977459
SAO TOME AND PRINCIPE,2020-04-11 23:59:29,4.0,0.0,0.0,8985569
SAO TOME AND PRINCIPE,2020-04-12 09:00:42,4.0,0.0,0.0,9018042
SAO TOME AND PRINCIPE,2020-04-12 12:05:42,4.0,0.0,0.0,9029142
SAO TOME AND PRINCIPE,2020-04-12 15:09:25,4.0,0.0,0.0,9040165
SAO TOME AND PRINCIPE,2020-04-12 18:22:01,4.0,0.0,0.0,9051721
SAO TOME AND PRINCIPE,2020-04-12 20:59:25,4.0,0.0,0.0,9061165
SAO TOME AND PRINCIPE,2020-04-13 00:07:13,4.0,0.0,0.0,9072433
SAO TOME AND PRINCIPE,2020-04-13 09:26:16,4.0,0.0,0.0,9105976
SAO TOME AND PRINCIPE,2020-04-13 11:59:14,4.0,0.0,0.0,9115154
SAO TOME AND PRINCIPE,2020-04-13 15:13:01,4.0,0.0,0.0,9126781
SAO TOME AND PRINCIPE,2020-04-13 20:23:47,4.0,0.0,0.0,9145427
SAO TOME AND PRINCIPE,2020-04-13 21:01:27,4.0,0.0,0.0,9147687
SAO TOME AND PRINCIPE,2020-04-14 00:30:40,4.0,0.0,0.0,9160240
SAO TOME AND PRINCIPE,2020-04-14 09:09:09,4.0,0.0,0.0,9191349
SAO TOME AND PRINCIPE,2020-04-14 12:13:23,4.0,0.0,0.0,9202403
SAO TOME AND PRINCIPE,2020-04-14 15:49:28,4.0,0.0,0.0,9215368
SAO TOME AND PRINCIPE,2020-04-14 18:27:14,4.0,0.0,0.0,9224834
SAO TOME AND PRINCIPE,2020-04-14 21:18:50,4.0,0.0,0.0,9235130
SAO TOME AND PRINCIPE,2020-04-15 00:07:14,4.0,0.0,0.0,9245234
SAO TOME AND PRINCIPE,2020-04-15 09:00:09,4.0,0.0,0.0,9277209
SAO TOME AND PRINCIPE,2020-04-15 14:56:18,4.0,0.0,0.0,9298578
