Nation,Time,Confirmed Case,Death,Recover,timestamp
SENEGAL,3.4.2020.14.30.10,195.0,1.0,55.0,8260210
SENEGAL,3.4.2020.14.30.11,195.0,1.0,55.0,8260211
SENEGAL,3.4.2020.17.30.12,207.0,1.0,66.0,8271012
SENEGAL,3.4.2020.20.30.12,207.0,1.0,66.0,8281812
SENEGAL,3.4.2020.23.30.19,207.0,1.0,66.0,8292619
SENEGAL,4.4.2020.8.30.14,207.0,1.0,66.0,8325014
SENEGAL,4.4.2020.11.30.14,207.0,1.0,66.0,8335814
SENEGAL,4.4.2020.14.30.16,207.0,1.0,66.0,8346616
SENEGAL,4.4.2020.17.30.18,207.0,1.0,66.0,8357418
SENEGAL,4.4.2020.20.30.33,219.0,2.0,72.0,8368233
SENEGAL,4.4.2020.23.30.5,219.0,2.0,72.0,8379005
SENEGAL,5.4.2020.8.30.7,219.0,2.0,72.0,8411407
SENEGAL,5.4.2020.11.30.3,219.0,2.0,72.0,8422203
SENEGAL,5.4.2020.14.30.4,219.0,2.0,72.0,8433004
SENEGAL,5.4.2020.17.40.33,222.0,2.0,82.0,8444433
SENEGAL,5.4.2020.20.33.28,222.0,2.0,82.0,8454808
SENEGAL,5.4.2020.23.30.2,222.0,2.0,82.0,8465402
SENEGAL,6.4.2020.8.37.49,222.0,2.0,82.0,8498269
SENEGAL,6.4.2020.11.30.5,222.0,2.0,82.0,8508605
SENEGAL,6.4.2020.14.44.21,222.0,2.0,82.0,8520261
SENEGAL,6.4.2020.17.30.4,226.0,2.0,92.0,8530204
SENEGAL,6.4.2020.21.0.44,226.0,2.0,92.0,8542844
SENEGAL,7.4.2020.0.0.3,226.0,2.0,92.0,8553603
SENEGAL,7.4.2020.9.0.4,226.0,2.0,92.0,8586004
SENEGAL,7.4.2020.12.15.51,226.0,2.0,92.0,8597751
SENEGAL,7.4.2020.15.59.55,226.0,2.0,92.0,8611195
SENEGAL,7.4.2020.18.3.46,226.0,2.0,92.0,8618626
SENEGAL,7.4.2020.21.32.15,237.0,2.0,105.0,8631135
SENEGAL,8.4.2020.0.0.4,237.0,2.0,105.0,8640004
SENEGAL,8.4.2020.9.0.46,237.0,2.0,105.0,8672446
SENEGAL,8.4.2020.12.21.18,237.0,2.0,105.0,8684478
