Nation,Time,Confirmed Case,Death,Recover,timestamp
SEYCHELLES,2020-04-03 14:30:10,10.0,0.0,0.0,8260210
SEYCHELLES,2020-04-03 14:30:11,10.0,0.0,0.0,8260211
SEYCHELLES,2020-04-03 17:30:12,10.0,0.0,0.0,8271012
SEYCHELLES,2020-04-03 20:30:12,10.0,0.0,0.0,8281812
SEYCHELLES,2020-04-03 23:30:19,10.0,0.0,0.0,8292619
SEYCHELLES,2020-04-04 08:30:14,10.0,0.0,0.0,8325014
SEYCHELLES,2020-04-04 11:30:14,10.0,0.0,0.0,8335814
SEYCHELLES,2020-04-04 14:30:16,10.0,0.0,0.0,8346616
SEYCHELLES,2020-04-04 17:30:18,10.0,0.0,0.0,8357418
SEYCHELLES,2020-04-04 20:30:33,10.0,0.0,0.0,8368233
SEYCHELLES,2020-04-04 23:30:05,10.0,0.0,0.0,8379005
SEYCHELLES,2020-04-05 08:30:07,10.0,0.0,0.0,8411407
SEYCHELLES,2020-04-05 11:30:03,10.0,0.0,0.0,8422203
SEYCHELLES,2020-04-05 14:30:04,10.0,0.0,0.0,8433004
SEYCHELLES,2020-04-05 17:40:33,10.0,0.0,0.0,8444433
SEYCHELLES,2020-04-05 20:33:28,10.0,0.0,0.0,8454808
SEYCHELLES,2020-04-05 23:30:02,10.0,0.0,0.0,8465402
SEYCHELLES,2020-04-06 08:37:49,10.0,0.0,0.0,8498269
SEYCHELLES,2020-04-06 11:30:05,10.0,0.0,0.0,8508605
SEYCHELLES,2020-04-06 14:44:21,10.0,0.0,0.0,8520261
SEYCHELLES,2020-04-06 17:30:04,10.0,0.0,0.0,8530204
SEYCHELLES,2020-04-06 21:00:44,11.0,0.0,0.0,8542844
SEYCHELLES,2020-04-07 00:00:03,11.0,0.0,0.0,8553603
SEYCHELLES,2020-04-07 09:00:04,11.0,0.0,0.0,8586004
SEYCHELLES,2020-04-07 12:15:51,11.0,0.0,0.0,8597751
SEYCHELLES,2020-04-07 15:59:55,11.0,0.0,0.0,8611195
SEYCHELLES,2020-04-07 18:03:46,11.0,0.0,0.0,8618626
SEYCHELLES,2020-04-07 21:32:15,11.0,0.0,0.0,8631135
SEYCHELLES,2020-04-08 00:00:04,11.0,0.0,0.0,8640004
SEYCHELLES,2020-04-08 09:00:46,11.0,0.0,0.0,8672446
SEYCHELLES,2020-04-08 12:21:18,11.0,0.0,0.0,8684478
SEYCHELLES,2020-04-08 15:04:46,11.0,0.0,0.0,8694286
SEYCHELLES,2020-04-08 18:11:16,11.0,0.0,0.0,8705476
SEYCHELLES,2020-04-08 21:33:56,11.0,0.0,0.0,8717636
SEYCHELLES,2020-04-09 00:14:12,11.0,0.0,0.0,8727252
SEYCHELLES,2020-04-09 11:19:24,11.0,0.0,0.0,8767164
SEYCHELLES,2020-04-09 12:07:24,11.0,0.0,0.0,8770044
SEYCHELLES,2020-04-09 14:57:09,11.0,0.0,0.0,8780229
SEYCHELLES,2020-04-09 18:00:02,11.0,0.0,0.0,8791202
SEYCHELLES,2020-04-10 01:06:14,11.0,0.0,0.0,8816774
SEYCHELLES,2020-04-10 09:04:46,11.0,0.0,0.0,8845486
SEYCHELLES,2020-04-10 12:09:17,11.0,0.0,0.0,8856557
SEYCHELLES,2020-04-10 14:55:51,11.0,0.0,0.0,8866551
SEYCHELLES,2020-04-10 18:41:05,11.0,0.0,0.0,8880065
SEYCHELLES,2020-04-10 21:59:17,11.0,0.0,0.0,8891957
SEYCHELLES,2020-04-11 00:00:34,11.0,0.0,0.0,8899234
SEYCHELLES,2020-04-11 09:01:32,11.0,0.0,0.0,8931692
SEYCHELLES,2020-04-11 12:08:24,11.0,0.0,0.0,8942904
SEYCHELLES,2020-04-11 17:00:40,11.0,0.0,0.0,8960440
SEYCHELLES,2020-04-11 18:12:28,11.0,0.0,0.0,8964748
SEYCHELLES,2020-04-11 21:44:19,11.0,0.0,0.0,8977459
SEYCHELLES,2020-04-11 23:59:29,11.0,0.0,0.0,8985569
SEYCHELLES,2020-04-12 09:00:42,11.0,0.0,0.0,9018042
SEYCHELLES,2020-04-12 12:05:42,11.0,0.0,0.0,9029142
SEYCHELLES,2020-04-12 15:09:25,11.0,0.0,0.0,9040165
SEYCHELLES,2020-04-12 18:22:01,11.0,0.0,0.0,9051721
SEYCHELLES,2020-04-12 20:59:25,11.0,0.0,0.0,9061165
SEYCHELLES,2020-04-13 00:07:13,11.0,0.0,0.0,9072433
SEYCHELLES,2020-04-13 09:26:16,11.0,0.0,0.0,9105976
SEYCHELLES,2020-04-13 11:59:14,11.0,0.0,0.0,9115154
SEYCHELLES,2020-04-13 15:13:01,11.0,0.0,0.0,9126781
SEYCHELLES,2020-04-13 20:23:47,11.0,0.0,0.0,9145427
SEYCHELLES,2020-04-13 21:01:27,11.0,0.0,0.0,9147687
SEYCHELLES,2020-04-14 00:30:40,11.0,0.0,0.0,9160240
SEYCHELLES,2020-04-14 09:09:09,11.0,0.0,0.0,9191349
SEYCHELLES,2020-04-14 12:13:23,11.0,0.0,0.0,9202403
SEYCHELLES,2020-04-14 15:49:28,11.0,0.0,0.0,9215368
SEYCHELLES,2020-04-14 18:27:14,11.0,0.0,0.0,9224834
SEYCHELLES,2020-04-14 21:18:50,11.0,0.0,0.0,9235130
SEYCHELLES,2020-04-15 00:07:14,11.0,0.0,0.0,9245234
SEYCHELLES,2020-04-15 09:00:09,11.0,0.0,0.0,9277209
SEYCHELLES,2020-04-15 14:56:18,11.0,0.0,0.0,9298578
SEYCHELLES,2020-04-15 19:52:38,11.0,0.0,0.0,9316358
SEYCHELLES,2020-04-15 21:18:33,11.0,0.0,0.0,9321513
SEYCHELLES,2020-04-16 00:51:15,11.0,0.0,0.0,9334275
SEYCHELLES,2020-04-16 09:04:51,11.0,0.0,0.0,9363891
SEYCHELLES,2020-04-16 12:05:08,11.0,0.0,0.0,9374708
SEYCHELLES,2020-04-16 14:57:08,11.0,0.0,0.0,9385028
SEYCHELLES,2020-04-16 17:58:25,11.0,0.0,0.0,9395905
SEYCHELLES,2020-04-16 22:41:20,11.0,0.0,0.0,9412880
SEYCHELLES,2020-04-17 01:32:36,11.0,0.0,0.0,9423156
SEYCHELLES,2020-04-17 09:11:04,11.0,0.0,0.0,9450664
SEYCHELLES,2020-04-17 12:02:01,11.0,0.0,0.0,9460921
SEYCHELLES,2020-04-17 14:56:35,11.0,0.0,5.0,9471395
SEYCHELLES,2020-04-17 18:39:21,11.0,0.0,5.0,9484761
SEYCHELLES,2020-04-17 22:45:21,11.0,0.0,5.0,9499521
SEYCHELLES,2020-04-18 08:54:14,11.0,0.0,5.0,9536054
SEYCHELLES,2020-04-18 13:55:54,11.0,0.0,5.0,9554154
SEYCHELLES,2020-04-18 15:41:06,11.0,0.0,5.0,9560466
SEYCHELLES,2020-04-18 18:03:48,11.0,0.0,5.0,9569028
SEYCHELLES,2020-04-19 00:17:39,11.0,0.0,5.0,9591459
SEYCHELLES,2020-04-19 09:10:08,11.0,0.0,5.0,9623408
SEYCHELLES,2020-04-19 15:11:32,11.0,0.0,5.0,9645092
SEYCHELLES,2020-04-19 18:07:21,11.0,0.0,5.0,9655641
SEYCHELLES,2020-04-19 21:01:51,11.0,0.0,5.0,9666111
SEYCHELLES,2020-04-20 00:00:38,11.0,0.0,5.0,9676838
SEYCHELLES,2020-04-20 12:46:45,11.0,0.0,5.0,9722805
SEYCHELLES,2020-04-20 15:15:13,11.0,0.0,5.0,9731713
SEYCHELLES,2020-04-20 18:00:55,11.0,0.0,5.0,9741655
SEYCHELLES,2020-04-20 20:51:26,11.0,0.0,5.0,9751886
SEYCHELLES,2020-04-20 23:57:35,11.0,0.0,5.0,9763055
SEYCHELLES,2020-04-21 12:05:06,11.0,0.0,5.0,9806706
SEYCHELLES,2020-04-21 18:05:54,11.0,0.0,5.0,9828354
SEYCHELLES,2020-04-21 20:56:52,11.0,0.0,5.0,9838612
SEYCHELLES,2020-04-22 10:13:50,11.0,0.0,5.0,9886430
SEYCHELLES,2020-04-22 12:01:15,11.0,0.0,5.0,9892875
SEYCHELLES,2020-04-22 15:04:35,11.0,0.0,5.0,9903875
SEYCHELLES,2020-04-23 00:41:34,11.0,0.0,5.0,9938494
SEYCHELLES,2020-04-23 11:00:28,11.0,0.0,5.0,9975628
SEYCHELLES,2020-04-23 18:09:30,11.0,0.0,6.0,10001370
SEYCHELLES,2020-04-23 21:15:10,11.0,0.0,6.0,10012510
SEYCHELLES,2020-04-24 12:38:27,11.0,0.0,6.0,10067907
SEYCHELLES,2020-04-24 15:07:01,11.0,0.0,6.0,10076821
SEYCHELLES,2020-04-24 18:05:08,11.0,0.0,6.0,10087508
SEYCHELLES,2020-04-25 01:24:20,11.0,0.0,6.0,10113860
SEYCHELLES,2020-04-25 10:29:29,11.0,0.0,6.0,10146569
SEYCHELLES,2020-04-25 13:06:30,11.0,0.0,6.0,10155990
SEYCHELLES,2020-04-25 15:13:19,11.0,0.0,6.0,10163599
SEYCHELLES,2020-04-25 18:05:53,11.0,0.0,6.0,10173953
SEYCHELLES,2020-04-26 00:02:26,11.0,0.0,6.0,10195346
SEYCHELLES,2020-04-26 10:30:36,11.0,0.0,6.0,10233036
SEYCHELLES,2020-04-26 14:00:20,11.0,0.0,6.0,10245620
SEYCHELLES,2020-04-26 15:00:26,11.0,0.0,6.0,10249226
SEYCHELLES,2020-04-26 18:04:29,11.0,0.0,6.0,10260269
SEYCHELLES,2020-04-26 20:55:24,11.0,0.0,6.0,10270524
SEYCHELLES,2020-04-27 01:26:23,11.0,0.0,6.0,10286783
SEYCHELLES,2020-04-27 12:02:22,11.0,0.0,6.0,10324942
SEYCHELLES,2020-04-27 18:28:29,11.0,0.0,6.0,10348109
SEYCHELLES,2020-04-27 23:10:06,11.0,0.0,6.0,10365006
SEYCHELLES,2020-04-28 00:52:18,11.0,0.0,6.0,10371138
SEYCHELLES,2020-04-28 12:28:54,11.0,0.0,6.0,10412934
SEYCHELLES,2020-04-29 00:05:46,11.0,0.0,6.0,10454746
SEYCHELLES,2020-04-29 11:12:43,11.0,0.0,6.0,10494763
SEYCHELLES,2020-04-29 13:02:52,11.0,0.0,6.0,10501372
SEYCHELLES,2020-04-29 15:08:24,11.0,0.0,6.0,10508904
SEYCHELLES,2020-04-29 18:09:12,11.0,0.0,6.0,10519752
SEYCHELLES,2020-04-29 21:32:47,11.0,0.0,6.0,10531967
SEYCHELLES,2020-04-30 00:17:29,11.0,0.0,6.0,10541849
SEYCHELLES,2020-04-30 09:21:28,11.0,0.0,6.0,10574488
SEYCHELLES,2020-04-30 12:29:51,11.0,0.0,6.0,10585791
SEYCHELLES,2020-04-30 15:13:47,11.0,0.0,6.0,10595627
SEYCHELLES,2020-05-01 00:05:16,11.0,0.0,6.0,10713916
SEYCHELLES,2020-05-01 10:41:27,11.0,0.0,6.0,10752087
SEYCHELLES,2020-05-01 11:53:59,11.0,0.0,6.0,10756439
SEYCHELLES,2020-05-01 15:33:11,11.0,0.0,6.0,10769591
SEYCHELLES,2020-05-01 17:55:59,11.0,0.0,6.0,10778159
SEYCHELLES,2020-05-01 21:26:40,11.0,0.0,6.0,10790800
SEYCHELLES,2020-05-02 00:11:13,11.0,0.0,6.0,10800673
SEYCHELLES,2020-05-02 09:45:39,11.0,0.0,6.0,10835139
SEYCHELLES,2020-05-02 12:46:52,11.0,0.0,6.0,10846012
SEYCHELLES,2020-05-02 15:00:02,11.0,0.0,6.0,10854002
SEYCHELLES,2020-05-02 18:00:30,11.0,0.0,6.0,10864830
SEYCHELLES,2020-05-03 00:04:29,11.0,0.0,6.0,10886669
