Nation,Time,Confirmed Case,Death,Recover,timestamp
SIERRA LEONE,3.4.2020.14.30.10,2.0,0.0,0.0,8260210
SIERRA LEONE,3.4.2020.14.30.11,2.0,0.0,0.0,8260211
SIERRA LEONE,3.4.2020.17.30.12,2.0,0.0,0.0,8271012
SIERRA LEONE,3.4.2020.20.30.12,2.0,0.0,0.0,8281812
SIERRA LEONE,3.4.2020.23.30.19,2.0,0.0,0.0,8292619
SIERRA LEONE,4.4.2020.8.30.14,2.0,0.0,0.0,8325014
SIERRA LEONE,4.4.2020.11.30.14,2.0,0.0,0.0,8335814
SIERRA LEONE,4.4.2020.14.30.16,2.0,0.0,0.0,8346616
SIERRA LEONE,4.4.2020.17.30.18,2.0,0.0,0.0,8357418
SIERRA LEONE,4.4.2020.20.30.33,2.0,0.0,0.0,8368233
SIERRA LEONE,4.4.2020.23.30.5,4.0,0.0,0.0,8379005
SIERRA LEONE,5.4.2020.8.30.7,4.0,0.0,0.0,8411407
SIERRA LEONE,5.4.2020.11.30.3,4.0,0.0,0.0,8422203
SIERRA LEONE,5.4.2020.14.30.4,4.0,0.0,0.0,8433004
SIERRA LEONE,5.4.2020.17.40.33,6.0,0.0,0.0,8444433
SIERRA LEONE,5.4.2020.20.33.28,6.0,0.0,0.0,8454808
SIERRA LEONE,5.4.2020.23.30.2,6.0,0.0,0.0,8465402
SIERRA LEONE,6.4.2020.8.37.49,6.0,0.0,0.0,8498269
SIERRA LEONE,6.4.2020.11.30.5,6.0,0.0,0.0,8508605
SIERRA LEONE,6.4.2020.14.44.21,6.0,0.0,0.0,8520261
SIERRA LEONE,6.4.2020.17.30.4,6.0,0.0,0.0,8530204
SIERRA LEONE,6.4.2020.21.0.44,6.0,0.0,0.0,8542844
SIERRA LEONE,7.4.2020.0.0.3,6.0,0.0,0.0,8553603
SIERRA LEONE,7.4.2020.9.0.4,6.0,0.0,0.0,8586004
SIERRA LEONE,7.4.2020.12.15.51,6.0,0.0,0.0,8597751
SIERRA LEONE,7.4.2020.15.59.55,6.0,0.0,0.0,8611195
SIERRA LEONE,7.4.2020.18.3.46,6.0,0.0,0.0,8618626
