Nation,Time,Confirmed Case,Death,Recover,timestamp
SINGAPORE,2020-04-03 14:30:10,1049.0,5.0,266.0,8260210
SINGAPORE,2020-04-03 14:30:11,1049.0,5.0,266.0,8260211
SINGAPORE,2020-04-03 17:30:12,1114.0,5.0,266.0,8271012
SINGAPORE,2020-04-03 20:30:12,1114.0,5.0,282.0,8281812
SINGAPORE,2020-04-03 23:30:19,1114.0,5.0,282.0,8292619
SINGAPORE,2020-04-04 08:30:14,1114.0,5.0,282.0,8325014
SINGAPORE,2020-04-04 11:30:14,1114.0,6.0,282.0,8335814
SINGAPORE,2020-04-04 14:30:16,1114.0,6.0,282.0,8346616
SINGAPORE,2020-04-04 17:30:18,1114.0,6.0,282.0,8357418
SINGAPORE,2020-04-04 20:30:33,1189.0,6.0,297.0,8368233
SINGAPORE,2020-04-04 23:30:05,1189.0,6.0,297.0,8379005
SINGAPORE,2020-04-05 08:30:07,1189.0,6.0,297.0,8411407
SINGAPORE,2020-04-05 11:30:03,1189.0,6.0,297.0,8422203
SINGAPORE,2020-04-05 14:30:04,1189.0,6.0,297.0,8433004
SINGAPORE,2020-04-05 17:40:33,1309.0,6.0,297.0,8444433
SINGAPORE,2020-04-05 20:33:28,1309.0,6.0,297.0,8454808
SINGAPORE,2020-04-05 23:30:02,1309.0,6.0,320.0,8465402
SINGAPORE,2020-04-06 08:37:49,1309.0,6.0,320.0,8498269
SINGAPORE,2020-04-06 11:30:05,1309.0,6.0,320.0,8508605
SINGAPORE,2020-04-06 14:44:21,1309.0,6.0,320.0,8520261
SINGAPORE,2020-04-06 17:30:04,1309.0,6.0,320.0,8530204
SINGAPORE,2020-04-06 21:00:44,1309.0,6.0,320.0,8542844
SINGAPORE,2020-04-07 00:00:03,1375.0,6.0,344.0,8553603
SINGAPORE,2020-04-07 09:00:04,1375.0,6.0,344.0,8586004
SINGAPORE,2020-04-07 12:15:51,1375.0,6.0,344.0,8597751
SINGAPORE,2020-04-07 15:59:55,1375.0,6.0,344.0,8611195
SINGAPORE,2020-04-07 18:03:46,1375.0,6.0,344.0,8618626
SINGAPORE,2020-04-07 21:32:15,1481.0,6.0,377.0,8631135
SINGAPORE,2020-04-08 00:00:04,1481.0,6.0,377.0,8640004
SINGAPORE,2020-04-08 09:00:46,1481.0,6.0,377.0,8672446
SINGAPORE,2020-04-08 12:21:18,1481.0,6.0,377.0,8684478
SINGAPORE,2020-04-08 15:04:46,1481.0,6.0,377.0,8694286
SINGAPORE,2020-04-08 18:11:16,1481.0,6.0,377.0,8705476
SINGAPORE,2020-04-08 21:33:56,1623.0,6.0,406.0,8717636
SINGAPORE,2020-04-09 00:14:12,1623.0,6.0,406.0,8727252
SINGAPORE,2020-04-09 11:19:24,1623.0,6.0,406.0,8767164
SINGAPORE,2020-04-09 12:07:24,1623.0,6.0,406.0,8770044
SINGAPORE,2020-04-09 14:57:09,1623.0,6.0,406.0,8780229
SINGAPORE,2020-04-09 18:00:02,1623.0,6.0,406.0,8791202
SINGAPORE,2020-04-10 01:06:14,1910.0,6.0,460.0,8816774
SINGAPORE,2020-04-10 09:04:46,1910.0,7.0,460.0,8845486
SINGAPORE,2020-04-10 12:09:17,1910.0,6.0,460.0,8856557
SINGAPORE,2020-04-10 14:55:51,1910.0,6.0,460.0,8866551
SINGAPORE,2020-04-10 18:41:05,1910.0,6.0,460.0,8880065
SINGAPORE,2020-04-10 21:59:17,2108.0,7.0,492.0,8891957
SINGAPORE,2020-04-11 00:00:34,2108.0,7.0,492.0,8899234
SINGAPORE,2020-04-11 09:01:32,2108.0,7.0,492.0,8931692
