Nation,Time,Confirmed Case,Death,Recover,timestamp
SINT MAARTEN,2020-04-03 14:30:10,18.0,1.0,6.0,8260210
SINT MAARTEN,2020-04-03 14:30:11,18.0,1.0,6.0,8260211
SINT MAARTEN,2020-04-03 17:30:12,23.0,2.0,6.0,8271012
SINT MAARTEN,2020-04-03 20:30:12,23.0,2.0,6.0,8281812
SINT MAARTEN,2020-04-03 23:30:19,23.0,2.0,6.0,8292619
SINT MAARTEN,2020-04-04 08:30:14,23.0,4.0,6.0,8325014
SINT MAARTEN,2020-04-04 11:30:14,23.0,4.0,6.0,8335814
SINT MAARTEN,2020-04-04 14:30:16,23.0,4.0,6.0,8346616
SINT MAARTEN,2020-04-04 17:30:18,23.0,4.0,6.0,8357418
SINT MAARTEN,2020-04-04 20:30:33,23.0,4.0,6.0,8368233
SINT MAARTEN,2020-04-04 23:30:05,23.0,4.0,6.0,8379005
SINT MAARTEN,2020-04-05 08:30:07,23.0,4.0,6.0,8411407
SINT MAARTEN,2020-04-05 11:30:03,25.0,4.0,6.0,8422203
SINT MAARTEN,2020-04-05 14:30:04,25.0,4.0,6.0,8433004
SINT MAARTEN,2020-04-05 17:40:33,25.0,4.0,6.0,8444433
SINT MAARTEN,2020-04-05 20:33:28,25.0,4.0,6.0,8454808
SINT MAARTEN,2020-04-05 23:30:02,25.0,4.0,6.0,8465402
SINT MAARTEN,2020-04-06 08:37:49,25.0,4.0,6.0,8498269
SINT MAARTEN,2020-04-06 11:30:05,37.0,6.0,6.0,8508605
SINT MAARTEN,2020-04-06 14:44:21,37.0,6.0,6.0,8520261
SINT MAARTEN,2020-04-06 17:30:04,37.0,6.0,6.0,8530204
SINT MAARTEN,2020-04-06 21:00:44,37.0,6.0,6.0,8542844
SINT MAARTEN,2020-04-07 00:00:03,37.0,6.0,6.0,8553603
SINT MAARTEN,2020-04-07 09:00:04,37.0,6.0,6.0,8586004
SINT MAARTEN,2020-04-07 12:15:51,37.0,6.0,6.0,8597751
SINT MAARTEN,2020-04-07 15:59:55,37.0,6.0,6.0,8611195
SINT MAARTEN,2020-04-07 18:03:46,37.0,6.0,6.0,8618626
SINT MAARTEN,2020-04-07 21:32:15,37.0,6.0,6.0,8631135
SINT MAARTEN,2020-04-08 00:00:04,40.0,6.0,6.0,8640004
SINT MAARTEN,2020-04-08 09:00:46,40.0,6.0,6.0,8672446
SINT MAARTEN,2020-04-08 12:21:18,40.0,6.0,6.0,8684478
SINT MAARTEN,2020-04-08 15:04:46,40.0,6.0,6.0,8694286
SINT MAARTEN,2020-04-08 18:11:16,40.0,6.0,6.0,8705476
