Nation,Time,Confirmed Case,Death,Recover,timestamp
SLOVAKIA,3.4.2020.14.30.10,426.0,1.0,2.0,8260210
SLOVAKIA,3.4.2020.14.30.11,426.0,1.0,2.0,8260211
SLOVAKIA,3.4.2020.17.30.12,450.0,1.0,2.0,8271012
SLOVAKIA,3.4.2020.20.30.12,450.0,1.0,10.0,8281812
SLOVAKIA,3.4.2020.23.30.19,450.0,1.0,10.0,8292619
SLOVAKIA,4.4.2020.8.30.14,450.0,1.0,10.0,8325014
SLOVAKIA,4.4.2020.11.30.14,450.0,1.0,10.0,8335814
SLOVAKIA,4.4.2020.14.30.16,471.0,1.0,10.0,8346616
SLOVAKIA,4.4.2020.17.30.18,471.0,1.0,10.0,8357418
SLOVAKIA,4.4.2020.20.30.33,471.0,1.0,10.0,8368233
SLOVAKIA,4.4.2020.23.30.5,471.0,1.0,10.0,8379005
SLOVAKIA,5.4.2020.8.30.7,471.0,1.0,10.0,8411407
SLOVAKIA,5.4.2020.11.30.3,471.0,1.0,10.0,8422203
SLOVAKIA,5.4.2020.14.30.4,471.0,1.0,10.0,8433004
SLOVAKIA,5.4.2020.17.40.33,485.0,1.0,10.0,8444433
SLOVAKIA,5.4.2020.20.33.28,485.0,1.0,10.0,8454808
SLOVAKIA,5.4.2020.23.30.2,485.0,1.0,10.0,8465402
SLOVAKIA,6.4.2020.8.37.49,485.0,1.0,10.0,8498269
SLOVAKIA,6.4.2020.11.30.5,485.0,1.0,10.0,8508605
SLOVAKIA,6.4.2020.14.44.21,485.0,1.0,10.0,8520261
SLOVAKIA,6.4.2020.17.30.4,534.0,1.0,10.0,8530204
SLOVAKIA,6.4.2020.21.0.44,534.0,2.0,10.0,8542844
SLOVAKIA,7.4.2020.0.0.3,534.0,2.0,10.0,8553603
SLOVAKIA,7.4.2020.9.0.4,534.0,2.0,10.0,8586004
SLOVAKIA,7.4.2020.12.15.51,534.0,2.0,10.0,8597751
SLOVAKIA,7.4.2020.15.59.55,534.0,2.0,10.0,8611195
SLOVAKIA,7.4.2020.18.3.46,581.0,2.0,10.0,8618626
SLOVAKIA,7.4.2020.21.32.15,581.0,2.0,13.0,8631135
SLOVAKIA,8.4.2020.0.0.4,581.0,2.0,13.0,8640004
SLOVAKIA,8.4.2020.9.0.46,581.0,2.0,13.0,8672446
SLOVAKIA,8.4.2020.12.21.18,581.0,2.0,13.0,8684478
SLOVAKIA,8.4.2020.15.4.46,581.0,2.0,13.0,8694286
SLOVAKIA,8.4.2020.18.11.16,581.0,2.0,13.0,8705476
SLOVAKIA,8.4.2020.21.33.56,690.0,2.0,13.0,8717636
SLOVAKIA,9.4.2020.0.14.12,690.0,2.0,16.0,8727252
SLOVAKIA,9.4.2020.11.19.24,690.0,2.0,16.0,8767164
SLOVAKIA,9.4.2020.12.7.24,690.0,2.0,16.0,8770044
SLOVAKIA,9.4.2020.14.57.9,690.0,2.0,16.0,8780229
SLOVAKIA,9.4.2020.18.0.2,701.0,2.0,16.0,8791202
SLOVAKIA,10.4.2020.1.6.14,701.0,2.0,23.0,8816774
SLOVAKIA,10.4.2020.9.4.46,701.0,2.0,23.0,8845486
SLOVAKIA,10.4.2020.12.9.17,701.0,2.0,23.0,8856557
SLOVAKIA,10.4.2020.14.55.51,701.0,2.0,23.0,8866551
SLOVAKIA,10.4.2020.18.41.5,701.0,2.0,23.0,8880065
SLOVAKIA,10.4.2020.21.59.17,715.0,2.0,23.0,8891957
SLOVAKIA,11.4.2020.0.0.34,715.0,2.0,23.0,8899234
SLOVAKIA,11.4.2020.9.1.32,715.0,2.0,23.0,8931692
SLOVAKIA,11.4.2020.12.8.24,715.0,2.0,23.0,8942904
SLOVAKIA,11.4.2020.17.0.40,728.0,2.0,23.0,8960440
SLOVAKIA,11.4.2020.18.12.28,728.0,2.0,23.0,8964748
SLOVAKIA,11.4.2020.21.44.19,728.0,2.0,23.0,8977459
SLOVAKIA,11.4.2020.23.59.29,728.0,2.0,23.0,8985569
SLOVAKIA,12.4.2020.9.0.42,728.0,2.0,23.0,9018042
SLOVAKIA,12.4.2020.12.5.42,728.0,2.0,23.0,9029142
SLOVAKIA,12.4.2020.15.9.25,728.0,2.0,23.0,9040165
SLOVAKIA,12.4.2020.18.22.1,742.0,2.0,23.0,9051721
SLOVAKIA,12.4.2020.20.59.25,742.0,2.0,23.0,9061165
SLOVAKIA,13.4.2020.0.7.13,742.0,2.0,23.0,9072433
SLOVAKIA,13.4.2020.9.26.16,742.0,2.0,23.0,9105976
SLOVAKIA,13.4.2020.11.59.14,742.0,2.0,23.0,9115154
SLOVAKIA,13.4.2020.15.13.1,742.0,2.0,23.0,9126781
SLOVAKIA,13.4.2020.20.23.47,769.0,2.0,107.0,9145427
SLOVAKIA,13.4.2020.21.1.27,816.0,2.0,107.0,9147687
SLOVAKIA,14.4.2020.0.30.40,816.0,2.0,107.0,9160240
SLOVAKIA,14.4.2020.9.9.9,816.0,2.0,107.0,9191349
SLOVAKIA,14.4.2020.12.13.23,816.0,2.0,107.0,9202403
SLOVAKIA,14.4.2020.15.49.28,835.0,2.0,107.0,9215368
SLOVAKIA,14.4.2020.18.27.14,835.0,2.0,107.0,9224834
SLOVAKIA,14.4.2020.21.18.50,835.0,2.0,113.0,9235130
SLOVAKIA,15.4.2020.0.7.14,835.0,2.0,113.0,9245234
SLOVAKIA,15.4.2020.9.0.9,835.0,2.0,113.0,9277209
SLOVAKIA,15.4.2020.14.56.18,835.0,2.0,113.0,9298578
SLOVAKIA,15.4.2020.19.52.38,863.0,6.0,151.0,9316358
SLOVAKIA,15.4.2020.21.18.33,863.0,6.0,151.0,9321513
SLOVAKIA,16.4.2020.0.51.15,863.0,6.0,151.0,9334275
SLOVAKIA,16.4.2020.9.4.51,863.0,6.0,151.0,9363891
SLOVAKIA,16.4.2020.12.5.8,863.0,6.0,151.0,9374708
SLOVAKIA,16.4.2020.14.57.8,863.0,6.0,151.0,9385028
SLOVAKIA,16.4.2020.17.58.25,977.0,8.0,167.0,9395905
SLOVAKIA,16.4.2020.22.41.20,977.0,8.0,167.0,9412880
SLOVAKIA,17.4.2020.1.32.36,977.0,8.0,167.0,9423156
SLOVAKIA,17.4.2020.9.11.4,977.0,8.0,167.0,9450664
SLOVAKIA,17.4.2020.12.2.1,977.0,8.0,167.0,9460921
SLOVAKIA,17.4.2020.14.56.35,977.0,8.0,167.0,9471395
SLOVAKIA,17.4.2020.18.39.21,1049.0,9.0,167.0,9484761
SLOVAKIA,17.4.2020.22.45.21,1049.0,9.0,175.0,9499521
SLOVAKIA,18.4.2020.8.54.14,1049.0,9.0,175.0,9536054
SLOVAKIA,18.4.2020.13.55.54,1049.0,9.0,175.0,9554154
SLOVAKIA,18.4.2020.15.41.6,1089.0,11.0,213.0,9560466
SLOVAKIA,18.4.2020.18.3.48,1089.0,11.0,213.0,9569028
SLOVAKIA,19.4.2020.0.17.39,1089.0,11.0,213.0,9591459
SLOVAKIA,19.4.2020.9.10.8,1089.0,11.0,213.0,9623408
SLOVAKIA,19.4.2020.15.11.32,1161.0,12.0,229.0,9645092
SLOVAKIA,19.4.2020.18.7.21,1161.0,12.0,229.0,9655641
SLOVAKIA,19.4.2020.21.1.51,1161.0,12.0,229.0,9666111
SLOVAKIA,20.4.2020.0.0.38,1161.0,12.0,229.0,9676838
SLOVAKIA,20.4.2020.12.46.45,1161.0,12.0,229.0,9722805
SLOVAKIA,20.4.2020.15.15.13,1161.0,12.0,229.0,9731713
SLOVAKIA,20.4.2020.18.0.55,1173.0,13.0,251.0,9741655
SLOVAKIA,20.4.2020.20.51.26,1173.0,13.0,251.0,9751886
SLOVAKIA,20.4.2020.23.57.35,1173.0,13.0,251.0,9763055
SLOVAKIA,21.4.2020.12.5.6,1173.0,13.0,251.0,9806706
SLOVAKIA,21.4.2020.18.5.54,1199.0,14.0,258.0,9828354
SLOVAKIA,21.4.2020.20.56.52,1199.0,14.0,258.0,9838612
SLOVAKIA,22.4.2020.10.13.50,1199.0,14.0,258.0,9886430
SLOVAKIA,22.4.2020.12.1.15,1199.0,14.0,258.0,9892875
SLOVAKIA,22.4.2020.15.4.35,1244.0,14.0,284.0,9903875
SLOVAKIA,23.4.2020.0.41.34,1244.0,14.0,284.0,9938494
SLOVAKIA,23.4.2020.11.0.28,1244.0,14.0,284.0,9975628
SLOVAKIA,23.4.2020.18.9.30,1325.0,15.0,288.0,10001370
SLOVAKIA,23.4.2020.21.15.10,1325.0,15.0,288.0,10012510
SLOVAKIA,24.4.2020.12.38.27,1325.0,15.0,288.0,10067907
SLOVAKIA,24.4.2020.15.7.1,1360.0,17.0,355.0,10076821
SLOVAKIA,24.4.2020.18.5.8,1360.0,17.0,355.0,10087508
SLOVAKIA,25.4.2020.1.24.20,1360.0,17.0,355.0,10113860
SLOVAKIA,25.4.2020.10.29.29,1360.0,17.0,355.0,10146569
SLOVAKIA,25.4.2020.13.6.30,1373.0,17.0,386.0,10155990
SLOVAKIA,25.4.2020.15.13.19,1373.0,17.0,386.0,10163599
SLOVAKIA,25.4.2020.18.5.53,1373.0,17.0,386.0,10173953
SLOVAKIA,26.4.2020.0.2.26,1373.0,17.0,386.0,10195346
SLOVAKIA,26.4.2020.10.30.36,1373.0,17.0,386.0,10233036
SLOVAKIA,26.4.2020.14.0.20,1379.0,18.0,394.0,10245620
SLOVAKIA,26.4.2020.15.0.26,1379.0,18.0,394.0,10249226
SLOVAKIA,26.4.2020.18.4.29,1379.0,18.0,394.0,10260269
SLOVAKIA,26.4.2020.20.55.24,1379.0,18.0,394.0,10270524
SLOVAKIA,27.4.2020.1.26.23,1379.0,18.0,394.0,10286783
SLOVAKIA,27.4.2020.12.2.22,1379.0,18.0,394.0,10324942
SLOVAKIA,27.4.2020.18.28.29,1381.0,18.0,403.0,10348109
SLOVAKIA,27.4.2020.23.10.6,1381.0,18.0,403.0,10365006
SLOVAKIA,28.4.2020.0.52.18,1381.0,18.0,403.0,10371138
SLOVAKIA,28.4.2020.12.28.54,1381.0,18.0,403.0,10412934
SLOVAKIA,29.4.2020.0.5.46,1384.0,20.0,423.0,10454746
SLOVAKIA,29.4.2020.11.12.43,1384.0,20.0,423.0,10494763
SLOVAKIA,29.4.2020.13.2.52,1384.0,20.0,423.0,10501372
SLOVAKIA,29.4.2020.15.8.24,1391.0,22.0,484.0,10508904
SLOVAKIA,29.4.2020.18.9.12,1391.0,22.0,484.0,10519752
