Nation,Time,Confirmed Case,Death,Recover,timestamp
SLOVENIA,2020-04-03 14:30:10,897.0,17.0,70.0,8260210
SLOVENIA,2020-04-03 14:30:11,897.0,17.0,70.0,8260211
SLOVENIA,2020-04-03 17:30:12,934.0,20.0,70.0,8271012
SLOVENIA,2020-04-03 20:30:12,934.0,20.0,70.0,8281812
SLOVENIA,2020-04-03 23:30:19,934.0,20.0,70.0,8292619
SLOVENIA,2020-04-04 08:30:14,934.0,20.0,70.0,8325014
SLOVENIA,2020-04-04 11:30:14,934.0,20.0,70.0,8335814
SLOVENIA,2020-04-04 14:30:16,934.0,20.0,70.0,8346616
SLOVENIA,2020-04-04 17:30:18,977.0,22.0,70.0,8357418
SLOVENIA,2020-04-04 20:30:33,977.0,22.0,79.0,8368233
SLOVENIA,2020-04-04 23:30:05,977.0,22.0,79.0,8379005
SLOVENIA,2020-04-05 08:30:07,977.0,22.0,79.0,8411407
SLOVENIA,2020-04-05 11:30:03,977.0,22.0,79.0,8422203
SLOVENIA,2020-04-05 14:30:04,997.0,28.0,79.0,8433004
SLOVENIA,2020-04-05 17:40:33,997.0,28.0,79.0,8444433
SLOVENIA,2020-04-05 20:33:28,997.0,28.0,79.0,8454808
SLOVENIA,2020-04-05 23:30:02,997.0,28.0,79.0,8465402
SLOVENIA,2020-04-06 08:37:49,997.0,28.0,79.0,8498269
SLOVENIA,2020-04-06 11:30:05,997.0,28.0,79.0,8508605
SLOVENIA,2020-04-06 14:44:21,1021.0,30.0,79.0,8520261
SLOVENIA,2020-04-06 17:30:04,1021.0,30.0,102.0,8530204
SLOVENIA,2020-04-06 21:00:44,1021.0,30.0,102.0,8542844
SLOVENIA,2020-04-07 00:00:03,1021.0,30.0,102.0,8553603
SLOVENIA,2020-04-07 09:00:04,1021.0,30.0,102.0,8586004
SLOVENIA,2020-04-07 12:15:51,1021.0,30.0,102.0,8597751
SLOVENIA,2020-04-07 15:59:55,1021.0,30.0,102.0,8611195
SLOVENIA,2020-04-07 18:03:46,1021.0,30.0,102.0,8618626
SLOVENIA,2020-04-07 21:32:15,1059.0,36.0,102.0,8631135
SLOVENIA,2020-04-08 00:00:04,1059.0,36.0,102.0,8640004
SLOVENIA,2020-04-08 09:00:46,1059.0,36.0,102.0,8672446
SLOVENIA,2020-04-08 12:21:18,1059.0,36.0,102.0,8684478
SLOVENIA,2020-04-08 15:04:46,1091.0,40.0,120.0,8694286
SLOVENIA,2020-04-08 18:11:16,1091.0,40.0,120.0,8705476
SLOVENIA,2020-04-08 21:33:56,1091.0,40.0,120.0,8717636
SLOVENIA,2020-04-09 00:14:12,1091.0,40.0,120.0,8727252
SLOVENIA,2020-04-09 11:19:24,1091.0,40.0,120.0,8767164
SLOVENIA,2020-04-09 12:07:24,1091.0,40.0,120.0,8770044
SLOVENIA,2020-04-09 14:57:09,1124.0,43.0,128.0,8780229
SLOVENIA,2020-04-09 18:00:02,1124.0,43.0,128.0,8791202
SLOVENIA,2020-04-10 01:06:14,1124.0,43.0,128.0,8816774
SLOVENIA,2020-04-10 09:04:46,1124.0,43.0,128.0,8845486
SLOVENIA,2020-04-10 12:09:17,1124.0,43.0,128.0,8856557
SLOVENIA,2020-04-10 14:55:51,1124.0,43.0,128.0,8866551
SLOVENIA,2020-04-10 18:41:05,1160.0,45.0,137.0,8880065
SLOVENIA,2020-04-10 21:59:17,1160.0,45.0,137.0,8891957
SLOVENIA,2020-04-11 00:00:34,1160.0,45.0,137.0,8899234
SLOVENIA,2020-04-11 09:01:32,1160.0,45.0,137.0,8931692
SLOVENIA,2020-04-11 12:08:24,1160.0,45.0,137.0,8942904
SLOVENIA,2020-04-11 17:00:40,1188.0,50.0,148.0,8960440
SLOVENIA,2020-04-11 18:12:28,1188.0,50.0,148.0,8964748
SLOVENIA,2020-04-11 21:44:19,1188.0,50.0,148.0,8977459
SLOVENIA,2020-04-11 23:59:29,1188.0,50.0,148.0,8985569
SLOVENIA,2020-04-12 09:00:42,1188.0,50.0,148.0,9018042
SLOVENIA,2020-04-12 12:05:42,1188.0,50.0,148.0,9029142
SLOVENIA,2020-04-12 15:09:25,1205.0,53.0,150.0,9040165
SLOVENIA,2020-04-12 18:22:01,1205.0,53.0,150.0,9051721
SLOVENIA,2020-04-12 20:59:25,1205.0,53.0,150.0,9061165
SLOVENIA,2020-04-13 00:07:13,1205.0,53.0,150.0,9072433
SLOVENIA,2020-04-13 09:26:16,1205.0,53.0,150.0,9105976
SLOVENIA,2020-04-13 11:59:14,1205.0,53.0,150.0,9115154
SLOVENIA,2020-04-13 15:13:01,1205.0,53.0,150.0,9126781
SLOVENIA,2020-04-13 20:23:47,1212.0,55.0,152.0,9145427
SLOVENIA,2020-04-13 21:01:27,1212.0,55.0,152.0,9147687
SLOVENIA,2020-04-14 00:30:40,1212.0,55.0,152.0,9160240
SLOVENIA,2020-04-14 09:09:09,1212.0,55.0,152.0,9191349
SLOVENIA,2020-04-14 12:13:23,1212.0,55.0,152.0,9202403
SLOVENIA,2020-04-14 15:49:28,1220.0,56.0,152.0,9215368
SLOVENIA,2020-04-14 18:27:14,1220.0,56.0,152.0,9224834
SLOVENIA,2020-04-14 21:18:50,1220.0,56.0,152.0,9235130
SLOVENIA,2020-04-15 00:07:14,1220.0,56.0,152.0,9245234
SLOVENIA,2020-04-15 09:00:09,1220.0,56.0,152.0,9277209
SLOVENIA,2020-04-15 14:56:18,1248.0,61.0,165.0,9298578
SLOVENIA,2020-04-15 19:52:38,1248.0,61.0,165.0,9316358
SLOVENIA,2020-04-15 21:18:33,1248.0,61.0,165.0,9321513
SLOVENIA,2020-04-16 00:51:15,1248.0,61.0,165.0,9334275
SLOVENIA,2020-04-16 09:04:51,1248.0,61.0,165.0,9363891
SLOVENIA,2020-04-16 12:05:08,1248.0,61.0,165.0,9374708
SLOVENIA,2020-04-16 14:57:08,1269.0,61.0,165.0,9385028
SLOVENIA,2020-04-16 17:58:25,1269.0,61.0,174.0,9395905
SLOVENIA,2020-04-16 22:41:20,1269.0,61.0,174.0,9412880
SLOVENIA,2020-04-17 01:32:36,1269.0,61.0,174.0,9423156
SLOVENIA,2020-04-17 09:11:04,1269.0,61.0,174.0,9450664
SLOVENIA,2020-04-17 12:02:01,1269.0,61.0,174.0,9460921
SLOVENIA,2020-04-17 14:56:35,1269.0,61.0,174.0,9471395
SLOVENIA,2020-04-17 18:39:21,1304.0,66.0,174.0,9484761
SLOVENIA,2020-04-17 22:45:21,1305.0,66.0,174.0,9499521
SLOVENIA,2020-04-18 08:54:14,1305.0,66.0,174.0,9536054
