Nation,Time,Confirmed Case,Death,Recover,timestamp
SOLOMON ISLANDS,3.4.2020.14.30.10,0.0,0.0,0.0,8260210
SOLOMON ISLANDS,3.4.2020.14.30.11,0.0,0.0,0.0,8260211
SOLOMON ISLANDS,3.4.2020.17.30.12,0.0,0.0,0.0,8271012
SOLOMON ISLANDS,3.4.2020.20.30.12,0.0,0.0,0.0,8281812
SOLOMON ISLANDS,3.4.2020.23.30.19,0.0,0.0,0.0,8292619
SOLOMON ISLANDS,4.4.2020.8.30.14,0.0,0.0,0.0,8325014
SOLOMON ISLANDS,4.4.2020.11.30.14,0.0,0.0,0.0,8335814
SOLOMON ISLANDS,4.4.2020.14.30.16,0.0,0.0,0.0,8346616
SOLOMON ISLANDS,4.4.2020.17.30.18,0.0,0.0,0.0,8357418
SOLOMON ISLANDS,4.4.2020.20.30.33,0.0,0.0,0.0,8368233
SOLOMON ISLANDS,4.4.2020.23.30.5,0.0,0.0,0.0,8379005
SOLOMON ISLANDS,5.4.2020.8.30.7,0.0,0.0,0.0,8411407
SOLOMON ISLANDS,5.4.2020.11.30.3,0.0,0.0,0.0,8422203
SOLOMON ISLANDS,5.4.2020.14.30.4,0.0,0.0,0.0,8433004
SOLOMON ISLANDS,5.4.2020.17.40.33,0.0,0.0,0.0,8444433
SOLOMON ISLANDS,5.4.2020.20.33.28,0.0,0.0,0.0,8454808
SOLOMON ISLANDS,5.4.2020.23.30.2,0.0,0.0,0.0,8465402
SOLOMON ISLANDS,6.4.2020.8.37.49,0.0,0.0,0.0,8498269
SOLOMON ISLANDS,6.4.2020.11.30.5,0.0,0.0,0.0,8508605
SOLOMON ISLANDS,6.4.2020.14.44.21,0.0,0.0,0.0,8520261
SOLOMON ISLANDS,6.4.2020.17.30.4,0.0,0.0,0.0,8530204
SOLOMON ISLANDS,6.4.2020.21.0.44,0.0,0.0,0.0,8542844
SOLOMON ISLANDS,7.4.2020.0.0.3,0.0,0.0,0.0,8553603
SOLOMON ISLANDS,7.4.2020.9.0.4,0.0,0.0,0.0,8586004
SOLOMON ISLANDS,7.4.2020.12.15.51,0.0,0.0,0.0,8597751
SOLOMON ISLANDS,7.4.2020.15.59.55,0.0,0.0,0.0,8611195
SOLOMON ISLANDS,7.4.2020.18.3.46,0.0,0.0,0.0,8618626
SOLOMON ISLANDS,7.4.2020.21.32.15,0.0,0.0,0.0,8631135
SOLOMON ISLANDS,8.4.2020.0.0.4,0.0,0.0,0.0,8640004
SOLOMON ISLANDS,8.4.2020.9.0.46,0.0,0.0,0.0,8672446
SOLOMON ISLANDS,8.4.2020.12.21.18,0.0,0.0,0.0,8684478
SOLOMON ISLANDS,8.4.2020.15.4.46,0.0,0.0,0.0,8694286
SOLOMON ISLANDS,8.4.2020.18.11.16,0.0,0.0,0.0,8705476
SOLOMON ISLANDS,8.4.2020.21.33.56,0.0,0.0,0.0,8717636
SOLOMON ISLANDS,9.4.2020.0.14.12,0.0,0.0,0.0,8727252
SOLOMON ISLANDS,9.4.2020.11.19.24,0.0,0.0,0.0,8767164
SOLOMON ISLANDS,9.4.2020.12.7.24,0.0,0.0,0.0,8770044
SOLOMON ISLANDS,9.4.2020.14.57.9,0.0,0.0,0.0,8780229
SOLOMON ISLANDS,9.4.2020.18.0.2,0.0,0.0,0.0,8791202
SOLOMON ISLANDS,10.4.2020.1.6.14,0.0,0.0,0.0,8816774
SOLOMON ISLANDS,10.4.2020.9.4.46,0.0,0.0,0.0,8845486
SOLOMON ISLANDS,10.4.2020.12.9.17,0.0,0.0,0.0,8856557
SOLOMON ISLANDS,10.4.2020.14.55.51,0.0,0.0,0.0,8866551
SOLOMON ISLANDS,10.4.2020.18.41.5,0.0,0.0,0.0,8880065
SOLOMON ISLANDS,10.4.2020.21.59.17,0.0,0.0,0.0,8891957
SOLOMON ISLANDS,11.4.2020.0.0.34,0.0,0.0,0.0,8899234
SOLOMON ISLANDS,11.4.2020.9.1.32,0.0,0.0,0.0,8931692
SOLOMON ISLANDS,11.4.2020.12.8.24,0.0,0.0,0.0,8942904
SOLOMON ISLANDS,11.4.2020.17.0.40,0.0,0.0,0.0,8960440
SOLOMON ISLANDS,11.4.2020.18.12.28,0.0,0.0,0.0,8964748
SOLOMON ISLANDS,11.4.2020.21.44.19,0.0,0.0,0.0,8977459
SOLOMON ISLANDS,11.4.2020.23.59.29,0.0,0.0,0.0,8985569
SOLOMON ISLANDS,12.4.2020.9.0.42,0.0,0.0,0.0,9018042
SOLOMON ISLANDS,12.4.2020.12.5.42,0.0,0.0,0.0,9029142
SOLOMON ISLANDS,12.4.2020.15.9.25,0.0,0.0,0.0,9040165
SOLOMON ISLANDS,12.4.2020.18.22.1,0.0,0.0,0.0,9051721
SOLOMON ISLANDS,12.4.2020.20.59.25,0.0,0.0,0.0,9061165
SOLOMON ISLANDS,13.4.2020.0.7.13,0.0,0.0,0.0,9072433
SOLOMON ISLANDS,13.4.2020.9.26.16,0.0,0.0,0.0,9105976
SOLOMON ISLANDS,13.4.2020.11.59.14,0.0,0.0,0.0,9115154
SOLOMON ISLANDS,13.4.2020.15.13.1,0.0,0.0,0.0,9126781
SOLOMON ISLANDS,13.4.2020.20.23.47,0.0,0.0,0.0,9145427
SOLOMON ISLANDS,13.4.2020.21.1.27,0.0,0.0,0.0,9147687
SOLOMON ISLANDS,14.4.2020.0.30.40,0.0,0.0,0.0,9160240
SOLOMON ISLANDS,14.4.2020.9.9.9,0.0,0.0,0.0,9191349
SOLOMON ISLANDS,14.4.2020.12.13.23,0.0,0.0,0.0,9202403
