Nation,Time,Confirmed Case,Death,Recover,timestamp
SPAIN,2020-04-03 14:30:10,112065.0,10348.0,26743.0,8260210
SPAIN,2020-04-03 14:30:11,112065.0,10348.0,26743.0,8260211
SPAIN,2020-04-03 17:30:12,117710.0,10935.0,30513.0,8271012
SPAIN,2020-04-03 20:30:12,117710.0,10935.0,30513.0,8281812
SPAIN,2020-04-03 23:30:19,117710.0,11009.0,30513.0,8292619
SPAIN,2020-04-04 08:30:14,119199.0,11198.0,30513.0,8325014
SPAIN,2020-04-04 11:30:14,119199.0,11198.0,30513.0,8335814
SPAIN,2020-04-04 14:30:16,119199.0,11198.0,30513.0,8346616
SPAIN,2020-04-04 17:30:18,124736.0,11744.0,34219.0,8357418
SPAIN,2020-04-04 20:30:33,124736.0,11814.0,34219.0,8368233
SPAIN,2020-04-04 23:30:05,124736.0,11814.0,34219.0,8379005
SPAIN,2020-04-05 08:30:07,126168.0,11947.0,34219.0,8411407
SPAIN,2020-04-05 11:30:03,126168.0,11947.0,34219.0,8422203
SPAIN,2020-04-05 14:30:04,126168.0,11947.0,34219.0,8433004
SPAIN,2020-04-05 17:40:33,130759.0,12418.0,38080.0,8444433
SPAIN,2020-04-05 20:33:28,130759.0,12418.0,38080.0,8454808
SPAIN,2020-04-05 23:30:02,130759.0,12418.0,38080.0,8465402
SPAIN,2020-04-06 08:37:49,131646.0,12641.0,38080.0,8498269
SPAIN,2020-04-06 11:30:05,131646.0,12641.0,38080.0,8508605
SPAIN,2020-04-06 14:44:21,131646.0,12641.0,38080.0,8520261
SPAIN,2020-04-06 17:30:04,135032.0,13055.0,40437.0,8530204
SPAIN,2020-04-06 21:00:44,135032.0,13055.0,40437.0,8542844
SPAIN,2020-04-07 00:00:03,135032.0,13169.0,40437.0,8553603
SPAIN,2020-04-07 09:00:04,136675.0,13341.0,40437.0,8586004
SPAIN,2020-04-07 12:15:51,136675.0,13341.0,40437.0,8597751
SPAIN,2020-04-07 15:59:55,140510.0,13798.0,43208.0,8611195
SPAIN,2020-04-07 18:03:46,140510.0,13798.0,43208.0,8618626
SPAIN,2020-04-07 21:32:15,140511.0,13897.0,43208.0,8631135
SPAIN,2020-04-08 00:00:04,140511.0,13897.0,43208.0,8640004
SPAIN,2020-04-08 09:00:46,141942.0,14045.0,43208.0,8672446
SPAIN,2020-04-08 12:21:18,141942.0,14045.0,43208.0,8684478
SPAIN,2020-04-08 15:04:46,146690.0,14555.0,43208.0,8694286
SPAIN,2020-04-08 18:11:16,146690.0,14555.0,48021.0,8705476
SPAIN,2020-04-08 21:33:56,146690.0,14555.0,48021.0,8717636
SPAIN,2020-04-09 00:14:12,146690.0,14673.0,48021.0,8727252
SPAIN,2020-04-09 11:19:24,148220.0,14792.0,48021.0,8767164
SPAIN,2020-04-09 12:07:24,148220.0,14792.0,48021.0,8770044
SPAIN,2020-04-09 14:57:09,148220.0,14792.0,48021.0,8780229
SPAIN,2020-04-09 18:00:02,152446.0,15238.0,52165.0,8791202
SPAIN,2020-04-10 01:06:14,152446.0,15238.0,52165.0,8816774
SPAIN,2020-04-10 09:04:46,153222.0,15447.0,52165.0,8845486
SPAIN,2020-04-10 12:09:17,153222.0,15447.0,52165.0,8856557
SPAIN,2020-04-10 14:55:51,153222.0,15447.0,52165.0,8866551
SPAIN,2020-04-10 18:41:05,157022.0,15843.0,55668.0,8880065
SPAIN,2020-04-10 21:59:17,157053.0,15970.0,55668.0,8891957
SPAIN,2020-04-11 00:00:34,157053.0,15970.0,55668.0,8899234
SPAIN,2020-04-11 09:01:32,158273.0,16081.0,55668.0,8931692
SPAIN,2020-04-11 12:08:24,160835.0,16208.0,55668.0,8942904
SPAIN,2020-04-11 17:00:40,161852.0,16353.0,59109.0,8960440
SPAIN,2020-04-11 18:12:28,161852.0,16353.0,59109.0,8964748
SPAIN,2020-04-11 21:44:19,161883.0,16480.0,59109.0,8977459
SPAIN,2020-04-11 23:59:29,161883.0,16480.0,59109.0,8985569
SPAIN,2020-04-12 09:00:42,163027.0,16606.0,59109.0,9018042
SPAIN,2020-04-12 12:05:42,164153.0,16782.0,59109.0,9029142
SPAIN,2020-04-12 15:09:25,164153.0,16782.0,59109.0,9040165
SPAIN,2020-04-12 18:22:01,166019.0,16972.0,62391.0,9051721
SPAIN,2020-04-12 20:59:25,166045.0,17100.0,62391.0,9061165
SPAIN,2020-04-13 00:07:13,166045.0,17100.0,62391.0,9072433
SPAIN,2020-04-13 09:26:16,168522.0,17357.0,62391.0,9105976
SPAIN,2020-04-13 11:59:14,168522.0,17357.0,62391.0,9115154
SPAIN,2020-04-13 15:13:01,168522.0,17357.0,62391.0,9126781
SPAIN,2020-04-13 20:23:47,169496.0,17489.0,64727.0,9145427
SPAIN,2020-04-13 21:01:27,169496.0,17489.0,64727.0,9147687
SPAIN,2020-04-14 00:30:40,169496.0,17614.0,64727.0,9160240
SPAIN,2020-04-14 09:09:09,170099.0,17756.0,64727.0,9191349
SPAIN,2020-04-14 12:13:23,170099.0,17756.0,64727.0,9202403
SPAIN,2020-04-14 15:49:28,172541.0,18056.0,67504.0,9215368
SPAIN,2020-04-14 18:27:14,172655.0,18150.0,67504.0,9224834
SPAIN,2020-04-14 21:18:50,172655.0,18150.0,67504.0,9235130
SPAIN,2020-04-15 00:07:14,172655.0,18150.0,67504.0,9245234
SPAIN,2020-04-15 09:00:09,174060.0,18255.0,67504.0,9277209
SPAIN,2020-04-15 14:56:18,174885.0,18283.0,67504.0,9298578
SPAIN,2020-04-15 19:52:38,177633.0,18706.0,70853.0,9316358
SPAIN,2020-04-15 21:18:33,177633.0,18706.0,70853.0,9321513
SPAIN,2020-04-16 00:51:15,177644.0,18708.0,70853.0,9334275
SPAIN,2020-04-16 09:04:51,180659.0,18812.0,70853.0,9363891
SPAIN,2020-04-16 12:05:08,180659.0,18812.0,70853.0,9374708
SPAIN,2020-04-16 14:57:08,182529.0,18935.0,70853.0,9385028
SPAIN,2020-04-16 17:58:25,182816.0,19130.0,74797.0,9395905
SPAIN,2020-04-16 22:41:20,182816.0,19130.0,74797.0,9412880
SPAIN,2020-04-17 01:32:36,182816.0,19130.0,74797.0,9423156
SPAIN,2020-04-17 09:11:04,185309.0,19516.0,74797.0,9450664
SPAIN,2020-04-17 12:02:01,185309.0,19516.0,74797.0,9460921
SPAIN,2020-04-17 14:56:35,186726.0,19575.0,74797.0,9471395
SPAIN,2020-04-17 18:39:21,188068.0,19478.0,72963.0,9484761
SPAIN,2020-04-17 22:45:21,188093.0,19613.0,72963.0,9499521
SPAIN,2020-04-18 08:54:14,190839.0,20002.0,72963.0,9536054
SPAIN,2020-04-18 13:55:54,190839.0,20002.0,72963.0,9554154
SPAIN,2020-04-18 15:41:06,191202.0,20019.0,72963.0,9560466
SPAIN,2020-04-18 18:03:48,191726.0,20043.0,72963.0,9569028
SPAIN,2020-04-19 00:17:39,192317.0,20171.0,74797.0,9591459
SPAIN,2020-04-19 09:10:08,194416.0,20639.0,74797.0,9623408
SPAIN,2020-04-19 15:11:32,195944.0,20453.0,77357.0,9645092
SPAIN,2020-04-19 18:07:21,195944.0,20453.0,77357.0,9655641
SPAIN,2020-04-19 21:01:51,196568.0,20590.0,77357.0,9666111
SPAIN,2020-04-20 00:00:38,196586.0,20590.0,77357.0,9676838
SPAIN,2020-04-20 12:46:45,198674.0,21238.0,77357.0,9722805
SPAIN,2020-04-20 15:15:13,200210.0,20852.0,80587.0,9731713
SPAIN,2020-04-20 18:00:55,200210.0,20852.0,80587.0,9741655
SPAIN,2020-04-20 20:51:26,200210.0,20852.0,80587.0,9751886
SPAIN,2020-04-20 23:57:35,200210.0,20852.0,80587.0,9763055
SPAIN,2020-04-21 12:05:06,200210.0,20852.0,80587.0,9806706
SPAIN,2020-04-21 18:05:54,204178.0,21282.0,82514.0,9828354
SPAIN,2020-04-21 20:56:52,204178.0,21282.0,82514.0,9838612
SPAIN,2020-04-22 10:13:50,204178.0,21282.0,82514.0,9886430
SPAIN,2020-04-22 12:01:15,204178.0,21282.0,82514.0,9892875
SPAIN,2020-04-22 15:04:35,208389.0,21717.0,85915.0,9903875
SPAIN,2020-04-23 00:41:34,208389.0,21717.0,85915.0,9938494
SPAIN,2020-04-23 11:00:28,208389.0,21717.0,85915.0,9975628
SPAIN,2020-04-23 18:09:30,213024.0,22157.0,89250.0,10001370
SPAIN,2020-04-23 21:15:10,213024.0,22157.0,89250.0,10012510
SPAIN,2020-04-24 12:38:27,213024.0,22157.0,89250.0,10067907
SPAIN,2020-04-24 15:07:01,213024.0,22157.0,89250.0,10076821
SPAIN,2020-04-24 18:05:08,219764.0,22524.0,92355.0,10087508
SPAIN,2020-04-25 01:24:20,219764.0,22524.0,92355.0,10113860
SPAIN,2020-04-25 10:29:29,219764.0,22524.0,92355.0,10146569
SPAIN,2020-04-25 13:06:30,219764.0,22524.0,92355.0,10155990
SPAIN,2020-04-25 15:13:19,219764.0,22524.0,92355.0,10163599
SPAIN,2020-04-25 18:05:53,223759.0,22902.0,95708.0,10173953
SPAIN,2020-04-26 00:02:26,223759.0,22902.0,95708.0,10195346
SPAIN,2020-04-26 10:30:36,223759.0,22902.0,95708.0,10233036
SPAIN,2020-04-26 14:00:20,223759.0,22902.0,95708.0,10245620
SPAIN,2020-04-26 15:00:26,223759.0,22902.0,95708.0,10249226
SPAIN,2020-04-26 18:04:29,207634.0,23190.0,98732.0,10260269
SPAIN,2020-04-26 20:55:24,225488.0,23190.0,98732.0,10270524
SPAIN,2020-04-27 01:26:23,226629.0,23190.0,117727.0,10286783
SPAIN,2020-04-27 12:02:22,226629.0,23190.0,117727.0,10324942
SPAIN,2020-04-27 18:28:29,236199.0,23521.0,120832.0,10348109
SPAIN,2020-04-27 23:10:06,229422.0,23521.0,120832.0,10365006
SPAIN,2020-04-28 00:52:18,229422.0,23521.0,120832.0,10371138
SPAIN,2020-04-28 12:28:54,229422.0,23521.0,120832.0,10412934
SPAIN,2020-04-29 00:05:46,232128.0,23822.0,123903.0,10454746
SPAIN,2020-04-29 11:12:43,232128.0,23822.0,123903.0,10494763
SPAIN,2020-04-29 13:02:52,232128.0,23822.0,123903.0,10501372
SPAIN,2020-04-29 15:08:24,232128.0,23822.0,123903.0,10508904
SPAIN,2020-04-29 18:09:12,232128.0,23822.0,123903.0,10519752
SPAIN,2020-04-29 21:32:47,236899.0,24275.0,132929.0,10531967
SPAIN,2020-04-30 00:17:29,236899.0,24275.0,132929.0,10541849
SPAIN,2020-04-30 09:21:28,236899.0,24275.0,132929.0,10574488
SPAIN,2020-04-30 12:29:51,236899.0,24275.0,132929.0,10585791
SPAIN,2020-04-30 15:13:47,236899.0,24275.0,132929.0,10595627
SPAIN,2020-05-01 00:05:16,239639.0,24543.0,137984.0,10713916
SPAIN,2020-05-01 10:41:27,239639.0,24543.0,137984.0,10752087
SPAIN,2020-05-01 11:53:59,239639.0,24543.0,137984.0,10756439
SPAIN,2020-05-01 15:33:11,239639.0,24543.0,137984.0,10769591
SPAIN,2020-05-01 17:55:59,239639.0,24824.0,137984.0,10778159
SPAIN,2020-05-01 21:26:40,239639.0,24824.0,137984.0,10790800
SPAIN,2020-05-02 00:11:13,242988.0,24824.0,142450.0,10800673
SPAIN,2020-05-02 09:45:39,242988.0,24824.0,142450.0,10835139
SPAIN,2020-05-02 12:46:52,242988.0,24824.0,142450.0,10846012
SPAIN,2020-05-02 15:00:02,242988.0,25100.0,142450.0,10854002
SPAIN,2020-05-02 18:00:30,245567.0,25100.0,146233.0,10864830
SPAIN,2020-05-03 00:04:29,245567.0,25100.0,146233.0,10886669
SPAIN,2020-05-03 11:56:15,245567.0,25100.0,146233.0,10929375
SPAIN,2020-05-03 15:05:11,245567.0,25100.0,146233.0,10940711
SPAIN,2020-05-03 17:57:14,245567.0,25264.0,146233.0,10951034
SPAIN,2020-05-03 21:09:20,247122.0,25264.0,148558.0,10962560
SPAIN,2020-05-03 23:58:14,247122.0,25264.0,148558.0,10972694
SPAIN,2020-05-04 15:08:30,247122.0,25264.0,148558.0,11027310
SPAIN,2020-05-04 18:37:54,247122.0,25458.0,148558.0,11039874
SPAIN,2020-05-04 23:58:07,248301.0,25428.0,151633.0,11059087
SPAIN,2020-05-05 01:13:37,248301.0,25428.0,151633.0,11063617
SPAIN,2020-05-05 13:08:43,248301.0,25428.0,151633.0,11106523
SPAIN,2020-05-05 15:01:21,248301.0,25428.0,151633.0,11113281
SPAIN,2020-05-05 21:05:55,250561.0,25613.0,154718.0,11135155
SPAIN,2020-05-06 00:00:44,250561.0,25613.0,154718.0,11145644
SPAIN,2020-05-06 12:01:14,250561.0,25613.0,154718.0,11188874
SPAIN,2020-05-06 18:00:04,253682.0,25857.0,159359.0,11210404
SPAIN,2020-05-07 00:14:11,253682.0,25857.0,159359.0,11232851
SPAIN,2020-05-07 11:57:25,253682.0,25857.0,159359.0,11275045
SPAIN,2020-05-07 15:00:03,253682.0,25857.0,159359.0,11286003
SPAIN,2020-05-07 18:26:51,256855.0,26070.0,163919.0,11298411
SPAIN,2020-05-07 23:58:31,256855.0,26070.0,163919.0,11318311
SPAIN,2020-05-08 12:02:06,256855.0,26070.0,163919.0,11361726
SPAIN,2020-05-08 15:12:55,256855.0,26070.0,163919.0,11373175
SPAIN,2020-05-08 18:26:19,260117.0,26299.0,168408.0,11384779
SPAIN,2020-05-08 21:29:34,260117.0,26299.0,168408.0,11395774
SPAIN,2020-05-09 00:43:24,260117.0,26299.0,168408.0,11407404
SPAIN,2020-05-09 13:13:55,260117.0,26299.0,168408.0,11452435
SPAIN,2020-05-09 15:22:29,260117.0,26299.0,168408.0,11460149
SPAIN,2020-05-09 18:00:02,262783.0,26478.0,173157.0,11469602
SPAIN,2020-05-10 00:44:24,262783.0,26478.0,173157.0,11493864
SPAIN,2020-05-10 12:00:15,262783.0,26478.0,173157.0,11534415
SPAIN,2020-05-10 15:09:02,262783.0,26478.0,173157.0,11545742
SPAIN,2020-05-10 22:50:52,264663.0,26621.0,176439.0,11573452
SPAIN,2020-05-10 23:59:01,264663.0,26621.0,176439.0,11577541
SPAIN,2020-05-11 10:34:59,264663.0,26621.0,176439.0,11615699
SPAIN,2020-05-11 14:55:28,264663.0,26621.0,176439.0,11631328
SPAIN,2020-05-11 19:31:25,268143.0,26744.0,177846.0,11647885
SPAIN,2020-05-11 21:00:14,268143.0,26744.0,177846.0,11653214
SPAIN,2020-05-12 01:00:51,268143.0,26744.0,177846.0,11667651
SPAIN,2020-05-12 10:08:26,268143.0,26744.0,177846.0,11700506
SPAIN,2020-05-12 12:02:54,268143.0,26744.0,177846.0,11707374
SPAIN,2020-05-12 15:00:02,268143.0,26744.0,177846.0,11718002
SPAIN,2020-05-12 17:58:36,269520.0,26920.0,180470.0,11728716
SPAIN,2020-05-12 21:01:11,269520.0,26920.0,180470.0,11739671
SPAIN,2020-05-12 23:56:29,269520.0,26920.0,180470.0,11750189
SPAIN,2020-05-13 10:34:40,269520.0,26920.0,180470.0,11788480
SPAIN,2020-05-13 12:00:02,269520.0,26920.0,180470.0,11793602
SPAIN,2020-05-13 16:27:08,269520.0,26920.0,180470.0,11809628
SPAIN,2020-05-13 21:00:25,271095.0,27104.0,183227.0,11826025
SPAIN,2020-05-14 00:30:12,271095.0,27104.0,183227.0,11838612
SPAIN,2020-05-14 12:01:47,271095.0,27104.0,183227.0,11880107
SPAIN,2020-05-14 15:54:36,271095.0,27104.0,183227.0,11894076
SPAIN,2020-05-14 19:05:05,272646.0,27321.0,186480.0,11905505
SPAIN,2020-05-14 20:56:04,272646.0,27321.0,186480.0,11912164
SPAIN,2020-05-15 01:21:38,272646.0,27321.0,186480.0,11928098
SPAIN,2020-05-15 12:16:09,229540.0,27321.0,143374.0,11967369
SPAIN,2020-05-15 15:26:20,229540.0,27321.0,143374.0,11978780
SPAIN,2020-05-15 17:53:43,230183.0,27459.0,144783.0,11987623
SPAIN,2020-05-15 21:00:16,230183.0,27459.0,144783.0,11998816
SPAIN,2020-05-15 23:56:42,230183.0,27459.0,144783.0,12009402
SPAIN,2020-05-16 12:26:00,230183.0,27459.0,144783.0,12054360
SPAIN,2020-05-16 17:05:26,230698.0,27563.0,146446.0,12071126
SPAIN,2020-05-16 18:40:21,230698.0,27563.0,146446.0,12076821
SPAIN,2020-05-16 23:58:26,230698.0,27563.0,146446.0,12095906
SPAIN,2020-05-17 12:00:02,230698.0,27563.0,146446.0,12139202
SPAIN,2020-05-17 14:58:45,231350.0,27650.0,149576.0,12149925
SPAIN,2020-05-17 18:48:59,231350.0,27650.0,149576.0,12163739
SPAIN,2020-05-17 21:23:35,231350.0,27650.0,149576.0,12173015
SPAIN,2020-05-18 00:05:04,231350.0,27650.0,149576.0,12182704
SPAIN,2020-05-18 12:02:55,231350.0,27650.0,149576.0,12225775
SPAIN,2020-05-18 15:32:44,231350.0,27650.0,149576.0,12238364
SPAIN,2020-05-18 18:17:04,231350.0,27650.0,149576.0,12248224
SPAIN,2020-05-18 21:14:07,231606.0,27709.0,149576.0,12258847
SPAIN,2020-05-18 23:56:07,231606.0,27709.0,149576.0,12268567
SPAIN,2020-05-19 11:30:38,231606.0,27709.0,149576.0,12310238
SPAIN,2020-05-19 16:31:59,231606.0,27709.0,150376.0,12328319
SPAIN,2020-05-19 19:06:49,231606.0,27709.0,150376.0,12337609
SPAIN,2020-05-19 21:27:31,232037.0,27778.0,150376.0,12346051
SPAIN,2020-05-19 23:57:27,232037.0,27778.0,150376.0,12355047
SPAIN,2020-05-20 12:03:00,232037.0,27778.0,150376.0,12398580
SPAIN,2020-05-20 14:57:38,232037.0,27778.0,150376.0,12409058
SPAIN,2020-05-20 17:44:53,232037.0,27778.0,150376.0,12419093
SPAIN,2020-05-20 21:15:28,232555.0,27888.0,150376.0,12431728
SPAIN,2020-05-21 00:14:36,232555.0,27888.0,150376.0,12442476
SPAIN,2020-05-21 09:38:15,232555.0,27888.0,150376.0,12476295
SPAIN,2020-05-21 12:11:17,232555.0,27888.0,150376.0,12485477
SPAIN,2020-05-21 14:59:56,232555.0,27888.0,150376.0,12495596
SPAIN,2020-05-21 21:24:22,233037.0,27888.0,150376.0,12518662
SPAIN,2020-05-22 00:00:02,233037.0,27888.0,150376.0,12528002
SPAIN,2020-05-22 10:37:17,233037.0,27888.0,150376.0,12566237
SPAIN,2020-05-22 12:36:18,233037.0,27888.0,150376.0,12573378
SPAIN,2020-05-22 16:06:00,233037.0,27888.0,150376.0,12585960
SPAIN,2020-05-22 18:00:02,233037.0,27888.0,150376.0,12592802
SPAIN,2020-05-22 21:00:09,233037.0,27888.0,150376.0,12603609
SPAIN,2020-05-23 01:20:34,234824.0,27888.0,150376.0,12619234
SPAIN,2020-05-23 12:07:16,234824.0,28628.0,150376.0,12658036
SPAIN,2020-05-23 18:09:53,234824.0,28628.0,150376.0,12679793
SPAIN,2020-05-23 22:02:48,234824.0,28628.0,150376.0,12693768
SPAIN,2020-05-24 00:00:02,234824.0,28628.0,150376.0,12700802
SPAIN,2020-05-24 12:54:52,235290.0,28628.0,150376.0,12747292
SPAIN,2020-05-24 16:07:25,235290.0,28678.0,150376.0,12758845
SPAIN,2020-05-24 18:12:44,235290.0,28678.0,150376.0,12766364
SPAIN,2020-05-24 22:29:08,235772.0,28752.0,150376.0,12781748
SPAIN,2020-05-25 01:32:08,235772.0,28752.0,150376.0,12792728
SPAIN,2020-05-25 09:46:16,235772.0,28752.0,150376.0,12822376
SPAIN,2020-05-25 12:12:38,235772.0,28752.0,150376.0,12831158
SPAIN,2020-05-25 15:12:03,235772.0,28752.0,150376.0,12841923
SPAIN,2020-05-25 18:41:27,235772.0,28752.0,150376.0,12854487
SPAIN,2020-05-25 21:51:14,235400.0,26834.0,150376.0,12865874
SPAIN,2020-05-26 01:53:29,235400.0,26834.0,150376.0,12880409
SPAIN,2020-05-26 12:00:25,235400.0,26834.0,150376.0,12916825
SPAIN,2020-05-26 16:13:04,235400.0,26834.0,150376.0,12931984
SPAIN,2020-05-26 18:02:31,235400.0,26834.0,150376.0,12938551
SPAIN,2020-05-26 20:52:11,235400.0,26834.0,150376.0,12948731
SPAIN,2020-05-27 00:00:03,236259.0,27117.0,150376.0,12960003
SPAIN,2020-05-27 12:10:26,236259.0,27117.0,150376.0,13003826
SPAIN,2020-05-27 15:19:50,236259.0,27117.0,150376.0,13015190
SPAIN,2020-05-27 18:03:01,236259.0,27117.0,150376.0,13024981
SPAIN,2020-05-27 21:01:30,236769.0,27118.0,150376.0,13035690
SPAIN,2020-05-28 00:11:23,236769.0,27118.0,150376.0,13047083
SPAIN,2020-05-28 12:23:58,236769.0,27118.0,150376.0,13091038
SPAIN,2020-05-28 15:04:04,236769.0,27118.0,150376.0,13100644
SPAIN,2020-05-28 18:07:10,236769.0,27118.0,150376.0,13111630
SPAIN,2020-05-28 21:31:41,237906.0,27118.0,150376.0,13123901
SPAIN,2020-05-29 00:02:56,237906.0,27118.0,150376.0,13132976
SPAIN,2020-05-29 12:00:02,237906.0,27118.0,150376.0,13176002
