Nation,Time,Confirmed Case,Death,Recover,timestamp
SRI LANKA,2020-04-03 14:30:10,151.0,4.0,22.0,8260210
SRI LANKA,2020-04-03 14:30:11,151.0,4.0,22.0,8260211
SRI LANKA,2020-04-03 17:30:12,151.0,4.0,22.0,8271012
SRI LANKA,2020-04-03 20:30:12,152.0,4.0,24.0,8281812
SRI LANKA,2020-04-03 23:30:19,159.0,4.0,24.0,8292619
SRI LANKA,2020-04-04 08:30:14,159.0,5.0,24.0,8325014
SRI LANKA,2020-04-04 11:30:14,159.0,5.0,24.0,8335814
SRI LANKA,2020-04-04 14:30:16,159.0,5.0,25.0,8346616
SRI LANKA,2020-04-04 17:30:18,162.0,5.0,25.0,8357418
SRI LANKA,2020-04-04 20:30:33,162.0,5.0,27.0,8368233
SRI LANKA,2020-04-04 23:30:05,166.0,5.0,27.0,8379005
SRI LANKA,2020-04-05 08:30:07,166.0,5.0,27.0,8411407
SRI LANKA,2020-04-05 11:30:03,166.0,5.0,27.0,8422203
SRI LANKA,2020-04-05 14:30:04,166.0,5.0,29.0,8433004
SRI LANKA,2020-04-05 17:40:33,170.0,5.0,29.0,8444433
SRI LANKA,2020-04-05 20:33:28,174.0,5.0,29.0,8454808
SRI LANKA,2020-04-05 23:30:02,176.0,5.0,33.0,8465402
SRI LANKA,2020-04-06 08:37:49,176.0,5.0,33.0,8498269
SRI LANKA,2020-04-06 11:30:05,176.0,5.0,33.0,8508605
SRI LANKA,2020-04-06 14:44:21,176.0,5.0,33.0,8520261
SRI LANKA,2020-04-06 17:30:04,176.0,5.0,34.0,8530204
SRI LANKA,2020-04-06 21:00:44,178.0,5.0,38.0,8542844
SRI LANKA,2020-04-07 00:00:03,178.0,5.0,38.0,8553603
SRI LANKA,2020-04-07 09:00:04,178.0,5.0,38.0,8586004
SRI LANKA,2020-04-07 12:15:51,180.0,6.0,38.0,8597751
SRI LANKA,2020-04-07 15:59:55,180.0,6.0,42.0,8611195
SRI LANKA,2020-04-07 18:03:46,183.0,6.0,42.0,8618626
SRI LANKA,2020-04-07 21:32:15,185.0,6.0,42.0,8631135
SRI LANKA,2020-04-08 00:00:04,185.0,6.0,42.0,8640004
SRI LANKA,2020-04-08 09:00:46,185.0,6.0,42.0,8672446
SRI LANKA,2020-04-08 12:21:18,185.0,6.0,42.0,8684478
SRI LANKA,2020-04-08 15:04:46,186.0,6.0,42.0,8694286
SRI LANKA,2020-04-08 18:11:16,188.0,6.0,42.0,8705476
SRI LANKA,2020-04-08 21:33:56,189.0,7.0,44.0,8717636
SRI LANKA,2020-04-09 00:14:12,189.0,7.0,44.0,8727252
SRI LANKA,2020-04-09 11:19:24,189.0,7.0,44.0,8767164
SRI LANKA,2020-04-09 12:07:24,189.0,7.0,44.0,8770044
SRI LANKA,2020-04-09 14:57:09,189.0,7.0,47.0,8780229
SRI LANKA,2020-04-09 18:00:02,189.0,7.0,47.0,8791202
SRI LANKA,2020-04-10 01:06:14,190.0,7.0,49.0,8816774
SRI LANKA,2020-04-10 09:04:46,190.0,7.0,49.0,8845486
SRI LANKA,2020-04-10 12:09:17,190.0,7.0,49.0,8856557
SRI LANKA,2020-04-10 14:55:51,190.0,7.0,50.0,8866551
SRI LANKA,2020-04-10 18:41:05,190.0,7.0,50.0,8880065
SRI LANKA,2020-04-10 21:59:17,190.0,7.0,54.0,8891957
SRI LANKA,2020-04-11 00:00:34,190.0,7.0,54.0,8899234
SRI LANKA,2020-04-11 09:01:32,197.0,7.0,54.0,8931692
SRI LANKA,2020-04-11 12:08:24,197.0,7.0,54.0,8942904
SRI LANKA,2020-04-11 17:00:40,197.0,7.0,54.0,8960440
SRI LANKA,2020-04-11 18:12:28,198.0,7.0,54.0,8964748
SRI LANKA,2020-04-11 21:44:19,198.0,7.0,54.0,8977459
SRI LANKA,2020-04-11 23:59:29,198.0,7.0,54.0,8985569
SRI LANKA,2020-04-12 09:00:42,199.0,7.0,54.0,9018042
SRI LANKA,2020-04-12 12:05:42,199.0,7.0,54.0,9029142
SRI LANKA,2020-04-12 15:09:25,203.0,7.0,55.0,9040165
SRI LANKA,2020-04-12 18:22:01,203.0,7.0,55.0,9051721
SRI LANKA,2020-04-12 20:59:25,203.0,7.0,55.0,9061165
SRI LANKA,2020-04-13 00:07:13,210.0,7.0,56.0,9072433
SRI LANKA,2020-04-13 09:26:16,210.0,7.0,56.0,9105976
SRI LANKA,2020-04-13 11:59:14,210.0,7.0,56.0,9115154
SRI LANKA,2020-04-13 15:13:01,210.0,7.0,56.0,9126781
SRI LANKA,2020-04-13 20:23:47,217.0,7.0,56.0,9145427
SRI LANKA,2020-04-13 21:01:27,217.0,7.0,56.0,9147687
SRI LANKA,2020-04-14 00:30:40,217.0,7.0,56.0,9160240
SRI LANKA,2020-04-14 09:09:09,218.0,7.0,56.0,9191349
SRI LANKA,2020-04-14 12:13:23,218.0,7.0,56.0,9202403
SRI LANKA,2020-04-14 15:49:28,218.0,7.0,59.0,9215368
SRI LANKA,2020-04-14 18:27:14,219.0,7.0,59.0,9224834
SRI LANKA,2020-04-14 21:18:50,219.0,7.0,61.0,9235130
SRI LANKA,2020-04-15 00:07:14,233.0,7.0,61.0,9245234
SRI LANKA,2020-04-15 09:00:09,233.0,7.0,61.0,9277209
SRI LANKA,2020-04-15 14:56:18,233.0,7.0,63.0,9298578
SRI LANKA,2020-04-15 19:52:38,235.0,7.0,63.0,9316358
SRI LANKA,2020-04-15 21:18:33,235.0,7.0,63.0,9321513
SRI LANKA,2020-04-16 00:51:15,238.0,7.0,63.0,9334275
SRI LANKA,2020-04-16 09:04:51,238.0,7.0,63.0,9363891
SRI LANKA,2020-04-16 12:05:08,238.0,7.0,63.0,9374708
SRI LANKA,2020-04-16 14:57:08,238.0,7.0,65.0,9385028
SRI LANKA,2020-04-16 17:58:25,238.0,7.0,68.0,9395905
SRI LANKA,2020-04-16 22:41:20,238.0,7.0,68.0,9412880
SRI LANKA,2020-04-17 01:32:36,238.0,7.0,68.0,9423156
SRI LANKA,2020-04-17 09:11:04,238.0,7.0,68.0,9450664
SRI LANKA,2020-04-17 12:02:01,238.0,7.0,68.0,9460921
SRI LANKA,2020-04-17 14:56:35,238.0,7.0,70.0,9471395
SRI LANKA,2020-04-17 18:39:21,242.0,7.0,77.0,9484761
SRI LANKA,2020-04-17 22:45:21,244.0,7.0,77.0,9499521
SRI LANKA,2020-04-18 08:54:14,244.0,7.0,77.0,9536054
SRI LANKA,2020-04-18 13:55:54,244.0,7.0,77.0,9554154
SRI LANKA,2020-04-18 15:41:06,244.0,7.0,77.0,9560466
SRI LANKA,2020-04-18 18:03:48,248.0,7.0,77.0,9569028
SRI LANKA,2020-04-19 00:17:39,254.0,7.0,86.0,9591459
SRI LANKA,2020-04-19 09:10:08,254.0,7.0,86.0,9623408
SRI LANKA,2020-04-19 15:11:32,254.0,7.0,91.0,9645092
SRI LANKA,2020-04-19 18:07:21,256.0,7.0,91.0,9655641
SRI LANKA,2020-04-19 21:01:51,269.0,7.0,96.0,9666111
SRI LANKA,2020-04-20 00:00:38,271.0,7.0,96.0,9676838
SRI LANKA,2020-04-20 12:46:45,295.0,7.0,96.0,9722805
SRI LANKA,2020-04-20 15:15:13,295.0,7.0,97.0,9731713
SRI LANKA,2020-04-20 18:00:55,303.0,7.0,97.0,9741655
SRI LANKA,2020-04-20 20:51:26,304.0,7.0,98.0,9751886
SRI LANKA,2020-04-20 23:57:35,304.0,7.0,98.0,9763055
SRI LANKA,2020-04-21 12:05:06,309.0,7.0,98.0,9806706
SRI LANKA,2020-04-21 18:05:54,310.0,7.0,100.0,9828354
SRI LANKA,2020-04-21 20:56:52,310.0,7.0,102.0,9838612
SRI LANKA,2020-04-22 10:13:50,310.0,7.0,102.0,9886430
SRI LANKA,2020-04-22 12:01:15,310.0,7.0,102.0,9892875
SRI LANKA,2020-04-22 15:04:35,321.0,7.0,104.0,9903875
SRI LANKA,2020-04-23 00:41:34,330.0,7.0,105.0,9938494
SRI LANKA,2020-04-23 11:00:28,330.0,7.0,105.0,9975628
SRI LANKA,2020-04-23 18:09:30,335.0,7.0,107.0,10001370
SRI LANKA,2020-04-23 21:15:10,340.0,7.0,107.0,10012510
SRI LANKA,2020-04-24 12:38:27,373.0,7.0,107.0,10067907
SRI LANKA,2020-04-24 15:07:01,373.0,7.0,107.0,10076821
SRI LANKA,2020-04-24 18:05:08,379.0,7.0,107.0,10087508
SRI LANKA,2020-04-25 01:24:20,417.0,7.0,109.0,10113860
SRI LANKA,2020-04-25 10:29:29,420.0,7.0,109.0,10146569
SRI LANKA,2020-04-25 13:06:30,420.0,7.0,116.0,10155990
SRI LANKA,2020-04-25 15:13:19,420.0,7.0,116.0,10163599
SRI LANKA,2020-04-25 18:05:53,433.0,7.0,116.0,10173953
SRI LANKA,2020-04-26 00:02:26,452.0,7.0,118.0,10195346
SRI LANKA,2020-04-26 10:30:36,460.0,7.0,118.0,10233036
SRI LANKA,2020-04-26 14:00:20,467.0,7.0,120.0,10245620
SRI LANKA,2020-04-26 15:00:26,467.0,7.0,120.0,10249226
SRI LANKA,2020-04-26 18:04:29,471.0,7.0,120.0,10260269
SRI LANKA,2020-04-26 20:55:24,485.0,7.0,120.0,10270524
SRI LANKA,2020-04-27 01:26:23,523.0,7.0,120.0,10286783
SRI LANKA,2020-04-27 12:02:22,523.0,7.0,120.0,10324942
SRI LANKA,2020-04-27 18:28:29,567.0,7.0,126.0,10348109
SRI LANKA,2020-04-27 23:10:06,584.0,7.0,126.0,10365006
SRI LANKA,2020-04-28 00:52:18,588.0,7.0,126.0,10371138
SRI LANKA,2020-04-28 12:28:54,588.0,7.0,126.0,10412934
SRI LANKA,2020-04-29 00:05:46,619.0,7.0,134.0,10454746
SRI LANKA,2020-04-29 11:12:43,619.0,7.0,134.0,10494763
SRI LANKA,2020-04-29 13:02:52,619.0,7.0,134.0,10501372
SRI LANKA,2020-04-29 15:08:24,622.0,7.0,134.0,10508904
SRI LANKA,2020-04-29 18:09:12,622.0,7.0,134.0,10519752
SRI LANKA,2020-04-29 21:32:47,630.0,7.0,136.0,10531967
SRI LANKA,2020-04-30 00:17:29,649.0,7.0,136.0,10541849
SRI LANKA,2020-04-30 09:21:28,649.0,7.0,136.0,10574488
SRI LANKA,2020-04-30 12:29:51,649.0,7.0,136.0,10585791
SRI LANKA,2020-04-30 15:13:47,649.0,7.0,139.0,10595627
SRI LANKA,2020-05-01 00:05:16,663.0,7.0,155.0,10713916
SRI LANKA,2020-05-01 10:41:27,665.0,7.0,155.0,10752087
SRI LANKA,2020-05-01 11:53:59,665.0,7.0,155.0,10756439
SRI LANKA,2020-05-01 15:33:11,668.0,7.0,157.0,10769591
SRI LANKA,2020-05-01 17:55:59,671.0,7.0,157.0,10778159
SRI LANKA,2020-05-01 21:26:40,689.0,7.0,162.0,10790800
SRI LANKA,2020-05-02 00:11:13,690.0,7.0,162.0,10800673
SRI LANKA,2020-05-02 09:45:39,690.0,7.0,162.0,10835139
SRI LANKA,2020-05-02 12:46:52,690.0,7.0,162.0,10846012
