Nation,Time,Confirmed Case,Death,Recover,timestamp
ST.KITTS AND NEVIS,2020-04-03 14:30:10,9.0,0.0,0.0,8260210
ST.KITTS AND NEVIS,2020-04-03 14:30:11,9.0,0.0,0.0,8260211
ST.KITTS AND NEVIS,2020-04-03 17:30:12,9.0,0.0,0.0,8271012
ST.KITTS AND NEVIS,2020-04-03 20:30:12,9.0,0.0,0.0,8281812
ST.KITTS AND NEVIS,2020-04-03 23:30:19,9.0,0.0,0.0,8292619
ST.KITTS AND NEVIS,2020-04-04 08:30:14,9.0,0.0,0.0,8325014
ST.KITTS AND NEVIS,2020-04-04 11:30:14,9.0,0.0,0.0,8335814
ST.KITTS AND NEVIS,2020-04-04 14:30:16,9.0,0.0,0.0,8346616
ST.KITTS AND NEVIS,2020-04-04 17:30:18,9.0,0.0,0.0,8357418
ST.KITTS AND NEVIS,2020-04-04 20:30:33,9.0,0.0,0.0,8368233
ST.KITTS AND NEVIS,2020-04-04 23:30:05,9.0,0.0,0.0,8379005
ST.KITTS AND NEVIS,2020-04-05 08:30:07,9.0,0.0,0.0,8411407
ST.KITTS AND NEVIS,2020-04-05 11:30:03,9.0,0.0,0.0,8422203
ST.KITTS AND NEVIS,2020-04-05 14:30:04,9.0,0.0,0.0,8433004
ST.KITTS AND NEVIS,2020-04-05 17:40:33,9.0,0.0,0.0,8444433
ST.KITTS AND NEVIS,2020-04-05 20:33:28,10.0,0.0,0.0,8454808
ST.KITTS AND NEVIS,2020-04-05 23:30:02,10.0,0.0,0.0,8465402
ST.KITTS AND NEVIS,2020-04-06 08:37:49,10.0,0.0,0.0,8498269
ST.KITTS AND NEVIS,2020-04-06 11:30:05,10.0,0.0,0.0,8508605
ST.KITTS AND NEVIS,2020-04-06 14:44:21,10.0,0.0,0.0,8520261
ST.KITTS AND NEVIS,2020-04-06 17:30:04,10.0,0.0,0.0,8530204
ST.KITTS AND NEVIS,2020-04-06 21:00:44,10.0,0.0,0.0,8542844
ST.KITTS AND NEVIS,2020-04-07 00:00:03,10.0,0.0,0.0,8553603
ST.KITTS AND NEVIS,2020-04-07 09:00:04,10.0,0.0,0.0,8586004
ST.KITTS AND NEVIS,2020-04-07 12:15:51,10.0,0.0,0.0,8597751
ST.KITTS AND NEVIS,2020-04-07 15:59:55,10.0,0.0,0.0,8611195
ST.KITTS AND NEVIS,2020-04-07 18:03:46,11.0,0.0,0.0,8618626
ST.KITTS AND NEVIS,2020-04-07 21:32:15,11.0,0.0,0.0,8631135
ST.KITTS AND NEVIS,2020-04-08 00:00:04,11.0,0.0,0.0,8640004
ST.KITTS AND NEVIS,2020-04-08 09:00:46,11.0,0.0,0.0,8672446
ST.KITTS AND NEVIS,2020-04-08 12:21:18,11.0,0.0,0.0,8684478
ST.KITTS AND NEVIS,2020-04-08 15:04:46,11.0,0.0,0.0,8694286
ST.KITTS AND NEVIS,2020-04-08 18:11:16,11.0,0.0,0.0,8705476
ST.KITTS AND NEVIS,2020-04-08 21:33:56,11.0,0.0,0.0,8717636
ST.KITTS AND NEVIS,2020-04-09 00:14:12,11.0,0.0,0.0,8727252
ST.KITTS AND NEVIS,2020-04-09 11:19:24,11.0,0.0,0.0,8767164
ST.KITTS AND NEVIS,2020-04-09 12:07:24,11.0,0.0,0.0,8770044
ST.KITTS AND NEVIS,2020-04-09 14:57:09,11.0,0.0,0.0,8780229
ST.KITTS AND NEVIS,2020-04-09 18:00:02,11.0,0.0,0.0,8791202
ST.KITTS AND NEVIS,2020-04-10 01:06:14,11.0,0.0,0.0,8816774
ST.KITTS AND NEVIS,2020-04-10 09:04:46,11.0,0.0,0.0,8845486
ST.KITTS AND NEVIS,2020-04-10 12:09:17,11.0,0.0,0.0,8856557
ST.KITTS AND NEVIS,2020-04-10 14:55:51,11.0,0.0,0.0,8866551
ST.KITTS AND NEVIS,2020-04-10 18:41:05,11.0,0.0,0.0,8880065
ST.KITTS AND NEVIS,2020-04-10 21:59:17,11.0,0.0,0.0,8891957
ST.KITTS AND NEVIS,2020-04-11 00:00:34,11.0,0.0,0.0,8899234
ST.KITTS AND NEVIS,2020-04-11 09:01:32,12.0,0.0,0.0,8931692
ST.KITTS AND NEVIS,2020-04-11 12:08:24,12.0,0.0,0.0,8942904
ST.KITTS AND NEVIS,2020-04-11 17:00:40,12.0,0.0,0.0,8960440
ST.KITTS AND NEVIS,2020-04-11 18:12:28,12.0,0.0,0.0,8964748
ST.KITTS AND NEVIS,2020-04-11 21:44:19,12.0,0.0,0.0,8977459
ST.KITTS AND NEVIS,2020-04-11 23:59:29,12.0,0.0,0.0,8985569
ST.KITTS AND NEVIS,2020-04-12 09:00:42,12.0,0.0,0.0,9018042
ST.KITTS AND NEVIS,2020-04-12 12:05:42,12.0,0.0,0.0,9029142
ST.KITTS AND NEVIS,2020-04-12 15:09:25,12.0,0.0,0.0,9040165
ST.KITTS AND NEVIS,2020-04-12 18:22:01,12.0,0.0,0.0,9051721
ST.KITTS AND NEVIS,2020-04-12 20:59:25,12.0,0.0,0.0,9061165
ST.KITTS AND NEVIS,2020-04-13 00:07:13,12.0,0.0,0.0,9072433
ST.KITTS AND NEVIS,2020-04-13 09:26:16,12.0,0.0,0.0,9105976
ST.KITTS AND NEVIS,2020-04-13 11:59:14,12.0,0.0,0.0,9115154
ST.KITTS AND NEVIS,2020-04-13 15:13:01,12.0,0.0,0.0,9126781
ST.KITTS AND NEVIS,2020-04-13 20:23:47,12.0,0.0,0.0,9145427
ST.KITTS AND NEVIS,2020-04-13 21:01:27,12.0,0.0,0.0,9147687
ST.KITTS AND NEVIS,2020-04-14 00:30:40,12.0,0.0,0.0,9160240
ST.KITTS AND NEVIS,2020-04-14 09:09:09,12.0,0.0,0.0,9191349
ST.KITTS AND NEVIS,2020-04-14 12:13:23,12.0,0.0,0.0,9202403
ST.KITTS AND NEVIS,2020-04-14 15:49:28,12.0,0.0,0.0,9215368
ST.KITTS AND NEVIS,2020-04-14 18:27:14,12.0,0.0,0.0,9224834
ST.KITTS AND NEVIS,2020-04-14 21:18:50,12.0,0.0,0.0,9235130
ST.KITTS AND NEVIS,2020-04-15 00:07:14,12.0,0.0,0.0,9245234
ST.KITTS AND NEVIS,2020-04-15 09:00:09,14.0,0.0,0.0,9277209
ST.KITTS AND NEVIS,2020-04-15 14:56:18,14.0,0.0,0.0,9298578
ST.KITTS AND NEVIS,2020-04-15 19:52:38,14.0,0.0,0.0,9316358
ST.KITTS AND NEVIS,2020-04-15 21:18:33,14.0,0.0,0.0,9321513
ST.KITTS AND NEVIS,2020-04-16 00:51:15,14.0,0.0,0.0,9334275
ST.KITTS AND NEVIS,2020-04-16 09:04:51,14.0,0.0,0.0,9363891
ST.KITTS AND NEVIS,2020-04-16 12:05:08,14.0,0.0,0.0,9374708
ST.KITTS AND NEVIS,2020-04-16 14:57:08,14.0,0.0,0.0,9385028
ST.KITTS AND NEVIS,2020-04-16 17:58:25,14.0,0.0,0.0,9395905
ST.KITTS AND NEVIS,2020-04-16 22:41:20,14.0,0.0,0.0,9412880
ST.KITTS AND NEVIS,2020-04-17 01:32:36,14.0,0.0,0.0,9423156
ST.KITTS AND NEVIS,2020-04-17 09:11:04,14.0,0.0,0.0,9450664
ST.KITTS AND NEVIS,2020-04-17 12:02:01,14.0,0.0,0.0,9460921
ST.KITTS AND NEVIS,2020-04-17 14:56:35,14.0,0.0,0.0,9471395
ST.KITTS AND NEVIS,2020-04-17 18:39:21,14.0,0.0,0.0,9484761
ST.KITTS AND NEVIS,2020-04-17 22:45:21,14.0,0.0,0.0,9499521
ST.KITTS AND NEVIS,2020-04-18 08:54:14,14.0,0.0,0.0,9536054
ST.KITTS AND NEVIS,2020-04-18 13:55:54,14.0,0.0,0.0,9554154
