Nation,Time,Confirmed Case,Death,Recover,timestamp
SUDAN,2020-04-03 14:30:10,8.0,2.0,2.0,8260210
SUDAN,2020-04-03 14:30:11,8.0,2.0,2.0,8260211
SUDAN,2020-04-03 17:30:12,8.0,2.0,2.0,8271012
SUDAN,2020-04-03 20:30:12,8.0,2.0,2.0,8281812
SUDAN,2020-04-03 23:30:19,10.0,2.0,2.0,8292619
SUDAN,2020-04-04 08:30:14,10.0,2.0,2.0,8325014
SUDAN,2020-04-04 11:30:14,10.0,2.0,2.0,8335814
SUDAN,2020-04-04 14:30:16,10.0,2.0,2.0,8346616
SUDAN,2020-04-04 17:30:18,10.0,2.0,2.0,8357418
SUDAN,2020-04-04 20:30:33,10.0,2.0,2.0,8368233
SUDAN,2020-04-04 23:30:05,10.0,2.0,2.0,8379005
SUDAN,2020-04-05 08:30:07,10.0,2.0,2.0,8411407
SUDAN,2020-04-05 11:30:03,10.0,2.0,2.0,8422203
SUDAN,2020-04-05 14:30:04,10.0,2.0,2.0,8433004
SUDAN,2020-04-05 17:40:33,10.0,2.0,2.0,8444433
SUDAN,2020-04-05 20:33:28,10.0,2.0,2.0,8454808
SUDAN,2020-04-05 23:30:02,12.0,2.0,2.0,8465402
SUDAN,2020-04-06 08:37:49,12.0,2.0,2.0,8498269
SUDAN,2020-04-06 11:30:05,12.0,2.0,2.0,8508605
SUDAN,2020-04-06 14:44:21,12.0,2.0,2.0,8520261
SUDAN,2020-04-06 17:30:04,12.0,2.0,2.0,8530204
SUDAN,2020-04-06 21:00:44,12.0,2.0,2.0,8542844
SUDAN,2020-04-07 00:00:03,12.0,2.0,2.0,8553603
SUDAN,2020-04-07 09:00:04,12.0,2.0,2.0,8586004
SUDAN,2020-04-07 12:15:51,12.0,2.0,2.0,8597751
SUDAN,2020-04-07 15:59:55,14.0,2.0,2.0,8611195
SUDAN,2020-04-07 18:03:46,14.0,2.0,2.0,8618626
SUDAN,2020-04-07 21:32:15,14.0,2.0,2.0,8631135
SUDAN,2020-04-08 00:00:04,14.0,2.0,2.0,8640004
SUDAN,2020-04-08 09:00:46,14.0,2.0,2.0,8672446
SUDAN,2020-04-08 12:21:18,14.0,2.0,2.0,8684478
SUDAN,2020-04-08 15:04:46,14.0,2.0,2.0,8694286
SUDAN,2020-04-08 18:11:16,14.0,2.0,2.0,8705476
SUDAN,2020-04-08 21:33:56,14.0,2.0,2.0,8717636
SUDAN,2020-04-09 00:14:12,14.0,2.0,2.0,8727252
SUDAN,2020-04-09 11:19:24,14.0,2.0,2.0,8767164
SUDAN,2020-04-09 12:07:24,14.0,2.0,2.0,8770044
SUDAN,2020-04-09 14:57:09,14.0,2.0,2.0,8780229
SUDAN,2020-04-09 18:00:02,14.0,2.0,2.0,8791202
SUDAN,2020-04-10 01:06:14,15.0,2.0,2.0,8816774
SUDAN,2020-04-10 09:04:46,15.0,2.0,2.0,8845486
SUDAN,2020-04-10 12:09:17,15.0,2.0,2.0,8856557
SUDAN,2020-04-10 14:55:51,15.0,2.0,2.0,8866551
