Nation,Time,Confirmed Case,Death,Recover,timestamp
SYRIA,5.5.2020.13.8.43,44.0,3.0,27.0,11106523
SYRIA,5.5.2020.15.1.21,44.0,3.0,27.0,11113281
SYRIA,5.5.2020.21.5.55,44.0,3.0,27.0,11135155
SYRIA,6.5.2020.0.0.44,44.0,3.0,27.0,11145644
SYRIA,6.5.2020.12.1.14,44.0,3.0,27.0,11188874
SYRIA,6.5.2020.18.0.4,45.0,3.0,27.0,11210404
SYRIA,7.5.2020.0.14.11,45.0,3.0,27.0,11232851
SYRIA,7.5.2020.11.57.25,45.0,3.0,27.0,11275045
SYRIA,7.5.2020.15.0.3,45.0,3.0,27.0,11286003
SYRIA,7.5.2020.18.26.51,45.0,3.0,27.0,11298411
SYRIA,7.5.2020.23.58.31,45.0,3.0,27.0,11318311
SYRIA,8.5.2020.12.2.6,45.0,3.0,27.0,11361726
SYRIA,8.5.2020.15.12.55,45.0,3.0,27.0,11373175
SYRIA,8.5.2020.18.26.19,45.0,3.0,27.0,11384779
SYRIA,8.5.2020.21.29.34,47.0,3.0,27.0,11395774
SYRIA,9.5.2020.0.43.24,47.0,3.0,27.0,11407404
SYRIA,9.5.2020.13.13.55,47.0,3.0,29.0,11452435
SYRIA,9.5.2020.15.22.29,47.0,3.0,29.0,11460149
SYRIA,9.5.2020.18.0.2,47.0,3.0,29.0,11469602
SYRIA,10.5.2020.0.44.24,47.0,3.0,29.0,11493864
SYRIA,10.5.2020.12.0.15,47.0,3.0,29.0,11534415
SYRIA,10.5.2020.15.9.2,47.0,3.0,29.0,11545742
SYRIA,10.5.2020.22.50.52,47.0,3.0,29.0,11573452
SYRIA,10.5.2020.23.59.1,47.0,3.0,29.0,11577541
SYRIA,11.5.2020.10.34.59,47.0,3.0,29.0,11615699
SYRIA,11.5.2020.14.55.28,47.0,3.0,29.0,11631328
SYRIA,11.5.2020.19.31.25,47.0,3.0,29.0,11647885
SYRIA,11.5.2020.21.0.14,47.0,3.0,29.0,11653214
SYRIA,12.5.2020.1.0.51,47.0,3.0,29.0,11667651
SYRIA,12.5.2020.10.8.26,47.0,3.0,29.0,11700506
SYRIA,12.5.2020.12.2.54,47.0,3.0,29.0,11707374
SYRIA,12.5.2020.15.0.2,47.0,3.0,29.0,11718002
SYRIA,12.5.2020.17.58.36,47.0,3.0,29.0,11728716
SYRIA,12.5.2020.21.1.11,47.0,3.0,29.0,11739671
SYRIA,12.5.2020.23.56.29,47.0,3.0,29.0,11750189
SYRIA,13.5.2020.10.34.40,47.0,3.0,29.0,11788480
SYRIA,13.5.2020.12.0.2,47.0,3.0,29.0,11793602
SYRIA,13.5.2020.16.27.8,47.0,3.0,29.0,11809628
SYRIA,13.5.2020.21.0.25,48.0,3.0,29.0,11826025
SYRIA,14.5.2020.0.30.12,48.0,3.0,29.0,11838612
SYRIA,14.5.2020.12.1.47,48.0,3.0,29.0,11880107
SYRIA,14.5.2020.15.54.36,48.0,3.0,29.0,11894076
SYRIA,14.5.2020.19.5.5,48.0,3.0,29.0,11905505
SYRIA,14.5.2020.20.56.4,48.0,3.0,29.0,11912164
SYRIA,15.5.2020.1.21.38,48.0,3.0,29.0,11928098
SYRIA,15.5.2020.12.16.9,48.0,3.0,29.0,11967369
SYRIA,15.5.2020.15.26.20,48.0,3.0,29.0,11978780
SYRIA,15.5.2020.17.53.43,48.0,3.0,29.0,11987623
SYRIA,15.5.2020.21.0.16,48.0,3.0,29.0,11998816
SYRIA,15.5.2020.23.56.42,50.0,3.0,36.0,12009402
SYRIA,16.5.2020.12.26.0,50.0,3.0,36.0,12054360
SYRIA,16.5.2020.17.5.26,50.0,3.0,36.0,12071126
SYRIA,16.5.2020.18.40.21,50.0,3.0,36.0,12076821
SYRIA,16.5.2020.23.58.26,50.0,3.0,36.0,12095906
SYRIA,17.5.2020.12.0.2,51.0,3.0,36.0,12139202
SYRIA,17.5.2020.14.58.45,51.0,3.0,36.0,12149925
SYRIA,17.5.2020.18.48.59,51.0,3.0,36.0,12163739
SYRIA,17.5.2020.21.23.35,58.0,3.0,36.0,12173015
SYRIA,18.5.2020.0.5.4,58.0,3.0,36.0,12182704
SYRIA,18.5.2020.12.2.55,58.0,3.0,36.0,12225775
SYRIA,18.5.2020.15.32.44,58.0,3.0,36.0,12238364
SYRIA,18.5.2020.18.17.4,58.0,3.0,36.0,12248224
SYRIA,18.5.2020.21.14.7,58.0,3.0,36.0,12258847
SYRIA,18.5.2020.23.56.7,58.0,3.0,36.0,12268567
SYRIA,19.5.2020.11.30.38,58.0,3.0,36.0,12310238
SYRIA,19.5.2020.16.31.59,58.0,3.0,36.0,12328319
SYRIA,19.5.2020.19.6.49,58.0,3.0,36.0,12337609
SYRIA,19.5.2020.21.27.31,58.0,3.0,36.0,12346051
SYRIA,19.5.2020.23.57.27,58.0,3.0,36.0,12355047
SYRIA,20.5.2020.12.3.0,58.0,3.0,36.0,12398580
SYRIA,20.5.2020.14.57.38,58.0,3.0,36.0,12409058
SYRIA,20.5.2020.17.44.53,58.0,3.0,36.0,12419093
SYRIA,20.5.2020.21.15.28,58.0,3.0,36.0,12431728
SYRIA,21.5.2020.0.14.36,58.0,3.0,36.0,12442476
SYRIA,21.5.2020.9.38.15,58.0,3.0,36.0,12476295
SYRIA,21.5.2020.12.11.17,58.0,3.0,36.0,12485477
SYRIA,21.5.2020.14.59.56,58.0,3.0,36.0,12495596
SYRIA,21.5.2020.21.24.22,58.0,3.0,36.0,12518662
SYRIA,22.5.2020.0.0.2,58.0,3.0,36.0,12528002
SYRIA,22.5.2020.10.37.17,58.0,3.0,36.0,12566237
SYRIA,22.5.2020.12.36.18,58.0,3.0,36.0,12573378
SYRIA,22.5.2020.16.6.0,58.0,3.0,36.0,12585960
SYRIA,22.5.2020.18.0.2,58.0,3.0,36.0,12592802
SYRIA,22.5.2020.21.0.9,58.0,3.0,36.0,12603609
SYRIA,23.5.2020.1.20.34,59.0,4.0,37.0,12619234
SYRIA,23.5.2020.12.7.16,59.0,4.0,37.0,12658036
SYRIA,23.5.2020.18.9.53,70.0,4.0,37.0,12679793
SYRIA,23.5.2020.22.2.48,70.0,4.0,37.0,12693768
SYRIA,24.5.2020.0.0.2,70.0,4.0,37.0,12700802
SYRIA,24.5.2020.12.54.52,70.0,4.0,37.0,12747292
SYRIA,24.5.2020.16.7.25,70.0,4.0,37.0,12758845
SYRIA,24.5.2020.18.12.44,70.0,4.0,37.0,12766364
SYRIA,24.5.2020.22.29.8,86.0,4.0,41.0,12781748
SYRIA,25.5.2020.1.32.8,86.0,4.0,41.0,12792728
SYRIA,25.5.2020.9.46.16,86.0,4.0,41.0,12822376
SYRIA,25.5.2020.12.12.38,86.0,4.0,41.0,12831158
SYRIA,25.5.2020.15.12.3,106.0,4.0,41.0,12841923
