Nation,Time,Confirmed Case,Death,Recover,timestamp
SYRIAN ARAB REPUBLIC,3.4.2020.14.30.10,16.0,2.0,0.0,8260210
SYRIAN ARAB REPUBLIC,3.4.2020.14.30.11,16.0,2.0,0.0,8260211
SYRIAN ARAB REPUBLIC,3.4.2020.17.30.12,16.0,2.0,0.0,8271012
SYRIAN ARAB REPUBLIC,3.4.2020.20.30.12,16.0,2.0,0.0,8281812
SYRIAN ARAB REPUBLIC,3.4.2020.23.30.19,16.0,2.0,0.0,8292619
SYRIAN ARAB REPUBLIC,4.4.2020.8.30.14,16.0,2.0,0.0,8325014
SYRIAN ARAB REPUBLIC,4.4.2020.11.30.14,16.0,2.0,0.0,8335814
SYRIAN ARAB REPUBLIC,4.4.2020.14.30.16,16.0,2.0,0.0,8346616
SYRIAN ARAB REPUBLIC,4.4.2020.17.30.18,16.0,2.0,2.0,8357418
SYRIAN ARAB REPUBLIC,4.4.2020.20.30.33,16.0,2.0,2.0,8368233
SYRIAN ARAB REPUBLIC,4.4.2020.23.30.5,16.0,2.0,2.0,8379005
SYRIAN ARAB REPUBLIC,5.4.2020.8.30.7,16.0,2.0,2.0,8411407
SYRIAN ARAB REPUBLIC,5.4.2020.11.30.3,16.0,2.0,2.0,8422203
SYRIAN ARAB REPUBLIC,5.4.2020.14.30.4,16.0,2.0,2.0,8433004
SYRIAN ARAB REPUBLIC,5.4.2020.17.40.33,19.0,2.0,2.0,8444433
SYRIAN ARAB REPUBLIC,5.4.2020.20.33.28,19.0,2.0,2.0,8454808
SYRIAN ARAB REPUBLIC,5.4.2020.23.30.2,19.0,2.0,2.0,8465402
SYRIAN ARAB REPUBLIC,6.4.2020.8.37.49,19.0,2.0,2.0,8498269
SYRIAN ARAB REPUBLIC,6.4.2020.11.30.5,19.0,2.0,2.0,8508605
SYRIAN ARAB REPUBLIC,6.4.2020.14.44.21,19.0,2.0,2.0,8520261
SYRIAN ARAB REPUBLIC,6.4.2020.17.30.4,19.0,2.0,2.0,8530204
SYRIAN ARAB REPUBLIC,6.4.2020.21.0.44,19.0,2.0,2.0,8542844
SYRIAN ARAB REPUBLIC,7.4.2020.0.0.3,19.0,2.0,2.0,8553603
SYRIAN ARAB REPUBLIC,7.4.2020.9.0.4,19.0,2.0,2.0,8586004
SYRIAN ARAB REPUBLIC,7.4.2020.12.15.51,19.0,2.0,2.0,8597751
SYRIAN ARAB REPUBLIC,7.4.2020.15.59.55,19.0,2.0,2.0,8611195
SYRIAN ARAB REPUBLIC,7.4.2020.18.3.46,19.0,2.0,2.0,8618626
SYRIAN ARAB REPUBLIC,7.4.2020.21.32.15,19.0,2.0,2.0,8631135
SYRIAN ARAB REPUBLIC,8.4.2020.0.0.4,19.0,2.0,3.0,8640004
SYRIAN ARAB REPUBLIC,8.4.2020.9.0.46,19.0,2.0,3.0,8672446
SYRIAN ARAB REPUBLIC,8.4.2020.12.21.18,19.0,2.0,3.0,8684478
SYRIAN ARAB REPUBLIC,8.4.2020.15.4.46,19.0,2.0,3.0,8694286
SYRIAN ARAB REPUBLIC,8.4.2020.18.11.16,19.0,2.0,3.0,8705476
