Nation,Time,Confirmed Case,Death,Recover,timestamp
TAIWAN,3.4.2020.14.30.10,348.0,5.0,50.0,8260210
TAIWAN,3.4.2020.14.30.11,348.0,5.0,50.0,8260211
TAIWAN,3.4.2020.17.30.12,348.0,5.0,50.0,8271012
TAIWAN,3.4.2020.20.30.12,348.0,5.0,50.0,8281812
TAIWAN,3.4.2020.23.30.19,348.0,5.0,50.0,8292619
TAIWAN,4.4.2020.8.30.14,348.0,5.0,50.0,8325014
TAIWAN,4.4.2020.11.30.14,348.0,5.0,50.0,8335814
TAIWAN,4.4.2020.14.30.16,355.0,5.0,50.0,8346616
TAIWAN,4.4.2020.17.30.18,355.0,5.0,50.0,8357418
TAIWAN,4.4.2020.20.30.33,355.0,5.0,50.0,8368233
TAIWAN,4.4.2020.23.30.5,355.0,5.0,50.0,8379005
TAIWAN,5.4.2020.8.30.7,355.0,5.0,50.0,8411407
TAIWAN,5.4.2020.11.30.3,355.0,5.0,50.0,8422203
TAIWAN,5.4.2020.14.30.4,363.0,5.0,54.0,8433004
TAIWAN,5.4.2020.17.40.33,363.0,5.0,54.0,8444433
TAIWAN,5.4.2020.20.33.28,363.0,5.0,54.0,8454808
TAIWAN,5.4.2020.23.30.2,363.0,5.0,54.0,8465402
TAIWAN,6.4.2020.8.37.49,363.0,5.0,54.0,8498269
TAIWAN,6.4.2020.11.30.5,363.0,5.0,54.0,8508605
TAIWAN,6.4.2020.14.44.21,373.0,5.0,57.0,8520261
TAIWAN,6.4.2020.17.30.4,373.0,5.0,57.0,8530204
TAIWAN,6.4.2020.21.0.44,373.0,5.0,57.0,8542844
TAIWAN,7.4.2020.0.0.3,373.0,5.0,57.0,8553603
TAIWAN,7.4.2020.9.0.4,373.0,5.0,57.0,8586004
TAIWAN,7.4.2020.12.15.51,376.0,5.0,61.0,8597751
TAIWAN,7.4.2020.15.59.55,376.0,5.0,61.0,8611195
TAIWAN,7.4.2020.18.3.46,376.0,5.0,61.0,8618626
