Nation,Time,Confirmed Case,Death,Recover,timestamp
TAJIKISTAN,2020-04-03 14:30:10,0.0,0.0,0.0,8260210
TAJIKISTAN,2020-04-03 14:30:11,0.0,0.0,0.0,8260211
TAJIKISTAN,2020-04-03 17:30:12,0.0,0.0,0.0,8271012
TAJIKISTAN,2020-04-03 20:30:12,0.0,0.0,0.0,8281812
TAJIKISTAN,2020-04-03 23:30:19,0.0,0.0,0.0,8292619
TAJIKISTAN,2020-04-04 08:30:14,0.0,0.0,0.0,8325014
TAJIKISTAN,2020-04-04 11:30:14,0.0,0.0,0.0,8335814
TAJIKISTAN,2020-04-04 14:30:16,0.0,0.0,0.0,8346616
TAJIKISTAN,2020-04-04 17:30:18,0.0,0.0,0.0,8357418
TAJIKISTAN,2020-04-04 20:30:33,0.0,0.0,0.0,8368233
TAJIKISTAN,2020-04-04 23:30:05,0.0,0.0,0.0,8379005
TAJIKISTAN,2020-04-05 08:30:07,0.0,0.0,0.0,8411407
TAJIKISTAN,2020-04-05 11:30:03,0.0,0.0,0.0,8422203
TAJIKISTAN,2020-04-05 14:30:04,0.0,0.0,0.0,8433004
TAJIKISTAN,2020-04-05 17:40:33,0.0,0.0,0.0,8444433
TAJIKISTAN,2020-04-05 20:33:28,0.0,0.0,0.0,8454808
TAJIKISTAN,2020-04-05 23:30:02,0.0,0.0,0.0,8465402
TAJIKISTAN,2020-04-06 08:37:49,0.0,0.0,0.0,8498269
TAJIKISTAN,2020-04-06 11:30:05,0.0,0.0,0.0,8508605
TAJIKISTAN,2020-04-06 14:44:21,0.0,0.0,0.0,8520261
TAJIKISTAN,2020-04-06 17:30:04,0.0,0.0,0.0,8530204
TAJIKISTAN,2020-04-06 21:00:44,0.0,0.0,0.0,8542844
TAJIKISTAN,2020-04-07 00:00:03,0.0,0.0,0.0,8553603
TAJIKISTAN,2020-04-07 09:00:04,0.0,0.0,0.0,8586004
TAJIKISTAN,2020-04-07 12:15:51,0.0,0.0,0.0,8597751
TAJIKISTAN,2020-04-07 15:59:55,0.0,0.0,0.0,8611195
TAJIKISTAN,2020-04-07 18:03:46,0.0,0.0,0.0,8618626
TAJIKISTAN,2020-04-07 21:32:15,0.0,0.0,0.0,8631135
TAJIKISTAN,2020-04-08 00:00:04,0.0,0.0,0.0,8640004
TAJIKISTAN,2020-04-08 09:00:46,0.0,0.0,0.0,8672446
TAJIKISTAN,2020-04-08 12:21:18,0.0,0.0,0.0,8684478
TAJIKISTAN,2020-04-08 15:04:46,0.0,0.0,0.0,8694286
TAJIKISTAN,2020-04-08 18:11:16,0.0,0.0,0.0,8705476
TAJIKISTAN,2020-04-08 21:33:56,0.0,0.0,0.0,8717636
TAJIKISTAN,2020-04-09 00:14:12,0.0,0.0,0.0,8727252
TAJIKISTAN,2020-04-09 11:19:24,0.0,0.0,0.0,8767164
TAJIKISTAN,2020-04-09 12:07:24,0.0,0.0,0.0,8770044
TAJIKISTAN,2020-04-09 14:57:09,0.0,0.0,0.0,8780229
TAJIKISTAN,2020-04-09 18:00:02,0.0,0.0,0.0,8791202
TAJIKISTAN,2020-04-10 01:06:14,0.0,0.0,0.0,8816774
TAJIKISTAN,2020-04-10 09:04:46,0.0,0.0,0.0,8845486
TAJIKISTAN,2020-04-10 12:09:17,0.0,0.0,0.0,8856557
TAJIKISTAN,2020-04-10 14:55:51,0.0,0.0,0.0,8866551
TAJIKISTAN,2020-04-10 18:41:05,0.0,0.0,0.0,8880065
TAJIKISTAN,2020-04-10 21:59:17,0.0,0.0,0.0,8891957
TAJIKISTAN,2020-04-11 00:00:34,0.0,0.0,0.0,8899234
TAJIKISTAN,2020-04-11 09:01:32,0.0,0.0,0.0,8931692
TAJIKISTAN,2020-04-11 12:08:24,0.0,0.0,0.0,8942904
TAJIKISTAN,2020-04-11 17:00:40,0.0,0.0,0.0,8960440
TAJIKISTAN,2020-04-11 18:12:28,0.0,0.0,0.0,8964748
TAJIKISTAN,2020-04-11 21:44:19,0.0,0.0,0.0,8977459
TAJIKISTAN,2020-04-11 23:59:29,0.0,0.0,0.0,8985569
