Nation,Time,Confirmed Case,Death,Recover,timestamp
THAILAND,2020-04-03 14:30:10,1978.0,19.0,581.0,8260210
THAILAND,2020-04-03 14:30:11,1978.0,19.0,581.0,8260211
THAILAND,2020-04-03 17:30:12,1978.0,19.0,581.0,8271012
THAILAND,2020-04-03 20:30:12,1978.0,19.0,581.0,8281812
THAILAND,2020-04-03 23:30:19,1978.0,19.0,581.0,8292619
THAILAND,2020-04-04 08:30:14,1978.0,19.0,612.0,8325014
THAILAND,2020-04-04 11:30:14,2067.0,20.0,612.0,8335814
THAILAND,2020-04-04 14:30:16,2067.0,20.0,612.0,8346616
THAILAND,2020-04-04 17:30:18,2067.0,20.0,612.0,8357418
THAILAND,2020-04-04 20:30:33,2067.0,20.0,612.0,8368233
THAILAND,2020-04-04 23:30:05,2067.0,20.0,674.0,8379005
THAILAND,2020-04-05 08:30:07,2067.0,20.0,674.0,8411407
THAILAND,2020-04-05 11:30:03,2169.0,23.0,674.0,8422203
THAILAND,2020-04-05 14:30:04,2169.0,23.0,674.0,8433004
THAILAND,2020-04-05 17:40:33,2169.0,23.0,674.0,8444433
THAILAND,2020-04-05 20:33:28,2169.0,23.0,674.0,8454808
THAILAND,2020-04-05 23:30:02,2169.0,23.0,793.0,8465402
THAILAND,2020-04-06 08:37:49,2169.0,23.0,793.0,8498269
THAILAND,2020-04-06 11:30:05,2220.0,26.0,793.0,8508605
THAILAND,2020-04-06 14:44:21,2220.0,26.0,793.0,8520261
THAILAND,2020-04-06 17:30:04,2220.0,26.0,793.0,8530204
THAILAND,2020-04-06 21:00:44,2220.0,26.0,793.0,8542844
THAILAND,2020-04-07 00:00:03,2220.0,26.0,793.0,8553603
THAILAND,2020-04-07 09:00:04,2220.0,26.0,793.0,8586004
THAILAND,2020-04-07 12:15:51,2258.0,27.0,824.0,8597751
THAILAND,2020-04-07 15:59:55,2258.0,27.0,824.0,8611195
THAILAND,2020-04-07 18:03:46,2258.0,27.0,824.0,8618626
THAILAND,2020-04-07 21:32:15,2258.0,27.0,824.0,8631135
THAILAND,2020-04-08 00:00:04,2258.0,27.0,888.0,8640004
THAILAND,2020-04-08 09:00:46,2258.0,27.0,888.0,8672446
THAILAND,2020-04-08 12:21:18,2369.0,30.0,888.0,8684478
THAILAND,2020-04-08 15:04:46,2369.0,30.0,888.0,8694286
THAILAND,2020-04-08 18:11:16,2369.0,30.0,888.0,8705476
THAILAND,2020-04-08 21:33:56,2369.0,30.0,888.0,8717636
THAILAND,2020-04-09 00:14:12,2369.0,30.0,888.0,8727252
THAILAND,2020-04-09 11:19:24,2369.0,30.0,888.0,8767164
THAILAND,2020-04-09 12:07:24,2423.0,32.0,940.0,8770044
THAILAND,2020-04-09 14:57:09,2423.0,32.0,940.0,8780229
THAILAND,2020-04-09 18:00:02,2423.0,32.0,940.0,8791202
THAILAND,2020-04-10 01:06:14,2423.0,32.0,940.0,8816774
THAILAND,2020-04-10 09:04:46,2423.0,32.0,940.0,8845486
THAILAND,2020-04-10 12:09:17,2473.0,33.0,1013.0,8856557
THAILAND,2020-04-10 14:55:51,2473.0,33.0,1013.0,8866551
THAILAND,2020-04-10 18:41:05,2473.0,33.0,1013.0,8880065
THAILAND,2020-04-10 21:59:17,2473.0,33.0,1013.0,8891957
THAILAND,2020-04-11 00:00:34,2473.0,33.0,1013.0,8899234
THAILAND,2020-04-11 09:01:32,2473.0,33.0,1013.0,8931692
THAILAND,2020-04-11 12:08:24,2518.0,35.0,1135.0,8942904
THAILAND,2020-04-11 17:00:40,2518.0,35.0,1135.0,8960440
THAILAND,2020-04-11 18:12:28,2518.0,35.0,1135.0,8964748
THAILAND,2020-04-11 21:44:19,2518.0,35.0,1135.0,8977459
THAILAND,2020-04-11 23:59:29,2518.0,35.0,1135.0,8985569
THAILAND,2020-04-12 09:00:42,2518.0,35.0,1135.0,9018042
THAILAND,2020-04-12 12:05:42,2551.0,38.0,1218.0,9029142
THAILAND,2020-04-12 15:09:25,2551.0,38.0,1218.0,9040165
THAILAND,2020-04-12 18:22:01,2551.0,38.0,1218.0,9051721
THAILAND,2020-04-12 20:59:25,2551.0,38.0,1218.0,9061165
THAILAND,2020-04-13 00:07:13,2551.0,38.0,1218.0,9072433
THAILAND,2020-04-13 09:26:16,2551.0,38.0,1218.0,9105976
THAILAND,2020-04-13 11:59:14,2579.0,40.0,1288.0,9115154
THAILAND,2020-04-13 15:13:01,2579.0,40.0,1288.0,9126781
THAILAND,2020-04-13 20:23:47,2579.0,40.0,1288.0,9145427
THAILAND,2020-04-13 21:01:27,2579.0,40.0,1288.0,9147687
THAILAND,2020-04-14 00:30:40,2579.0,40.0,1288.0,9160240
THAILAND,2020-04-14 09:09:09,2579.0,40.0,1288.0,9191349
THAILAND,2020-04-14 12:13:23,2613.0,41.0,1405.0,9202403
THAILAND,2020-04-14 15:49:28,2613.0,41.0,1405.0,9215368
THAILAND,2020-04-14 18:27:14,2613.0,41.0,1405.0,9224834
THAILAND,2020-04-14 21:18:50,2613.0,41.0,1405.0,9235130
THAILAND,2020-04-15 00:07:14,2613.0,41.0,1405.0,9245234
THAILAND,2020-04-15 09:00:09,2613.0,41.0,1405.0,9277209
THAILAND,2020-04-15 14:56:18,2643.0,43.0,1497.0,9298578
THAILAND,2020-04-15 19:52:38,2643.0,43.0,1497.0,9316358
THAILAND,2020-04-15 21:18:33,2643.0,43.0,1497.0,9321513
THAILAND,2020-04-16 00:51:15,2643.0,43.0,1497.0,9334275
THAILAND,2020-04-16 09:04:51,2643.0,43.0,1497.0,9363891
THAILAND,2020-04-16 12:05:08,2672.0,46.0,1593.0,9374708
THAILAND,2020-04-16 14:57:08,2672.0,46.0,1593.0,9385028
THAILAND,2020-04-16 17:58:25,2672.0,46.0,1593.0,9395905
THAILAND,2020-04-16 22:41:20,2672.0,46.0,1593.0,9412880
THAILAND,2020-04-17 01:32:36,2672.0,46.0,1593.0,9423156
THAILAND,2020-04-17 09:11:04,2672.0,46.0,1593.0,9450664
THAILAND,2020-04-17 12:02:01,2700.0,47.0,1689.0,9460921
THAILAND,2020-04-17 14:56:35,2700.0,47.0,1689.0,9471395
THAILAND,2020-04-17 18:39:21,2700.0,47.0,1689.0,9484761
THAILAND,2020-04-17 22:45:21,2700.0,47.0,1689.0,9499521
THAILAND,2020-04-18 08:54:14,2700.0,47.0,1689.0,9536054
THAILAND,2020-04-18 13:55:54,2733.0,47.0,1787.0,9554154
