Nation,Time,Confirmed Case,Death,Recover,timestamp
TRINIDAD AND TOBAGO,2020-04-03 14:30:10,97.0,6.0,1.0,8260210
TRINIDAD AND TOBAGO,2020-04-03 14:30:11,97.0,6.0,1.0,8260211
TRINIDAD AND TOBAGO,2020-04-03 17:30:12,97.0,6.0,1.0,8271012
TRINIDAD AND TOBAGO,2020-04-03 20:30:12,97.0,6.0,1.0,8281812
TRINIDAD AND TOBAGO,2020-04-03 23:30:19,97.0,6.0,1.0,8292619
TRINIDAD AND TOBAGO,2020-04-04 08:30:14,100.0,6.0,1.0,8325014
TRINIDAD AND TOBAGO,2020-04-04 11:30:14,100.0,6.0,1.0,8335814
TRINIDAD AND TOBAGO,2020-04-04 14:30:16,100.0,6.0,1.0,8346616
TRINIDAD AND TOBAGO,2020-04-04 17:30:18,100.0,6.0,1.0,8357418
TRINIDAD AND TOBAGO,2020-04-04 20:30:33,101.0,6.0,1.0,8368233
TRINIDAD AND TOBAGO,2020-04-04 23:30:05,101.0,6.0,1.0,8379005
TRINIDAD AND TOBAGO,2020-04-05 08:30:07,103.0,6.0,1.0,8411407
TRINIDAD AND TOBAGO,2020-04-05 11:30:03,103.0,6.0,1.0,8422203
TRINIDAD AND TOBAGO,2020-04-05 14:30:04,103.0,6.0,1.0,8433004
TRINIDAD AND TOBAGO,2020-04-05 17:40:33,103.0,6.0,1.0,8444433
TRINIDAD AND TOBAGO,2020-04-05 20:33:28,104.0,7.0,1.0,8454808
TRINIDAD AND TOBAGO,2020-04-05 23:30:02,104.0,7.0,1.0,8465402
TRINIDAD AND TOBAGO,2020-04-06 08:37:49,105.0,7.0,1.0,8498269
TRINIDAD AND TOBAGO,2020-04-06 11:30:05,105.0,7.0,1.0,8508605
TRINIDAD AND TOBAGO,2020-04-06 14:44:21,105.0,7.0,1.0,8520261
TRINIDAD AND TOBAGO,2020-04-06 17:30:04,105.0,7.0,1.0,8530204
TRINIDAD AND TOBAGO,2020-04-06 21:00:44,105.0,8.0,1.0,8542844
TRINIDAD AND TOBAGO,2020-04-07 00:00:03,105.0,8.0,1.0,8553603
TRINIDAD AND TOBAGO,2020-04-07 09:00:04,105.0,8.0,1.0,8586004
TRINIDAD AND TOBAGO,2020-04-07 12:15:51,105.0,8.0,1.0,8597751
TRINIDAD AND TOBAGO,2020-04-07 15:59:55,105.0,8.0,1.0,8611195
TRINIDAD AND TOBAGO,2020-04-07 18:03:46,105.0,8.0,1.0,8618626
TRINIDAD AND TOBAGO,2020-04-07 21:32:15,106.0,8.0,1.0,8631135
TRINIDAD AND TOBAGO,2020-04-08 00:00:04,106.0,8.0,1.0,8640004
TRINIDAD AND TOBAGO,2020-04-08 09:00:46,107.0,8.0,1.0,8672446
TRINIDAD AND TOBAGO,2020-04-08 12:21:18,107.0,8.0,1.0,8684478
TRINIDAD AND TOBAGO,2020-04-08 15:04:46,107.0,8.0,1.0,8694286
TRINIDAD AND TOBAGO,2020-04-08 18:11:16,107.0,8.0,1.0,8705476
TRINIDAD AND TOBAGO,2020-04-08 21:33:56,107.0,8.0,1.0,8717636
TRINIDAD AND TOBAGO,2020-04-09 00:14:12,107.0,8.0,1.0,8727252
TRINIDAD AND TOBAGO,2020-04-09 11:19:24,107.0,8.0,1.0,8767164
TRINIDAD AND TOBAGO,2020-04-09 12:07:24,107.0,8.0,1.0,8770044
TRINIDAD AND TOBAGO,2020-04-09 14:57:09,107.0,8.0,1.0,8780229
TRINIDAD AND TOBAGO,2020-04-09 18:00:02,107.0,8.0,1.0,8791202
TRINIDAD AND TOBAGO,2020-04-10 01:06:14,109.0,8.0,1.0,8816774
TRINIDAD AND TOBAGO,2020-04-10 09:04:46,109.0,8.0,1.0,8845486
TRINIDAD AND TOBAGO,2020-04-10 12:09:17,109.0,8.0,1.0,8856557
TRINIDAD AND TOBAGO,2020-04-10 14:55:51,109.0,8.0,1.0,8866551
TRINIDAD AND TOBAGO,2020-04-10 18:41:05,109.0,8.0,1.0,8880065
TRINIDAD AND TOBAGO,2020-04-10 21:59:17,109.0,8.0,1.0,8891957
TRINIDAD AND TOBAGO,2020-04-11 00:00:34,109.0,8.0,1.0,8899234
TRINIDAD AND TOBAGO,2020-04-11 09:01:32,109.0,8.0,3.0,8931692
TRINIDAD AND TOBAGO,2020-04-11 12:08:24,109.0,8.0,3.0,8942904
TRINIDAD AND TOBAGO,2020-04-11 17:00:40,109.0,8.0,3.0,8960440
TRINIDAD AND TOBAGO,2020-04-11 18:12:28,109.0,8.0,3.0,8964748
TRINIDAD AND TOBAGO,2020-04-11 21:44:19,109.0,8.0,3.0,8977459
TRINIDAD AND TOBAGO,2020-04-11 23:59:29,109.0,8.0,3.0,8985569
TRINIDAD AND TOBAGO,2020-04-12 09:00:42,112.0,8.0,12.0,9018042
TRINIDAD AND TOBAGO,2020-04-12 12:05:42,112.0,8.0,12.0,9029142
TRINIDAD AND TOBAGO,2020-04-12 15:09:25,112.0,8.0,12.0,9040165
TRINIDAD AND TOBAGO,2020-04-12 18:22:01,112.0,8.0,12.0,9051721
TRINIDAD AND TOBAGO,2020-04-12 20:59:25,113.0,8.0,12.0,9061165
TRINIDAD AND TOBAGO,2020-04-13 00:07:13,113.0,8.0,12.0,9072433
TRINIDAD AND TOBAGO,2020-04-13 09:26:16,113.0,8.0,16.0,9105976
TRINIDAD AND TOBAGO,2020-04-13 11:59:14,113.0,8.0,16.0,9115154
TRINIDAD AND TOBAGO,2020-04-13 15:13:01,113.0,8.0,16.0,9126781
TRINIDAD AND TOBAGO,2020-04-13 20:23:47,113.0,8.0,16.0,9145427
TRINIDAD AND TOBAGO,2020-04-13 21:01:27,113.0,8.0,16.0,9147687
TRINIDAD AND TOBAGO,2020-04-14 00:30:40,113.0,8.0,16.0,9160240
TRINIDAD AND TOBAGO,2020-04-14 09:09:09,113.0,8.0,16.0,9191349
TRINIDAD AND TOBAGO,2020-04-14 12:13:23,113.0,8.0,17.0,9202403
TRINIDAD AND TOBAGO,2020-04-14 15:49:28,113.0,8.0,17.0,9215368
TRINIDAD AND TOBAGO,2020-04-14 18:27:14,113.0,8.0,17.0,9224834
TRINIDAD AND TOBAGO,2020-04-14 21:18:50,113.0,8.0,17.0,9235130
TRINIDAD AND TOBAGO,2020-04-15 00:07:14,113.0,8.0,17.0,9245234
TRINIDAD AND TOBAGO,2020-04-15 09:00:09,113.0,8.0,17.0,9277209
TRINIDAD AND TOBAGO,2020-04-15 14:56:18,113.0,8.0,17.0,9298578
TRINIDAD AND TOBAGO,2020-04-15 19:52:38,113.0,8.0,17.0,9316358
TRINIDAD AND TOBAGO,2020-04-15 21:18:33,114.0,8.0,19.0,9321513
TRINIDAD AND TOBAGO,2020-04-16 00:51:15,114.0,8.0,19.0,9334275
TRINIDAD AND TOBAGO,2020-04-16 09:04:51,114.0,8.0,20.0,9363891
TRINIDAD AND TOBAGO,2020-04-16 12:05:08,114.0,8.0,20.0,9374708
TRINIDAD AND TOBAGO,2020-04-16 14:57:08,114.0,8.0,20.0,9385028
TRINIDAD AND TOBAGO,2020-04-16 17:58:25,114.0,8.0,20.0,9395905
TRINIDAD AND TOBAGO,2020-04-16 22:41:20,114.0,8.0,20.0,9412880
TRINIDAD AND TOBAGO,2020-04-17 01:32:36,114.0,8.0,20.0,9423156
TRINIDAD AND TOBAGO,2020-04-17 09:11:04,114.0,8.0,20.0,9450664
TRINIDAD AND TOBAGO,2020-04-17 12:02:01,114.0,8.0,20.0,9460921
TRINIDAD AND TOBAGO,2020-04-17 14:56:35,114.0,8.0,20.0,9471395
TRINIDAD AND TOBAGO,2020-04-17 18:39:21,114.0,8.0,20.0,9484761
TRINIDAD AND TOBAGO,2020-04-17 22:45:21,114.0,8.0,20.0,9499521
TRINIDAD AND TOBAGO,2020-04-18 08:54:14,114.0,8.0,20.0,9536054
TRINIDAD AND TOBAGO,2020-04-18 13:55:54,114.0,8.0,20.0,9554154
TRINIDAD AND TOBAGO,2020-04-18 15:41:06,114.0,8.0,20.0,9560466
TRINIDAD AND TOBAGO,2020-04-18 18:03:48,114.0,8.0,21.0,9569028
TRINIDAD AND TOBAGO,2020-04-19 00:17:39,114.0,8.0,21.0,9591459
TRINIDAD AND TOBAGO,2020-04-19 09:10:08,114.0,8.0,21.0,9623408
TRINIDAD AND TOBAGO,2020-04-19 15:11:32,114.0,8.0,21.0,9645092
TRINIDAD AND TOBAGO,2020-04-19 18:07:21,114.0,8.0,21.0,9655641
TRINIDAD AND TOBAGO,2020-04-19 21:01:51,114.0,8.0,21.0,9666111
TRINIDAD AND TOBAGO,2020-04-20 00:00:38,114.0,8.0,21.0,9676838
TRINIDAD AND TOBAGO,2020-04-20 12:46:45,114.0,8.0,21.0,9722805
TRINIDAD AND TOBAGO,2020-04-20 15:15:13,114.0,8.0,21.0,9731713
TRINIDAD AND TOBAGO,2020-04-20 18:00:55,114.0,8.0,21.0,9741655
TRINIDAD AND TOBAGO,2020-04-20 20:51:26,114.0,8.0,21.0,9751886
TRINIDAD AND TOBAGO,2020-04-20 23:57:35,114.0,8.0,21.0,9763055
TRINIDAD AND TOBAGO,2020-04-21 12:05:06,114.0,8.0,26.0,9806706
TRINIDAD AND TOBAGO,2020-04-21 18:05:54,114.0,8.0,26.0,9828354
TRINIDAD AND TOBAGO,2020-04-21 20:56:52,114.0,8.0,26.0,9838612
TRINIDAD AND TOBAGO,2020-04-22 10:13:50,115.0,8.0,28.0,9886430
TRINIDAD AND TOBAGO,2020-04-22 12:01:15,115.0,8.0,28.0,9892875
TRINIDAD AND TOBAGO,2020-04-22 15:04:35,115.0,8.0,28.0,9903875
TRINIDAD AND TOBAGO,2020-04-23 00:41:34,115.0,8.0,37.0,9938494
TRINIDAD AND TOBAGO,2020-04-23 11:00:28,115.0,8.0,37.0,9975628
TRINIDAD AND TOBAGO,2020-04-23 18:09:30,115.0,8.0,37.0,10001370
TRINIDAD AND TOBAGO,2020-04-23 21:15:10,115.0,8.0,41.0,10012510
TRINIDAD AND TOBAGO,2020-04-24 12:38:27,115.0,8.0,48.0,10067907
TRINIDAD AND TOBAGO,2020-04-24 15:07:01,115.0,8.0,48.0,10076821
TRINIDAD AND TOBAGO,2020-04-24 18:05:08,115.0,8.0,48.0,10087508
TRINIDAD AND TOBAGO,2020-04-25 01:24:20,115.0,8.0,48.0,10113860
TRINIDAD AND TOBAGO,2020-04-25 10:29:29,115.0,8.0,48.0,10146569
TRINIDAD AND TOBAGO,2020-04-25 13:06:30,115.0,8.0,48.0,10155990
TRINIDAD AND TOBAGO,2020-04-25 15:13:19,115.0,8.0,48.0,10163599
TRINIDAD AND TOBAGO,2020-04-25 18:05:53,115.0,8.0,48.0,10173953
TRINIDAD AND TOBAGO,2020-04-26 00:02:26,115.0,8.0,52.0,10195346
TRINIDAD AND TOBAGO,2020-04-26 10:30:36,115.0,8.0,53.0,10233036
TRINIDAD AND TOBAGO,2020-04-26 14:00:20,115.0,8.0,53.0,10245620
TRINIDAD AND TOBAGO,2020-04-26 15:00:26,115.0,8.0,48.0,10249226
TRINIDAD AND TOBAGO,2020-04-26 18:04:29,115.0,8.0,53.0,10260269
TRINIDAD AND TOBAGO,2020-04-26 20:55:24,115.0,8.0,53.0,10270524
TRINIDAD AND TOBAGO,2020-04-27 01:26:23,115.0,8.0,53.0,10286783
TRINIDAD AND TOBAGO,2020-04-27 12:02:22,116.0,8.0,58.0,10324942
TRINIDAD AND TOBAGO,2020-04-27 18:28:29,116.0,8.0,58.0,10348109
TRINIDAD AND TOBAGO,2020-04-27 23:10:06,116.0,8.0,59.0,10365006
TRINIDAD AND TOBAGO,2020-04-28 00:52:18,116.0,8.0,59.0,10371138
TRINIDAD AND TOBAGO,2020-04-28 12:28:54,116.0,8.0,59.0,10412934
TRINIDAD AND TOBAGO,2020-04-29 00:05:46,116.0,8.0,59.0,10454746
TRINIDAD AND TOBAGO,2020-04-29 11:12:43,116.0,8.0,59.0,10494763
TRINIDAD AND TOBAGO,2020-04-29 13:02:52,116.0,8.0,59.0,10501372
TRINIDAD AND TOBAGO,2020-04-29 15:08:24,116.0,8.0,59.0,10508904
TRINIDAD AND TOBAGO,2020-04-29 18:09:12,116.0,8.0,59.0,10519752
TRINIDAD AND TOBAGO,2020-04-29 21:32:47,116.0,8.0,68.0,10531967
