Nation,Time,Confirmed Case,Death,Recover,timestamp
TUNISIA,2020-04-03 14:30:10,455.0,14.0,5.0,8260210
TUNISIA,2020-04-03 14:30:11,455.0,14.0,5.0,8260211
TUNISIA,2020-04-03 17:30:12,455.0,14.0,5.0,8271012
TUNISIA,2020-04-03 20:30:12,455.0,14.0,5.0,8281812
TUNISIA,2020-04-03 23:30:19,495.0,18.0,5.0,8292619
TUNISIA,2020-04-04 08:30:14,495.0,18.0,5.0,8325014
TUNISIA,2020-04-04 11:30:14,495.0,18.0,5.0,8335814
TUNISIA,2020-04-04 14:30:16,495.0,18.0,5.0,8346616
TUNISIA,2020-04-04 17:30:18,495.0,18.0,5.0,8357418
TUNISIA,2020-04-04 20:30:33,495.0,18.0,5.0,8368233
TUNISIA,2020-04-04 23:30:05,553.0,19.0,5.0,8379005
TUNISIA,2020-04-05 08:30:07,553.0,19.0,5.0,8411407
TUNISIA,2020-04-05 11:30:03,553.0,19.0,5.0,8422203
TUNISIA,2020-04-05 14:30:04,553.0,19.0,5.0,8433004
TUNISIA,2020-04-05 17:40:33,553.0,19.0,5.0,8444433
TUNISIA,2020-04-05 20:33:28,553.0,19.0,5.0,8454808
TUNISIA,2020-04-05 23:30:02,553.0,19.0,5.0,8465402
TUNISIA,2020-04-06 08:37:49,574.0,22.0,5.0,8498269
TUNISIA,2020-04-06 11:30:05,574.0,22.0,5.0,8508605
TUNISIA,2020-04-06 14:44:21,574.0,22.0,5.0,8520261
TUNISIA,2020-04-06 17:30:04,574.0,22.0,5.0,8530204
TUNISIA,2020-04-06 21:00:44,574.0,22.0,5.0,8542844
TUNISIA,2020-04-07 00:00:03,574.0,22.0,5.0,8553603
TUNISIA,2020-04-07 09:00:04,596.0,22.0,5.0,8586004
TUNISIA,2020-04-07 12:15:51,596.0,22.0,5.0,8597751
TUNISIA,2020-04-07 15:59:55,596.0,22.0,5.0,8611195
TUNISIA,2020-04-07 18:03:46,596.0,22.0,5.0,8618626
TUNISIA,2020-04-07 21:32:15,596.0,22.0,25.0,8631135
TUNISIA,2020-04-08 00:00:04,596.0,22.0,25.0,8640004
TUNISIA,2020-04-08 09:00:46,623.0,23.0,25.0,8672446
TUNISIA,2020-04-08 12:21:18,623.0,23.0,25.0,8684478
TUNISIA,2020-04-08 15:04:46,623.0,23.0,25.0,8694286
TUNISIA,2020-04-08 18:11:16,623.0,23.0,25.0,8705476
TUNISIA,2020-04-08 21:33:56,623.0,23.0,25.0,8717636
TUNISIA,2020-04-09 00:14:12,623.0,23.0,25.0,8727252
TUNISIA,2020-04-09 11:19:24,628.0,24.0,25.0,8767164
TUNISIA,2020-04-09 12:07:24,628.0,24.0,25.0,8770044
TUNISIA,2020-04-09 14:57:09,628.0,24.0,25.0,8780229
TUNISIA,2020-04-09 18:00:02,628.0,24.0,25.0,8791202
TUNISIA,2020-04-10 01:06:14,643.0,25.0,25.0,8816774
TUNISIA,2020-04-10 09:04:46,643.0,25.0,25.0,8845486
TUNISIA,2020-04-10 12:09:17,643.0,25.0,25.0,8856557
TUNISIA,2020-04-10 14:55:51,643.0,25.0,25.0,8866551
TUNISIA,2020-04-10 18:41:05,643.0,25.0,25.0,8880065
TUNISIA,2020-04-10 21:59:17,643.0,25.0,25.0,8891957
TUNISIA,2020-04-11 00:00:34,671.0,25.0,25.0,8899234
TUNISIA,2020-04-11 09:01:32,671.0,25.0,25.0,8931692
TUNISIA,2020-04-11 12:08:24,671.0,25.0,25.0,8942904
TUNISIA,2020-04-11 17:00:40,671.0,25.0,43.0,8960440
TUNISIA,2020-04-11 18:12:28,671.0,25.0,43.0,8964748
TUNISIA,2020-04-11 21:44:19,671.0,25.0,43.0,8977459
TUNISIA,2020-04-11 23:59:29,685.0,28.0,43.0,8985569
TUNISIA,2020-04-12 09:00:42,685.0,28.0,43.0,9018042
TUNISIA,2020-04-12 12:05:42,685.0,28.0,43.0,9029142
TUNISIA,2020-04-12 15:09:25,685.0,28.0,43.0,9040165
TUNISIA,2020-04-12 18:22:01,685.0,28.0,43.0,9051721
