Nation,Time,Confirmed Case,Death,Recover,timestamp
TURKEY,3.4.2020.14.30.10,18135.0,356.0,415.0,8260210
TURKEY,3.4.2020.14.30.11,18135.0,356.0,415.0,8260211
TURKEY,3.4.2020.17.30.12,18135.0,356.0,415.0,8271012
TURKEY,3.4.2020.20.30.12,18135.0,356.0,415.0,8281812
TURKEY,3.4.2020.23.30.19,20921.0,425.0,484.0,8292619
TURKEY,4.4.2020.8.30.14,20921.0,425.0,484.0,8325014
TURKEY,4.4.2020.11.30.14,20921.0,425.0,484.0,8335814
TURKEY,4.4.2020.14.30.16,20921.0,425.0,484.0,8346616
TURKEY,4.4.2020.17.30.18,20921.0,425.0,484.0,8357418
TURKEY,4.4.2020.20.30.33,20921.0,425.0,484.0,8368233
TURKEY,4.4.2020.23.30.5,23934.0,501.0,786.0,8379005
TURKEY,5.4.2020.8.30.7,23934.0,501.0,786.0,8411407
TURKEY,5.4.2020.11.30.3,23934.0,501.0,786.0,8422203
TURKEY,5.4.2020.14.30.4,23934.0,501.0,786.0,8433004
TURKEY,5.4.2020.17.40.33,23934.0,501.0,786.0,8444433
TURKEY,5.4.2020.20.33.28,23934.0,501.0,786.0,8454808
TURKEY,5.4.2020.23.30.2,27069.0,574.0,1042.0,8465402
TURKEY,6.4.2020.8.37.49,27069.0,574.0,1042.0,8498269
TURKEY,6.4.2020.11.30.5,27069.0,574.0,1042.0,8508605
TURKEY,6.4.2020.14.44.21,27069.0,574.0,1042.0,8520261
TURKEY,6.4.2020.17.30.4,27069.0,574.0,1042.0,8530204
TURKEY,6.4.2020.21.0.44,27069.0,574.0,1042.0,8542844
TURKEY,7.4.2020.0.0.3,30217.0,649.0,1326.0,8553603
TURKEY,7.4.2020.9.0.4,30217.0,649.0,1326.0,8586004
TURKEY,7.4.2020.12.15.51,30217.0,649.0,1326.0,8597751
TURKEY,7.4.2020.15.59.55,30217.0,649.0,1326.0,8611195
TURKEY,7.4.2020.18.3.46,30217.0,649.0,1326.0,8618626
TURKEY,7.4.2020.21.32.15,30217.0,649.0,1326.0,8631135
TURKEY,8.4.2020.0.0.4,34109.0,725.0,1582.0,8640004
TURKEY,8.4.2020.9.0.46,34109.0,725.0,1582.0,8672446
TURKEY,8.4.2020.12.21.18,34109.0,725.0,1582.0,8684478
TURKEY,8.4.2020.15.4.46,34109.0,725.0,1582.0,8694286
TURKEY,8.4.2020.18.11.16,34109.0,725.0,1582.0,8705476
TURKEY,8.4.2020.21.33.56,34109.0,725.0,1582.0,8717636
TURKEY,9.4.2020.0.14.12,38226.0,812.0,1846.0,8727252
TURKEY,9.4.2020.11.19.24,38226.0,812.0,1846.0,8767164
TURKEY,9.4.2020.12.7.24,38226.0,812.0,1846.0,8770044
TURKEY,9.4.2020.14.57.9,38226.0,812.0,1846.0,8780229
TURKEY,9.4.2020.18.0.2,38226.0,812.0,1846.0,8791202
TURKEY,10.4.2020.1.6.14,42282.0,908.0,2142.0,8816774
TURKEY,10.4.2020.9.4.46,42282.0,908.0,2142.0,8845486
TURKEY,10.4.2020.12.9.17,42282.0,908.0,2142.0,8856557
TURKEY,10.4.2020.14.55.51,42282.0,908.0,2142.0,8866551
TURKEY,10.4.2020.18.41.5,42282.0,908.0,2142.0,8880065
TURKEY,10.4.2020.21.59.17,42282.0,908.0,2142.0,8891957
TURKEY,11.4.2020.0.0.34,47029.0,1006.0,2423.0,8899234
TURKEY,11.4.2020.9.1.32,47029.0,1006.0,2423.0,8931692
TURKEY,11.4.2020.12.8.24,47029.0,1006.0,2423.0,8942904
TURKEY,11.4.2020.17.0.40,47029.0,1006.0,2423.0,8960440
TURKEY,11.4.2020.18.12.28,47029.0,1006.0,2423.0,8964748
TURKEY,11.4.2020.21.44.19,47029.0,1006.0,2423.0,8977459
TURKEY,11.4.2020.23.59.29,52167.0,1101.0,2965.0,8985569
TURKEY,12.4.2020.9.0.42,52167.0,1101.0,2965.0,9018042
TURKEY,12.4.2020.12.5.42,52167.0,1101.0,2965.0,9029142
TURKEY,12.4.2020.15.9.25,52167.0,1101.0,2965.0,9040165
TURKEY,12.4.2020.18.22.1,52167.0,1101.0,2965.0,9051721
TURKEY,12.4.2020.20.59.25,52167.0,1101.0,2965.0,9061165
TURKEY,13.4.2020.0.7.13,56956.0,1198.0,3446.0,9072433
TURKEY,13.4.2020.9.26.16,56956.0,1198.0,3446.0,9105976
TURKEY,13.4.2020.11.59.14,56956.0,1198.0,3446.0,9115154
TURKEY,13.4.2020.15.13.1,56956.0,1198.0,3446.0,9126781
TURKEY,13.4.2020.20.23.47,56956.0,1198.0,3446.0,9145427
TURKEY,13.4.2020.21.1.27,56956.0,1198.0,3446.0,9147687
TURKEY,14.4.2020.0.30.40,61049.0,1296.0,3957.0,9160240
TURKEY,14.4.2020.9.9.9,61049.0,1296.0,3957.0,9191349
TURKEY,14.4.2020.12.13.23,61049.0,1296.0,3957.0,9202403
TURKEY,14.4.2020.15.49.28,61049.0,1296.0,3957.0,9215368
TURKEY,14.4.2020.18.27.14,61049.0,1296.0,3957.0,9224834
TURKEY,14.4.2020.21.18.50,61049.0,1296.0,3957.0,9235130
TURKEY,15.4.2020.0.7.14,65111.0,1403.0,4799.0,9245234
TURKEY,15.4.2020.9.0.9,65111.0,1403.0,4799.0,9277209
TURKEY,15.4.2020.14.56.18,65111.0,1403.0,4799.0,9298578
TURKEY,15.4.2020.19.52.38,65111.0,1403.0,4799.0,9316358
TURKEY,15.4.2020.21.18.33,65111.0,1403.0,4799.0,9321513
TURKEY,16.4.2020.0.51.15,69392.0,1518.0,5674.0,9334275
TURKEY,16.4.2020.9.4.51,69392.0,1518.0,5674.0,9363891
TURKEY,16.4.2020.12.5.8,69392.0,1518.0,5674.0,9374708
TURKEY,16.4.2020.14.57.8,69392.0,1518.0,5674.0,9385028
TURKEY,16.4.2020.17.58.25,69392.0,1518.0,5674.0,9395905
TURKEY,16.4.2020.22.41.20,74193.0,1643.0,7089.0,9412880
TURKEY,17.4.2020.1.32.36,74193.0,1643.0,7089.0,9423156
TURKEY,17.4.2020.9.11.4,74193.0,1643.0,7089.0,9450664
TURKEY,17.4.2020.12.2.1,74193.0,1643.0,7089.0,9460921
TURKEY,17.4.2020.14.56.35,74193.0,1643.0,7089.0,9471395
TURKEY,17.4.2020.18.39.21,74193.0,1643.0,7089.0,9484761
TURKEY,17.4.2020.22.45.21,78546.0,1769.0,8631.0,9499521
