Nation,Time,Confirmed Case,Death,Recover,timestamp
TURKS AND CAICOS,3.4.2020.14.30.10,6.0,0.0,0.0,8260210
TURKS AND CAICOS,3.4.2020.14.30.11,6.0,0.0,0.0,8260211
TURKS AND CAICOS,3.4.2020.17.30.12,6.0,0.0,0.0,8271012
TURKS AND CAICOS,3.4.2020.20.30.12,6.0,0.0,0.0,8281812
TURKS AND CAICOS,3.4.2020.23.30.19,6.0,0.0,0.0,8292619
TURKS AND CAICOS,4.4.2020.8.30.14,6.0,0.0,0.0,8325014
TURKS AND CAICOS,4.4.2020.11.30.14,6.0,0.0,0.0,8335814
TURKS AND CAICOS,4.4.2020.14.30.16,6.0,0.0,0.0,8346616
TURKS AND CAICOS,4.4.2020.17.30.18,6.0,0.0,0.0,8357418
TURKS AND CAICOS,4.4.2020.20.30.33,6.0,0.0,0.0,8368233
TURKS AND CAICOS,4.4.2020.23.30.5,6.0,0.0,0.0,8379005
TURKS AND CAICOS,5.4.2020.8.30.7,6.0,0.0,0.0,8411407
TURKS AND CAICOS,5.4.2020.11.30.3,6.0,0.0,0.0,8422203
TURKS AND CAICOS,5.4.2020.14.30.4,6.0,0.0,0.0,8433004
TURKS AND CAICOS,5.4.2020.17.40.33,6.0,0.0,0.0,8444433
TURKS AND CAICOS,5.4.2020.20.33.28,6.0,1.0,0.0,8454808
TURKS AND CAICOS,5.4.2020.23.30.2,6.0,1.0,0.0,8465402
TURKS AND CAICOS,6.4.2020.8.37.49,6.0,1.0,0.0,8498269
TURKS AND CAICOS,6.4.2020.11.30.5,6.0,1.0,0.0,8508605
TURKS AND CAICOS,6.4.2020.14.44.21,6.0,1.0,0.0,8520261
TURKS AND CAICOS,6.4.2020.17.30.4,6.0,1.0,0.0,8530204
TURKS AND CAICOS,6.4.2020.21.0.44,6.0,1.0,0.0,8542844
TURKS AND CAICOS,7.4.2020.0.0.3,6.0,1.0,0.0,8553603
TURKS AND CAICOS,7.4.2020.9.0.4,8.0,1.0,0.0,8586004
TURKS AND CAICOS,7.4.2020.12.15.51,8.0,1.0,0.0,8597751
TURKS AND CAICOS,7.4.2020.15.59.55,8.0,1.0,0.0,8611195
TURKS AND CAICOS,7.4.2020.18.3.46,8.0,1.0,0.0,8618626
TURKS AND CAICOS,7.4.2020.21.32.15,8.0,1.0,0.0,8631135
TURKS AND CAICOS,8.4.2020.0.0.4,8.0,1.0,0.0,8640004
TURKS AND CAICOS,8.4.2020.9.0.46,8.0,1.0,0.0,8672446
TURKS AND CAICOS,8.4.2020.12.21.18,8.0,1.0,0.0,8684478
TURKS AND CAICOS,8.4.2020.15.4.46,8.0,1.0,0.0,8694286
TURKS AND CAICOS,8.4.2020.18.11.16,8.0,1.0,0.0,8705476
TURKS AND CAICOS,8.4.2020.21.33.56,8.0,1.0,0.0,8717636
TURKS AND CAICOS,9.4.2020.0.14.12,8.0,1.0,0.0,8727252
TURKS AND CAICOS,9.4.2020.11.19.24,8.0,1.0,0.0,8767164
TURKS AND CAICOS,9.4.2020.12.7.24,8.0,1.0,0.0,8770044
TURKS AND CAICOS,9.4.2020.14.57.9,8.0,1.0,0.0,8780229
TURKS AND CAICOS,9.4.2020.18.0.2,8.0,1.0,0.0,8791202
TURKS AND CAICOS,10.4.2020.1.6.14,8.0,1.0,0.0,8816774
TURKS AND CAICOS,10.4.2020.9.4.46,8.0,1.0,0.0,8845486
TURKS AND CAICOS,10.4.2020.12.9.17,8.0,1.0,0.0,8856557
TURKS AND CAICOS,10.4.2020.14.55.51,8.0,1.0,0.0,8866551
TURKS AND CAICOS,10.4.2020.18.41.5,8.0,1.0,0.0,8880065
TURKS AND CAICOS,10.4.2020.21.59.17,8.0,1.0,0.0,8891957
