Nation,Time,Confirmed Case,Death,Recover,timestamp
UGANDA,2020-04-03 14:30:10,45.0,0.0,0.0,8260210
UGANDA,2020-04-03 14:30:11,45.0,0.0,0.0,8260211
UGANDA,2020-04-03 17:30:12,45.0,0.0,0.0,8271012
UGANDA,2020-04-03 20:30:12,45.0,0.0,0.0,8281812
UGANDA,2020-04-03 23:30:19,45.0,0.0,0.0,8292619
UGANDA,2020-04-04 08:30:14,48.0,0.0,0.0,8325014
UGANDA,2020-04-04 11:30:14,48.0,0.0,0.0,8335814
UGANDA,2020-04-04 14:30:16,48.0,0.0,0.0,8346616
UGANDA,2020-04-04 17:30:18,48.0,0.0,0.0,8357418
UGANDA,2020-04-04 20:30:33,48.0,0.0,0.0,8368233
UGANDA,2020-04-04 23:30:05,48.0,0.0,0.0,8379005
UGANDA,2020-04-05 08:30:07,48.0,0.0,0.0,8411407
UGANDA,2020-04-05 11:30:03,48.0,0.0,0.0,8422203
UGANDA,2020-04-05 14:30:04,48.0,0.0,0.0,8433004
UGANDA,2020-04-05 17:40:33,48.0,0.0,0.0,8444433
UGANDA,2020-04-05 20:33:28,48.0,0.0,0.0,8454808
UGANDA,2020-04-05 23:30:02,48.0,0.0,0.0,8465402
UGANDA,2020-04-06 08:37:49,52.0,0.0,0.0,8498269
UGANDA,2020-04-06 11:30:05,52.0,0.0,0.0,8508605
UGANDA,2020-04-06 14:44:21,52.0,0.0,0.0,8520261
UGANDA,2020-04-06 17:30:04,52.0,0.0,0.0,8530204
UGANDA,2020-04-06 21:00:44,52.0,0.0,0.0,8542844
UGANDA,2020-04-07 00:00:03,52.0,0.0,0.0,8553603
UGANDA,2020-04-07 09:00:04,52.0,0.0,0.0,8586004
UGANDA,2020-04-07 12:15:51,52.0,0.0,0.0,8597751
UGANDA,2020-04-07 15:59:55,52.0,0.0,0.0,8611195
UGANDA,2020-04-07 18:03:46,52.0,0.0,0.0,8618626
UGANDA,2020-04-07 21:32:15,52.0,0.0,0.0,8631135
UGANDA,2020-04-08 00:00:04,52.0,0.0,0.0,8640004
UGANDA,2020-04-08 09:00:46,52.0,0.0,0.0,8672446
UGANDA,2020-04-08 12:21:18,52.0,0.0,0.0,8684478
UGANDA,2020-04-08 15:04:46,52.0,0.0,0.0,8694286
UGANDA,2020-04-08 18:11:16,52.0,0.0,0.0,8705476
UGANDA,2020-04-08 21:33:56,52.0,0.0,0.0,8717636
UGANDA,2020-04-09 00:14:12,53.0,0.0,0.0,8727252
UGANDA,2020-04-09 11:19:24,53.0,0.0,0.0,8767164
UGANDA,2020-04-09 12:07:24,53.0,0.0,0.0,8770044
UGANDA,2020-04-09 14:57:09,53.0,0.0,0.0,8780229
UGANDA,2020-04-09 18:00:02,53.0,0.0,0.0,8791202
UGANDA,2020-04-10 01:06:14,53.0,0.0,0.0,8816774
UGANDA,2020-04-10 09:04:46,53.0,0.0,0.0,8845486
UGANDA,2020-04-10 12:09:17,53.0,0.0,0.0,8856557
UGANDA,2020-04-10 14:55:51,53.0,0.0,0.0,8866551
UGANDA,2020-04-10 18:41:05,53.0,0.0,0.0,8880065
UGANDA,2020-04-10 21:59:17,53.0,0.0,0.0,8891957
UGANDA,2020-04-11 00:00:34,53.0,0.0,0.0,8899234
UGANDA,2020-04-11 09:01:32,53.0,0.0,0.0,8931692
UGANDA,2020-04-11 12:08:24,53.0,0.0,0.0,8942904
UGANDA,2020-04-11 17:00:40,53.0,0.0,0.0,8960440
UGANDA,2020-04-11 18:12:28,53.0,0.0,0.0,8964748
UGANDA,2020-04-11 21:44:19,53.0,0.0,3.0,8977459
UGANDA,2020-04-11 23:59:29,53.0,0.0,3.0,8985569
UGANDA,2020-04-12 09:00:42,53.0,0.0,4.0,9018042
UGANDA,2020-04-12 12:05:42,53.0,0.0,4.0,9029142
UGANDA,2020-04-12 15:09:25,53.0,0.0,4.0,9040165
UGANDA,2020-04-12 18:22:01,53.0,0.0,4.0,9051721
UGANDA,2020-04-12 20:59:25,53.0,0.0,4.0,9061165
UGANDA,2020-04-13 00:07:13,53.0,0.0,4.0,9072433
UGANDA,2020-04-13 09:26:16,54.0,0.0,4.0,9105976
UGANDA,2020-04-13 11:59:14,54.0,0.0,4.0,9115154
UGANDA,2020-04-13 15:13:01,54.0,0.0,4.0,9126781
UGANDA,2020-04-13 20:23:47,54.0,0.0,4.0,9145427
UGANDA,2020-04-13 21:01:27,54.0,0.0,7.0,9147687
UGANDA,2020-04-14 00:30:40,54.0,0.0,7.0,9160240
UGANDA,2020-04-14 09:09:09,54.0,0.0,7.0,9191349
UGANDA,2020-04-14 12:13:23,54.0,0.0,7.0,9202403
UGANDA,2020-04-14 15:49:28,54.0,0.0,7.0,9215368
UGANDA,2020-04-14 18:27:14,54.0,0.0,8.0,9224834
UGANDA,2020-04-14 21:18:50,54.0,0.0,8.0,9235130
UGANDA,2020-04-15 00:07:14,54.0,0.0,8.0,9245234
UGANDA,2020-04-15 09:00:09,55.0,0.0,8.0,9277209
UGANDA,2020-04-15 14:56:18,55.0,0.0,8.0,9298578
UGANDA,2020-04-15 19:52:38,55.0,0.0,12.0,9316358
UGANDA,2020-04-15 21:18:33,55.0,0.0,12.0,9321513
UGANDA,2020-04-16 00:51:15,55.0,0.0,12.0,9334275
UGANDA,2020-04-16 09:04:51,55.0,0.0,12.0,9363891
UGANDA,2020-04-16 12:05:08,55.0,0.0,12.0,9374708
UGANDA,2020-04-16 14:57:08,55.0,0.0,12.0,9385028
UGANDA,2020-04-16 17:58:25,55.0,0.0,12.0,9395905
UGANDA,2020-04-16 22:41:20,55.0,0.0,12.0,9412880
UGANDA,2020-04-17 01:32:36,55.0,0.0,20.0,9423156
UGANDA,2020-04-17 09:11:04,55.0,0.0,20.0,9450664
UGANDA,2020-04-17 12:02:01,55.0,0.0,20.0,9460921
UGANDA,2020-04-17 14:56:35,55.0,0.0,20.0,9471395
UGANDA,2020-04-17 18:39:21,55.0,0.0,20.0,9484761
UGANDA,2020-04-17 22:45:21,55.0,0.0,20.0,9499521
UGANDA,2020-04-18 08:54:14,56.0,0.0,20.0,9536054
UGANDA,2020-04-18 13:55:54,56.0,0.0,20.0,9554154
UGANDA,2020-04-18 15:41:06,56.0,0.0,20.0,9560466
UGANDA,2020-04-18 18:03:48,56.0,0.0,20.0,9569028
UGANDA,2020-04-19 00:17:39,56.0,0.0,20.0,9591459
UGANDA,2020-04-19 09:10:08,56.0,0.0,22.0,9623408
UGANDA,2020-04-19 15:11:32,56.0,0.0,22.0,9645092
UGANDA,2020-04-19 18:07:21,56.0,0.0,22.0,9655641
UGANDA,2020-04-19 21:01:51,56.0,0.0,28.0,9666111
UGANDA,2020-04-20 00:00:38,56.0,0.0,28.0,9676838
UGANDA,2020-04-20 12:46:45,56.0,0.0,28.0,9722805
UGANDA,2020-04-20 15:15:13,56.0,0.0,28.0,9731713
UGANDA,2020-04-20 18:00:55,56.0,0.0,28.0,9741655
UGANDA,2020-04-20 20:51:26,56.0,0.0,38.0,9751886
UGANDA,2020-04-20 23:57:35,56.0,0.0,38.0,9763055
UGANDA,2020-04-21 12:05:06,56.0,0.0,38.0,9806706
UGANDA,2020-04-21 18:05:54,58.0,0.0,38.0,9828354
UGANDA,2020-04-21 20:56:52,58.0,0.0,38.0,9838612
UGANDA,2020-04-22 10:13:50,61.0,0.0,38.0,9886430
UGANDA,2020-04-22 12:01:15,61.0,0.0,38.0,9892875
UGANDA,2020-04-22 15:04:35,61.0,0.0,41.0,9903875
UGANDA,2020-04-23 00:41:34,61.0,0.0,45.0,9938494
UGANDA,2020-04-23 11:00:28,63.0,0.0,45.0,9975628
UGANDA,2020-04-23 18:09:30,63.0,0.0,46.0,10001370
UGANDA,2020-04-23 21:15:10,63.0,0.0,46.0,10012510
UGANDA,2020-04-24 12:38:27,74.0,0.0,46.0,10067907
UGANDA,2020-04-24 15:07:01,74.0,0.0,46.0,10076821
UGANDA,2020-04-24 18:05:08,74.0,0.0,46.0,10087508
UGANDA,2020-04-25 01:24:20,74.0,0.0,46.0,10113860
