Nation,Time,Confirmed Case,Death,Recover,timestamp
UNITED KINGDOM,3.4.2020.14.30.10,33718.0,2921.0,135.0,8260210
UNITED KINGDOM,3.4.2020.14.30.11,33718.0,2921.0,135.0,8260211
UNITED KINGDOM,3.4.2020.17.30.12,33718.0,2921.0,135.0,8271012
UNITED KINGDOM,3.4.2020.20.30.12,38168.0,3605.0,135.0,8281812
UNITED KINGDOM,3.4.2020.23.30.19,38168.0,3605.0,135.0,8292619
UNITED KINGDOM,4.4.2020.8.30.14,38168.0,3605.0,135.0,8325014
UNITED KINGDOM,4.4.2020.11.30.14,38168.0,3605.0,135.0,8335814
UNITED KINGDOM,4.4.2020.14.30.16,38168.0,3605.0,135.0,8346616
UNITED KINGDOM,4.4.2020.17.30.18,38168.0,3605.0,135.0,8357418
UNITED KINGDOM,4.4.2020.20.30.33,41903.0,4313.0,135.0,8368233
UNITED KINGDOM,4.4.2020.23.30.5,41903.0,4313.0,135.0,8379005
UNITED KINGDOM,5.4.2020.8.30.7,41903.0,4313.0,135.0,8411407
UNITED KINGDOM,5.4.2020.11.30.3,41903.0,4313.0,135.0,8422203
UNITED KINGDOM,5.4.2020.14.30.4,41903.0,4313.0,135.0,8433004
UNITED KINGDOM,5.4.2020.17.40.33,41903.0,4313.0,135.0,8444433
UNITED KINGDOM,5.4.2020.20.33.28,47806.0,4934.0,135.0,8454808
UNITED KINGDOM,5.4.2020.23.30.2,47806.0,4934.0,135.0,8465402
UNITED KINGDOM,6.4.2020.8.37.49,47806.0,4934.0,135.0,8498269
UNITED KINGDOM,6.4.2020.11.30.5,47806.0,4934.0,135.0,8508605
UNITED KINGDOM,6.4.2020.14.44.21,47806.0,4934.0,135.0,8520261
UNITED KINGDOM,6.4.2020.17.30.4,47806.0,4934.0,135.0,8530204
UNITED KINGDOM,6.4.2020.21.0.44,47806.0,4934.0,135.0,8542844
UNITED KINGDOM,7.4.2020.0.0.3,51608.0,5373.0,135.0,8553603
UNITED KINGDOM,7.4.2020.9.0.4,51608.0,5373.0,135.0,8586004
UNITED KINGDOM,7.4.2020.12.15.51,51608.0,5373.0,135.0,8597751
UNITED KINGDOM,7.4.2020.15.59.55,51608.0,5373.0,135.0,8611195
UNITED KINGDOM,7.4.2020.18.3.46,51608.0,5373.0,135.0,8618626
