Nation,Time,Confirmed Case,Death,Recover,timestamp
UNITED STATES,2020-04-03 14:30:10,245636.0,6095.0,10403.0,8260210
UNITED STATES,2020-04-03 14:30:11,245636.0,6095.0,10403.0,8260211
UNITED STATES,2020-04-03 17:30:12,245636.0,6098.0,10411.0,8271012
UNITED STATES,2020-04-03 20:30:12,246521.0,6145.0,10411.0,8281812
UNITED STATES,2020-04-03 23:30:19,265506.0,6786.0,11983.0,8292619
UNITED STATES,2020-04-04 08:30:14,277999.0,7392.0,12283.0,8325014
UNITED STATES,2020-04-04 11:30:14,278492.0,7402.0,12283.0,8335814
UNITED STATES,2020-04-04 14:30:16,278492.0,7403.0,12283.0,8346616
UNITED STATES,2020-04-04 17:30:18,278492.0,7406.0,12283.0,8357418
UNITED STATES,2020-04-04 20:30:33,280367.0,7491.0,12756.0,8368233
UNITED STATES,2020-04-04 23:30:05,300443.0,8162.0,14518.0,8379005
UNITED STATES,2020-04-05 08:30:07,312084.0,8508.0,14997.0,8411407
UNITED STATES,2020-04-05 11:30:03,312245.0,8514.0,14997.0,8422203
UNITED STATES,2020-04-05 14:30:04,312253.0,8515.0,15021.0,8433004
UNITED STATES,2020-04-05 17:40:33,312253.0,8515.0,15021.0,8444433
UNITED STATES,2020-04-05 20:33:28,312481.0,8516.0,15021.0,8454808
UNITED STATES,2020-04-05 23:30:02,327871.0,9325.0,16807.0,8465402
UNITED STATES,2020-04-06 08:37:49,337915.0,9662.0,17977.0,8498269
UNITED STATES,2020-04-06 11:30:05,337938.0,9666.0,17977.0,8508605
UNITED STATES,2020-04-06 14:44:21,337946.0,9667.0,17977.0,8520261
UNITED STATES,2020-04-06 17:30:04,337946.0,9667.0,17977.0,8530204
UNITED STATES,2020-04-06 21:00:44,339028.0,9697.0,18004.0,8542844
UNITED STATES,2020-04-07 00:00:03,356414.0,10490.0,19247.0,8553603
UNITED STATES,2020-04-07 09:00:04,368299.0,11000.0,19828.0,8586004
UNITED STATES,2020-04-07 12:15:51,368453.0,11008.0,19919.0,8597751
UNITED STATES,2020-04-07 15:59:55,368453.0,11007.0,19919.0,8611195
UNITED STATES,2020-04-07 18:03:46,368453.0,11007.0,19919.0,8618626
UNITED STATES,2020-04-07 21:32:15,378291.0,11844.0,21222.0,8631135
UNITED STATES,2020-04-08 00:00:04,386571.0,12274.0,21316.0,8640004
UNITED STATES,2020-04-08 09:00:46,401513.0,12931.0,22425.0,8672446
UNITED STATES,2020-04-08 12:21:18,402383.0,12934.0,22539.0,8684478
UNITED STATES,2020-04-08 15:04:46,402383.0,12935.0,22539.0,8694286
UNITED STATES,2020-04-08 18:11:16,402383.0,12935.0,22539.0,8705476
UNITED STATES,2020-04-08 21:33:56,404967.0,13007.0,22563.0,8717636
UNITED STATES,2020-04-09 00:14:12,422126.0,14297.0,22800.0,8727252
UNITED STATES,2020-04-09 11:19:24,435592.0,14833.0,24125.0,8767164
UNITED STATES,2020-04-09 12:07:24,435610.0,14833.0,24125.0,8770044
UNITED STATES,2020-04-09 14:57:09,435609.0,14833.0,24125.0,8780229
UNITED STATES,2020-04-09 18:00:02,435609.0,14833.0,24125.0,8791202
UNITED STATES,2020-04-10 01:06:14,457101.0,16246.0,24910.0,8816774
UNITED STATES,2020-04-10 09:04:46,469727.0,16720.0,25988.0,8845486
UNITED STATES,2020-04-10 12:09:17,469993.0,16716.0,26104.0,8856557
UNITED STATES,2020-04-10 14:55:51,469993.0,16716.0,26522.0,8866551
UNITED STATES,2020-04-10 18:41:05,470090.0,16733.0,26522.0,8880065
UNITED STATES,2020-04-10 21:59:17,478109.0,17919.0,26615.0,8891957
UNITED STATES,2020-04-11 00:00:34,490418.0,18037.0,27565.0,8899234
UNITED STATES,2020-04-11 09:01:32,505735.0,18809.0,29077.0,8931692
UNITED STATES,2020-04-11 12:08:24,505931.0,18817.0,29191.0,8942904
UNITED STATES,2020-04-11 17:00:40,505931.0,18817.0,29191.0,8960440
UNITED STATES,2020-04-11 18:12:28,505931.0,18817.0,29191.0,8964748
UNITED STATES,2020-04-11 21:44:19,508791.0,19681.0,29234.0,8977459
UNITED STATES,2020-04-11 23:59:29,522643.0,20087.0,29347.0,8985569
UNITED STATES,2020-04-12 09:00:42,534306.0,20651.0,32091.0,9018042
UNITED STATES,2020-04-12 12:05:42,534361.0,20651.0,32110.0,9029142
UNITED STATES,2020-04-12 15:09:25,534361.0,20651.0,32110.0,9040165
UNITED STATES,2020-04-12 18:22:01,534361.0,20651.0,32110.0,9051721
UNITED STATES,2020-04-12 20:59:25,535888.0,20704.0,32314.0,9061165
UNITED STATES,2020-04-13 00:07:13,550978.0,21725.0,32419.0,9072433
UNITED STATES,2020-04-13 09:26:16,562094.0,22156.0,42919.0,9105976
UNITED STATES,2020-04-13 11:59:14,562195.0,22158.0,42919.0,9115154
UNITED STATES,2020-04-13 15:13:01,562195.0,22158.0,42919.0,9126781
UNITED STATES,2020-04-13 20:23:47,563604.0,22204.0,42919.0,9145427
UNITED STATES,2020-04-13 21:01:27,563604.0,22204.0,42919.0,9147687
UNITED STATES,2020-04-14 00:30:40,577793.0,23121.0,42919.0,9160240
UNITED STATES,2020-04-14 09:09:09,588421.0,23675.0,44261.0,9191349
UNITED STATES,2020-04-14 12:13:23,588435.0,23702.0,44308.0,9202403
UNITED STATES,2020-04-14 15:49:28,588435.0,23702.0,44308.0,9215368
