Nation,Time,Confirmed Case,Death,Recover,timestamp
US VIRGIN ISLANDS,3.4.2020.14.30.10,30.0,0.0,0.0,8260210
US VIRGIN ISLANDS,3.4.2020.14.30.11,30.0,0.0,0.0,8260211
US VIRGIN ISLANDS,3.4.2020.17.30.12,30.0,0.0,0.0,8271012
US VIRGIN ISLANDS,3.4.2020.20.30.12,30.0,0.0,0.0,8281812
US VIRGIN ISLANDS,3.4.2020.23.30.19,37.0,0.0,0.0,8292619
US VIRGIN ISLANDS,4.4.2020.8.30.14,37.0,0.0,0.0,8325014
US VIRGIN ISLANDS,4.4.2020.11.30.14,37.0,0.0,0.0,8335814
US VIRGIN ISLANDS,4.4.2020.14.30.16,37.0,0.0,0.0,8346616
US VIRGIN ISLANDS,4.4.2020.17.30.18,37.0,0.0,0.0,8357418
US VIRGIN ISLANDS,4.4.2020.20.30.33,37.0,0.0,0.0,8368233
US VIRGIN ISLANDS,4.4.2020.23.30.5,40.0,0.0,0.0,8379005
US VIRGIN ISLANDS,5.4.2020.8.30.7,40.0,0.0,0.0,8411407
US VIRGIN ISLANDS,5.4.2020.11.30.3,40.0,0.0,0.0,8422203
US VIRGIN ISLANDS,5.4.2020.14.30.4,40.0,0.0,0.0,8433004
US VIRGIN ISLANDS,5.4.2020.17.40.33,40.0,0.0,0.0,8444433
US VIRGIN ISLANDS,5.4.2020.20.33.28,40.0,0.0,0.0,8454808
US VIRGIN ISLANDS,5.4.2020.23.30.2,42.0,1.0,0.0,8465402
US VIRGIN ISLANDS,6.4.2020.8.37.49,42.0,1.0,0.0,8498269
US VIRGIN ISLANDS,6.4.2020.11.30.5,42.0,1.0,0.0,8508605
US VIRGIN ISLANDS,6.4.2020.14.44.21,42.0,1.0,0.0,8520261
US VIRGIN ISLANDS,6.4.2020.17.30.4,42.0,1.0,0.0,8530204
US VIRGIN ISLANDS,6.4.2020.21.0.44,42.0,1.0,0.0,8542844
US VIRGIN ISLANDS,7.4.2020.0.0.3,42.0,1.0,0.0,8553603
US VIRGIN ISLANDS,7.4.2020.9.0.4,43.0,1.0,0.0,8586004
US VIRGIN ISLANDS,7.4.2020.12.15.51,43.0,1.0,0.0,8597751
US VIRGIN ISLANDS,7.4.2020.15.59.55,43.0,1.0,0.0,8611195
US VIRGIN ISLANDS,7.4.2020.18.3.46,43.0,1.0,0.0,8618626
US VIRGIN ISLANDS,7.4.2020.21.32.15,43.0,1.0,0.0,8631135
US VIRGIN ISLANDS,8.4.2020.0.0.4,43.0,1.0,0.0,8640004
US VIRGIN ISLANDS,8.4.2020.9.0.46,43.0,1.0,0.0,8672446
US VIRGIN ISLANDS,8.4.2020.12.21.18,43.0,1.0,0.0,8684478
US VIRGIN ISLANDS,8.4.2020.15.4.46,43.0,1.0,0.0,8694286
US VIRGIN ISLANDS,8.4.2020.18.11.16,43.0,1.0,0.0,8705476
US VIRGIN ISLANDS,8.4.2020.21.33.56,43.0,1.0,0.0,8717636
US VIRGIN ISLANDS,9.4.2020.0.14.12,43.0,1.0,0.0,8727252
US VIRGIN ISLANDS,9.4.2020.11.19.24,43.0,1.0,0.0,8767164
US VIRGIN ISLANDS,9.4.2020.12.7.24,43.0,1.0,0.0,8770044
US VIRGIN ISLANDS,9.4.2020.14.57.9,43.0,1.0,0.0,8780229
US VIRGIN ISLANDS,9.4.2020.18.0.2,43.0,1.0,0.0,8791202
US VIRGIN ISLANDS,10.4.2020.1.6.14,43.0,1.0,0.0,8816774
US VIRGIN ISLANDS,10.4.2020.9.4.46,43.0,1.0,0.0,8845486
US VIRGIN ISLANDS,10.4.2020.12.9.17,43.0,1.0,0.0,8856557
US VIRGIN ISLANDS,10.4.2020.14.55.51,43.0,1.0,0.0,8866551
US VIRGIN ISLANDS,10.4.2020.18.41.5,43.0,1.0,0.0,8880065
US VIRGIN ISLANDS,10.4.2020.21.59.17,43.0,1.0,0.0,8891957
US VIRGIN ISLANDS,11.4.2020.0.0.34,50.0,1.0,0.0,8899234
US VIRGIN ISLANDS,11.4.2020.9.1.32,50.0,1.0,0.0,8931692
US VIRGIN ISLANDS,11.4.2020.12.8.24,50.0,1.0,0.0,8942904
US VIRGIN ISLANDS,11.4.2020.17.0.40,50.0,1.0,0.0,8960440
US VIRGIN ISLANDS,11.4.2020.18.12.28,50.0,1.0,0.0,8964748
US VIRGIN ISLANDS,11.4.2020.21.44.19,50.0,1.0,0.0,8977459
US VIRGIN ISLANDS,11.4.2020.23.59.29,51.0,1.0,0.0,8985569
US VIRGIN ISLANDS,12.4.2020.9.0.42,51.0,1.0,0.0,9018042
US VIRGIN ISLANDS,12.4.2020.12.5.42,51.0,1.0,0.0,9029142
US VIRGIN ISLANDS,12.4.2020.15.9.25,51.0,1.0,0.0,9040165
US VIRGIN ISLANDS,12.4.2020.18.22.1,51.0,1.0,0.0,9051721
US VIRGIN ISLANDS,12.4.2020.20.59.25,51.0,1.0,0.0,9061165
US VIRGIN ISLANDS,13.4.2020.0.7.13,51.0,1.0,0.0,9072433
US VIRGIN ISLANDS,13.4.2020.9.26.16,51.0,1.0,0.0,9105976
US VIRGIN ISLANDS,13.4.2020.11.59.14,51.0,1.0,0.0,9115154
US VIRGIN ISLANDS,13.4.2020.15.13.1,51.0,1.0,0.0,9126781
US VIRGIN ISLANDS,13.4.2020.20.23.47,51.0,1.0,0.0,9145427
US VIRGIN ISLANDS,13.4.2020.21.1.27,51.0,1.0,0.0,9147687
US VIRGIN ISLANDS,14.4.2020.0.30.40,51.0,1.0,0.0,9160240
US VIRGIN ISLANDS,14.4.2020.9.9.9,51.0,1.0,0.0,9191349
US VIRGIN ISLANDS,14.4.2020.12.13.23,51.0,1.0,0.0,9202403
US VIRGIN ISLANDS,14.4.2020.15.49.28,51.0,1.0,0.0,9215368
US VIRGIN ISLANDS,14.4.2020.18.27.14,51.0,1.0,0.0,9224834
US VIRGIN ISLANDS,14.4.2020.21.18.50,51.0,1.0,0.0,9235130
US VIRGIN ISLANDS,15.4.2020.0.7.14,51.0,1.0,0.0,9245234
US VIRGIN ISLANDS,15.4.2020.9.0.9,51.0,1.0,0.0,9277209
US VIRGIN ISLANDS,15.4.2020.14.56.18,51.0,1.0,0.0,9298578
US VIRGIN ISLANDS,15.4.2020.19.52.38,51.0,1.0,0.0,9316358
US VIRGIN ISLANDS,15.4.2020.21.18.33,51.0,1.0,0.0,9321513
US VIRGIN ISLANDS,16.4.2020.0.51.15,51.0,1.0,0.0,9334275
US VIRGIN ISLANDS,16.4.2020.9.4.51,51.0,1.0,0.0,9363891
US VIRGIN ISLANDS,16.4.2020.12.5.8,51.0,1.0,0.0,9374708
US VIRGIN ISLANDS,16.4.2020.14.57.8,51.0,1.0,0.0,9385028
US VIRGIN ISLANDS,16.4.2020.17.58.25,51.0,1.0,0.0,9395905
US VIRGIN ISLANDS,16.4.2020.22.41.20,51.0,1.0,0.0,9412880
US VIRGIN ISLANDS,17.4.2020.1.32.36,51.0,1.0,0.0,9423156
US VIRGIN ISLANDS,17.4.2020.9.11.4,51.0,1.0,0.0,9450664
US VIRGIN ISLANDS,17.4.2020.12.2.1,51.0,1.0,0.0,9460921
US VIRGIN ISLANDS,17.4.2020.14.56.35,51.0,1.0,0.0,9471395
US VIRGIN ISLANDS,17.4.2020.18.39.21,51.0,1.0,0.0,9484761
US VIRGIN ISLANDS,17.4.2020.22.45.21,51.0,1.0,0.0,9499521
US VIRGIN ISLANDS,18.4.2020.8.54.14,51.0,1.0,0.0,9536054
US VIRGIN ISLANDS,18.4.2020.13.55.54,51.0,1.0,0.0,9554154
US VIRGIN ISLANDS,18.4.2020.15.41.6,51.0,1.0,0.0,9560466
US VIRGIN ISLANDS,18.4.2020.18.3.48,51.0,1.0,0.0,9569028
US VIRGIN ISLANDS,19.4.2020.0.17.39,51.0,1.0,0.0,9591459
US VIRGIN ISLANDS,19.4.2020.9.10.8,51.0,1.0,0.0,9623408
US VIRGIN ISLANDS,19.4.2020.15.11.32,53.0,1.0,0.0,9645092
US VIRGIN ISLANDS,19.4.2020.18.7.21,53.0,1.0,0.0,9655641
US VIRGIN ISLANDS,19.4.2020.21.1.51,53.0,1.0,0.0,9666111
US VIRGIN ISLANDS,20.4.2020.0.0.38,53.0,1.0,0.0,9676838
US VIRGIN ISLANDS,20.4.2020.12.46.45,53.0,1.0,0.0,9722805
US VIRGIN ISLANDS,20.4.2020.15.15.13,53.0,1.0,0.0,9731713
US VIRGIN ISLANDS,20.4.2020.18.0.55,53.0,1.0,0.0,9741655
US VIRGIN ISLANDS,20.4.2020.20.51.26,53.0,1.0,0.0,9751886
US VIRGIN ISLANDS,20.4.2020.23.57.35,53.0,1.0,0.0,9763055
US VIRGIN ISLANDS,21.4.2020.12.5.6,53.0,1.0,0.0,9806706
US VIRGIN ISLANDS,21.4.2020.18.5.54,53.0,1.0,0.0,9828354
US VIRGIN ISLANDS,21.4.2020.20.56.52,53.0,1.0,0.0,9838612
US VIRGIN ISLANDS,22.4.2020.10.13.50,53.0,1.0,0.0,9886430
US VIRGIN ISLANDS,22.4.2020.12.1.15,53.0,1.0,0.0,9892875
US VIRGIN ISLANDS,22.4.2020.15.4.35,53.0,1.0,0.0,9903875
US VIRGIN ISLANDS,23.4.2020.0.41.34,53.0,1.0,0.0,9938494
US VIRGIN ISLANDS,23.4.2020.11.0.28,53.0,1.0,0.0,9975628
US VIRGIN ISLANDS,23.4.2020.18.9.30,53.0,1.0,0.0,10001370
US VIRGIN ISLANDS,23.4.2020.21.15.10,53.0,1.0,0.0,10012510
US VIRGIN ISLANDS,24.4.2020.12.38.27,54.0,3.0,0.0,10067907
US VIRGIN ISLANDS,24.4.2020.15.7.1,54.0,3.0,0.0,10076821
US VIRGIN ISLANDS,24.4.2020.18.5.8,54.0,3.0,0.0,10087508
US VIRGIN ISLANDS,25.4.2020.1.24.20,54.0,3.0,0.0,10113860
US VIRGIN ISLANDS,25.4.2020.10.29.29,54.0,3.0,0.0,10146569
US VIRGIN ISLANDS,25.4.2020.13.6.30,54.0,3.0,0.0,10155990
US VIRGIN ISLANDS,25.4.2020.15.13.19,54.0,3.0,0.0,10163599
US VIRGIN ISLANDS,25.4.2020.18.5.53,54.0,3.0,0.0,10173953
US VIRGIN ISLANDS,26.4.2020.0.2.26,54.0,3.0,0.0,10195346
US VIRGIN ISLANDS,26.4.2020.10.30.36,54.0,3.0,0.0,10233036
US VIRGIN ISLANDS,26.4.2020.14.0.20,55.0,3.0,0.0,10245620
US VIRGIN ISLANDS,26.4.2020.15.0.26,55.0,3.0,0.0,10249226
US VIRGIN ISLANDS,26.4.2020.18.4.29,55.0,3.0,0.0,10260269
US VIRGIN ISLANDS,26.4.2020.20.55.24,55.0,3.0,0.0,10270524
US VIRGIN ISLANDS,27.4.2020.1.26.23,57.0,4.0,0.0,10286783
US VIRGIN ISLANDS,27.4.2020.12.2.22,57.0,4.0,0.0,10324942
US VIRGIN ISLANDS,27.4.2020.18.28.29,57.0,4.0,0.0,10348109
US VIRGIN ISLANDS,27.4.2020.23.10.6,57.0,4.0,0.0,10365006
US VIRGIN ISLANDS,28.4.2020.0.52.18,57.0,4.0,0.0,10371138
US VIRGIN ISLANDS,28.4.2020.12.28.54,57.0,4.0,0.0,10412934
US VIRGIN ISLANDS,29.4.2020.0.5.46,59.0,4.0,0.0,10454746
US VIRGIN ISLANDS,29.4.2020.11.12.43,59.0,4.0,0.0,10494763
US VIRGIN ISLANDS,29.4.2020.13.2.52,59.0,4.0,0.0,10501372
US VIRGIN ISLANDS,29.4.2020.15.8.24,59.0,4.0,0.0,10508904
US VIRGIN ISLANDS,29.4.2020.18.9.12,59.0,4.0,0.0,10519752
US VIRGIN ISLANDS,29.4.2020.21.32.47,59.0,4.0,0.0,10531967
US VIRGIN ISLANDS,30.4.2020.0.17.29,59.0,4.0,0.0,10541849
US VIRGIN ISLANDS,30.4.2020.9.21.28,59.0,4.0,0.0,10574488
US VIRGIN ISLANDS,30.4.2020.12.29.51,59.0,4.0,0.0,10585791
US VIRGIN ISLANDS,30.4.2020.15.13.47,59.0,4.0,0.0,10595627
US VIRGIN ISLANDS,1.5.2020.0.5.16,59.0,4.0,0.0,10713916
US VIRGIN ISLANDS,1.5.2020.10.41.27,59.0,4.0,0.0,10752087
US VIRGIN ISLANDS,1.5.2020.11.53.59,59.0,4.0,0.0,10756439
US VIRGIN ISLANDS,1.5.2020.15.33.11,59.0,4.0,0.0,10769591
US VIRGIN ISLANDS,1.5.2020.17.55.59,59.0,4.0,0.0,10778159
US VIRGIN ISLANDS,1.5.2020.21.26.40,59.0,4.0,0.0,10790800
US VIRGIN ISLANDS,2.5.2020.0.11.13,59.0,4.0,0.0,10800673
US VIRGIN ISLANDS,2.5.2020.9.45.39,59.0,4.0,0.0,10835139
US VIRGIN ISLANDS,2.5.2020.12.46.52,59.0,4.0,0.0,10846012
US VIRGIN ISLANDS,2.5.2020.15.0.2,59.0,4.0,0.0,10854002
US VIRGIN ISLANDS,2.5.2020.18.0.30,59.0,4.0,0.0,10864830
US VIRGIN ISLANDS,3.5.2020.0.4.29,59.0,4.0,0.0,10886669
US VIRGIN ISLANDS,3.5.2020.11.56.15,59.0,4.0,0.0,10929375
US VIRGIN ISLANDS,3.5.2020.15.5.11,59.0,4.0,0.0,10940711
US VIRGIN ISLANDS,3.5.2020.17.57.14,66.0,4.0,0.0,10951034
US VIRGIN ISLANDS,3.5.2020.21.9.20,66.0,4.0,0.0,10962560
US VIRGIN ISLANDS,3.5.2020.23.58.14,66.0,4.0,0.0,10972694
US VIRGIN ISLANDS,4.5.2020.15.8.30,66.0,4.0,0.0,11027310
US VIRGIN ISLANDS,4.5.2020.18.37.54,66.0,4.0,0.0,11039874
US VIRGIN ISLANDS,4.5.2020.23.58.7,66.0,4.0,0.0,11059087
US VIRGIN ISLANDS,5.5.2020.1.13.37,66.0,4.0,0.0,11063617
US VIRGIN ISLANDS,5.5.2020.13.8.43,66.0,4.0,0.0,11106523
US VIRGIN ISLANDS,5.5.2020.15.1.21,66.0,4.0,0.0,11113281
US VIRGIN ISLANDS,5.5.2020.21.5.55,66.0,4.0,0.0,11135155
US VIRGIN ISLANDS,6.5.2020.0.0.44,66.0,4.0,0.0,11145644
US VIRGIN ISLANDS,6.5.2020.12.1.14,66.0,4.0,0.0,11188874
US VIRGIN ISLANDS,6.5.2020.18.0.4,66.0,4.0,0.0,11210404
US VIRGIN ISLANDS,7.5.2020.0.14.11,66.0,4.0,0.0,11232851
US VIRGIN ISLANDS,7.5.2020.11.57.25,66.0,4.0,0.0,11275045
US VIRGIN ISLANDS,7.5.2020.15.0.3,66.0,4.0,0.0,11286003
US VIRGIN ISLANDS,7.5.2020.18.26.51,66.0,4.0,0.0,11298411
US VIRGIN ISLANDS,7.5.2020.23.58.31,66.0,4.0,0.0,11318311
US VIRGIN ISLANDS,8.5.2020.12.2.6,66.0,4.0,0.0,11361726
US VIRGIN ISLANDS,8.5.2020.15.12.55,66.0,4.0,0.0,11373175
US VIRGIN ISLANDS,8.5.2020.18.26.19,66.0,4.0,0.0,11384779
US VIRGIN ISLANDS,8.5.2020.21.29.34,66.0,4.0,0.0,11395774
US VIRGIN ISLANDS,9.5.2020.0.43.24,66.0,4.0,0.0,11407404
US VIRGIN ISLANDS,9.5.2020.13.13.55,66.0,4.0,0.0,11452435
US VIRGIN ISLANDS,9.5.2020.15.22.29,66.0,4.0,0.0,11460149
US VIRGIN ISLANDS,9.5.2020.18.0.2,66.0,4.0,0.0,11469602
US VIRGIN ISLANDS,10.5.2020.0.44.24,66.0,4.0,0.0,11493864
US VIRGIN ISLANDS,10.5.2020.12.0.15,66.0,4.0,0.0,11534415
US VIRGIN ISLANDS,10.5.2020.15.9.2,66.0,4.0,0.0,11545742
US VIRGIN ISLANDS,10.5.2020.22.50.52,69.0,4.0,0.0,11573452
US VIRGIN ISLANDS,10.5.2020.23.59.1,69.0,4.0,0.0,11577541
US VIRGIN ISLANDS,11.5.2020.10.34.59,69.0,4.0,0.0,11615699
US VIRGIN ISLANDS,11.5.2020.14.55.28,69.0,4.0,0.0,11631328
US VIRGIN ISLANDS,11.5.2020.19.31.25,69.0,4.0,0.0,11647885
US VIRGIN ISLANDS,11.5.2020.21.0.14,69.0,4.0,0.0,11653214
US VIRGIN ISLANDS,12.5.2020.1.0.51,69.0,4.0,0.0,11667651
US VIRGIN ISLANDS,12.5.2020.10.8.26,69.0,4.0,0.0,11700506
US VIRGIN ISLANDS,12.5.2020.12.2.54,69.0,4.0,0.0,11707374
US VIRGIN ISLANDS,12.5.2020.15.0.2,69.0,4.0,0.0,11718002
US VIRGIN ISLANDS,12.5.2020.17.58.36,69.0,4.0,0.0,11728716
US VIRGIN ISLANDS,12.5.2020.21.1.11,69.0,4.0,0.0,11739671
US VIRGIN ISLANDS,12.5.2020.23.56.29,69.0,4.0,0.0,11750189
US VIRGIN ISLANDS,13.5.2020.10.34.40,69.0,4.0,0.0,11788480
US VIRGIN ISLANDS,13.5.2020.12.0.2,69.0,4.0,0.0,11793602
US VIRGIN ISLANDS,13.5.2020.16.27.8,69.0,4.0,61.0,11809628
US VIRGIN ISLANDS,13.5.2020.21.0.25,69.0,6.0,61.0,11826025
US VIRGIN ISLANDS,14.5.2020.0.30.12,69.0,6.0,61.0,11838612
US VIRGIN ISLANDS,14.5.2020.12.1.47,69.0,6.0,61.0,11880107
US VIRGIN ISLANDS,14.5.2020.15.54.36,69.0,6.0,61.0,11894076
US VIRGIN ISLANDS,14.5.2020.19.5.5,69.0,6.0,61.0,11905505
US VIRGIN ISLANDS,14.5.2020.20.56.4,69.0,6.0,61.0,11912164
US VIRGIN ISLANDS,15.5.2020.1.21.38,69.0,6.0,61.0,11928098
US VIRGIN ISLANDS,15.5.2020.12.16.9,69.0,6.0,61.0,11967369
US VIRGIN ISLANDS,15.5.2020.15.26.20,69.0,6.0,61.0,11978780
US VIRGIN ISLANDS,15.5.2020.17.53.43,69.0,6.0,61.0,11987623
US VIRGIN ISLANDS,15.5.2020.21.0.16,69.0,6.0,61.0,11998816
US VIRGIN ISLANDS,15.5.2020.23.56.42,69.0,6.0,61.0,12009402
US VIRGIN ISLANDS,16.5.2020.12.26.0,69.0,6.0,61.0,12054360
US VIRGIN ISLANDS,16.5.2020.17.5.26,69.0,6.0,61.0,12071126
US VIRGIN ISLANDS,16.5.2020.18.40.21,69.0,6.0,61.0,12076821
US VIRGIN ISLANDS,16.5.2020.23.58.26,69.0,6.0,61.0,12095906
US VIRGIN ISLANDS,17.5.2020.12.0.2,69.0,6.0,61.0,12139202
US VIRGIN ISLANDS,17.5.2020.14.58.45,69.0,6.0,61.0,12149925
US VIRGIN ISLANDS,17.5.2020.18.48.59,69.0,6.0,61.0,12163739
US VIRGIN ISLANDS,17.5.2020.21.23.35,69.0,6.0,61.0,12173015
US VIRGIN ISLANDS,18.5.2020.0.5.4,69.0,6.0,61.0,12182704
US VIRGIN ISLANDS,18.5.2020.12.2.55,69.0,6.0,61.0,12225775
US VIRGIN ISLANDS,18.5.2020.15.32.44,69.0,6.0,61.0,12238364
US VIRGIN ISLANDS,18.5.2020.18.17.4,69.0,6.0,61.0,12248224
US VIRGIN ISLANDS,18.5.2020.21.14.7,69.0,6.0,61.0,12258847
US VIRGIN ISLANDS,18.5.2020.23.56.7,69.0,6.0,61.0,12268567
US VIRGIN ISLANDS,19.5.2020.11.30.38,69.0,6.0,61.0,12310238
US VIRGIN ISLANDS,19.5.2020.16.31.59,69.0,6.0,61.0,12328319
US VIRGIN ISLANDS,19.5.2020.19.6.49,69.0,6.0,61.0,12337609
US VIRGIN ISLANDS,19.5.2020.21.27.31,69.0,6.0,61.0,12346051
US VIRGIN ISLANDS,19.5.2020.23.57.27,69.0,6.0,61.0,12355047
US VIRGIN ISLANDS,20.5.2020.12.3.0,69.0,6.0,61.0,12398580
US VIRGIN ISLANDS,20.5.2020.14.57.38,69.0,6.0,61.0,12409058
US VIRGIN ISLANDS,20.5.2020.17.44.53,69.0,6.0,61.0,12419093
US VIRGIN ISLANDS,20.5.2020.21.15.28,69.0,6.0,61.0,12431728
US VIRGIN ISLANDS,21.5.2020.0.14.36,69.0,6.0,61.0,12442476
US VIRGIN ISLANDS,21.5.2020.9.38.15,69.0,6.0,61.0,12476295
US VIRGIN ISLANDS,21.5.2020.12.11.17,69.0,6.0,61.0,12485477
US VIRGIN ISLANDS,21.5.2020.14.59.56,69.0,6.0,61.0,12495596
US VIRGIN ISLANDS,21.5.2020.21.24.22,69.0,6.0,61.0,12518662
US VIRGIN ISLANDS,22.5.2020.0.0.2,69.0,6.0,61.0,12528002
US VIRGIN ISLANDS,22.5.2020.10.37.17,69.0,6.0,61.0,12566237
US VIRGIN ISLANDS,22.5.2020.12.36.18,69.0,6.0,61.0,12573378
US VIRGIN ISLANDS,22.5.2020.16.6.0,69.0,6.0,61.0,12585960
US VIRGIN ISLANDS,22.5.2020.18.0.2,69.0,6.0,61.0,12592802
US VIRGIN ISLANDS,22.5.2020.21.0.9,69.0,6.0,61.0,12603609
US VIRGIN ISLANDS,23.5.2020.1.20.34,69.0,6.0,61.0,12619234
US VIRGIN ISLANDS,23.5.2020.12.7.16,69.0,6.0,61.0,12658036
US VIRGIN ISLANDS,23.5.2020.18.9.53,69.0,6.0,61.0,12679793
US VIRGIN ISLANDS,23.5.2020.22.2.48,69.0,6.0,61.0,12693768
US VIRGIN ISLANDS,24.5.2020.0.0.2,69.0,6.0,61.0,12700802
US VIRGIN ISLANDS,24.5.2020.12.54.52,69.0,6.0,61.0,12747292
