Nation,Time,Confirmed Case,Death,Recover,timestamp
WESTERN SAHARA,2020-04-03 14:30:10,0.0,0.0,0.0,8260210
WESTERN SAHARA,2020-04-03 14:30:11,0.0,0.0,0.0,8260211
WESTERN SAHARA,2020-04-03 17:30:12,0.0,0.0,0.0,8271012
WESTERN SAHARA,2020-04-03 20:30:12,0.0,0.0,0.0,8281812
WESTERN SAHARA,2020-04-03 23:30:19,0.0,0.0,0.0,8292619
WESTERN SAHARA,2020-04-04 08:30:14,0.0,0.0,0.0,8325014
WESTERN SAHARA,2020-04-04 11:30:14,0.0,0.0,0.0,8335814
WESTERN SAHARA,2020-04-04 14:30:16,0.0,0.0,0.0,8346616
WESTERN SAHARA,2020-04-04 17:30:18,0.0,0.0,0.0,8357418
WESTERN SAHARA,2020-04-04 20:30:33,0.0,0.0,0.0,8368233
WESTERN SAHARA,2020-04-04 23:30:05,0.0,0.0,0.0,8379005
WESTERN SAHARA,2020-04-05 08:30:07,4.0,0.0,0.0,8411407
WESTERN SAHARA,2020-04-05 11:30:03,4.0,0.0,0.0,8422203
WESTERN SAHARA,2020-04-05 14:30:04,4.0,0.0,0.0,8433004
WESTERN SAHARA,2020-04-05 17:40:33,4.0,0.0,0.0,8444433
WESTERN SAHARA,2020-04-05 20:33:28,4.0,0.0,0.0,8454808
WESTERN SAHARA,2020-04-05 23:30:02,4.0,0.0,0.0,8465402
WESTERN SAHARA,2020-04-06 08:37:49,4.0,0.0,0.0,8498269
WESTERN SAHARA,2020-04-06 11:30:05,4.0,0.0,0.0,8508605
WESTERN SAHARA,2020-04-06 14:44:21,4.0,0.0,0.0,8520261
WESTERN SAHARA,2020-04-06 17:30:04,4.0,0.0,0.0,8530204
WESTERN SAHARA,2020-04-06 21:00:44,4.0,0.0,0.0,8542844
WESTERN SAHARA,2020-04-07 00:00:03,4.0,0.0,0.0,8553603
WESTERN SAHARA,2020-04-07 09:00:04,4.0,0.0,0.0,8586004
WESTERN SAHARA,2020-04-07 12:15:51,4.0,0.0,0.0,8597751
WESTERN SAHARA,2020-04-07 15:59:55,4.0,0.0,0.0,8611195
WESTERN SAHARA,2020-04-07 18:03:46,4.0,0.0,0.0,8618626
WESTERN SAHARA,2020-04-07 21:32:15,4.0,0.0,0.0,8631135
WESTERN SAHARA,2020-04-08 00:00:04,4.0,0.0,0.0,8640004
WESTERN SAHARA,2020-04-08 09:00:46,4.0,0.0,0.0,8672446
WESTERN SAHARA,2020-04-08 12:21:18,4.0,0.0,0.0,8684478
WESTERN SAHARA,2020-04-08 15:04:46,4.0,0.0,0.0,8694286
WESTERN SAHARA,2020-04-08 18:11:16,4.0,0.0,0.0,8705476
WESTERN SAHARA,2020-04-08 21:33:56,4.0,0.0,0.0,8717636
WESTERN SAHARA,2020-04-09 00:14:12,4.0,0.0,0.0,8727252
WESTERN SAHARA,2020-04-09 11:19:24,4.0,0.0,0.0,8767164
WESTERN SAHARA,2020-04-09 12:07:24,4.0,0.0,0.0,8770044
WESTERN SAHARA,2020-04-09 14:57:09,4.0,0.0,0.0,8780229
WESTERN SAHARA,2020-04-09 18:00:02,4.0,0.0,0.0,8791202
WESTERN SAHARA,2020-04-10 01:06:14,4.0,0.0,0.0,8816774
WESTERN SAHARA,2020-04-10 09:04:46,4.0,0.0,0.0,8845486
WESTERN SAHARA,2020-04-10 12:09:17,4.0,0.0,0.0,8856557
WESTERN SAHARA,2020-04-10 14:55:51,4.0,0.0,0.0,8866551
WESTERN SAHARA,2020-04-10 18:41:05,4.0,0.0,0.0,8880065
WESTERN SAHARA,2020-04-10 21:59:17,4.0,0.0,0.0,8891957
WESTERN SAHARA,2020-04-11 00:00:34,4.0,0.0,0.0,8899234
WESTERN SAHARA,2020-04-11 09:01:32,4.0,0.0,0.0,8931692
WESTERN SAHARA,2020-04-11 12:08:24,4.0,0.0,0.0,8942904
WESTERN SAHARA,2020-04-11 17:00:40,4.0,0.0,0.0,8960440
WESTERN SAHARA,2020-04-11 18:12:28,4.0,0.0,0.0,8964748
WESTERN SAHARA,2020-04-11 21:44:19,4.0,0.0,0.0,8977459
WESTERN SAHARA,2020-04-11 23:59:29,4.0,0.0,0.0,8985569
WESTERN SAHARA,2020-04-12 09:00:42,6.0,0.0,0.0,9018042
WESTERN SAHARA,2020-04-12 12:05:42,6.0,0.0,0.0,9029142
WESTERN SAHARA,2020-04-12 15:09:25,6.0,0.0,0.0,9040165
WESTERN SAHARA,2020-04-12 18:22:01,6.0,0.0,0.0,9051721
WESTERN SAHARA,2020-04-12 20:59:25,6.0,0.0,0.0,9061165
WESTERN SAHARA,2020-04-13 00:07:13,6.0,0.0,0.0,9072433
WESTERN SAHARA,2020-04-13 09:26:16,6.0,0.0,0.0,9105976
WESTERN SAHARA,2020-04-13 11:59:14,6.0,0.0,0.0,9115154
WESTERN SAHARA,2020-04-13 15:13:01,6.0,0.0,0.0,9126781
WESTERN SAHARA,2020-04-13 20:23:47,6.0,0.0,0.0,9145427
WESTERN SAHARA,2020-04-13 21:01:27,6.0,0.0,0.0,9147687
WESTERN SAHARA,2020-04-14 00:30:40,6.0,0.0,0.0,9160240
WESTERN SAHARA,2020-04-14 09:09:09,6.0,0.0,0.0,9191349
WESTERN SAHARA,2020-04-14 12:13:23,6.0,0.0,0.0,9202403
WESTERN SAHARA,2020-04-14 15:49:28,6.0,0.0,0.0,9215368
WESTERN SAHARA,2020-04-14 18:27:14,6.0,0.0,0.0,9224834
WESTERN SAHARA,2020-04-14 21:18:50,6.0,0.0,0.0,9235130
WESTERN SAHARA,2020-04-15 00:07:14,6.0,0.0,0.0,9245234
WESTERN SAHARA,2020-04-15 09:00:09,6.0,0.0,0.0,9277209
WESTERN SAHARA,2020-04-15 14:56:18,6.0,0.0,0.0,9298578
WESTERN SAHARA,2020-04-15 19:52:38,6.0,0.0,0.0,9316358
WESTERN SAHARA,2020-04-15 21:18:33,6.0,0.0,0.0,9321513
WESTERN SAHARA,2020-04-16 00:51:15,6.0,0.0,0.0,9334275
WESTERN SAHARA,2020-04-16 09:04:51,6.0,0.0,0.0,9363891
WESTERN SAHARA,2020-04-16 12:05:08,6.0,0.0,0.0,9374708
WESTERN SAHARA,2020-04-16 14:57:08,6.0,0.0,0.0,9385028
WESTERN SAHARA,2020-04-16 17:58:25,6.0,0.0,0.0,9395905
WESTERN SAHARA,2020-04-16 22:41:20,6.0,0.0,0.0,9412880
WESTERN SAHARA,2020-04-17 01:32:36,6.0,0.0,0.0,9423156
WESTERN SAHARA,2020-04-17 09:11:04,6.0,0.0,0.0,9450664
WESTERN SAHARA,2020-04-17 12:02:01,6.0,0.0,0.0,9460921
WESTERN SAHARA,2020-04-17 14:56:35,6.0,0.0,0.0,9471395
WESTERN SAHARA,2020-04-17 18:39:21,6.0,0.0,0.0,9484761
WESTERN SAHARA,2020-04-17 22:45:21,6.0,0.0,0.0,9499521
WESTERN SAHARA,2020-04-18 08:54:14,6.0,0.0,0.0,9536054
WESTERN SAHARA,2020-04-18 13:55:54,6.0,0.0,0.0,9554154
WESTERN SAHARA,2020-04-18 15:41:06,6.0,0.0,0.0,9560466
WESTERN SAHARA,2020-04-18 18:03:48,6.0,0.0,0.0,9569028
WESTERN SAHARA,2020-04-19 00:17:39,6.0,0.0,0.0,9591459
WESTERN SAHARA,2020-04-19 09:10:08,6.0,0.0,0.0,9623408
WESTERN SAHARA,2020-04-19 15:11:32,6.0,0.0,0.0,9645092
WESTERN SAHARA,2020-04-19 18:07:21,6.0,0.0,0.0,9655641
WESTERN SAHARA,2020-04-19 21:01:51,6.0,0.0,0.0,9666111
WESTERN SAHARA,2020-04-20 00:00:38,6.0,0.0,0.0,9676838
WESTERN SAHARA,2020-04-20 12:46:45,6.0,0.0,0.0,9722805
WESTERN SAHARA,2020-04-20 15:15:13,6.0,0.0,0.0,9731713
WESTERN SAHARA,2020-04-20 18:00:55,6.0,0.0,0.0,9741655
WESTERN SAHARA,2020-04-20 20:51:26,6.0,0.0,0.0,9751886
WESTERN SAHARA,2020-04-20 23:57:35,6.0,0.0,0.0,9763055
WESTERN SAHARA,2020-04-21 12:05:06,6.0,0.0,0.0,9806706
WESTERN SAHARA,2020-04-21 18:05:54,6.0,0.0,0.0,9828354
WESTERN SAHARA,2020-04-21 20:56:52,6.0,0.0,0.0,9838612
WESTERN SAHARA,2020-04-22 10:13:50,6.0,0.0,0.0,9886430
WESTERN SAHARA,2020-04-22 12:01:15,6.0,0.0,0.0,9892875
WESTERN SAHARA,2020-04-22 15:04:35,6.0,0.0,0.0,9903875
WESTERN SAHARA,2020-04-23 00:41:34,6.0,0.0,0.0,9938494
WESTERN SAHARA,2020-04-23 11:00:28,6.0,0.0,5.0,9975628
WESTERN SAHARA,2020-04-23 18:09:30,6.0,0.0,5.0,10001370
WESTERN SAHARA,2020-04-23 21:15:10,6.0,0.0,5.0,10012510
WESTERN SAHARA,2020-04-24 12:38:27,6.0,0.0,5.0,10067907
WESTERN SAHARA,2020-04-24 15:07:01,6.0,0.0,5.0,10076821
WESTERN SAHARA,2020-04-24 18:05:08,6.0,0.0,5.0,10087508
WESTERN SAHARA,2020-04-25 01:24:20,6.0,0.0,5.0,10113860
WESTERN SAHARA,2020-04-25 10:29:29,6.0,0.0,5.0,10146569
WESTERN SAHARA,2020-04-25 13:06:30,6.0,0.0,5.0,10155990
WESTERN SAHARA,2020-04-25 15:13:19,6.0,0.0,5.0,10163599
WESTERN SAHARA,2020-04-25 18:05:53,6.0,0.0,5.0,10173953
WESTERN SAHARA,2020-04-26 00:02:26,6.0,0.0,5.0,10195346
WESTERN SAHARA,2020-04-26 10:30:36,6.0,0.0,5.0,10233036
WESTERN SAHARA,2020-04-26 14:00:20,6.0,0.0,5.0,10245620
WESTERN SAHARA,2020-04-26 15:00:26,6.0,0.0,5.0,10249226
WESTERN SAHARA,2020-04-26 18:04:29,6.0,0.0,5.0,10260269
WESTERN SAHARA,2020-04-26 20:55:24,6.0,0.0,5.0,10270524
WESTERN SAHARA,2020-04-27 01:26:23,6.0,0.0,5.0,10286783
WESTERN SAHARA,2020-04-27 12:02:22,6.0,0.0,5.0,10324942
WESTERN SAHARA,2020-04-27 18:28:29,6.0,0.0,5.0,10348109
WESTERN SAHARA,2020-04-27 23:10:06,6.0,0.0,5.0,10365006
WESTERN SAHARA,2020-04-28 00:52:18,6.0,0.0,5.0,10371138
WESTERN SAHARA,2020-04-28 12:28:54,6.0,0.0,5.0,10412934
WESTERN SAHARA,2020-04-29 00:05:46,6.0,0.0,5.0,10454746
WESTERN SAHARA,2020-04-29 11:12:43,6.0,0.0,5.0,10494763
WESTERN SAHARA,2020-04-29 13:02:52,6.0,0.0,5.0,10501372
WESTERN SAHARA,2020-04-29 15:08:24,6.0,0.0,5.0,10508904
WESTERN SAHARA,2020-04-29 18:09:12,6.0,0.0,5.0,10519752
WESTERN SAHARA,2020-04-29 21:32:47,6.0,0.0,5.0,10531967
WESTERN SAHARA,2020-04-30 00:17:29,6.0,0.0,5.0,10541849
WESTERN SAHARA,2020-04-30 09:21:28,6.0,0.0,5.0,10574488
WESTERN SAHARA,2020-04-30 12:29:51,6.0,0.0,5.0,10585791
WESTERN SAHARA,2020-04-30 15:13:47,6.0,0.0,5.0,10595627
WESTERN SAHARA,2020-05-01 00:05:16,6.0,0.0,5.0,10713916
WESTERN SAHARA,2020-05-01 10:41:27,6.0,0.0,5.0,10752087
WESTERN SAHARA,2020-05-01 11:53:59,6.0,0.0,5.0,10756439
WESTERN SAHARA,2020-05-01 15:33:11,6.0,0.0,5.0,10769591
WESTERN SAHARA,2020-05-01 17:55:59,6.0,0.0,5.0,10778159
WESTERN SAHARA,2020-05-01 21:26:40,6.0,0.0,5.0,10790800
WESTERN SAHARA,2020-05-02 00:11:13,6.0,0.0,5.0,10800673
WESTERN SAHARA,2020-05-02 09:45:39,6.0,0.0,5.0,10835139
WESTERN SAHARA,2020-05-02 12:46:52,6.0,0.0,5.0,10846012
WESTERN SAHARA,2020-05-02 15:00:02,6.0,0.0,5.0,10854002
WESTERN SAHARA,2020-05-02 18:00:30,6.0,0.0,5.0,10864830
WESTERN SAHARA,2020-05-03 00:04:29,6.0,0.0,5.0,10886669
WESTERN SAHARA,2020-05-03 11:56:15,6.0,0.0,5.0,10929375
WESTERN SAHARA,2020-05-03 15:05:11,6.0,0.0,5.0,10940711
