Nation,Time,Confirmed Case,Death,Recover,timestamp
ZAMBIA,3.4.2020.14.30.10,39.0,1.0,0.0,8260210
ZAMBIA,3.4.2020.14.30.11,39.0,1.0,0.0,8260211
ZAMBIA,3.4.2020.17.30.12,39.0,1.0,0.0,8271012
ZAMBIA,3.4.2020.20.30.12,39.0,1.0,2.0,8281812
ZAMBIA,3.4.2020.23.30.19,39.0,1.0,2.0,8292619
ZAMBIA,4.4.2020.8.30.14,39.0,1.0,2.0,8325014
ZAMBIA,4.4.2020.11.30.14,39.0,1.0,2.0,8335814
ZAMBIA,4.4.2020.14.30.16,39.0,1.0,2.0,8346616
ZAMBIA,4.4.2020.17.30.18,39.0,1.0,2.0,8357418
ZAMBIA,4.4.2020.20.30.33,39.0,1.0,2.0,8368233
ZAMBIA,4.4.2020.23.30.5,39.0,1.0,2.0,8379005
ZAMBIA,5.4.2020.8.30.7,39.0,1.0,2.0,8411407
ZAMBIA,5.4.2020.11.30.3,39.0,1.0,2.0,8422203
ZAMBIA,5.4.2020.14.30.4,39.0,1.0,2.0,8433004
ZAMBIA,5.4.2020.17.40.33,39.0,1.0,3.0,8444433
ZAMBIA,5.4.2020.20.33.28,39.0,1.0,3.0,8454808
ZAMBIA,5.4.2020.23.30.2,39.0,1.0,3.0,8465402
ZAMBIA,6.4.2020.8.37.49,39.0,1.0,3.0,8498269
ZAMBIA,6.4.2020.11.30.5,39.0,1.0,3.0,8508605
ZAMBIA,6.4.2020.14.44.21,39.0,1.0,3.0,8520261
ZAMBIA,6.4.2020.17.30.4,39.0,1.0,3.0,8530204
ZAMBIA,6.4.2020.21.0.44,39.0,1.0,3.0,8542844
ZAMBIA,7.4.2020.0.0.3,39.0,1.0,5.0,8553603
ZAMBIA,7.4.2020.9.0.4,39.0,1.0,5.0,8586004
ZAMBIA,7.4.2020.12.15.51,39.0,1.0,5.0,8597751
ZAMBIA,7.4.2020.15.59.55,39.0,1.0,5.0,8611195
ZAMBIA,7.4.2020.18.3.46,39.0,1.0,5.0,8618626
ZAMBIA,7.4.2020.21.32.15,39.0,1.0,7.0,8631135
ZAMBIA,8.4.2020.0.0.4,39.0,1.0,7.0,8640004
ZAMBIA,8.4.2020.9.0.46,39.0,1.0,7.0,8672446
ZAMBIA,8.4.2020.12.21.18,39.0,1.0,7.0,8684478
ZAMBIA,8.4.2020.15.4.46,39.0,1.0,7.0,8694286
ZAMBIA,8.4.2020.18.11.16,39.0,1.0,7.0,8705476
ZAMBIA,8.4.2020.21.33.56,39.0,1.0,7.0,8717636
ZAMBIA,9.4.2020.0.14.12,39.0,1.0,7.0,8727252
ZAMBIA,9.4.2020.11.19.24,39.0,1.0,7.0,8767164
ZAMBIA,9.4.2020.12.7.24,39.0,1.0,7.0,8770044
ZAMBIA,9.4.2020.14.57.9,39.0,1.0,7.0,8780229
ZAMBIA,9.4.2020.18.0.2,39.0,1.0,7.0,8791202
ZAMBIA,10.4.2020.1.6.14,39.0,1.0,24.0,8816774
ZAMBIA,10.4.2020.9.4.46,39.0,1.0,24.0,8845486
ZAMBIA,10.4.2020.12.9.17,39.0,1.0,24.0,8856557
ZAMBIA,10.4.2020.14.55.51,39.0,1.0,24.0,8866551
ZAMBIA,10.4.2020.18.41.5,40.0,2.0,25.0,8880065
ZAMBIA,10.4.2020.21.59.17,40.0,2.0,25.0,8891957
ZAMBIA,11.4.2020.0.0.34,40.0,2.0,25.0,8899234
ZAMBIA,11.4.2020.9.1.32,40.0,2.0,25.0,8931692
ZAMBIA,11.4.2020.12.8.24,40.0,2.0,25.0,8942904
ZAMBIA,11.4.2020.17.0.40,40.0,2.0,25.0,8960440
ZAMBIA,11.4.2020.18.12.28,40.0,2.0,25.0,8964748
ZAMBIA,11.4.2020.21.44.19,40.0,2.0,28.0,8977459
ZAMBIA,11.4.2020.23.59.29,40.0,2.0,28.0,8985569
ZAMBIA,12.4.2020.9.0.42,40.0,2.0,28.0,9018042
ZAMBIA,12.4.2020.12.5.42,40.0,2.0,28.0,9029142
ZAMBIA,12.4.2020.15.9.25,40.0,2.0,28.0,9040165
ZAMBIA,12.4.2020.18.22.1,40.0,2.0,28.0,9051721
ZAMBIA,12.4.2020.20.59.25,43.0,2.0,30.0,9061165
ZAMBIA,13.4.2020.0.7.13,43.0,2.0,30.0,9072433
ZAMBIA,13.4.2020.9.26.16,43.0,2.0,30.0,9105976
ZAMBIA,13.4.2020.11.59.14,43.0,2.0,30.0,9115154
ZAMBIA,13.4.2020.15.13.1,43.0,2.0,30.0,9126781
ZAMBIA,13.4.2020.20.23.47,43.0,2.0,30.0,9145427
ZAMBIA,13.4.2020.21.1.27,43.0,2.0,30.0,9147687
ZAMBIA,14.4.2020.0.30.40,45.0,2.0,30.0,9160240
ZAMBIA,14.4.2020.9.9.9,45.0,2.0,30.0,9191349
ZAMBIA,14.4.2020.12.13.23,45.0,2.0,30.0,9202403
ZAMBIA,14.4.2020.15.49.28,45.0,2.0,30.0,9215368
ZAMBIA,14.4.2020.18.27.14,45.0,2.0,30.0,9224834
ZAMBIA,14.4.2020.21.18.50,45.0,2.0,30.0,9235130
ZAMBIA,15.4.2020.0.7.14,45.0,2.0,30.0,9245234
ZAMBIA,15.4.2020.9.0.9,45.0,2.0,30.0,9277209
ZAMBIA,15.4.2020.14.56.18,45.0,2.0,30.0,9298578
ZAMBIA,15.4.2020.19.52.38,48.0,2.0,30.0,9316358
ZAMBIA,15.4.2020.21.18.33,48.0,2.0,30.0,9321513
ZAMBIA,16.4.2020.0.51.15,48.0,2.0,30.0,9334275
ZAMBIA,16.4.2020.9.4.51,48.0,2.0,30.0,9363891
ZAMBIA,16.4.2020.12.5.8,48.0,2.0,30.0,9374708
ZAMBIA,16.4.2020.14.57.8,48.0,2.0,30.0,9385028
ZAMBIA,16.4.2020.17.58.25,48.0,2.0,30.0,9395905
ZAMBIA,16.4.2020.22.41.20,48.0,2.0,30.0,9412880
ZAMBIA,17.4.2020.1.32.36,48.0,2.0,30.0,9423156
ZAMBIA,17.4.2020.9.11.4,48.0,2.0,30.0,9450664
ZAMBIA,17.4.2020.12.2.1,48.0,2.0,30.0,9460921
ZAMBIA,17.4.2020.14.56.35,48.0,2.0,30.0,9471395
ZAMBIA,17.4.2020.18.39.21,48.0,2.0,30.0,9484761
ZAMBIA,17.4.2020.22.45.21,52.0,2.0,30.0,9499521
ZAMBIA,18.4.2020.8.54.14,52.0,2.0,30.0,9536054
ZAMBIA,18.4.2020.13.55.54,52.0,2.0,30.0,9554154
ZAMBIA,18.4.2020.15.41.6,52.0,2.0,30.0,9560466
ZAMBIA,18.4.2020.18.3.48,57.0,2.0,33.0,9569028
ZAMBIA,19.4.2020.0.17.39,57.0,2.0,33.0,9591459
ZAMBIA,19.4.2020.9.10.8,57.0,2.0,33.0,9623408
ZAMBIA,19.4.2020.15.11.32,57.0,2.0,33.0,9645092
ZAMBIA,19.4.2020.18.7.21,61.0,2.0,33.0,9655641
ZAMBIA,19.4.2020.21.1.51,61.0,3.0,33.0,9666111
ZAMBIA,20.4.2020.0.0.38,61.0,3.0,33.0,9676838
ZAMBIA,20.4.2020.12.46.45,61.0,3.0,33.0,9722805
ZAMBIA,20.4.2020.15.15.13,61.0,3.0,33.0,9731713
ZAMBIA,20.4.2020.18.0.55,61.0,3.0,33.0,9741655
ZAMBIA,20.4.2020.20.51.26,65.0,3.0,35.0,9751886
ZAMBIA,20.4.2020.23.57.35,65.0,3.0,35.0,9763055
ZAMBIA,21.4.2020.12.5.6,65.0,3.0,35.0,9806706
ZAMBIA,21.4.2020.18.5.54,70.0,3.0,35.0,9828354
ZAMBIA,21.4.2020.20.56.52,70.0,3.0,35.0,9838612
ZAMBIA,22.4.2020.10.13.50,70.0,3.0,35.0,9886430
ZAMBIA,22.4.2020.12.1.15,70.0,3.0,35.0,9892875
ZAMBIA,22.4.2020.15.4.35,70.0,3.0,35.0,9903875
ZAMBIA,23.4.2020.0.41.34,74.0,3.0,35.0,9938494
ZAMBIA,23.4.2020.11.0.28,74.0,3.0,35.0,9975628
ZAMBIA,23.4.2020.18.9.30,74.0,3.0,35.0,10001370
ZAMBIA,23.4.2020.21.15.10,76.0,3.0,37.0,10012510
ZAMBIA,24.4.2020.12.38.27,76.0,3.0,37.0,10067907
ZAMBIA,24.4.2020.15.7.1,76.0,3.0,37.0,10076821
ZAMBIA,24.4.2020.18.5.8,76.0,3.0,37.0,10087508
ZAMBIA,25.4.2020.1.24.20,84.0,3.0,37.0,10113860
ZAMBIA,25.4.2020.10.29.29,84.0,3.0,37.0,10146569
ZAMBIA,25.4.2020.13.6.30,84.0,3.0,37.0,10155990
ZAMBIA,25.4.2020.15.13.19,84.0,3.0,37.0,10163599
ZAMBIA,25.4.2020.18.5.53,84.0,3.0,37.0,10173953
ZAMBIA,26.4.2020.0.2.26,84.0,3.0,37.0,10195346
ZAMBIA,26.4.2020.10.30.36,84.0,3.0,37.0,10233036
ZAMBIA,26.4.2020.14.0.20,84.0,3.0,37.0,10245620
ZAMBIA,26.4.2020.15.0.26,84.0,3.0,37.0,10249226
ZAMBIA,26.4.2020.18.4.29,84.0,3.0,37.0,10260269
ZAMBIA,26.4.2020.20.55.24,88.0,3.0,42.0,10270524
ZAMBIA,27.4.2020.1.26.23,88.0,3.0,42.0,10286783
ZAMBIA,27.4.2020.12.2.22,88.0,3.0,42.0,10324942
ZAMBIA,27.4.2020.18.28.29,89.0,3.0,42.0,10348109
ZAMBIA,27.4.2020.23.10.6,89.0,3.0,42.0,10365006
ZAMBIA,28.4.2020.0.52.18,89.0,3.0,42.0,10371138
ZAMBIA,28.4.2020.12.28.54,89.0,3.0,42.0,10412934
ZAMBIA,29.4.2020.0.5.46,95.0,3.0,42.0,10454746
ZAMBIA,29.4.2020.11.12.43,95.0,3.0,42.0,10494763
ZAMBIA,29.4.2020.13.2.52,95.0,3.0,42.0,10501372
ZAMBIA,29.4.2020.15.8.24,95.0,3.0,42.0,10508904
ZAMBIA,29.4.2020.18.9.12,97.0,3.0,54.0,10519752
ZAMBIA,29.4.2020.21.32.47,97.0,3.0,54.0,10531967
ZAMBIA,30.4.2020.0.17.29,97.0,3.0,54.0,10541849
ZAMBIA,30.4.2020.9.21.28,97.0,3.0,54.0,10574488
ZAMBIA,30.4.2020.12.29.51,97.0,3.0,54.0,10585791
ZAMBIA,30.4.2020.15.13.47,97.0,3.0,54.0,10595627
ZAMBIA,1.5.2020.0.5.16,106.0,3.0,55.0,10713916
ZAMBIA,1.5.2020.10.41.27,106.0,3.0,55.0,10752087
ZAMBIA,1.5.2020.11.53.59,106.0,3.0,55.0,10756439
ZAMBIA,1.5.2020.15.33.11,109.0,3.0,74.0,10769591
ZAMBIA,1.5.2020.17.55.59,109.0,3.0,74.0,10778159
ZAMBIA,1.5.2020.21.26.40,109.0,3.0,74.0,10790800
ZAMBIA,2.5.2020.0.11.13,109.0,3.0,74.0,10800673
ZAMBIA,2.5.2020.9.45.39,109.0,3.0,74.0,10835139
ZAMBIA,2.5.2020.12.46.52,109.0,3.0,74.0,10846012
ZAMBIA,2.5.2020.15.0.2,109.0,3.0,74.0,10854002
ZAMBIA,2.5.2020.18.0.30,119.0,3.0,75.0,10864830
ZAMBIA,3.5.2020.0.4.29,119.0,3.0,75.0,10886669
ZAMBIA,3.5.2020.11.56.15,119.0,3.0,75.0,10929375
ZAMBIA,3.5.2020.15.5.11,119.0,3.0,75.0,10940711
ZAMBIA,3.5.2020.17.57.14,124.0,3.0,78.0,10951034
ZAMBIA,3.5.2020.21.9.20,124.0,3.0,78.0,10962560
ZAMBIA,3.5.2020.23.58.14,124.0,3.0,78.0,10972694
ZAMBIA,4.5.2020.15.8.30,124.0,3.0,78.0,11027310
ZAMBIA,4.5.2020.18.37.54,137.0,3.0,78.0,11039874
ZAMBIA,4.5.2020.23.58.7,137.0,3.0,78.0,11059087
ZAMBIA,5.5.2020.1.13.37,137.0,3.0,78.0,11063617
ZAMBIA,5.5.2020.13.8.43,137.0,3.0,78.0,11106523
ZAMBIA,5.5.2020.15.1.21,137.0,3.0,78.0,11113281
ZAMBIA,5.5.2020.21.5.55,137.0,3.0,78.0,11135155
ZAMBIA,6.5.2020.0.0.44,137.0,3.0,78.0,11145644
ZAMBIA,6.5.2020.12.1.14,139.0,4.0,92.0,11188874
ZAMBIA,6.5.2020.18.0.4,139.0,4.0,92.0,11210404
ZAMBIA,7.5.2020.0.14.11,139.0,4.0,92.0,11232851
