Nation,Time,Confirmed Case,Death,Recover,timestamp
ZIMBABWE,3.4.2020.14.30.10,9.0,1.0,0.0,8260210
ZIMBABWE,3.4.2020.14.30.11,9.0,1.0,0.0,8260211
ZIMBABWE,3.4.2020.17.30.12,9.0,1.0,0.0,8271012
ZIMBABWE,3.4.2020.20.30.12,9.0,1.0,0.0,8281812
ZIMBABWE,3.4.2020.23.30.19,9.0,1.0,0.0,8292619
ZIMBABWE,4.4.2020.8.30.14,9.0,1.0,0.0,8325014
ZIMBABWE,4.4.2020.11.30.14,9.0,1.0,0.0,8335814
ZIMBABWE,4.4.2020.14.30.16,9.0,1.0,0.0,8346616
ZIMBABWE,4.4.2020.17.30.18,9.0,1.0,0.0,8357418
ZIMBABWE,4.4.2020.20.30.33,9.0,1.0,0.0,8368233
ZIMBABWE,4.4.2020.23.30.5,9.0,1.0,0.0,8379005
ZIMBABWE,5.4.2020.8.30.7,9.0,1.0,0.0,8411407
ZIMBABWE,5.4.2020.11.30.3,9.0,1.0,0.0,8422203
ZIMBABWE,5.4.2020.14.30.4,9.0,1.0,0.0,8433004
ZIMBABWE,5.4.2020.17.40.33,9.0,1.0,0.0,8444433
ZIMBABWE,5.4.2020.20.33.28,9.0,1.0,0.0,8454808
ZIMBABWE,5.4.2020.23.30.2,9.0,1.0,0.0,8465402
ZIMBABWE,6.4.2020.8.37.49,9.0,1.0,0.0,8498269
ZIMBABWE,6.4.2020.11.30.5,9.0,1.0,0.0,8508605
ZIMBABWE,6.4.2020.14.44.21,9.0,1.0,0.0,8520261
ZIMBABWE,6.4.2020.17.30.4,9.0,1.0,0.0,8530204
ZIMBABWE,6.4.2020.21.0.44,9.0,1.0,0.0,8542844
ZIMBABWE,7.4.2020.0.0.3,9.0,1.0,0.0,8553603
ZIMBABWE,7.4.2020.9.0.4,10.0,1.0,0.0,8586004
ZIMBABWE,7.4.2020.12.15.51,10.0,1.0,0.0,8597751
ZIMBABWE,7.4.2020.15.59.55,10.0,1.0,0.0,8611195
ZIMBABWE,7.4.2020.18.3.46,10.0,1.0,0.0,8618626
ZIMBABWE,7.4.2020.21.32.15,10.0,1.0,0.0,8631135
ZIMBABWE,8.4.2020.0.0.4,10.0,1.0,0.0,8640004
ZIMBABWE,8.4.2020.9.0.46,11.0,2.0,0.0,8672446
ZIMBABWE,8.4.2020.12.21.18,11.0,2.0,0.0,8684478
ZIMBABWE,8.4.2020.15.4.46,11.0,2.0,0.0,8694286
ZIMBABWE,8.4.2020.18.11.16,11.0,2.0,0.0,8705476
ZIMBABWE,8.4.2020.21.33.56,11.0,2.0,0.0,8717636
ZIMBABWE,9.4.2020.0.14.12,11.0,2.0,0.0,8727252
ZIMBABWE,9.4.2020.11.19.24,11.0,3.0,0.0,8767164
ZIMBABWE,9.4.2020.12.7.24,11.0,3.0,0.0,8770044
ZIMBABWE,9.4.2020.14.57.9,11.0,3.0,0.0,8780229
ZIMBABWE,9.4.2020.18.0.2,11.0,3.0,0.0,8791202
ZIMBABWE,10.4.2020.1.6.14,11.0,3.0,0.0,8816774
ZIMBABWE,10.4.2020.9.4.46,11.0,3.0,0.0,8845486
ZIMBABWE,10.4.2020.12.9.17,11.0,3.0,0.0,8856557
ZIMBABWE,10.4.2020.14.55.51,11.0,3.0,0.0,8866551
ZIMBABWE,10.4.2020.18.41.5,11.0,3.0,0.0,8880065
ZIMBABWE,10.4.2020.21.59.17,11.0,3.0,0.0,8891957
ZIMBABWE,11.4.2020.0.0.34,11.0,3.0,0.0,8899234
ZIMBABWE,11.4.2020.9.1.32,13.0,3.0,0.0,8931692
ZIMBABWE,11.4.2020.12.8.24,13.0,3.0,0.0,8942904
ZIMBABWE,11.4.2020.17.0.40,13.0,3.0,0.0,8960440
ZIMBABWE,11.4.2020.18.12.28,13.0,3.0,0.0,8964748
ZIMBABWE,11.4.2020.21.44.19,13.0,3.0,0.0,8977459
ZIMBABWE,11.4.2020.23.59.29,13.0,3.0,0.0,8985569
ZIMBABWE,12.4.2020.9.0.42,14.0,3.0,0.0,9018042
ZIMBABWE,12.4.2020.12.5.42,14.0,3.0,0.0,9029142
ZIMBABWE,12.4.2020.15.9.25,14.0,3.0,0.0,9040165
ZIMBABWE,12.4.2020.18.22.1,14.0,3.0,0.0,9051721
ZIMBABWE,12.4.2020.20.59.25,14.0,3.0,0.0,9061165
ZIMBABWE,13.4.2020.0.7.13,14.0,3.0,0.0,9072433
ZIMBABWE,13.4.2020.9.26.16,14.0,3.0,0.0,9105976
ZIMBABWE,13.4.2020.11.59.14,14.0,3.0,0.0,9115154
ZIMBABWE,13.4.2020.15.13.1,14.0,3.0,0.0,9126781
ZIMBABWE,13.4.2020.20.23.47,14.0,3.0,0.0,9145427
ZIMBABWE,13.4.2020.21.1.27,14.0,3.0,0.0,9147687
ZIMBABWE,14.4.2020.0.30.40,14.0,3.0,0.0,9160240
ZIMBABWE,14.4.2020.9.9.9,17.0,3.0,0.0,9191349
ZIMBABWE,14.4.2020.12.13.23,17.0,3.0,0.0,9202403
ZIMBABWE,14.4.2020.15.49.28,17.0,3.0,0.0,9215368
ZIMBABWE,14.4.2020.18.27.14,17.0,3.0,0.0,9224834
ZIMBABWE,14.4.2020.21.18.50,17.0,3.0,0.0,9235130
ZIMBABWE,15.4.2020.0.7.14,17.0,3.0,0.0,9245234
ZIMBABWE,15.4.2020.9.0.9,18.0,3.0,1.0,9277209
ZIMBABWE,15.4.2020.14.56.18,18.0,3.0,1.0,9298578
ZIMBABWE,15.4.2020.19.52.38,18.0,3.0,1.0,9316358
ZIMBABWE,15.4.2020.21.18.33,18.0,3.0,1.0,9321513
ZIMBABWE,16.4.2020.0.51.15,18.0,3.0,1.0,9334275
ZIMBABWE,16.4.2020.9.4.51,23.0,3.0,1.0,9363891
ZIMBABWE,16.4.2020.12.5.8,23.0,3.0,1.0,9374708
ZIMBABWE,16.4.2020.14.57.8,23.0,3.0,1.0,9385028
ZIMBABWE,16.4.2020.17.58.25,23.0,3.0,1.0,9395905
ZIMBABWE,16.4.2020.22.41.20,23.0,3.0,1.0,9412880
ZIMBABWE,17.4.2020.1.32.36,23.0,3.0,1.0,9423156
ZIMBABWE,17.4.2020.9.11.4,24.0,3.0,2.0,9450664
ZIMBABWE,17.4.2020.12.2.1,24.0,3.0,2.0,9460921
ZIMBABWE,17.4.2020.14.56.35,24.0,3.0,2.0,9471395
ZIMBABWE,17.4.2020.18.39.21,24.0,3.0,2.0,9484761
ZIMBABWE,17.4.2020.22.45.21,24.0,3.0,2.0,9499521
ZIMBABWE,18.4.2020.8.54.14,24.0,3.0,2.0,9536054
ZIMBABWE,18.4.2020.13.55.54,24.0,3.0,2.0,9554154
ZIMBABWE,18.4.2020.15.41.6,24.0,3.0,2.0,9560466
ZIMBABWE,18.4.2020.18.3.48,24.0,3.0,2.0,9569028
ZIMBABWE,19.4.2020.0.17.39,24.0,3.0,2.0,9591459
ZIMBABWE,19.4.2020.9.10.8,25.0,3.0,2.0,9623408
ZIMBABWE,19.4.2020.15.11.32,25.0,3.0,2.0,9645092
ZIMBABWE,19.4.2020.18.7.21,25.0,3.0,2.0,9655641
ZIMBABWE,19.4.2020.21.1.51,25.0,3.0,2.0,9666111
ZIMBABWE,20.4.2020.0.0.38,25.0,3.0,2.0,9676838
ZIMBABWE,20.4.2020.12.46.45,25.0,3.0,2.0,9722805
ZIMBABWE,20.4.2020.15.15.13,25.0,3.0,2.0,9731713
ZIMBABWE,20.4.2020.18.0.55,25.0,3.0,2.0,9741655
ZIMBABWE,20.4.2020.20.51.26,25.0,3.0,2.0,9751886
ZIMBABWE,20.4.2020.23.57.35,25.0,3.0,2.0,9763055
ZIMBABWE,21.4.2020.12.5.6,25.0,3.0,2.0,9806706
ZIMBABWE,21.4.2020.18.5.54,25.0,3.0,2.0,9828354
ZIMBABWE,21.4.2020.20.56.52,25.0,3.0,2.0,9838612
ZIMBABWE,22.4.2020.10.13.50,28.0,3.0,2.0,9886430
ZIMBABWE,22.4.2020.12.1.15,28.0,3.0,2.0,9892875
ZIMBABWE,22.4.2020.15.4.35,28.0,3.0,2.0,9903875
ZIMBABWE,23.4.2020.0.41.34,28.0,3.0,2.0,9938494
ZIMBABWE,23.4.2020.11.0.28,28.0,4.0,2.0,9975628
ZIMBABWE,23.4.2020.18.9.30,28.0,4.0,2.0,10001370
ZIMBABWE,23.4.2020.21.15.10,28.0,4.0,2.0,10012510
ZIMBABWE,24.4.2020.12.38.27,29.0,4.0,2.0,10067907
ZIMBABWE,24.4.2020.15.7.1,29.0,4.0,2.0,10076821
ZIMBABWE,24.4.2020.18.5.8,29.0,4.0,2.0,10087508
ZIMBABWE,25.4.2020.1.24.20,29.0,4.0,2.0,10113860
ZIMBABWE,25.4.2020.10.29.29,29.0,4.0,2.0,10146569
ZIMBABWE,25.4.2020.13.6.30,29.0,4.0,2.0,10155990
ZIMBABWE,25.4.2020.15.13.19,29.0,4.0,2.0,10163599
ZIMBABWE,25.4.2020.18.5.53,29.0,4.0,2.0,10173953
ZIMBABWE,26.4.2020.0.2.26,29.0,4.0,2.0,10195346
ZIMBABWE,26.4.2020.10.30.36,31.0,4.0,2.0,10233036
ZIMBABWE,26.4.2020.14.0.20,31.0,4.0,2.0,10245620
ZIMBABWE,26.4.2020.15.0.26,29.0,4.0,2.0,10249226
ZIMBABWE,26.4.2020.18.4.29,31.0,4.0,2.0,10260269
ZIMBABWE,26.4.2020.20.55.24,31.0,4.0,2.0,10270524
ZIMBABWE,27.4.2020.1.26.23,31.0,4.0,2.0,10286783
ZIMBABWE,27.4.2020.12.2.22,31.0,4.0,5.0,10324942
ZIMBABWE,27.4.2020.18.28.29,31.0,4.0,5.0,10348109
ZIMBABWE,27.4.2020.23.10.6,31.0,4.0,5.0,10365006
ZIMBABWE,28.4.2020.0.52.18,31.0,4.0,5.0,10371138
